Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,003","0,002","1,024","0,000","0,008","1,003","0,000","0,005","1,002","-0,003","0,001","1,051","-0,007","-0,004","0,944","0,001","0,005","0,956","-0,002","0,002","1,018"
1,"0,005","0,006","1,023","0,004","0,010","1,001","-0,002","-0,005","1,005","-0,001","0,005","1,055","-0,003","-0,004","0,946","0,002","0,004","0,960","0,003","0,005","1,017"
2,"0,007","0,004","1,026","0,000","0,007","1,002","-0,001","-0,004","1,004","0,001","0,004","1,049","0,000","-0,001","0,945","0,000","0,001","0,961","0,001","0,001","1,022"
3,"0,003","0,007","1,020","0,000","0,005","1,007","0,003","0,002","1,006","-0,001","0,003","1,052","0,000","-0,001","0,942","0,002","0,001","0,959","0,006","0,006","1,014"
4,"0,003","0,006","1,025","0,002","0,006","1,000","-0,003","0,002","1,007","0,003","0,001","1,056","-0,001","-0,002","0,944","0,003","0,000","0,959","-0,002","0,004","1,015"
5,"0,005","-0,001","1,033","0,000","0,003","1,002","0,001","0,001","1,001","0,001","0,002","1,054","-0,001","-0,002","0,939","-0,001","0,004","0,962","0,000","0,004","1,017"
6,"-0,002","0,002","1,024","0,003","0,009","1,003","-0,004","0,002","1,008","-0,006","-0,006","1,051","0,002","-0,006","0,941","0,000","0,000","0,956","-0,003","0,004","1,022"
7,"0,000","-0,002","1,025","0,001","0,005","1,004","-0,004","-0,001","1,004","-0,014","-0,001","1,050","-0,005","0,002","0,945","0,004","-0,001","0,957","-0,009","0,009","1,021"
8,"-0,001","-0,001","1,025","-0,002","0,007","1,007","-0,001","0,002","1,000","-0,003","0,004","1,057","-0,001","-0,002","0,943","-0,003","0,006","0,956","0,001","0,004","1,022"
9,"-0,004","0,003","1,029","0,001","0,009","1,003","0,000","0,006","1,004","-0,002","0,005","1,050","-0,002","-0,003","0,948","0,001","0,001","0,956","0,002","0,006","1,012"
