Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
28,"0,550","-0,014","0,224","0,136","-0,210","-0,417","0,108","-0,089","-0,347","0,098","-0,021","0,155","-0,194","0,024","-0,068","0,452","-0,200","-0,080","-0,244","-0,065","-0,525"
29,"0,187","0,011","-0,107","0,377","-0,105","-0,512","0,153","-0,052","-0,484","0,161","-0,025","0,020","-0,013","0,035","-0,089","-0,075","-0,125","-0,213","-0,303","-0,115","-0,903"
30,"0,127","-0,238","-0,284","0,505","-0,202","-0,376","0,100","-0,100","-0,406","0,470","-0,006","-0,194","-0,080","0,083","-0,114","0,026","-0,075","-0,082","-0,033","-0,100","-0,750"
31,"0,127","-0,256","-0,342","0,390","0,002","-0,285","0,123","-0,127","-0,217","0,596","0,014","-0,410","-0,009","0,068","-0,037","0,070","-0,134","-0,037","0,037","-0,075","-0,705"
32,"0,127","-0,121","-0,321","0,268","-0,117","-0,255","0,113","0,011","0,196","0,599","-0,127","-0,542","-0,006","-0,016","-0,057","-0,056","-0,084","-0,016","0,214","0,024","-0,372"
33,"0,248","-0,048","-0,088","0,220","-0,070","-0,013","0,098","0,049","0,066","0,415","-0,181","-0,516","-0,069","0,064","-0,030","-0,004","-0,176","-0,021","0,523","-0,207","-0,311"
34,"0,186","-0,087","-0,012","0,149","0,016","-0,212","0,077","-0,104","-0,090","0,411","-0,200","-0,297","-0,069","0,064","-0,030","-0,129","-0,126","0,000","0,488","0,227","0,169"
35,"0,125","-0,029","-0,031","0,037","-0,008","-0,015","0,144","-0,034","-0,049","0,288","-0,225","-0,217","0,009","-0,003","0,078","-0,085","-0,185","0,046","0,521","0,142","0,411"
36,"0,065","-0,066","-0,147","-0,027","-0,139","-0,048","0,220","-0,073","0,074","0,281","-0,103","0,134","0,116","0,108","0,000","-0,072","-0,017","0,085","0,401","0,147","0,429"
37,"0,247","-0,029","-0,030","-0,018","-0,104","0,131","0,106","0,000","0,137","0,151","-0,006","0,565","0,001","-0,068","-0,025","0,003","-0,092","-0,001","0,342","0,094","0,465"
38,"0,124","0,103","0,183","0,107","-0,034","0,173","0,099","-0,071","0,088","-0,036","0,193","0,800","0,009","-0,003","0,078","0,085","-0,083","-0,067","0,335","0,016","0,024"
39,"0,367","0,082","0,320","0,287","-0,107","0,115","0,138","-0,165","-0,087","-0,162","0,364","0,982","0,009","-0,003","0,078","-0,049","0,000","0,004","0,108","-0,109","-0,220"
40,"0,244","0,177","0,416","0,171","-0,142","0,253","0,220","-0,073","0,074","0,569","0,447","1,020","-0,123","0,009","0,009","-0,084","0,025","-0,092","-0,189","-0,207","-0,122"
41,"0,123","-0,013","0,220","0,046","-0,153","0,199","0,166","-0,061","0,140","0,396","0,048","0,540","-0,045","-0,058","0,117","0,018","-0,042","-0,032","0,198","-0,087","-0,040"
42,"0,062","0,064","0,259","-0,014","-0,272","0,226","0,294","0,009","0,174","0,276","-0,093","0,406","-0,059","-0,071","-0,018","-0,099","-0,025","-0,061","0,205","-0,006","-0,013"
43,"0,185","0,161","0,165","0,111","-0,261","0,279","0,190","-0,057","-0,175","0,592","-0,332","-0,153","-0,055","-0,039","0,034","0,076","-0,050","-0,017","0,433","0,068","-0,156"
44,"0,246","0,026","0,144","0,104","-0,045","0,113","0,176","-0,139","-0,283","0,842","-0,453","-0,498","0,059","0,020","-0,012","0,018","-0,042","-0,032","0,391","0,124","-0,039"
45,"0,247","-0,087","-0,011","0,101","-0,057","0,053","0,243","-0,009","-0,253","0,717","-0,147","-0,321","-0,063","-0,104","-0,069","0,049","-0,058","-0,164","0,191","0,129","0,267"
46,"0,186","-0,011","0,028","0,098","0,051","-0,030","0,197","0,014","-0,127","0,714","-0,142","-0,184","0,066","-0,032","0,020","0,047","-0,151","0,045","0,143","0,052","-0,030"
47,"0,126","-0,047","-0,089","0,104","0,074","0,090","0,212","-0,024","0,003","0,646","0,063","0,189","0,001","-0,068","-0,025","0,026","-0,075","-0,082","0,406","-0,015","0,095"
48,"0,490","0,084","0,128","0,345","-0,059","0,041","0,173","0,070","0,178","-0,030","0,208","0,444","0,006","0,081","0,098","0,187","-0,151","-0,007","0,498","0,251","0,637"
49,"0,185","0,008","0,086","0,466","0,239","-0,024","0,166","-0,001","0,129","0,098","0,169","0,121","0,083","-0,102","0,135","0,011","-0,126","-0,051","0,302","0,098","0,195"
50,"0,063","-0,108","0,122","0,280","0,049","-0,039","0,220","-0,073","0,074","0,347","0,023","-0,142","0,006","0,081","0,098","0,055","-0,184","-0,006","0,330","0,178","0,357"
51,"0,004","-0,047","-0,090","0,159","0,051","-0,033","0,138","-0,225","-0,076","0,595","-0,147","-0,323","0,002","0,049","0,046","-0,034","0,050","-0,027","0,417","0,255","0,511"
52,"0,065","-0,008","-0,166","0,341","-0,131","-0,007","0,069","-0,115","-0,150","0,719","-0,341","-0,423","-0,073","0,032","-0,082","0,083","0,033","0,003","0,260","0,154","0,312"
53,"0,066","-0,026","-0,224","0,284","-0,059","0,044","0,024","-0,152","-0,013","0,468","-0,273","-0,048","0,059","0,020","-0,012","-0,013","-0,026","0,100","0,240","-0,145","0,256"
54,"0,064","-0,163","-0,052","0,226","0,073","0,083","0,016","-0,103","-0,083","0,589","-0,108","0,003","0,122","-0,060","-0,039","-0,151","0,067","-0,057","0,338","-0,094","0,077"
55,"0,001","-0,013","0,219","0,338","0,097","-0,114","0,062","-0,186","-0,198","0,456","-0,006","0,570","-0,038","-0,109","0,149","0,040","0,092","-0,043","0,183","-0,250","-0,095"
56,"0,185","0,103","0,184","0,223","0,121","0,012","-0,119","-0,183","-0,177","0,393","0,106","0,647","-0,116","-0,043","0,041","0,083","0,033","0,003","0,225","-0,007","0,122"
57,"0,122","0,101","0,376","0,466","0,179","-0,012","0,084","-0,093","-0,031","0,085","0,140","0,831","0,008","-0,119","0,007","-0,049","0,000","0,004","0,381","0,149","0,294"
58,"0,183","0,024","0,337","0,415","0,155","0,182","0,159","-0,072","0,081","0,148","0,164","0,749","0,066","-0,032","0,020","0,033","0,009","-0,063","0,054","0,026","0,204"
59,"0,124","0,045","0,202","0,470","0,071","0,071","0,092","-0,142","0,040","0,455","0,077","0,594","0,052","0,071","-0,044","0,091","0,000","-0,048","0,057","-0,080","-0,157"
60,"0,063","0,008","0,085","0,402","0,048","-0,046","0,144","0,026","-0,060","0,460","-0,122","0,356","0,133","-0,079","0,045","0,179","-0,117","0,043","0,630","-0,129","-0,436"
61,"0,063","0,008","0,085","0,341","0,168","-0,066","0,204","0,025","-0,067","0,948","-0,205","0,341","0,122","-0,060","-0,039","0,003","-0,092","-0,001","0,566","-0,318","-0,402"
62,"0,063","0,045","0,201","0,284","0,001","0,032","0,009","-0,114","-0,143","0,772","-0,244","0,011","-0,002","0,016","-0,005","0,063","0,109","-0,124","0,768","-0,029","0,041"
63,"0,184","0,045","0,202","0,159","-0,129","0,002","0,084","-0,093","-0,031","0,289","-0,390","-0,265","-0,045","-0,058","0,117","0,143","0,235","-0,121","0,817","-0,006","0,365"
64,"0,126","0,011","-0,107","0,220","-0,070","-0,013","0,145","-0,094","-0,038","0,282","0,004","0,075","0,012","-0,087","0,059","0,106","0,051","-0,079","0,297","-0,038","0,194"
65,"0,189","-0,140","-0,379","0,348","-0,048","0,100","0,205","-0,095","-0,045","0,101","0,028","-0,011","-0,002","0,016","-0,005","0,121","0,101","-0,110","0,401","-0,151","0,094"
66,"0,249","0,013","-0,299","0,162","-0,057","0,050","0,151","-0,023","0,010","0,286","0,160","-0,148","0,066","-0,032","0,020","0,151","-0,125","-0,103","0,216","-0,034","0,068"
67,"0,127","0,032","-0,242","0,284","0,061","0,020","0,234","-0,050","0,193","0,530","0,024","-0,139","0,019","-0,138","0,091","0,150","-0,008","-0,033","-0,304","0,232","0,232"
68,"0,064","0,106","-0,010","0,348","0,072","0,077","0,091","-0,082","0,029","0,408","-0,113","-0,136","-0,058","0,045","0,053","-0,034","0,050","-0,027","0,081","0,106","0,366"
69,"0,186","0,048","0,009","0,466","0,059","0,011","0,137","-0,105","-0,098","0,410","-0,171","-0,244","-0,051","-0,006","0,085","0,025","0,042","-0,012","0,452","0,118","0,366"
70,"0,186","0,124","0,049","0,338","0,157","-0,125","0,234","0,009","0,182","0,709","0,004","0,083","0,001","-0,068","-0,025","0,180","0,093","-0,095","0,494","0,063","0,249"
71,"0,245","0,082","0,319","0,223","0,121","0,012","0,151","-0,023","0,010","0,464","-0,103","0,137","0,063","0,052","0,039","0,048","0,059","-0,094","0,709","-0,081","0,077"
72,"0,184","0,159","0,358","0,226","0,073","0,083","0,227","-0,002","0,122","0,466","-0,079","0,054","0,005","-0,035","0,027","-0,054","-0,201","-0,086","0,570","-0,130","-0,014"
73,"0,185","0,238","0,205","0,101","0,003","0,042","0,258","-0,107","-0,112","0,341","0,145","0,208","0,063","0,052","0,039","0,107","-0,066","-0,149","0,337","-0,039","0,050"
74,"0,185","0,180","0,223","0,162","0,002","0,038","0,143","0,086","-0,071","0,034","-0,016","0,290","0,137","-0,047","0,096","0,026","-0,075","-0,082","-0,058","0,061","-0,138"
75,"0,124","0,161","0,165","0,537","0,093","0,187","0,130","-0,056","-0,168","0,155","0,014","0,346","0,188","0,092","0,077","0,018","-0,042","-0,032","0,084","-0,298","-0,329"
76,"0,063","0,162","0,164","0,466","0,059","0,011","0,273","-0,144","0,018","0,390","0,140","0,837","-0,003","-0,100","-0,076","0,075","0,067","0,053","0,309","-0,115","-0,526"
77,"0,001","0,083","0,317","0,588","-0,002","0,016","0,159","-0,012","0,070","0,153","0,072","0,453","0,125","-0,144","-0,058","-0,027","0,134","-0,007","0,251","-0,171","-0,077"
78,"0,063","0,162","0,164","0,351","0,084","0,137","0,159","-0,012","0,070","0,096","-0,045","0,237","0,059","0,020","-0,012","0,001","0,142","0,139","0,399","0,202","0,403"
79,"0,125","0,201","0,088","0,287","-0,047","0,104","0,234","0,009","0,182","0,035","0,091","0,231","-0,049","-0,090","0,066","0,017","0,075","0,038","0,531","0,169","0,465"
