Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
2155,"0,038","-0,009","1,028","0,036","-0,041","1,002","0,094","0,169","0,976","-0,020","0,022","1,040","-0,121","-0,068","0,939","0,017","-0,017","0,950","0,069","0,230","0,978"
2156,"0,044","-0,004","1,027","0,032","-0,036","1,001","0,081","0,160","0,969","-0,002","0,015","1,052","-0,123","-0,078","0,933","0,028","-0,018","0,964","0,064","0,236","0,976"
2157,"0,053","0,006","1,028","0,034","-0,037","0,998","0,076","0,154","0,977","0,015","0,018","1,051","-0,125","-0,074","0,929","0,018","-0,011","0,954","0,058","0,229","0,977"
2158,"0,068","0,002","1,034","0,036","-0,033","1,006","0,083","0,151","0,985","0,026","0,017","1,055","-0,126","-0,072","0,927","0,033","-0,015","0,953","0,055","0,237","0,971"
2159,"0,072","-0,011","1,028","0,033","-0,025","1,007","0,093","0,151","0,982","0,025","0,027","1,051","-0,120","-0,079","0,927","0,018","-0,023","0,967","0,040","0,225","0,975"
2160,"0,048","-0,010","1,029","0,032","-0,017","1,001","0,100","0,144","0,982","0,006","0,019","1,048","-0,116","-0,078","0,936","0,020","-0,020","0,957","0,041","0,218","0,979"
2161,"0,037","-0,009","1,029","0,026","-0,015","1,006","0,096","0,145","0,980","-0,009","0,024","1,053","-0,114","-0,076","0,935","0,008","-0,009","0,959","0,042","0,214","0,984"
2162,"0,028","-0,011","1,034","0,026","-0,013","1,011","0,105","0,136","0,985","-0,020","0,014","1,048","-0,123","-0,074","0,928","0,025","-0,025","0,954","0,043","0,213","0,982"
2163,"0,031","-0,012","1,029","0,028","-0,014","1,011","0,100","0,135","0,981","-0,019","0,027","1,048","-0,116","-0,078","0,939","0,010","-0,018","0,955","0,048","0,203","0,980"
2164,"0,042","-0,016","1,031","0,023","-0,016","1,013","0,105","0,130","0,984","-0,019","0,039","1,049","-0,112","-0,073","0,935","0,007","-0,008","0,951","0,054","0,210","0,987"
2165,"0,031","-0,011","1,036","0,021","-0,014","1,008","0,100","0,133","0,987","-0,015","0,025","1,045","-0,107","-0,070","0,939","0,023","-0,022","0,961","0,047","0,218","0,975"
2166,"0,051","-0,006","1,022","0,017","-0,009","1,005","0,113","0,134","0,986","0,002","0,025","1,037","-0,107","-0,072","0,939","0,025","-0,017","0,957","0,052","0,214","0,974"
2167,"0,070","0,003","1,020","0,015","-0,006","1,007","0,111","0,137","0,987","0,019","0,028","1,052","-0,103","-0,062","0,939","0,030","-0,021","0,953","0,064","0,207","0,979"
2168,"0,094","0,004","1,031","0,009","-0,006","1,007","0,103","0,133","0,986","0,031","0,032","1,047","-0,103","-0,072","0,939","0,039","-0,026","0,967","0,063","0,216","0,982"
2169,"0,086","-0,006","1,040","0,017","-0,006","1,006","0,102","0,132","0,980","0,028","0,036","1,048","-0,105","-0,076","0,946","0,028","-0,017","0,957","0,069","0,217","0,974"
2170,"0,055","-0,009","1,030","0,016","-0,004","1,004","0,097","0,126","0,976","0,008","0,034","1,049","-0,112","-0,070","0,935","0,023","-0,029","0,950","0,073","0,217","0,961"
2171,"0,032","-0,012","1,028","0,016","-0,004","1,002","0,099","0,136","0,976","-0,007","0,035","1,040","-0,108","-0,073","0,935","0,039","-0,026","0,959","0,067","0,217","0,964"
2172,"0,045","-0,002","1,024","0,020","-0,014","1,003","0,105","0,137","0,982","-0,008","0,030","1,044","-0,105","-0,065","0,936","0,023","-0,015","0,956","0,063","0,230","0,977"
2173,"0,056","0,001","1,027","0,020","-0,003","0,998","0,095","0,146","0,976","-0,003","0,038","1,045","-0,104","-0,071","0,933","0,037","-0,025","0,950","0,062","0,238","0,979"
2174,"0,080","-0,002","1,030","0,018","-0,002","0,993","0,106","0,141","0,979","0,002","0,031","1,047","-0,109","-0,067","0,936","0,033","-0,021","0,959","0,064","0,252","0,977"
2175,"0,082","0,001","1,031","0,017","0,009","0,993","0,108","0,139","0,980","0,011","0,020","1,050","-0,111","-0,066","0,934","0,038","-0,024","0,949","0,065","0,255","0,968"
2176,"0,063","-0,014","1,037","0,017","0,006","0,998","0,124","0,127","0,983","0,000","0,029","1,040","-0,098","-0,065","0,944","0,020","-0,026","0,957","0,066","0,249","0,973"
2177,"0,027","-0,012","1,028","0,017","0,007","1,005","0,136","0,126","0,982","-0,014","0,028","1,049","-0,092","-0,063","0,942","0,029","-0,024","0,945","0,068","0,229","0,982"
2178,"0,029","-0,003","1,039","0,020","0,013","1,003","0,136","0,113","0,994","-0,022","0,019","1,045","-0,096","-0,060","0,942","0,028","0,001","0,947","0,083","0,233","0,993"
2179,"0,045","-0,017","1,034","0,019","0,016","1,006","0,133","0,098","1,003","-0,032","0,004","1,042","-0,101","-0,055","0,948","0,047","-0,024","0,956","0,076","0,232","1,006"
2180,"0,078","-0,025","1,030","0,020","0,017","1,014","0,125","0,086","0,997","-0,023","-0,011","1,047","-0,095","-0,065","0,940","0,034","-0,047","0,971","0,073","0,229","0,994"
2181,"0,105","-0,004","1,031","0,020","0,022","1,015","0,119","0,083","0,999","0,007","-0,007","1,040","-0,092","-0,076","0,947","0,042","-0,023","0,951","0,080","0,206","0,972"
2182,"0,114","0,006","1,032","0,020","0,021","1,016","0,106","0,072","1,001","0,055","-0,019","1,056","-0,100","-0,064","0,938","0,074","-0,042","0,970","0,085","0,206","0,970"
2183,"0,146","0,013","1,033","0,024","0,016","1,014","0,087","0,072","0,998","0,094","-0,017","1,059","-0,099","-0,067","0,939","0,061","-0,043","0,964","0,087","0,204","0,972"
2184,"0,148","0,007","1,026","0,025","0,018","1,009","0,098","0,055","1,000","0,110","-0,011","1,050","-0,106","-0,075","0,936","0,059","-0,043","0,956","0,102","0,181","0,971"
2185,"0,124","0,013","1,027","0,028","0,022","1,013","0,127","0,041","1,001","0,095","0,000","1,049","-0,105","-0,074","0,944","0,060","-0,046","0,962","0,119","0,176","0,986"
2186,"0,101","0,015","1,018","0,029","0,023","1,012","0,158","0,030","0,998","0,081","-0,005","1,051","-0,089","-0,074","0,944","0,059","-0,040","0,959","0,118","0,190","1,003"
2187,"0,096","0,014","1,019","0,021","0,029","1,017","0,185","0,022","1,001","0,084","0,005","1,048","-0,073","-0,073","0,944","0,057","-0,043","0,954","0,119","0,187","1,024"
2188,"0,112","0,035","1,008","0,015","0,017","1,020","0,193","0,014","1,013","0,070","0,014","1,046","-0,062","-0,074","0,945","0,064","-0,047","0,954","0,121","0,185","1,021"
2189,"0,121","0,045","1,002","0,007","0,019","1,024","0,189","0,016","1,016","0,065","0,019","1,051","-0,056","-0,082","0,950","0,057","-0,038","0,957","0,132","0,174","1,028"
2190,"0,143","0,054","1,009","-0,006","0,023","1,026","0,180","0,010","1,016","0,070","0,030","1,044","-0,058","-0,076","0,945","0,084","-0,049","0,950","0,145","0,178","1,015"
2191,"0,156","0,061","1,008","-0,006","0,024","1,029","0,162","0,006","1,012","0,096","0,043","1,046","-0,046","-0,073","0,948","0,074","-0,043","0,954","0,159","0,171","1,003"
2192,"0,146","0,054","1,003","-0,006","0,022","1,027","0,153","-0,002","1,012","0,113","0,038","1,054","-0,048","-0,080","0,945","0,083","-0,051","0,954","0,176","0,166","0,994"
2193,"0,137","0,052","1,001","-0,009","0,022","1,023","0,146","-0,013","1,013","0,111","0,033","1,047","-0,077","-0,081","0,940","0,082","-0,050","0,953","0,187","0,159","0,985"
2194,"0,133","0,054","1,005","-0,012","0,022","1,019","0,154","-0,005","1,012","0,108","0,034","1,045","-0,093","-0,093","0,939","0,079","-0,051","0,957","0,187","0,142","0,981"
2195,"0,137","0,047","1,009","-0,014","0,009","1,015","0,159","-0,006","1,006","0,099","0,037","1,045","-0,088","-0,090","0,943","0,076","-0,050","0,951","0,182","0,127","0,995"
2196,"0,140","0,049","1,012","-0,010","0,011","1,010","0,158","-0,001","1,003","0,102","0,019","1,044","-0,068","-0,090","0,939","0,082","-0,052","0,958","0,175","0,136","1,016"
2197,"0,151","0,043","1,009","-0,011","0,020","1,006","0,159","-0,011","0,999","0,112","0,005","1,053","-0,068","-0,091","0,945","0,085","-0,053","0,952","0,166","0,144","1,025"
2198,"0,152","0,040","1,014","-0,008","0,010","1,008","0,172","-0,005","1,000","0,111","0,008","1,042","-0,066","-0,090","0,946","0,085","-0,053","0,956","0,164","0,159","1,024"
2199,"0,146","0,040","1,014","-0,015","0,019","1,012","0,192","-0,006","0,998","0,105","0,018","1,040","-0,060","-0,096","0,942","0,088","-0,053","0,950","0,175","0,169","1,004"
2200,"0,140","0,042","1,008","-0,013","0,019","1,014","0,205","-0,005","0,994","0,109","0,011","1,039","-0,047","-0,098","0,940","0,080","-0,054","0,959","0,191","0,169","0,987"
2201,"0,133","0,042","1,006","-0,014","0,022","1,017","0,208","-0,009","0,991","0,115","0,010","1,054","-0,044","-0,103","0,941","0,082","-0,053","0,958","0,219","0,168","0,977"
2202,"0,136","0,050","1,013","-0,012","0,018","1,017","0,203","0,006","0,983","0,109","0,026","1,049","-0,045","-0,105","0,939","0,092","-0,048","0,955","0,243","0,169","0,976"
2203,"0,132","0,048","1,010","-0,007","0,019","1,020","0,188","0,008","0,982","0,098","0,021","1,051","-0,054","-0,100","0,943","0,079","-0,053","0,951","0,251","0,178","0,986"
2204,"0,130","0,047","1,002","-0,001","0,018","1,011","0,187","0,000","0,994","0,084","0,018","1,050","-0,064","-0,103","0,938","0,087","-0,057","0,949","0,255","0,189","0,996"
2205,"0,131","0,055","1,001","0,003","0,018","1,010","0,192","0,008","0,991","0,080","0,013","1,045","-0,057","-0,104","0,940","0,085","-0,049","0,958","0,247","0,199","0,989"
2206,"0,133","0,047","1,013","0,003","0,024","1,005","0,201","0,004","0,990","0,082","0,015","1,045","-0,043","-0,107","0,944","0,089","-0,060","0,950","0,242","0,197","0,978"
2207,"0,134","0,031","1,017","-0,003","0,023","1,005","0,204","0,001","0,996","0,076","0,007","1,043","-0,044","-0,117","0,939","0,076","-0,053","0,957","0,231","0,205","0,975"
2208,"0,126","0,030","1,025","-0,008","0,012","1,005","0,211","0,003","0,996","0,073","0,003","1,045","-0,030","-0,111","0,941","0,089","-0,052","0,952","0,219","0,200","0,987"
2209,"0,123","0,034","1,021","-0,009","0,018","1,007","0,199","0,011","0,989","0,077","-0,002","1,041","-0,037","-0,107","0,938","0,084","-0,056","0,956","0,210","0,200","0,988"
2210,"0,128","0,029","1,018","-0,011","0,024","1,010","0,145","0,005","1,003","0,088","-0,007","1,046","-0,102","-0,125","0,931","0,095","-0,057","0,948","0,206","0,206","1,003"
