Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
210,"0,015","0,156","0,001","0,328","-0,028","-0,254","-0,065","0,128","0,026","0,161","-0,120","0,047","0,185","-0,083","-0,015","0,153","-0,099","-0,027","0,157","-0,162","-0,029"
211,"0,022","0,134","0,002","0,315","0,003","-0,251","-0,059","0,062","0,027","0,121","-0,129","0,048","0,184","-0,082","-0,014","0,208","-0,072","-0,027","0,139","-0,098","-0,033"
212,"0,042","0,092","0,005","0,342","-0,017","-0,249","-0,116","0,030","0,022","0,136","-0,077","0,046","0,118","-0,059","-0,012","0,218","-0,034","-0,026","0,144","-0,091","-0,030"
213,"-0,004","0,092","0,011","0,347","-0,049","-0,247","-0,183","0,020","0,013","0,118","-0,073","0,042","0,116","-0,063","-0,010","0,227","-0,012","-0,025","0,119","-0,112","-0,026"
214,"-0,004","0,104","0,011","0,315","-0,029","-0,247","-0,174","0,000","0,010","0,122","-0,107","0,038","0,123","-0,035","-0,012","0,159","0,002","-0,020","0,124","-0,094","-0,022"
215,"-0,001","0,105","0,009","0,345","-0,041","-0,245","-0,143","0,022","0,008","0,191","-0,094","0,036","0,122","-0,015","-0,014","0,151","-0,022","-0,014","0,153","-0,138","-0,020"
216,"-0,017","0,089","0,009","0,371","-0,063","-0,243","-0,083","0,051","0,002","0,230","-0,039","0,037","0,128","0,001","-0,014","0,087","-0,042","-0,013","0,207","-0,185","-0,016"
217,"-0,012","0,094","0,014","0,401","-0,080","-0,242","-0,083","0,041","-0,003","0,286","0,003","0,037","0,181","0,042","-0,013","0,102","-0,075","-0,017","0,209","-0,207","-0,013"
218,"-0,061","0,084","0,022","0,414","-0,114","-0,241","-0,093","0,069","-0,005","0,269","0,022","0,034","0,215","-0,015","-0,011","0,052","-0,068","-0,020","0,190","-0,245","-0,013"
219,"-0,031","0,118","0,023","0,382","-0,125","-0,241","-0,150","0,101","-0,005","0,234","-0,002","0,034","0,145","-0,026","-0,008","0,054","-0,055","-0,021","0,138","-0,282","-0,015"
220,"0,007","0,092","0,023","0,418","-0,117","-0,241","-0,155","0,114","-0,006","0,274","0,024","0,034","0,097","0,010","-0,005","0,106","-0,037","-0,022","0,206","-0,289","-0,015"
221,"-0,038","0,135","0,021","0,386","-0,115","-0,241","-0,158","0,113","-0,007","0,229","-0,010","0,037","0,055","0,011","-0,003","0,106","-0,044","-0,023","0,193","-0,258","-0,014"
222,"-0,003","0,192","0,023","0,383","-0,149","-0,241","-0,167","0,154","-0,007","0,251","0,000","0,038","0,070","0,020","-0,001","0,116","-0,042","-0,026","0,161","-0,308","-0,013"
223,"-0,057","0,210","0,024","0,375","-0,115","-0,242","-0,160","0,140","-0,012","0,223","-0,061","0,041","0,070","0,020","0,002","0,050","-0,040","-0,030","0,193","-0,275","-0,009"
