Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
2102,"0,505","14,494","-1,303","2,642","8,571","4,744","18,479","15,767","-7,879","3,978","9,783","-5,400","25,912","6,401","-8,711","0,841","1,069","-0,159","-23,387","6,158","-0,915"
2103,"0,322","14,210","-2,432","2,254","8,305","4,461","18,305","16,013","-5,723","4,725","10,608","-5,182","25,380","6,081","-7,434","1,235","0,842","-0,086","-22,172","5,306","-2,436"
2104,"0,201","14,310","-2,339","1,741","8,026","4,127","17,750","16,215","-2,773","5,037","10,879","-5,009","24,802","6,370","-6,339","1,001","1,399","-0,606","-20,307","3,965","-4,070"
2105,"0,202","14,831","-1,102","1,170","8,175","3,744","17,371","16,018","-0,867","6,384","10,703","-4,624","23,580","7,628","-5,109","0,915","1,230","-0,113","-18,408","3,006","-4,505"
2106,"0,327","15,698","0,723","1,159","8,069","3,584","16,714","16,583","1,300","7,665","10,322","-4,317","22,523","7,796","-4,560","0,955","0,850","0,020","-15,818","4,110","-2,898"
2107,"-0,037","16,285","2,132","1,136","8,033","3,215","15,823","17,267","4,650","8,257","9,459","-4,695","21,425","7,202","-4,161","1,161","0,643","-0,408","-13,454","6,378","-1,490"
2108,"-0,096","16,746","2,677","0,801","7,852","2,780","15,074","18,075","7,265","8,353","8,875","-5,630","19,939","6,402","-3,452","1,018","0,324","-0,271","-11,912","9,709","0,843"
2109,"-0,398","17,070","2,493","0,318","7,327","2,003","14,153","18,482","8,101","8,954","8,806","-6,045","18,249","4,867","-3,266","0,926","0,032","-0,070","-9,148","13,219","4,828"
2110,"-0,518","17,448","2,808","-0,181","6,562","1,040","13,453","18,193","7,715","9,378","9,228","-6,504","15,896","3,539","-2,878","0,543","-0,136","-0,156","-6,489","15,940","7,656"
2111,"-0,514","17,875","2,911","-0,508","5,511","-0,048","12,398","17,988","6,447","9,448","9,687","-6,382","13,502","2,291","-2,247","0,292","-0,113","0,095","-4,580","17,630","8,024"
2112,"-0,572","18,632","4,257","0,089","4,257","-0,951","11,162","18,226","6,147","10,081","9,928","-5,301","11,552","1,100","-2,052","-0,122","-0,499","0,012","-2,851","18,855","7,760"
2113,"-0,753","19,109","4,666","1,564","2,923","-1,446","10,006","18,421","6,170","10,616","9,220","-5,563","9,552","0,531","-1,460","-0,207","-0,668","0,505","-2,610","19,638","7,398"
2114,"-0,566","19,656","4,919","2,945","1,997","-1,603","8,761","18,521","6,791","10,535","8,630","-6,190","9,122","0,563","-1,451","-0,404","0,109","0,209","-3,007","19,899","5,975"
2115,"-0,260","20,012","5,892","3,554","1,516","-1,512","7,322","19,059","8,130","10,764","8,489","-6,918","8,563","-0,277","-1,294","-0,520","-0,278","0,705","-3,304","19,659","2,697"
2116,"0,168","20,433","6,517","3,010","1,659","-1,452","6,437","19,443","9,601","10,992","8,399","-7,681","8,813","-1,518","-1,218","-0,573","-0,547","0,513","-3,236","19,065","-0,466"
2117,"0,229","20,481","6,824","2,158","1,908","-1,464","5,804","19,912","11,161","10,201","8,744","-7,827","9,455","-2,403","-1,335","-0,326","0,069","0,632","-3,059","18,765","-1,303"
2118,"0,654","20,264","6,774","1,374","2,600","-1,473","5,301","19,987","11,931","9,265","9,889","-6,519","10,038","-3,492","-1,531","-0,414","0,100","0,748","-2,822","19,488","-0,836"
2119,"0,897","20,015","6,280","0,461","3,086","-1,545","5,183","19,945","12,012","8,774","11,386","-4,501","10,492","-4,452","-1,731","-0,361","0,210","0,599","-2,614","20,699","0,769"
2120,"1,322","19,545","5,544","-0,193","3,161","-1,270","5,088","19,631","11,532","8,273","12,588","-2,797","10,315","-5,106","-1,357","-0,302","-0,202","1,139","-2,768","21,370","2,668"
2121,"1,504","19,302","5,243","-0,634","2,888","-0,408","4,868","19,480","10,953","8,320","13,233","-0,716","10,072","-5,117","-1,333","-0,384","0,197","0,681","-2,659","21,058","4,363"
2122,"1,625","19,389","6,186","-0,873","2,514","0,784","4,575","19,413","11,179","8,888","13,120","0,393","9,487","-4,943","-0,968","-0,466","0,072","0,684","-2,255","20,805","4,988"
2123,"1,565","19,932","7,480","-1,101","2,071","2,184","4,430","19,275","11,856","9,063","12,259","0,547","8,656","-4,611","-0,544","-0,460","-0,046","0,848","-1,480","20,419","5,735"
2124,"1,257","19,548","7,492","-1,215","1,652","3,443","4,124","19,467","12,835","9,183","11,773","0,811","7,772","-4,619","-0,183","-0,339","0,381","0,857","-0,956","20,477","7,092"
2125,"1,073","19,505","7,898","-0,736","1,396","4,367","3,717","19,373","13,201","9,423","11,416","0,832","7,088","-4,295","-0,130","-0,356","0,250","1,103","-1,390","20,870","9,476"
2126,"1,010","19,424","8,383","-0,013","1,431","5,197","3,352","19,202","13,268","9,585","10,637","0,257","6,121","-3,581","0,342","-0,408","0,904","0,919","-1,518","21,523","10,882"
2127,"0,460","18,940","7,586","0,508","1,330","5,759","2,929","18,988","13,414","8,992","10,718","1,113","5,589","-3,268","0,685","-0,194","1,099","1,189","-1,566","21,907","12,662"
2128,"0,092","18,645","7,306","1,486","1,389","5,743","2,571","18,729","13,630","8,721","11,465","2,384","5,153","-3,187","0,661","-0,093","1,596","1,068","-1,702","21,838","13,365"
2129,"0,151","18,563","7,791","2,893","1,456","5,760","2,381","18,584","13,554","8,825","12,453","3,998","4,784","-3,355","0,579","-0,162","1,437","1,250","-0,901","21,432","13,618"
2130,"-0,155","18,337","7,874","4,049","1,496","5,674","2,283","18,136","13,045","8,359","12,937","4,790","4,460","-3,048","0,544","-0,165","1,916","1,279","-0,571","20,719","13,384"
2131,"-0,157","18,144","7,880","4,544","1,814","5,683","2,349","17,786","12,186","8,439","12,879","5,873","4,334","-3,206","0,438","-0,357","2,454","1,083","-0,014","19,714","13,022"
2132,"-0,036","17,959","7,558","4,791","2,003","5,679","2,372","17,573","11,608","8,751","12,602","6,432","3,959","-2,800","0,561","-0,286","1,610","1,334","-0,172","18,856","11,986"
2133,"0,145","17,455","6,899","4,917","1,899","5,763","2,628","17,132","10,886","8,359","11,691","5,668","3,697","-2,372","0,588","-0,068","2,248","1,583","-0,686","18,152","10,165"
