Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"-14,626","1,086","0,080","15,161","-3,444","0,458","-17,394","-0,887","0,544","-19,969","2,222","1,334","70,818","4,235","0,004","75,920","14,108","-7,312","-16,837","0,980","-0,248"
1,"-14,650","1,433","0,096","15,161","-3,444","0,458","-17,388","-0,874","0,545","-20,005","1,877","1,227","70,584","4,369","-0,056","75,943","13,929","-7,227","-16,844","0,981","-0,248"
2,"-14,707","1,324","0,076","15,334","-3,441","0,463","-17,363","-0,868","0,545","-19,927","1,877","1,226","70,608","4,367","-0,050","76,006","13,974","-7,330","-16,672","0,981","-0,243"
3,"-14,681","1,349","0,090","15,161","-3,444","0,458","-17,387","-0,576","0,536","-19,962","1,959","1,251","70,610","4,373","-0,067","75,736","13,985","-7,237","-16,845","0,682","-0,334"
4,"-14,684","1,431","0,095","15,161","-3,444","0,458","-17,433","-0,561","0,539","-20,002","1,879","1,228","70,609","4,367","-0,055","75,774","13,985","-7,236","-16,890","0,681","-0,336"
5,"-14,643","1,363","0,093","15,081","-3,445","0,456","-17,433","-0,575","0,537","-20,042","1,959","1,253","70,670","4,323","-0,041","75,770","14,064","-7,268","-16,970","0,681","-0,338"
6,"-14,643","1,363","0,093","15,081","-3,459","0,458","-17,440","-0,575","0,538","-20,042","1,971","1,260","70,670","4,323","-0,041","75,770","14,064","-7,268","-16,977","0,669","-0,344"
7,"-14,645","1,252","0,088","15,077","-3,458","0,458","-17,405","-0,594","0,534","-20,041","2,076","1,293","70,721","4,295","-0,039","75,773","14,096","-7,287","-16,928","0,670","-0,342"
8,"-14,645","1,252","0,088","15,090","-3,555","0,471","-17,401","-0,778","0,541","-20,030","2,163","1,338","70,804","4,329","-0,049","75,786","14,098","-7,290","-16,910","0,771","-0,328"
9,"-14,788","1,114","0,078","15,087","-3,554","0,471","-17,352","-0,783","0,538","-20,037","2,294","1,379","70,812","4,296","-0,039","75,653","14,152","-7,320","-16,813","0,766","-0,326"
10,"-14,361","1,096","0,082","14,864","-3,797","0,542","-17,268","-0,944","0,497","-20,049","2,303","1,386","71,368","4,401","-0,162","76,190","14,327","-7,578","-17,282","0,732","-0,383"
11,"-14,805","0,868","-0,011","14,761","-3,480","0,464","-17,294","-0,945","0,502","-20,271","2,286","1,390","71,353","4,444","-0,250","76,009","14,148","-7,294","-17,124","0,859","-0,288"
12,"-14,804","1,027","0,048","15,084","-3,554","0,490","-17,346","-0,597","0,588","-19,656","2,352","1,389","70,790","4,285","-0,065","75,432","14,116","-7,234","-16,557","0,602","-0,403"
13,"-14,466","1,545","0,247","15,134","-3,878","0,582","-16,793","-0,286","0,622","-19,518","2,364","1,384","70,897","4,118","0,201","75,865","14,097","-7,200","-16,278","0,114","-0,675"
14,"-14,712","1,433","0,205","14,884","-3,652","0,525","-17,416","-0,272","0,664","-19,983","1,973","1,153","70,692","4,236","-0,006","75,945","14,102","-7,212","-16,822","0,368","-0,559"
