Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,004","0,000","1,023","-0,001","-0,008","1,001","-0,003","-0,002","1,001","0,001","-0,001","1,039","-0,002","-0,002","0,941","-0,001","0,000","0,957","0,000","0,001","1,017"
1,"0,000","-0,005","1,019","0,000","-0,003","1,000","-0,003","0,009","1,003","0,007","-0,005","1,050","0,002","0,001","0,945","0,000","0,002","0,959","-0,002","0,001","1,016"
2,"-0,001","-0,001","1,018","0,001","0,000","1,001","0,002","0,002","1,000","0,005","0,000","1,046","0,000","-0,002","0,947","0,002","0,000","0,963","0,000","-0,002","1,022"
3,"-0,004","-0,005","1,022","0,001","-0,005","1,000","0,001","0,004","1,000","-0,005","0,001","1,041","0,006","0,002","0,948","-0,005","-0,001","0,955","0,005","-0,002","1,018"
4,"-0,005","-0,004","1,022","0,002","-0,005","1,004","-0,003","0,001","0,998","-0,016","-0,002","1,041","0,004","-0,002","0,941","-0,005","0,002","0,959","0,002","0,000","1,014"
5,"-0,006","-0,008","1,024","0,000","0,003","1,004","-0,003","0,001","1,002","-0,013","-0,009","1,045","0,006","0,000","0,945","0,001","0,000","0,956","0,003","0,004","1,015"
6,"-0,003","-0,005","1,021","0,000","-0,003","1,000","-0,002","0,003","1,007","-0,006","-0,003","1,046","-0,005","0,003","0,941","-0,003","0,000","0,963","-0,001","0,003","1,014"
7,"-0,006","-0,006","1,024","0,004","-0,005","1,005","-0,001","0,004","1,005","0,000","-0,006","1,046","0,004","0,001","0,946","-0,001","-0,001","0,957","0,005","0,006","1,019"
8,"-0,001","-0,003","1,018","0,003","0,000","1,007","0,004","-0,003","1,002","0,002","-0,001","1,045","0,004","0,002","0,946","0,001","0,004","0,965","0,011","-0,010","1,020"
9,"0,001","-0,001","1,020","0,000","0,001","1,005","-0,003","0,004","1,001","0,001","-0,001","1,044","-0,002","-0,003","0,942","0,003","0,003","0,957","0,000","0,000","1,019"
10,"-0,001","0,000","1,020","0,006","0,002","1,003","0,000","0,007","0,998","0,003","0,007","1,049","0,003","0,005","0,947","0,005","0,002","0,965","0,003","-0,006","1,014"
11,"0,000","0,006","1,022","0,000","-0,002","1,002","0,000","-0,003","0,996","-0,001","-0,001","1,044","0,003","-0,005","0,944","0,002","0,001","0,957","0,004","-0,006","1,016"
12,"-0,005","-0,007","1,023","-0,002","0,000","1,004","0,001","-0,003","1,000","-0,002","-0,002","1,046","-0,001","-0,003","0,938","0,002","0,003","0,961","0,002","0,005","1,021"
13,"-0,003","-0,006","1,020","-0,003","0,000","0,999","0,001","0,001","1,006","0,000","-0,006","1,043","0,001","-0,001","0,943","0,000","0,008","0,962","0,000","0,006","1,014"
14,"-0,003","0,001","1,025","0,002","-0,002","1,003","0,000","-0,001","1,003","-0,007","0,002","1,045","0,005","-0,001","0,947","-0,003","-0,002","0,958","0,001","0,001","1,013"
15,"-0,005","-0,002","1,019","0,002","-0,003","0,998","-0,002","0,001","1,006","-0,005","-0,003","1,044","-0,007","0,000","0,935","0,002","0,003","0,957","0,006","0,000","1,021"
16,"-0,004","-0,004","1,022","0,002","-0,001","0,993","-0,005","0,009","1,001","-0,011","-0,006","1,049","-0,001","-0,002","0,945","-0,004","0,003","0,962","0,005","-0,009","1,019"
17,"-0,003","-0,006","1,020","0,003","-0,002","1,001","-0,003","0,001","1,003","-0,008","-0,005","1,043","0,004","0,000","0,947","-0,005","0,007","0,965","0,005","-0,005","1,018"
18,"-0,003","0,007","1,020","0,005","0,002","1,005","0,000","-0,003","1,003","-0,004","-0,001","1,042","0,005","0,001","0,947","0,000","0,003","0,959","0,007","0,000","1,018"
19,"-0,001","-0,007","1,027","0,003","-0,004","1,008","0,002","0,009","0,999","-0,001","-0,001","1,046","0,003","0,002","0,947","0,000","0,004","0,961","-0,002","0,003","1,013"
20,"-0,001","-0,006","1,022","0,001","-0,001","1,007","-0,001","0,003","1,004","0,002","-0,002","1,047","0,003","0,000","0,941","-0,006","0,000","0,960","-0,001","0,004","1,013"
