Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"-0,001","0,003","1,037","0,003","0,002","1,016","0,002","-0,003","1,010","0,005","-0,004","0,888","0,002","0,000","0,946","-0,002","0,003","0,963","0,000","-0,002","0,948"
1,"0,000","-0,003","1,036","-0,002","-0,001","1,020","0,002","0,001","1,005","0,001","-0,002","0,888","0,000","-0,007","0,940","0,001","-0,004","0,953","-0,001","-0,002","0,953"
2,"-0,002","-0,004","1,036","0,002","0,002","1,017","0,002","0,002","1,008","0,004","-0,001","0,891","0,002","0,004","0,949","-0,003","0,004","0,962","-0,004","-0,001","0,944"
3,"-0,003","0,002","1,036","-0,004","0,010","1,017","0,000","0,004","1,002","0,000","-0,005","0,892","0,000","0,001","0,945","-0,002","-0,004","0,956","0,001","-0,006","0,952"
4,"0,002","-0,001","1,037","0,000","0,002","1,020","-0,001","-0,002","1,008","-0,004","0,000","0,890","0,001","0,006","0,949","0,002","0,001","0,963","-0,004","0,000","0,949"
5,"-0,003","0,006","1,038","-0,005","0,006","1,020","-0,001","-0,005","1,009","0,002","-0,001","0,889","0,005","-0,001","0,946","0,001","0,003","0,965","-0,005","-0,002","0,952"
6,"0,001","0,001","1,036","-0,003","0,002","1,016","-0,005","-0,002","1,005","-0,002","0,002","0,893","-0,001","-0,003","0,947","-0,003","0,004","0,967","0,001","0,005","0,950"
7,"-0,001","0,000","1,037","-0,002","0,000","1,023","-0,001","0,003","1,006","0,003","0,000","0,890","0,004","-0,001","0,947","0,000","0,004","0,963","-0,004","0,002","0,950"
8,"0,001","-0,001","1,037","-0,002","0,002","1,020","0,000","-0,001","1,007","0,001","-0,004","0,892","0,001","0,001","0,950","-0,001","-0,001","0,959","-0,007","0,002","0,954"
9,"-0,002","0,003","1,040","0,001","0,008","1,017","-0,004","0,001","1,002","0,005","0,002","0,894","-0,001","0,000","0,947","-0,002","-0,005","0,961","-0,008","-0,001","0,950"
10,"-0,005","-0,006","1,037","0,003","0,003","1,016","0,002","0,003","1,009","0,003","0,001","0,893","-0,001","0,001","0,950","-0,001","0,001","0,961","-0,006","-0,004","0,948"
11,"-0,005","0,001","1,038","0,002","0,005","1,019","0,001","0,000","1,007","0,001","0,002","0,884","-0,001","0,000","0,946","0,000","0,001","0,956","-0,001","0,005","0,953"
12,"-0,003","-0,003","1,037","0,002","0,006","1,016","-0,002","-0,003","1,004","0,000","0,005","0,890","0,001","0,000","0,949","-0,003","-0,003","0,958","-0,001","0,004","0,950"
13,"-0,001","0,001","1,038","0,000","0,008","1,016","0,003","-0,001","1,007","-0,001","0,000","0,895","0,004","0,000","0,948","0,000","0,000","0,963","0,004","0,004","0,952"
14,"-0,003","-0,001","1,038","0,000","0,000","1,017","0,000","0,006","1,009","0,004","0,000","0,893","0,003","-0,002","0,949","0,000","0,003","0,964","-0,001","0,000","0,953"
15,"-0,003","-0,004","1,039","-0,003","0,002","1,016","0,001","0,001","1,007","0,004","0,000","0,893","0,000","-0,002","0,947","0,001","-0,003","0,955","0,002","-0,005","0,955"
16,"-0,002","-0,004","1,036","-0,001","0,005","1,016","0,001","0,001","1,007","-0,002","-0,001","0,888","0,003","0,003","0,947","-0,002","0,000","0,957","0,000","-0,002","0,952"
17,"-0,002","0,006","1,038","0,000","-0,001","1,021","0,000","-0,003","1,006","-0,002","0,003","0,895","0,002","0,000","0,951","0,000","0,000","0,964","-0,003","-0,004","0,948"
18,"0,001","-0,005","1,040","0,001","-0,004","1,023","-0,003","-0,005","1,008","-0,002","-0,006","0,890","-0,003","-0,001","0,951","-0,001","0,000","0,960","-0,002","-0,005","0,954"
19,"0,003","-0,005","1,038","-0,003","0,002","1,019","0,001","-0,003","1,006","-0,002","0,001","0,893","-0,002","-0,001","0,944","0,001","-0,001","0,962","-0,001","-0,002","0,955"
20,"0,005","-0,002","1,035","0,001","0,002","1,021","0,003","-0,002","1,005","0,002","0,000","0,888","0,001","-0,001","0,947","0,000","-0,003","0,959","0,000","-0,004","0,950"
21,"0,002","0,000","1,032","-0,002","-0,002","1,020","0,002","-0,001","1,003","0,006","0,001","0,892","-0,001","-0,004","0,946","-0,005","-0,001","0,958","0,001","-0,001","0,951"
22,"0,006","-0,001","1,036","0,001","-0,001","1,019","-0,001","-0,007","1,003","0,004","-0,004","0,890","-0,001","-0,003","0,943","-0,001","0,001","0,956","-0,001","-0,001","0,952"
23,"0,001","-0,005","1,040","0,002","0,000","1,020","-0,003","0,002","1,005","0,007","-0,002","0,893","0,003","-0,005","0,942","-0,003","0,004","0,955","-0,002","-0,001","0,956"
24,"0,009","-0,006","1,041","-0,003","0,003","1,023","0,002","0,001","1,001","0,006","0,000","0,893","0,001","-0,001","0,943","-0,003","0,001","0,958","-0,005","-0,003","0,947"
25,"0,005","0,000","1,036","0,001","-0,003","1,018","0,001","-0,005","1,006","0,007","-0,001","0,890","0,003","-0,003","0,950","-0,004","-0,001","0,965","-0,003","-0,005","0,952"
26,"0,003","0,002","1,041","-0,002","0,001","1,015","0,002","0,002","1,009","0,003","0,000","0,894","-0,002","0,001","0,946","-0,004","0,006","0,965","0,000","-0,002","0,945"
27,"0,001","-0,002","1,040","0,002","0,002","1,015","-0,002","-0,005","1,010","0,006","-0,004","0,891","0,001","0,000","0,947","0,000","0,000","0,961","-0,001","-0,002","0,956"
28,"-0,004","-0,002","1,038","0,002","-0,001","1,017","0,002","0,003","1,010","0,000","0,000","0,887","-0,002","0,004","0,951","0,001","-0,001","0,957","0,001","-0,003","0,950"
29,"-0,003","0,001","1,035","-0,001","0,004","1,014","0,000","-0,001","1,001","-0,002","0,000","0,893","-0,001","0,001","0,948","0,000","-0,004","0,955","0,003","0,001","0,954"
30,"-0,004","0,004","1,035","-0,002","0,000","1,018","0,001","0,003","1,005","-0,006","0,000","0,888","0,000","-0,004","0,946","0,000","-0,005","0,957","-0,001","0,001","0,948"
31,"-0,002","0,000","1,032","-0,002","0,006","1,021","0,002","0,001","1,006","-0,004","0,002","0,889","-0,003","-0,005","0,943","0,002","0,003","0,962","0,006","0,002","0,958"
32,"0,000","-0,003","1,034","0,002","0,001","1,022","0,004","0,001","1,007","-0,002","0,002","0,890","-0,001","0,000","0,949","-0,003","-0,001","0,960","0,001","-0,003","0,949"
