Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,975","-0,224","-0,007","0,000","0,984","-0,177","-0,016","0,000","0,982","-0,181","0,049","0,000","0,835","0,529","-0,151","0,000","0,896","0,442","0,052","0,000","0,880","0,447","-0,162","0,000","0,811","0,570","0,132","0,000"
1,"0,974","-0,226","-0,003","0,000","0,984","-0,179","-0,014","0,000","0,982","-0,181","0,049","0,000","0,835","0,530","-0,150","0,000","0,896","0,442","0,052","0,000","0,880","0,446","-0,161","0,000","0,810","0,572","0,132","0,000"
2,"0,974","-0,226","-0,003","0,000","0,984","-0,179","-0,014","0,000","0,982","-0,181","0,049","0,000","0,835","0,530","-0,150","0,000","0,895","0,443","0,054","0,000","0,880","0,448","-0,162","0,000","0,810","0,572","0,132","0,000"
3,"0,974","-0,225","-0,003","0,000","0,984","-0,178","-0,014","0,000","0,983","-0,177","0,047","0,000","0,835","0,530","-0,150","0,000","0,895","0,443","0,053","0,000","0,880","0,447","-0,162","0,000","0,811","0,571","0,131","0,000"
4,"0,974","-0,225","-0,003","0,000","0,984","-0,178","-0,014","0,000","0,983","-0,179","0,047","0,000","0,835","0,530","-0,150","0,000","0,895","0,443","0,053","0,000","0,879","0,448","-0,162","0,000","0,811","0,571","0,132","0,000"
5,"0,974","-0,225","-0,003","0,000","0,984","-0,177","-0,014","0,000","0,983","-0,179","0,047","0,000","0,835","0,530","-0,150","0,000","0,895","0,442","0,052","0,000","0,880","0,447","-0,163","0,000","0,811","0,570","0,131","0,000"
6,"0,974","-0,225","-0,003","0,000","0,984","-0,178","-0,014","0,000","0,983","-0,179","0,047","0,000","0,835","0,530","-0,149","0,000","0,895","0,443","0,052","0,000","0,879","0,448","-0,163","0,000","0,811","0,570","0,132","0,000"
7,"0,975","-0,224","-0,003","0,000","0,984","-0,177","-0,014","0,000","0,983","-0,177","0,047","0,000","0,835","0,530","-0,149","0,000","0,895","0,443","0,052","0,000","0,879","0,447","-0,164","0,000","0,811","0,570","0,132","0,000"
8,"0,974","-0,226","-0,003","0,000","0,984","-0,178","-0,014","0,000","0,983","-0,178","0,047","0,000","0,835","0,530","-0,149","0,000","0,895","0,443","0,052","0,000","0,879","0,448","-0,164","0,000","0,811","0,570","0,132","0,000"
9,"0,974","-0,225","-0,003","0,000","0,984","-0,178","-0,014","0,000","0,983","-0,178","0,047","0,000","0,835","0,530","-0,149","0,000","0,895","0,443","0,052","0,000","0,878","0,449","-0,164","0,000","0,811","0,570","0,132","0,000"
