Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"-0,167","-0,262","-0,575","0,645","0,014","-0,065","-0,161","-0,008","0,135","0,184","-0,214","-1,919","0,116","-0,231","-0,072","0,033","-0,054","-0,003","-0,330","0,272","-0,067"
1,"-0,287","-0,127","-0,550","0,470","0,046","0,063","0,040","0,047","0,423","0,616","-0,293","-2,070","-0,125","-0,091","0,067","0,294","0,024","-0,021","-0,153","-0,147","-0,455"
2,"-0,410","-0,144","-0,608","0,527","-0,029","0,015","-0,063","0,166","0,718","0,472","-0,249","-1,419","-0,006","-0,150","-0,044","0,239","0,114","-0,010","-0,237","-0,546","-0,943"
3,"-0,534","-0,211","-0,841","0,588","-0,089","0,027","0,006","0,188","0,834","0,648","-0,143","-1,193","-0,005","0,047","0,054","0,136","0,262","-0,041","0,285","-0,675","0,161"
4,"-0,412","-0,128","-0,993","0,405","-0,145","0,052","0,044","0,058","0,483","0,698","-0,120","-0,864","-0,247","-0,010","0,095","0,125","0,210","-0,010","0,332","-0,289","1,261"
5,"-0,350","-0,153","-0,859","0,287","-0,070","0,103","-0,025","0,036","0,367","0,391","-0,367","-0,823","0,053","0,101","0,022","0,131","0,063","-0,135","0,168","-0,017","1,774"
6,"-0,045","-0,197","-0,785","-0,082","-0,198","0,094","-0,074","0,012","0,561","0,260","-0,371","-0,555","-0,195","0,203","-0,028","0,391","-0,093","0,061","0,305","0,081","1,845"
7,"-0,169","-0,247","-0,960","-0,085","-0,094","0,005","-0,173","0,202","0,904","0,257","-0,454","-0,447","-0,076","-0,022","-0,185","0,061","0,018","-0,116","0,840","0,237","1,231"
8,"0,075","-0,224","-1,096","0,276","-0,114","-0,074","-0,226","0,286","1,016","-0,128","-0,108","0,118","-0,069","-0,098","-0,072","-0,075","-0,104","-0,128","0,277","0,301","0,292"
9,"0,078","-0,105","-0,686","0,402","-0,042","-0,037","-0,321","0,123","0,493","0,064","0,087","-0,173","-0,009","-0,097","-0,074","0,092","0,055","0,081","0,135","0,209","-0,247"
10,"0,202","-0,063","-0,318","0,520","0,119","-0,147","-0,108","0,088","-0,011","0,129","0,034","-0,280","-0,009","-0,013","-0,052","0,075","-0,080","0,090","0,222","0,056","-0,464"
11,"0,451","0,181","0,307","0,835","0,159","0,013","0,006","0,063","-0,138","-0,484","0,223","-0,189","-0,005","-0,119","0,009","-0,016","0,005","-0,044","-0,315","-0,172","-1,152"
12,"0,392","0,274","0,408","0,960","0,231","0,050","0,174","-0,165","-0,353","-0,120","0,250","-0,122","-0,073","0,122","-0,056","-0,033","-0,015","0,038","-0,322","-0,691","-1,937"
13,"0,573","0,205","0,172","0,666","0,044","0,304","0,135","-0,155","0,020","0,059","0,166","-0,008","-0,122","-0,227","0,074","0,016","-0,074","0,079","0,103","-0,216","-0,800"
14,"0,570","0,045","-0,162","0,416","0,017","0,199","0,283","-0,016","0,420","0,112","0,081","0,238","0,121","-0,140","0,087","-0,055","-0,234","0,025","-0,149","0,068","0,389"
15,"0,632","0,037","0,030","0,298","-0,025","0,280","0,325","-0,194","0,140","0,055","-0,245","0,122","0,053","0,101","0,022","-0,114","-0,227","0,015","0,172","0,210","0,880"
16,"0,695","0,121","0,323","0,409","-0,012","0,081","0,325","-0,135","0,129","0,238","-0,244","0,128","-0,009","-0,097","-0,074","-0,066","-0,285","0,056","0,602","0,076","1,334"
17,"0,450","0,072","0,149","0,169","0,065","0,139","0,368","-0,073","-0,197","0,412","-0,057","0,383","-0,013","0,093","-0,112","-0,157","-0,201","-0,078","0,473","0,058","1,296"
18,"0,632","0,054","0,089","-0,017","0,053","0,090","0,253","-0,048","-0,070","0,357","-0,082","0,189","-0,002","0,107","0,160","-0,060","-0,202","0,077","0,290","0,121","1,298"
19,"0,508","-0,031","-0,203","0,165","-0,127","0,125","0,279","-0,088","0,372","-0,023","0,130","0,617","0,058","-0,005","0,082","-0,120","-0,196","0,066","0,306","0,060","0,988"
