Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"-9,103","-1,023","-0,007","8,656","-3,272","0,248","-13,164","-3,017","0,922","-17,011","4,773","1,584","65,834","3,508","2,362","74,634","14,703","-7,700","-12,781","6,605","0,881"
1,"-9,041","-0,655","0,008","8,656","-3,439","0,260","-13,189","-3,016","0,925","-17,007","4,477","1,541","66,054","3,599","2,320","74,722","14,714","-7,776","-12,801","6,443","0,832"
2,"-8,673","-0,427","0,018","8,656","-3,439","0,260","-13,310","-3,002","0,922","-17,071","4,252","1,495","66,504","3,771","2,256","75,137","14,726","-7,777","-13,430","6,434","0,847"
3,"-8,787","-0,660","0,005","8,552","-3,297","0,247","-13,040","-2,556","0,881","-16,843","4,355","1,476","66,448","3,764","2,255","74,715","14,714","-7,776","-13,256","6,126","0,793"
4,"-8,439","-0,755","-0,025","8,552","-3,311","0,248","-13,047","-2,414","0,891","-16,841","4,247","1,454","66,476","3,706","2,377","75,116","14,803","-7,985","-13,331","6,109","0,790"
5,"-8,443","-0,742","-0,022","8,527","-3,302","0,246","-13,119","-2,455","0,884","-16,866","4,238","1,451","66,378","3,656","2,312","75,133","14,788","-7,971","-13,358","6,024","0,774"
6,"-8,451","-0,646","-0,016","8,527","-3,302","0,246","-13,264","-2,445","0,899","-16,875","4,131","1,428","66,407","3,656","2,340","75,117","14,761","-7,961","-13,573","6,054","0,785"
7,"-8,454","-0,756","-0,024","8,396","-3,299","0,242","-13,138","-2,476","0,887","-17,009","4,234","1,455","66,433","3,651","2,329","75,087","14,799","-7,979","-13,564","6,064","0,780"
8,"-8,450","-0,756","-0,024","8,396","-3,425","0,251","-13,237","-2,482","0,895","-17,013","4,352","1,500","66,486","3,655","2,328","75,067","14,766","-7,956","-13,701","5,950","0,746"
9,"-8,442","-0,838","-0,030","8,396","-3,425","0,251","-13,098","-2,491","0,880","-17,003","4,445","1,521","66,475","3,666","2,305","75,071","14,777","-7,954","-13,561","5,931","0,739"
10,"-8,576","-1,266","-0,171","8,159","-3,178","0,214","-13,712","-2,752","0,919","-17,523","4,340","1,505","66,371","3,806","2,101","75,036","14,863","-8,073","-14,082","6,332","0,872"
11,"-8,676","-0,747","-0,025","8,479","-3,292","0,229","-13,742","-2,610","0,921","-17,052","4,180","1,399","66,441","3,667","2,389","74,508","14,818","-7,973","-14,085","6,211","0,822"
12,"-8,586","-0,412","0,057","8,199","-3,095","0,198","-13,581","-2,976","0,807","-17,016","3,928","1,277","66,426","4,023","1,874","74,488","14,671","-7,694","-14,060","6,439","0,921"
13,"-8,878","-0,776","-0,056","8,378","-3,381","0,238","-13,545","-2,983","0,772","-17,164","4,221","1,420","66,242","3,751","2,326","74,404","14,716","-7,739","-13,894","6,480","0,948"
14,"-8,663","-0,221","0,106","8,474","-3,052","0,188","-13,025","-2,976","0,660","-16,824","3,715","1,149","66,265","3,836","2,247","74,569","14,502","-7,362","-13,553","6,601","1,018"
15,"-8,677","-0,856","-0,082","8,659","-3,336","0,230","-13,120","-2,327","0,759","-16,750","4,275","1,402","66,236","3,486","2,830","74,907","14,826","-7,885","-13,464","6,036","0,793"
16,"-8,957","-1,149","-0,163","8,912","-3,559","0,263","-13,606","-2,435","0,808","-16,465","4,792","1,624","66,065","3,815","2,298","74,424","14,649","-7,589","-13,482","5,667","0,639"
17,"-8,914","-0,518","0,027","8,591","-3,441","0,244","-13,696","-2,137","0,864","-16,847","4,371","1,454","65,986","3,762","2,391","74,601","14,639","-7,584","-13,557","5,585","0,591"
18,"-8,293","-0,715","-0,041","8,729","-3,129","0,197","-13,861","-2,496","0,839","-16,382","4,156","1,330","65,396","3,775","2,256","74,720","14,790","-7,853","-13,264","6,144","0,827"
19,"-8,821","-1,053","-0,122","8,760","-3,466","0,249","-13,915","-2,358","0,872","-16,665","4,551","1,537","65,886","3,738","2,426","74,814","14,928","-8,102","-13,527","5,919","0,712"
20,"-8,539","-0,722","-0,027","8,578","-3,176","0,205","-13,418","-2,070","0,839","-16,517","4,286","1,402","66,014","3,415","2,969","74,505","14,608","-7,580","-13,398","6,184","0,827"
21,"-8,564","-0,868","-0,065","8,326","-3,408","0,240","-13,112","-2,573","0,713","-17,094","4,481","1,525","66,310","3,717","2,553","74,844","14,872","-8,016","-13,633","6,286","0,853"
22,"-8,578","-0,916","-0,075","8,643","-3,527","0,257","-13,752","-2,553","0,821","-17,074","4,477","1,514","66,243","3,731","2,516","75,368","14,873","-8,005","-13,619","6,093","0,776"
23,"-8,629","-0,530","0,045","8,303","-3,555","0,261","-13,100","-2,691","0,687","-17,172","4,297","1,428","66,322","3,819","2,396","74,775","14,745","-7,790","-13,635","6,123","0,788"
24,"-8,815","-0,980","-0,089","8,610","-3,407","0,239","-13,636","-2,397","0,820","-16,749","4,462","1,477","66,013","3,589","2,689","74,735","14,757","-7,801","-13,529","6,007","0,750"
25,"-8,866","-1,041","-0,113","8,271","-3,428","0,242","-13,419","-2,114","0,832","-17,347","4,293","1,437","66,164","3,744","2,467","74,764","14,801","-7,861","-13,980","5,704","0,598"
26,"-9,033","-0,621","0,009","7,938","-3,355","0,232","-13,285","-2,647","0,735","-17,968","4,101","1,385","66,263","3,799","2,395","75,061","14,735","-7,730","-14,062","5,977","0,700"
27,"-9,067","-0,518","0,032","8,264","-3,260","0,220","-13,077","-2,366","0,752","-17,330","3,940","1,267","66,710","3,691","2,658","74,476","14,641","-7,558","-13,865","5,772","0,623"
28,"-8,999","-0,028","0,174","8,493","-3,008","0,185","-13,311","-2,434","0,790","-16,844","3,521","1,036","66,368","3,672","2,598","74,258","14,669","-7,596","-13,676","6,317","0,851"
29,"-8,919","-0,662","-0,007","8,173","-3,121","0,205","-13,346","-2,501","0,797","-17,058","3,910","1,226","66,090","3,775","2,357","74,563","14,842","-7,874","-13,698","6,344","0,853"
30,"-8,899","-0,674","0,000","8,190","-3,148","0,210","-13,343","-2,499","0,800","-17,055","3,966","1,245","66,049","3,753","2,364","74,567","14,819","-7,845","-13,663","6,344","0,859"
31,"-8,898","-0,676","0,011","8,213","-3,169","0,214","-13,352","-2,516","0,805","-17,015","4,014","1,263","66,025","3,711","2,399","74,571","14,809","-7,844","-13,624","6,353","0,871"
32,"-8,876","-0,693","0,012","8,196","-3,199","0,219","-13,329","-2,463","0,818","-17,046","4,069","1,294","66,059","3,707","2,384","74,579","14,785","-7,825","-13,647","6,295","0,853"
33,"-8,867","-0,705","0,014","8,206","-3,228","0,225","-13,275","-2,472","0,821","-17,063","4,106","1,321","66,078","3,689","2,381","74,619","14,791","-7,862","-13,606","6,248","0,841"
34,"-8,875","-0,726","0,015","8,219","-3,257","0,230","-13,253","-2,485","0,829","-17,032","4,158","1,351","66,096","3,661","2,393","74,601","14,763","-7,839","-13,612","6,244","0,842"
35,"-8,810","-0,755","0,011","8,212","-3,289","0,236","-13,233","-2,472","0,851","-17,017","4,215","1,383","66,123","3,632","2,401","74,628","14,768","-7,870","-13,642","6,198","0,821"
36,"-8,797","-0,729","0,023","8,244","-3,302","0,238","-13,237","-2,473","0,880","-17,011","4,211","1,389","66,129","3,610","2,387","74,692","14,755","-7,874","-13,625","6,158","0,804"
37,"-8,785","-0,725","0,035","8,212","-3,293","0,238","-13,232","-2,472","0,901","-17,067","4,193","1,386","66,131","3,623","2,326","74,743","14,765","-7,917","-13,666","6,137","0,792"
38,"-8,775","-0,713","0,050","8,187","-3,314","0,241","-13,278","-2,472","0,928","-17,116","4,193","1,385","66,092","3,600","2,314","74,779","14,781","-7,960","-13,717","6,105","0,776"
39,"-8,740","-0,695","0,059","8,155","-3,320","0,243","-13,209","-2,507","0,929","-17,141","4,170","1,372","66,112","3,584","2,311","74,822","14,772","-7,948","-13,713","6,113","0,777"
40,"-8,684","-0,717","0,051","8,188","-3,312","0,242","-13,135","-2,497","0,928","-17,083","4,183","1,373","66,172","3,574","2,329","74,871","14,792","-7,976","-13,642","6,119","0,779"
41,"-0,081","-0,155","0,000","0,130","-0,019","-0,244","-0,238","-0,147","0,001","0,016","0,196","0,000","-0,029","-0,083","0,000","-0,022","0,041","0,000","0,187","0,334","0,000"
42,"-0,083","-0,110","0,000","0,131","-0,030","-0,244","-0,079","-0,215","0,001","0,015","0,162","0,000","-0,246","-0,084","-0,001","-0,479","-0,075","0,000","0,189","0,392","0,000"
43,"-0,083","-0,110","0,000","0,130","-0,031","-0,244","-0,079","-0,144","0,000","0,015","0,163","0,000","-0,303","-0,154","-0,001","-0,479","-0,189","-0,001","0,188","0,391","0,000"
44,"-0,048","-0,082","0,000","0,084","-0,029","-0,244","-0,224","-0,145","0,001","0,215","0,208","0,000","-0,406","-0,273","-0,001","-0,513","-0,263","-0,001","0,156","0,323","0,000"
45,"-0,084","-0,072","0,000","0,084","-0,029","-0,244","-0,063","-0,147","0,000","-0,032","0,161","0,000","-0,246","-0,084","-0,001","-0,302","-0,226","-0,001","0,156","0,325","0,000"
46,"-0,083","-0,071","0,000","0,082","-0,018","-0,244","-0,065","0,339","-0,001","-0,033","0,150","0,000","-0,239","-0,115","0,000","-0,183","-0,113","0,000","0,155","-0,309","0,000"
47,"-0,084","-0,096","0,000","0,084","-0,029","-0,244","0,059","-0,267","0,000","-0,032","0,161","0,000","-0,100","0,074","0,000","-0,303","-0,131","0,000","0,141","0,287","0,000"
48,"0,162","-0,095","0,000","0,084","-0,029","-0,244","0,059","0,003","0,000","0,215","0,160","0,000","-0,044","0,095","0,000","-0,184","-0,089","0,000","0,141","-0,004","0,000"
49,"0,049","-0,096","0,000","0,084","-0,029","-0,244","-0,096","0,003","0,000","0,101","0,162","0,000","-0,100","0,095","0,000","-0,184","-0,089","0,000","-0,014","-0,004","0,000"
50,"0,058","-0,094","0,000","0,082","-0,018","-0,244","-0,096","0,065","0,000","0,213","0,173","0,000","-0,100","-0,095","0,000","-0,220","-0,069","0,000","-0,016","-0,055","0,000"
51,"0,171","0,326","0,005","-0,165","0,224","-0,248","-0,558","0,550","0,013","-0,241","-0,341","-0,006","-0,075","-0,454","-0,012","0,067","-0,558","-0,005","-0,449","-0,106","0,001"
