Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
175,"0,186","-0,184","0,017","-0,407","-0,187","-0,220","-0,017","-0,027","-0,036","-0,117","0,152","-0,084","-0,306","0,041","0,018","-0,035","0,212","0,054","-0,073","-0,124","0,045"
176,"0,161","-0,229","0,023","-0,375","-0,178","-0,223","-0,006","0,024","-0,039","-0,115","0,153","-0,092","-0,309","-0,021","0,020","-0,051","0,218","0,053","-0,014","-0,136","0,050"
177,"0,160","-0,247","0,026","-0,345","-0,175","-0,225","-0,053","0,053","-0,042","-0,049","0,164","-0,096","-0,377","-0,015","0,023","-0,117","0,204","0,051","0,004","-0,164","0,053"
178,"0,122","-0,289","0,024","-0,374","-0,153","-0,228","-0,050","0,063","-0,043","-0,080","0,174","-0,096","-0,381","-0,052","0,026","-0,174","0,238","0,052","0,011","-0,138","0,054"
179,"0,161","-0,304","0,021","-0,341","-0,142","-0,230","-0,062","0,008","-0,036","-0,036","0,197","-0,096","-0,377","-0,054","0,026","-0,180","0,229","0,051","0,020","-0,103","0,050"
180,"0,131","-0,248","0,016","-0,372","-0,161","-0,233","-0,072","-0,005","-0,028","-0,074","0,187","-0,090","-0,341","-0,058","0,026","-0,177","0,225","0,050","-0,041","-0,137","0,042"
181,"0,140","-0,260","0,009","-0,340","-0,160","-0,234","-0,060","-0,030","-0,022","-0,004","0,176","-0,083","-0,326","-0,029","0,028","-0,184","0,219","0,048","-0,030","-0,110","0,037"
182,"0,193","-0,254","0,005","-0,374","-0,170","-0,236","-0,062","-0,027","-0,020","-0,013","0,165","-0,078","-0,344","-0,083","0,030","-0,189","0,227","0,046","-0,075","-0,092","0,034"
183,"0,231","-0,234","0,000","-0,341","-0,172","-0,237","-0,012","-0,011","-0,021","0,028","0,134","-0,075","-0,299","-0,127","0,031","-0,168","0,273","0,046","-0,007","-0,081","0,036"
184,"0,176","-0,212","0,005","-0,374","-0,186","-0,239","0,009","0,048","-0,026","-0,026","0,118","-0,080","-0,270","-0,120","0,032","-0,173","0,265","0,046","-0,041","-0,128","0,041"
185,"0,140","-0,182","0,015","-0,404","-0,205","-0,239","-0,007","0,105","-0,030","-0,057","0,097","-0,090","-0,329","-0,144","0,032","-0,194","0,307","0,045","-0,061","-0,179","0,044"
186,"0,145","-0,215","0,021","-0,375","-0,188","-0,241","0,008","0,105","-0,033","-0,053","0,102","-0,099","-0,353","-0,111","0,033","-0,198","0,317","0,047","-0,028","-0,197","0,048"
187,"0,107","-0,200","0,025","-0,398","-0,160","-0,242","-0,021","0,055","-0,033","-0,105","0,093","-0,108","-0,384","-0,060","0,034","-0,243","0,284","0,052","-0,048","-0,135","0,049"
188,"0,122","-0,200","0,025","-0,367","-0,157","-0,242","-0,020","0,060","-0,033","-0,059","0,122","-0,111","-0,449","-0,075","0,035","-0,260","0,280","0,055","0,020","-0,138","0,048"
189,"0,074","-0,225","0,022","-0,401","-0,168","-0,242","-0,030","0,070","-0,036","-0,104","0,161","-0,110","-0,447","-0,047","0,037","-0,267","0,261","0,057","0,008","-0,177","0,050"
190,"0,078","-0,225","0,019","-0,396","-0,135","-0,243","0,028","0,037","-0,040","-0,063","0,119","-0,107","-0,439","-0,067","0,038","-0,304","0,237","0,057","0,039","-0,117","0,055"
191,"0,088","-0,202","0,013","-0,432","-0,128","-0,244","0,096","0,012","-0,038","-0,120","0,100","-0,101","-0,402","-0,017","0,036","-0,245","0,206","0,056","0,041","-0,102","0,055"
192,"0,158","-0,184","0,011","-0,429","-0,163","-0,245","0,074","0,035","-0,036","-0,080","0,116","-0,097","-0,469","-0,002","0,033","-0,244","0,215","0,054","0,056","-0,168","0,056"
193,"0,212","-0,163","0,009","-0,440","-0,197","-0,246","0,048","0,017","-0,032","-0,069","0,123","-0,092","-0,497","0,020","0,032","-0,182","0,203","0,051","0,018","-0,219","0,053"
194,"0,177","-0,192","0,008","-0,475","-0,185","-0,248","0,100","0,013","-0,030","-0,136","0,105","-0,094","-0,456","-0,032","0,034","-0,188","0,204","0,052","0,007","-0,183","0,052"
195,"0,187","-0,125","0,009","-0,507","-0,167","-0,249","0,100","0,013","-0,029","-0,166","0,052","-0,097","-0,441","-0,095","0,037","-0,187","0,140","0,057","-0,025","-0,133","0,049"
196,"0,157","-0,075","0,013","-0,474","-0,156","-0,249","0,057","-0,028","-0,028","-0,130","0,007","-0,104","-0,499","-0,060","0,040","-0,225","0,159","0,061","-0,001","-0,092","0,046"
197,"0,156","-0,067","0,020","-0,442","-0,169","-0,250","0,073","-0,031","-0,031","-0,067","0,029","-0,113","-0,461","-0,030","0,041","-0,272","0,176","0,064","0,045","-0,138","0,049"
198,"0,147","-0,093","0,026","-0,429","-0,138","-0,251","0,011","-0,058","-0,035","-0,028","0,022","-0,119","-0,511","0,008","0,042","-0,335","0,199","0,064","0,031","-0,086","0,053"
199,"0,152","-0,138","0,029","-0,464","-0,146","-0,252","-0,036","-0,019","-0,034","-0,088","0,057","-0,122","-0,511","0,010","0,042","-0,275","0,236","0,061","-0,016","-0,127","0,053"
200,"0,147","-0,181","0,026","-0,497","-0,132","-0,252","-0,037","-0,021","-0,032","-0,146","0,059","-0,120","-0,467","0,059","0,045","-0,275","0,233","0,062","-0,063","-0,143","0,051"
201,"0,162","-0,185","0,023","-0,529","-0,114","-0,252","-0,036","0,008","-0,033","-0,179","0,076","-0,119","-0,468","0,034","0,048","-0,243","0,173","0,061","-0,061","-0,143","0,048"
202,"0,141","-0,235","0,020","-0,565","-0,121","-0,251","-0,096","-0,005","-0,032","-0,204","0,116","-0,115","-0,510","-0,008","0,050","-0,306","0,203","0,062","-0,123","-0,129","0,045"
203,"0,210","-0,238","0,019","-0,530","-0,125","-0,250","-0,091","-0,014","-0,032","-0,132","0,115","-0,110","-0,496","0,006","0,050","-0,240","0,198","0,060","-0,111","-0,107","0,044"
