Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,000","-0,005","1,030","0,000","0,002","1,007","0,001","0,005","1,005","0,000","-0,001","1,052","0,000","-0,001","0,944","-0,001","-0,003","0,953","0,007","0,001","1,019"
1,"0,005","-0,005","1,030","-0,002","-0,002","1,005","-0,001","0,007","1,003","-0,003","-0,003","1,056","-0,001","-0,002","0,944","-0,002","0,002","0,953","0,006","0,003","1,018"
2,"0,000","-0,006","1,031","-0,001","0,003","1,005","-0,001","0,005","1,003","0,006","-0,011","1,053","-0,002","-0,002","0,947","0,002","-0,002","0,956","0,003","0,002","1,019"
3,"-0,002","-0,005","1,029","-0,005","-0,003","1,008","-0,004","0,000","1,005","0,002","-0,002","1,051","0,002","0,002","0,944","-0,003","-0,003","0,960","-0,001","0,002","1,018"
4,"-0,001","-0,001","1,027","-0,004","-0,003","1,006","0,000","0,006","1,003","-0,002","-0,001","1,053","-0,005","0,002","0,937","-0,003","0,000","0,957","-0,003","0,000","1,012"
5,"0,001","0,003","1,027","-0,006","-0,004","1,011","-0,001","0,004","1,003","0,003","0,006","1,049","-0,009","0,005","0,947","-0,004","-0,006","0,958","-0,003","0,000","1,020"
6,"0,003","-0,001","1,026","-0,002","0,001","1,006","0,002","0,002","1,005","0,008","0,008","1,051","0,002","-0,008","0,941","-0,002","0,000","0,955","-0,003","-0,005","1,022"
7,"0,003","-0,001","1,028","-0,002","0,006","1,004","0,002","0,001","0,997","0,002","0,005","1,054","0,001","0,005","0,947","-0,003","-0,003","0,960","0,001","-0,002","1,019"
8,"0,003","0,002","1,029","-0,001","-0,003","1,003","-0,001","0,000","1,001","0,001","0,004","1,056","0,000","-0,006","0,937","-0,002","0,002","0,961","-0,001","-0,007","1,024"
9,"0,001","-0,003","1,025","0,001","0,000","1,004","-0,005","0,004","0,999","-0,001","0,000","1,055","-0,004","0,000","0,944","0,002","0,000","0,961","-0,001","-0,001","1,023"
10,"0,000","-0,001","1,026","-0,004","-0,006","1,003","-0,001","0,001","1,003","-0,002","0,001","1,047","0,004","0,000","0,941","-0,001","-0,001","0,960","0,003","0,003","1,022"
11,"-0,006","-0,008","1,030","0,000","0,002","1,001","0,006","0,006","1,004","-0,004","-0,003","1,053","0,002","0,004","0,946","-0,003","-0,002","0,960","-0,002","0,005","1,020"
12,"-0,004","-0,011","1,027","-0,001","0,001","1,007","0,001","-0,003","1,004","0,000","-0,006","1,049","0,002","0,003","0,945","-0,004","0,003","0,961","-0,002","0,002","1,017"
13,"-0,003","-0,003","1,029","0,002","0,003","1,006","0,002","0,005","1,002","0,003","0,003","1,052","0,001","0,001","0,946","-0,001","-0,003","0,957","0,000","-0,002","1,017"
14,"-0,002","0,002","1,027","-0,002","0,004","1,006","-0,001","-0,006","0,999","-0,001","-0,005","1,051","-0,001","0,000","0,942","-0,002","-0,001","0,954","0,000","-0,007","1,021"
15,"-0,001","0,003","1,026","-0,002","0,000","1,004","0,001","-0,003","1,008","0,004","-0,005","1,052","0,000","0,001","0,943","0,001","0,001","0,957","-0,002","0,002","1,022"
16,"-0,002","-0,001","1,023","-0,001","0,001","1,008","0,000","0,002","1,003","0,005","-0,001","1,055","-0,003","0,003","0,942","0,001","-0,003","0,952","-0,002","-0,001","1,022"
17,"0,000","0,005","1,023","-0,002","0,000","1,006","0,005","0,007","1,005","0,000","0,002","1,055","0,002","0,001","0,942","0,001","0,001","0,957","0,003","0,004","1,019"
18,"0,004","0,004","1,027","0,000","-0,002","1,003","-0,001","0,002","1,006","0,002","0,006","1,055","-0,001","0,001","0,944","0,001","-0,001","0,958","0,002","-0,006","1,022"
19,"-0,002","0,000","1,026","-0,001","-0,002","1,006","-0,002","-0,002","1,003","0,003","0,000","1,054","0,001","0,000","0,945","0,000","0,002","0,961","-0,002","-0,002","1,021"
20,"-0,005","0,001","1,024","-0,002","-0,002","1,003","-0,002","-0,002","1,002","-0,004","-0,002","1,051","0,000","0,000","0,941","-0,005","-0,002","0,958","-0,003","-0,003","1,021"
21,"-0,001","0,001","1,026","-0,002","-0,003","1,005","0,001","0,006","1,007","-0,003","0,001","1,054","-0,002","0,000","0,945","-0,002","-0,003","0,955","-0,005","0,001","1,017"
22,"-0,003","-0,001","1,026","-0,001","-0,002","1,004","0,001","-0,002","1,002","0,000","0,002","1,061","-0,002","-0,001","0,943","0,001","-0,005","0,953","-0,003","-0,008","1,025"
23,"0,002","0,001","1,030","-0,001","0,001","1,004","0,003","0,005","0,998","-0,003","0,006","1,052","-0,003","0,005","0,946","0,001","0,002","0,958","-0,003","-0,003","1,022"
24,"-0,006","0,001","1,025","0,004","0,002","1,002","0,000","0,001","1,000","-0,002","0,002","1,051","0,004","-0,001","0,946","0,001","-0,003","0,954","0,000","0,000","1,018"
25,"-0,005","-0,003","1,030","0,000","0,006","1,001","0,000","0,003","1,002","-0,001","0,000","1,052","0,002","0,007","0,950","-0,005","-0,002","0,957","0,005","0,003","1,018"
26,"-0,004","-0,006","1,029","0,002","-0,001","1,009","0,003","-0,002","1,004","0,006","-0,007","1,055","0,001","0,003","0,947","0,000","0,002","0,961","0,006","0,001","1,020"
27,"-0,004","-0,008","1,027","-0,005","0,005","1,004","0,001","0,002","0,999","0,003","-0,008","1,056","-0,003","0,003","0,946","0,001","-0,002","0,955","0,005","-0,001","1,018"
28,"0,001","-0,004","1,027","0,002","0,000","1,005","0,003","-0,003","1,005","-0,001","-0,007","1,050","0,001","0,000","0,946","0,000","-0,004","0,957","0,003","0,002","1,016"
29,"0,002","0,001","1,028","-0,004","0,002","1,004","0,002","-0,001","1,004","0,000","-0,003","1,056","0,001","-0,001","0,945","0,001","-0,002","0,958","-0,001","0,002","1,021"
