Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1246,"0,162","0,057","1,006","0,067","-0,011","1,007","0,116","-0,954","0,408","0,138","0,106","1,035","0,477","-0,964","0,012","0,053","-0,001","0,965","-0,092","0,468","0,887"
1247,"0,188","0,063","1,005","0,070","-0,018","1,007","0,116","-0,954","0,410","0,153","0,094","1,030","0,479","-0,968","0,011","0,065","-0,008","0,954","-0,087","0,474","0,883"
1248,"0,200","0,070","1,003","0,072","-0,009","1,003","0,124","-0,946","0,411","0,173","0,096","1,025","0,469","-0,957","0,014","0,053","0,000","0,965","-0,076","0,475","0,878"
1249,"0,192","0,054","1,012","0,072","-0,009","1,006","0,130","-0,940","0,409","0,191","0,099","1,035","0,460","-0,952","0,014","0,069","-0,003","0,953","-0,066","0,475","0,879"
1250,"0,175","0,068","1,004","0,074","-0,009","1,006","0,139","-0,936","0,407","0,196","0,089","1,039","0,457","-0,952","0,016","0,058","0,001","0,969","-0,053","0,480","0,873"
1251,"0,163","0,046","1,016","0,075","-0,012","1,005","0,144","-0,929","0,412","0,181","0,085","1,042","0,459","-0,939","0,027","0,060","0,000","0,955","-0,049","0,477","0,876"
1252,"0,161","0,042","1,021","0,076","-0,013","1,004","0,146","-0,928","0,414","0,163","0,092","1,044","0,464","-0,932","0,031","0,070","-0,003","0,955","-0,043","0,480","0,869"
1253,"0,173","0,033","1,023","0,076","-0,010","1,009","0,144","-0,929","0,415","0,155","0,087","1,039","0,473","-0,928","0,036","0,067","-0,002","0,959","-0,040","0,474","0,872"
1254,"0,173","0,038","1,018","0,075","-0,014","1,009","0,141","-0,933","0,418","0,154","0,085","1,031","0,473","-0,919","0,036","0,064","-0,008","0,956","-0,051","0,482","0,875"
1255,"0,179","0,056","1,016","0,076","-0,004","1,004","0,141","-0,925","0,417","0,152","0,070","1,032","0,472","-0,916","0,037","0,077","-0,016","0,960","-0,058","0,479","0,878"
1256,"0,214","0,024","1,016","0,070","-0,012","1,002","0,134","-0,928","0,416","0,158","0,072","1,026","0,479","-0,916","0,045","0,099","-0,007","0,959","-0,067","0,476","0,881"
1257,"0,195","0,038","1,009","0,067","-0,010","1,005","0,139","-0,921","0,414","0,178","0,069","1,032","0,475","-0,914","0,041","0,080","-0,012","0,963","-0,074","0,472","0,879"
1258,"0,171","0,040","1,006","0,057","-0,013","1,000","0,136","-0,922","0,417","0,189","0,092","1,038","0,465","-0,908","0,036","0,074","-0,010","0,950","-0,072","0,472","0,880"
1259,"0,175","0,054","1,009","0,058","-0,020","1,001","0,140","-0,925","0,416","0,191","0,094","1,048","0,462","-0,912","0,039","0,080","-0,005","0,961","-0,074","0,464","0,877"
1260,"0,178","0,068","1,008","0,061","-0,021","0,997","0,140","-0,925","0,412","0,181","0,102","1,036","0,463","-0,904","0,039","0,073","-0,006","0,959","-0,071","0,465","0,881"
1261,"0,213","0,064","0,996","0,066","-0,023","0,996","0,140","-0,926","0,408","0,171","0,093","1,021","0,460","-0,910","0,031","0,086","-0,014","0,956","-0,072","0,464","0,879"
1262,"0,207","0,049","0,984","0,064","-0,024","0,997","0,142","-0,917","0,406","0,180","0,088","1,015","0,462","-0,901","0,035","0,069","-0,012","0,956","-0,075","0,461","0,884"
1263,"0,180","0,058","1,001","0,061","-0,017","0,993","0,138","-0,917","0,404","0,193","0,108","1,025","0,462","-0,902","0,030","0,058","-0,012","0,948","-0,060","0,461","0,881"
1264,"0,149","0,056","1,010","0,059","-0,026","0,998","0,138","-0,920","0,394","0,169","0,121","1,045","0,461","-0,901","0,026","0,054","0,000","0,963","-0,064","0,460","0,878"
1265,"0,135","0,066","1,008","0,062","-0,021","1,003","0,134","-0,923","0,396","0,151","0,123","1,051","0,449","-0,905","0,021","0,049","0,004","0,951","-0,056","0,457","0,887"
1266,"0,147","0,063","1,012","0,064","-0,022","1,006","0,134","-0,927","0,394","0,135","0,119","1,041","0,445","-0,896","0,019","0,053","-0,004","0,956","-0,058","0,462","0,884"
1267,"0,170","0,057","1,007","0,066","-0,020","1,005","0,124","-0,924","0,390","0,136","0,115","1,034","0,430","-0,912","0,021","0,046","0,008","0,960","-0,055","0,468","0,886"
1268,"0,177","0,052","1,013","0,063","-0,015","1,006","0,123","-0,924","0,387","0,152","0,117","1,034","0,430","-0,924","0,015","0,051","-0,001","0,955","-0,053","0,462","0,881"
1269,"0,177","0,052","1,019","0,067","-0,010","1,007","0,128","-0,934","0,393","0,163","0,090","1,041","0,425","-0,917","0,002","0,051","0,003","0,962","-0,058","0,463","0,882"
1270,"0,163","0,055","1,008","0,055","-0,014","1,009","0,121","-0,936","0,391","0,166","0,092","1,033","0,435","-0,923","0,002","0,043","0,006","0,962","-0,058","0,462","0,881"
1271,"0,173","0,052","1,007","0,054","-0,008","1,005","0,125","-0,939","0,391","0,172","0,081","1,037","0,441","-0,930","0,007","0,068","0,004","0,960","-0,059","0,457","0,891"
1272,"0,199","0,082","0,994","0,053","-0,011","1,010","0,121","-0,936","0,392","0,187","0,079","1,027","0,453","-0,934","0,015","0,080","0,002","0,965","-0,062","0,462","0,888"
1273,"0,236","0,017","1,018","0,045","-0,005","1,007","0,125","-0,941","0,391","0,207","0,074","1,023","0,449","-0,941","0,005","0,080","-0,005","0,962","-0,063","0,460","0,892"
1274,"0,199","0,047","1,002","0,043","-0,018","1,007","0,123","-0,941","0,393","0,213","0,091","1,036","0,443","-0,950","-0,002","0,053","-0,005","0,953","-0,065","0,458","0,889"
1275,"0,154","0,052","1,015","0,047","-0,015","1,005","0,121","-0,945","0,393","0,198","0,099","1,046","0,434","-0,954","-0,004","0,051","0,001","0,956","-0,065","0,456","0,886"
1276,"0,129","0,047","1,017","0,053","-0,023","1,006","0,124","-0,949","0,397","0,167","0,108","1,055","0,432","-0,955","-0,006","0,020","0,017","0,960","-0,062","0,459","0,882"
1277,"0,124","0,055","1,024","0,065","-0,019","1,012","0,118","-0,947","0,394","0,127","0,099","1,058","0,436","-0,958","-0,003","0,025","0,010","0,956","-0,063","0,458","0,886"
1278,"0,149","0,049","1,024","0,072","-0,019","1,006","0,115","-0,943","0,393","0,105","0,093","1,037","0,440","-0,953","0,005","0,024","0,014","0,957","-0,067","0,453","0,885"
