Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
1404,"0,998","-0,017","-0,055","-0,024","0,999","-0,028","-0,023","-0,021","0,854","-0,508","-0,010","-0,117","0,999","-0,014","-0,040","0,013","0,746","-0,629","-0,188","-0,110","0,999","-0,027","-0,012","-0,015","0,979","0,205","0,006","-0,016"
1405,"0,998","-0,017","-0,055","-0,025","0,999","-0,028","-0,023","-0,021","0,854","-0,507","-0,010","-0,117","0,999","-0,014","-0,040","0,012","0,746","-0,629","-0,188","-0,109","0,999","-0,027","-0,011","-0,015","0,979","0,205","0,006","-0,016"
1406,"0,998","-0,017","-0,055","-0,026","0,999","-0,028","-0,022","-0,021","0,854","-0,507","-0,010","-0,116","0,999","-0,014","-0,040","0,011","0,747","-0,629","-0,188","-0,109","0,999","-0,026","-0,010","-0,015","0,979","0,205","0,006","-0,016"
1407,"0,998","-0,017","-0,054","-0,026","0,999","-0,028","-0,022","-0,021","0,854","-0,507","-0,010","-0,116","0,999","-0,014","-0,040","0,011","0,747","-0,629","-0,188","-0,109","1,000","-0,026","-0,009","-0,015","0,979","0,205","0,006","-0,016"
1408,"0,998","-0,016","-0,054","-0,027","0,999","-0,028","-0,022","-0,022","0,854","-0,507","-0,011","-0,116","0,999","-0,014","-0,040","0,010","0,747","-0,628","-0,188","-0,109","1,000","-0,026","-0,009","-0,015","0,979","0,205","0,006","-0,016"
1409,"0,998","-0,017","-0,054","-0,027","0,999","-0,028","-0,021","-0,022","0,854","-0,506","-0,011","-0,116","0,999","-0,014","-0,039","0,010","0,747","-0,628","-0,188","-0,108","1,000","-0,025","-0,008","-0,015","0,979","0,205","0,006","-0,016"
1410,"0,998","-0,017","-0,054","-0,027","0,999","-0,027","-0,022","-0,022","0,855","-0,506","-0,011","-0,116","0,999","-0,014","-0,039","0,009","0,747","-0,628","-0,188","-0,108","1,000","-0,025","-0,008","-0,015","0,979","0,205","0,006","-0,016"
1411,"0,998","-0,017","-0,054","-0,027","0,999","-0,027","-0,022","-0,022","0,855","-0,506","-0,011","-0,116","0,999","-0,014","-0,039","0,009","0,748","-0,628","-0,188","-0,108","1,000","-0,025","-0,008","-0,016","0,979","0,205","0,006","-0,017"
1412,"0,998","-0,017","-0,054","-0,028","0,999","-0,027","-0,022","-0,023","0,855","-0,506","-0,011","-0,116","0,999","-0,015","-0,039","0,009","0,748","-0,627","-0,188","-0,108","1,000","-0,025","-0,009","-0,016","0,979","0,205","0,006","-0,017"
1413,"0,998","-0,017","-0,055","-0,028","0,999","-0,027","-0,022","-0,023","0,855","-0,506","-0,011","-0,116","0,999","-0,015","-0,039","0,009","0,748","-0,627","-0,188","-0,108","1,000","-0,025","-0,009","-0,016","0,979","0,205","0,007","-0,017"
1414,"0,998","-0,016","-0,055","-0,028","0,999","-0,027","-0,022","-0,023","0,855","-0,505","-0,011","-0,116","0,999","-0,015","-0,040","0,009","0,748","-0,627","-0,187","-0,108","1,000","-0,025","-0,009","-0,016","0,979","0,205","0,007","-0,017"
1415,"0,998","-0,017","-0,055","-0,028","0,999","-0,027","-0,023","-0,023","0,855","-0,505","-0,010","-0,116","0,999","-0,015","-0,040","0,009","0,748","-0,627","-0,187","-0,108","1,000","-0,025","-0,009","-0,016","0,979","0,205","0,007","-0,017"
1416,"0,998","-0,017","-0,055","-0,029","0,999","-0,027","-0,023","-0,023","0,855","-0,506","-0,010","-0,115","0,999","-0,015","-0,040","0,009","0,748","-0,628","-0,187","-0,108","1,000","-0,025","-0,008","-0,016","0,979","0,204","0,007","-0,017"
1417,"0,998","-0,017","-0,054","-0,028","0,999","-0,028","-0,023","-0,023","0,855","-0,506","-0,010","-0,115","0,999","-0,015","-0,040","0,009","0,748","-0,628","-0,187","-0,108","1,000","-0,025","-0,008","-0,016","0,979","0,204","0,007","-0,017"
1418,"0,998","-0,017","-0,054","-0,028","0,999","-0,028","-0,024","-0,023","0,855","-0,506","-0,010","-0,115","0,999","-0,015","-0,040","0,009","0,748","-0,628","-0,187","-0,108","1,000","-0,025","-0,008","-0,016","0,979","0,204","0,008","-0,017"
1419,"0,998","-0,018","-0,054","-0,028","0,999","-0,028","-0,024","-0,023","0,855","-0,506","-0,010","-0,116","0,999","-0,015","-0,040","0,009","0,748","-0,628","-0,187","-0,108","1,000","-0,025","-0,008","-0,016","0,979","0,204","0,008","-0,017"
1420,"0,998","-0,018","-0,054","-0,027","0,999","-0,028","-0,025","-0,023","0,855","-0,506","-0,009","-0,116","0,999","-0,015","-0,039","0,009","0,747","-0,628","-0,187","-0,108","1,000","-0,024","-0,008","-0,015","0,979","0,204","0,008","-0,017"
1421,"0,998","-0,018","-0,053","-0,027","0,999","-0,028","-0,025","-0,023","0,854","-0,507","-0,009","-0,116","0,999","-0,015","-0,039","0,010","0,747","-0,629","-0,187","-0,108","1,000","-0,025","-0,008","-0,015","0,979","0,204","0,007","-0,017"
1422,"0,998","-0,019","-0,053","-0,026","0,999","-0,028","-0,025","-0,023","0,854","-0,507","-0,009","-0,116","0,999","-0,015","-0,038","0,010","0,747","-0,629","-0,187","-0,109","1,000","-0,025","-0,009","-0,015","0,979","0,204","0,007","-0,017"
1423,"0,998","-0,019","-0,053","-0,025","0,999","-0,028","-0,025","-0,023","0,854","-0,507","-0,009","-0,117","0,999","-0,015","-0,038","0,011","0,747","-0,629","-0,187","-0,109","1,000","-0,026","-0,010","-0,015","0,979","0,204","0,007","-0,017"
1424,"0,998","-0,020","-0,052","-0,024","0,999","-0,027","-0,025","-0,022","0,854","-0,507","-0,009","-0,117","0,999","-0,014","-0,038","0,011","0,747","-0,629","-0,187","-0,109","0,999","-0,026","-0,011","-0,015","0,979","0,204","0,006","-0,017"
1425,"0,998","-0,020","-0,051","-0,022","0,999","-0,027","-0,025","-0,022","0,853","-0,508","-0,009","-0,117","0,999","-0,014","-0,037","0,012","0,746","-0,629","-0,187","-0,109","0,999","-0,027","-0,012","-0,014","0,979","0,203","0,006","-0,017"
1426,"0,998","-0,021","-0,051","-0,020","0,999","-0,027","-0,025","-0,022","0,853","-0,508","-0,010","-0,117","0,999","-0,014","-0,037","0,013","0,746","-0,629","-0,187","-0,110","0,999","-0,028","-0,014","-0,014","0,979","0,203","0,007","-0,017"
1427,"0,998","-0,021","-0,051","-0,018","0,999","-0,027","-0,025","-0,022","0,853","-0,508","-0,009","-0,117","0,999","-0,014","-0,036","0,014","0,746","-0,629","-0,187","-0,110","0,999","-0,029","-0,016","-0,014","0,979","0,203","0,007","-0,018"
1428,"0,998","-0,021","-0,051","-0,017","0,999","-0,026","-0,025","-0,022","0,853","-0,508","-0,009","-0,117","0,999","-0,015","-0,036","0,015","0,746","-0,629","-0,187","-0,110","0,999","-0,030","-0,018","-0,014","0,979","0,203","0,007","-0,018"
1429,"0,998","-0,021","-0,051","-0,016","0,999","-0,026","-0,025","-0,021","0,853","-0,508","-0,009","-0,117","0,999","-0,015","-0,036","0,016","0,746","-0,629","-0,187","-0,110","0,999","-0,031","-0,019","-0,014","0,979","0,203","0,008","-0,019"
1430,"0,998","-0,021","-0,051","-0,016","0,999","-0,026","-0,024","-0,021","0,853","-0,508","-0,009","-0,117","0,999","-0,015","-0,037","0,017","0,747","-0,629","-0,187","-0,110","0,999","-0,031","-0,020","-0,014","0,979","0,203","0,008","-0,019"
1431,"0,998","-0,021","-0,052","-0,016","0,999","-0,026","-0,024","-0,021","0,854","-0,507","-0,008","-0,117","0,999","-0,015","-0,037","0,017","0,747","-0,629","-0,187","-0,110","0,999","-0,031","-0,020","-0,014","0,979","0,202","0,008","-0,019"
1432,"0,998","-0,021","-0,052","-0,017","0,999","-0,026","-0,024","-0,021","0,854","-0,507","-0,008","-0,117","0,999","-0,015","-0,037","0,017","0,747","-0,629","-0,187","-0,110","0,999","-0,031","-0,020","-0,014","0,979","0,202","0,009","-0,019"
1433,"0,998","-0,020","-0,052","-0,018","0,999","-0,026","-0,024","-0,021","0,854","-0,507","-0,008","-0,117","0,999","-0,015","-0,038","0,016","0,747","-0,629","-0,187","-0,110","0,999","-0,031","-0,019","-0,014","0,979","0,202","0,009","-0,019"
1434,"0,998","-0,020","-0,053","-0,018","0,999","-0,026","-0,024","-0,020","0,854","-0,507","-0,009","-0,117","0,999","-0,015","-0,038","0,016","0,747","-0,628","-0,187","-0,110","0,999","-0,030","-0,018","-0,014","0,979","0,202","0,010","-0,019"
1435,"0,998","-0,019","-0,053","-0,019","0,999","-0,027","-0,024","-0,020","0,854","-0,507","-0,009","-0,117","0,999","-0,015","-0,039","0,015","0,747","-0,628","-0,187","-0,110","0,999","-0,030","-0,017","-0,014","0,979","0,202","0,010","-0,018"
1436,"0,998","-0,019","-0,053","-0,021","0,999","-0,027","-0,024","-0,020","0,854","-0,507","-0,009","-0,117","0,999","-0,015","-0,039","0,014","0,747","-0,628","-0,187","-0,110","0,999","-0,029","-0,016","-0,014","0,979","0,202","0,009","-0,017"
1437,"0,998","-0,019","-0,053","-0,022","0,999","-0,027","-0,025","-0,020","0,854","-0,506","-0,009","-0,117","0,999","-0,015","-0,039","0,014","0,747","-0,628","-0,187","-0,109","0,999","-0,029","-0,014","-0,014","0,979","0,202","0,009","-0,017"
1438,"0,998","-0,018","-0,053","-0,023","0,999","-0,028","-0,025","-0,020","0,854","-0,506","-0,009","-0,117","0,999","-0,015","-0,038","0,013","0,748","-0,628","-0,187","-0,109","0,999","-0,028","-0,013","-0,014","0,979","0,203","0,009","-0,016"
1439,"0,998","-0,018","-0,053","-0,023","0,999","-0,028","-0,025","-0,020","0,855","-0,506","-0,009","-0,116","0,999","-0,015","-0,038","0,013","0,748","-0,627","-0,187","-0,109","0,999","-0,027","-0,012","-0,014","0,979","0,203","0,009","-0,016"
1440,"0,998","-0,018","-0,053","-0,024","0,999","-0,028","-0,024","-0,020","0,855","-0,506","-0,010","-0,116","0,999","-0,015","-0,038","0,013","0,748","-0,627","-0,187","-0,109","0,999","-0,027","-0,012","-0,015","0,979","0,203","0,009","-0,015"
1441,"0,998","-0,018","-0,053","-0,024","0,999","-0,028","-0,024","-0,020","0,855","-0,506","-0,010","-0,116","0,999","-0,015","-0,037","0,013","0,748","-0,627","-0,187","-0,109","0,999","-0,027","-0,011","-0,015","0,979","0,203","0,008","-0,015"
1442,"0,998","-0,019","-0,053","-0,024","0,999","-0,028","-0,023","-0,020","0,855","-0,506","-0,010","-0,117","0,999","-0,016","-0,037","0,013","0,748","-0,627","-0,187","-0,109","0,999","-0,027","-0,011","-0,015","0,979","0,203","0,008","-0,015"
1443,"0,998","-0,019","-0,053","-0,024","0,999","-0,028","-0,023","-0,020","0,855","-0,505","-0,010","-0,117","0,999","-0,016","-0,038","0,013","0,749","-0,627","-0,187","-0,109","0,999","-0,027","-0,011","-0,015","0,979","0,203","0,008","-0,016"
1444,"0,998","-0,019","-0,053","-0,024","0,999","-0,028","-0,023","-0,020","0,855","-0,505","-0,010","-0,117","0,999","-0,016","-0,038","0,013","0,749","-0,627","-0,186","-0,109","0,999","-0,027","-0,011","-0,015","0,979","0,203","0,007","-0,016"
1445,"0,998","-0,019","-0,053","-0,024","0,999","-0,028","-0,022","-0,021","0,855","-0,505","-0,010","-0,117","0,999","-0,016","-0,038","0,013","0,749","-0,627","-0,186","-0,109","0,999","-0,027","-0,011","-0,015","0,979","0,203","0,008","-0,017"
1446,"0,998","-0,018","-0,053","-0,024","0,999","-0,028","-0,022","-0,021","0,855","-0,504","-0,010","-0,117","0,999","-0,016","-0,039","0,013","0,749","-0,626","-0,186","-0,108","0,999","-0,027","-0,012","-0,015","0,979","0,203","0,008","-0,018"
1447,"0,998","-0,018","-0,054","-0,025","0,999","-0,028","-0,021","-0,021","0,856","-0,504","-0,010","-0,117","0,999","-0,016","-0,039","0,013","0,750","-0,626","-0,185","-0,108","0,999","-0,027","-0,012","-0,015","0,979","0,202","0,008","-0,019"
1448,"0,998","-0,018","-0,054","-0,025","0,999","-0,028","-0,021","-0,021","0,856","-0,504","-0,010","-0,117","0,999","-0,016","-0,039","0,012","0,750","-0,626","-0,185","-0,108","0,999","-0,027","-0,011","-0,015","0,979","0,202","0,009","-0,019"
1449,"0,998","-0,017","-0,054","-0,026","0,999","-0,028","-0,021","-0,021","0,856","-0,503","-0,009","-0,117","0,999","-0,016","-0,040","0,011","0,750","-0,626","-0,184","-0,108","0,999","-0,027","-0,011","-0,015","0,979","0,202","0,009","-0,019"
1450,"0,998","-0,017","-0,054","-0,027","0,999","-0,028","-0,022","-0,022","0,856","-0,503","-0,009","-0,117","0,999","-0,016","-0,040","0,011","0,750","-0,626","-0,184","-0,108","0,999","-0,026","-0,011","-0,015","0,979","0,202","0,009","-0,019"
