Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
30,"-10,606","-0,376","0,158","8,967","-2,835","0,249","-12,718","-2,542","0,573","-15,818","4,726","1,497","66,303","4,225","0,556","71,137","15,532","-7,466","-12,663","4,478","0,563"
31,"-10,589","-0,378","0,171","8,933","-2,824","0,251","-12,715","-2,519","0,568","-15,837","4,686","1,476","66,312","4,212","0,590","71,172","15,534","-7,487","-12,723","4,471","0,559"
32,"-10,556","-0,369","0,185","8,899","-2,823","0,255","-12,695","-2,504","0,561","-15,863","4,654","1,461","66,330","4,209","0,606","71,227","15,533","-7,498","-12,762","4,441","0,544"
33,"-10,545","-0,368","0,191","8,880","-2,849","0,264","-12,754","-2,487","0,565","-15,893","4,649","1,460","66,273","4,202","0,608","71,250","15,527","-7,496","-12,805","4,401","0,527"
34,"-10,517","-0,353","0,194","8,851","-2,834","0,264","-12,771","-2,472","0,572","-15,920","4,605","1,441","66,269","4,158","0,662","71,307","15,533","-7,505","-12,855","4,435","0,537"
35,"-10,507","-0,345","0,194","8,819","-2,836","0,267","-12,759","-2,476","0,576","-15,968","4,578","1,432","66,286","4,166","0,628","71,344","15,528","-7,498","-12,861","4,410","0,528"
36,"-10,460","-0,352","0,194","8,819","-2,869","0,272","-12,711","-2,453","0,578","-15,942","4,593","1,436","66,327","4,185","0,588","71,397","15,551","-7,540","-12,845","4,351","0,507"
37,"-10,447","-0,415","0,183","8,780","-2,870","0,272","-12,715","-2,454","0,583","-15,976","4,621","1,447","66,301","4,177","0,586","71,386","15,568","-7,573","-12,870","4,325","0,495"
38,"-10,447","-0,439","0,183","8,760","-2,901","0,276","-12,724","-2,474","0,588","-16,023","4,664","1,466","66,345","4,206","0,545","71,439","15,570","-7,577","-12,921","4,293","0,474"
39,"-10,437","-0,491","0,169","8,787","-2,914","0,275","-12,712","-2,450","0,588","-16,006","4,703","1,484","66,388","4,233","0,521","71,448","15,595","-7,616","-12,910","4,255","0,458"
40,"-10,417","-0,471","0,165","8,770","-2,884","0,269","-12,767","-2,475","0,581","-15,991","4,684","1,479","66,347","4,215","0,558","71,407","15,565","-7,565","-12,947","4,309","0,483"
41,"-0,495","-0,103","0,000","0,025","-0,012","-0,271","-0,250","-0,175","0,001","-0,181","0,011","0,000","-0,047","-0,321","0,000","-0,094","0,273","0,000","-0,165","0,342","0,001"
42,"-0,088","0,163","0,000","0,321","-0,011","-0,271","-0,427","-0,017","0,001","0,113","-0,259","0,000","-0,048","-0,031","0,000","0,198","0,273","0,000","-0,044","0,347","0,001"
43,"-0,087","0,202","0,000","0,321","-0,011","-0,271","-0,427","-0,017","0,001","0,113","-0,621","-0,001","-0,286","-0,031","-0,001","0,198","-0,019","-0,001","-0,044","0,347","0,001"
44,"-0,201","0,080","-0,001","0,172","-0,010","-0,271","-0,254","0,082","0,000","0,052","-0,384","0,000","-0,050","-0,396","0,000","0,040","0,319","0,000","-0,019","0,205","0,000"
45,"0,000","0,050","0,000","0,171","-0,022","-0,271","-0,255","0,082","0,000","0,050","-0,373","0,000","-0,165","-0,396","-0,001","0,197","0,186","-0,001","-0,020","0,193","0,000"
46,"0,012","-0,051","0,000","0,152","-0,022","-0,271","-0,070","0,242","0,000","0,043","-0,272","0,000","-0,166","-0,343","-0,001","0,241","0,350","-0,001","0,154","-0,061","0,000"
47,"0,085","-0,051","0,000","0,150","-0,132","-0,271","-0,070","0,242","0,000","0,039","-0,163","0,000","-0,174","-0,343","-0,001","0,275","0,350","-0,001","0,153","-0,171","0,000"
48,"0,085","-0,046","0,000","0,150","-0,057","-0,271","-0,058","0,216","0,000","0,039","-0,211","0,000","-0,210","-0,322","-0,001","0,316","0,323","-0,001","0,209","-0,092","0,000"
49,"0,139","-0,047","0,000","0,149","-0,133","-0,271","-0,056","0,073","0,000","0,030","-0,134","0,000","-0,210","-0,281","-0,001","0,371","0,323","-0,001","0,210","-0,024","0,000"
50,"0,085","-0,199","0,000","0,018","-0,133","-0,271","-0,053","0,071","0,000","-0,092","0,018","0,000","-0,216","-0,281","-0,001","0,307","0,327","-0,001","0,089","-0,024","0,000"
51,"0,661","-0,058","0,008","-0,241","0,099","-0,275","0,565","-0,124","0,005","-0,105","-0,455","0,001","0,123","0,272","-0,007","0,295","0,440","-0,014","0,173","0,196","0,000"
52,"0,022","-0,161","0,003","-0,006","-0,147","-0,277","-0,113","-0,084","0,011","-0,204","-0,269","0,004","-0,324","-0,114","-0,016","0,335","0,606","-0,020","0,067","-0,025","0,003"
53,"0,295","0,272","0,007","0,336","-0,148","-0,277","0,231","-0,038","0,017","0,473","-0,367","0,004","0,143","0,397","-0,026","-0,021","0,448","-0,020","0,538","-0,339","0,004"
54,"-0,343","0,481","0,004","-0,009","-0,139","-0,278","0,464","0,612","0,019","-0,212","-0,416","0,003","0,066","-0,186","-0,031","-0,005","0,133","-0,024","0,289","-0,662","0,008"
55,"-0,447","-0,033","0,013","-0,354","-0,159","-0,278","0,239","0,194","0,013","-0,393","-0,093","-0,002","-0,115","-0,401","-0,036","-0,557","0,155","-0,025","0,047","-0,354","0,012"
56,"0,065","0,260","0,026","-0,018","-0,092","-0,279","0,192","0,200","0,011","0,108","-0,461","-0,010","-0,086","-0,393","-0,041","0,136","0,162","-0,035","0,322","0,054","0,015"
57,"0,346","-0,277","0,035","0,309","0,008","-0,280","0,433","0,200","0,013","0,431","-0,218","-0,015","-0,244","0,138","-0,046","0,712","0,541","-0,048","0,774","-0,164","0,021"
58,"0,853","-0,460","0,045","0,169","-0,308","-0,279","-0,212","0,176","0,010","0,473","0,389","-0,024","-0,258","0,159","-0,047","0,695","0,444","-0,053","0,320","-0,347","0,024"
59,"0,461","-0,106","0,051","-0,018","-0,018","-0,279","0,001","-0,246","0,011","0,235","-0,245","-0,021","0,353","0,439","-0,043","0,645","0,257","-0,055","0,020","0,268","0,022"
60,"0,002","-0,161","0,044","-0,298","-0,223","-0,278","0,507","-0,136","0,000","-0,245","0,241","-0,014","0,492","0,287","-0,028","0,164","0,296","-0,053","-0,050","-0,212","0,022"
61,"0,002","0,114","0,038","-0,452","-0,535","-0,279","0,257","-0,216","-0,009","-0,713","0,420","-0,002","0,115","-0,289","-0,011","0,196","-0,041","-0,055","-0,228","-0,183","0,019"
62,"-0,067","0,201","0,034","-0,363","-0,204","-0,276","-0,185","0,307","-0,006","-0,401","-0,175","0,001","-0,477","-0,506","-0,010","-0,052","0,475","-0,056","-0,335","-0,140","0,014"
