movement,phase,n,rho,p
2a_1,f1,75,0.136,0.243
2a_1,f2,10,0.35,0.322
2a_1,f3,99,0.118,0.245
2a_2,f1,61,0.28,0.029
2a_2,f2,10,0.039,0.915
2a_2,f3,56,0.217,0.108
