movement,phase,aspect_id,video_id,aspect_score,aspect_name
2a_1,f1,2,028,0.3038,Knä flex >90gr
2a_1,f1,2,030,0.4544,Knä flex >90gr
2a_1,f1,2,045,0.3943,Knä flex >90gr
2a_1,f1,2,047,0.67,Knä flex >90gr
2a_1,f1,2,059,0.335,Knä flex >90gr
2a_1,f1,2,061,1.0,Knä flex >90gr
2a_1,f1,2,074,0.0,Knä flex >90gr
2a_1,f1,2,076,0.5096,Knä flex >90gr
2a_1,f1,2,091,0.3027,Knä flex >90gr
2a_1,f1,2,093,0.77,Knä flex >90gr
2a_1,f1,3,028,0.5251,Knäskålarna riktade rakt fram
2a_1,f1,3,030,0.3999,Knäskålarna riktade rakt fram
2a_1,f1,3,045,0.2172,Knäskålarna riktade rakt fram
2a_1,f1,3,047,0.1212,Knäskålarna riktade rakt fram
2a_1,f1,3,059,0.5,Knäskålarna riktade rakt fram
2a_1,f1,3,061,0.7299,Knäskålarna riktade rakt fram
2a_1,f1,3,074,0.4091,Knäskålarna riktade rakt fram
2a_1,f1,3,076,0.4448,Knäskålarna riktade rakt fram
2a_1,f1,3,091,0.4437,Knäskålarna riktade rakt fram
2a_1,f1,3,093,0.5,Knäskålarna riktade rakt fram
2a_1,f1,4,028,0.3674,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,030,0.4394,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,045,0.3674,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,047,0.476,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,059,0.4501,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,061,0.3118,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,074,0.6348,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,076,0.4599,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,091,0.5,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,093,0.5793,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,8,028,0.4172,Hela bålen strax framför sittbensknölarna
2a_1,f1,8,030,0.1865,Hela bålen strax framför sittbensknölarna
2a_1,f1,8,045,0.0,Hela bålen strax framför sittbensknölarna
2a_1,f1,8,047,0.0542,Hela bålen strax framför sittbensknölarna
2a_1,f1,8,059,0.8582,Hela bålen strax framför sittbensknölarna
2a_1,f1,8,061,0.4169,Hela bålen strax framför sittbensknölarna
2a_1,f1,8,074,0.4342,Hela bålen strax framför sittbensknölarna
2a_1,f1,8,076,0.3519,Hela bålen strax framför sittbensknölarna
2a_1,f1,8,091,1.0,Hela bålen strax framför sittbensknölarna
2a_1,f1,8,093,0.4901,Hela bålen strax framför sittbensknölarna
2a_1,f1,9,028,0.6152,Överarmar neutralt längs med bålen utan rotation
2a_1,f1,9,030,0.875,Överarmar neutralt längs med bålen utan rotation
2a_1,f1,9,045,0.0,Överarmar neutralt längs med bålen utan rotation
2a_1,f1,9,047,1.0,Överarmar neutralt längs med bålen utan rotation
2a_1,f1,9,059,0.6652,Överarmar neutralt längs med bålen utan rotation
2a_1,f1,9,061,0.4712,Överarmar neutralt längs med bålen utan rotation
2a_1,f1,9,074,0.9363,Överarmar neutralt längs med bålen utan rotation
2a_1,f1,9,076,0.1263,Överarmar neutralt längs med bålen utan rotation
2a_1,f1,9,091,0.1612,Överarmar neutralt längs med bålen utan rotation
2a_1,f1,9,093,0.4475,Överarmar neutralt längs med bålen utan rotation
2a_1,f1,10,028,0.5978,Huvudet positionerat över bålen
2a_1,f1,10,030,0.6405,Huvudet positionerat över bålen
2a_1,f1,10,045,0.585,Huvudet positionerat över bålen
2a_1,f1,10,047,0.9618,Huvudet positionerat över bålen
2a_1,f1,10,059,0.4077,Huvudet positionerat över bålen
2a_1,f1,10,061,1.0,Huvudet positionerat över bålen
2a_1,f1,10,074,0.0,Huvudet positionerat över bålen
2a_1,f1,10,076,0.8982,Huvudet positionerat över bålen
2a_1,f1,10,091,0.7014,Huvudet positionerat över bålen
2a_1,f1,10,093,0.8343,Huvudet positionerat över bålen
2a_1,f1,11,028,0.5978,Nacke i neutral cervikallordos
2a_1,f1,11,030,0.6405,Nacke i neutral cervikallordos
2a_1,f1,11,045,0.585,Nacke i neutral cervikallordos
2a_1,f1,11,047,0.9618,Nacke i neutral cervikallordos
2a_1,f1,11,059,0.4077,Nacke i neutral cervikallordos
2a_1,f1,11,061,1.0,Nacke i neutral cervikallordos
2a_1,f1,11,074,0.0,Nacke i neutral cervikallordos
2a_1,f1,11,076,0.8982,Nacke i neutral cervikallordos
2a_1,f1,11,091,0.7014,Nacke i neutral cervikallordos
2a_1,f1,11,093,0.8343,Nacke i neutral cervikallordos
2a_1,f2,1,028,0.5403,Framåttippning av bäckenet och framåtfällning av bålen
2a_1,f2,1,030,0.6081,Framåttippning av bäckenet och framåtfällning av bålen
2a_1,f2,1,045,0.7182,Framåttippning av bäckenet och framåtfällning av bålen
2a_1,f2,1,047,0.6076,Framåttippning av bäckenet och framåtfällning av bålen
2a_1,f2,1,059,0.7554,Framåttippning av bäckenet och framåtfällning av bålen
2a_1,f2,1,061,0.3964,Framåttippning av bäckenet och framåtfällning av bålen
2a_1,f2,1,074,0.1365,Framåttippning av bäckenet och framåtfällning av bålen
2a_1,f2,1,076,0.4467,Framåttippning av bäckenet och framåtfällning av bålen
2a_1,f2,1,091,0.5124,Framåttippning av bäckenet och framåtfällning av bålen
2a_1,f2,1,093,0.3392,Framåttippning av bäckenet och framåtfällning av bålen
2a_1,f3,1,028,0.8552,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,030,0.3797,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,045,0.5774,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,047,0.1622,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,059,0.3915,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,061,0.1471,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,074,0.5995,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,076,0.356,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,091,0.7987,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,093,0.0313,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,3,028,0.4561,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,030,0.305,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,045,0.5004,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,047,0.458,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,059,0.3391,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,061,0.3129,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,074,0.4595,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,076,0.2974,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,091,0.6351,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,093,0.1073,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,4,028,0.4945,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,030,0.2993,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,045,0.2436,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,047,0.8908,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,059,0.0437,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,061,1.0,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,074,0.7827,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,076,0.9356,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,091,0.0,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,093,0.5977,Huvudet följer i linje med bålens längsaxel
2a_1,f3,5,028,0.6152,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,030,0.875,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,045,0.0,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,047,1.0,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,059,0.6652,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,061,0.4712,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,074,0.9363,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,076,0.1263,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,091,0.1612,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,093,0.4475,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,6,028,0.6283,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,030,0.5581,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,045,0.6137,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,047,0.616,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,059,0.5717,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,061,0.6463,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,074,0.2965,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,076,1.0,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,091,0.3589,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,093,0.1879,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,8,028,0.4535,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,030,0.4601,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,045,0.2267,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,047,0.2727,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,059,0.1803,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,061,0.0,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,074,0.863,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,076,0.4358,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,091,0.8595,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,093,0.6691,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,9,028,0.5974,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,030,0.8554,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,045,0.0396,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,047,0.5789,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,059,0.6562,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,061,0.0357,Sträcker knä- och höftleder till neutralläge för stående
