Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
3699,"-0,913","-1,362","1,824","2,017","-2,233","-0,724","0,233","0,045","-0,856","-1,000","-0,060","1,751","1,654","2,172","0,390","-0,323","0,256","-0,068","-0,471","-0,969","0,082"
3700,"-0,924","-1,340","1,823","2,077","-2,207","-0,728","0,276","-0,007","-0,857","-1,001","-0,061","1,753","1,706","2,167","0,389","-0,273","0,210","-0,068","-0,506","-0,967","0,081"
3701,"-0,949","-1,306","1,821","2,122","-2,256","-0,734","0,275","-0,006","-0,854","-1,017","-0,038","1,754","1,696","2,106","0,383","-0,298","0,207","-0,065","-0,543","-0,969","0,081"
3702,"-0,948","-1,291","1,820","2,087","-2,264","-0,740","0,228","0,028","-0,847","-1,007","-0,071","1,758","1,696","2,081","0,377","-0,232","0,214","-0,061","-0,510","-0,973","0,080"
3703,"-0,944","-1,302","1,821","2,126","-2,281","-0,745","0,229","0,101","-0,842","-0,945","-0,101","1,759","1,683","2,069","0,369","-0,240","0,277","-0,054","-0,480","-0,984","0,081"
3704,"-0,969","-1,278","1,824","2,175","-2,249","-0,749","0,290","0,127","-0,840","-0,965","-0,129","1,759","1,660","2,026","0,362","-0,289","0,321","-0,050","-0,515","-0,977","0,082"
3705,"-0,984","-1,294","1,825","2,181","-2,206","-0,747","0,232","0,118","-0,841","-0,966","-0,166","1,759","1,655","2,030","0,358","-0,304","0,320","-0,046","-0,547","-0,995","0,081"
3706,"-0,986","-1,296","1,825","2,213","-2,142","-0,742","0,258","0,120","-0,843","-0,954","-0,231","1,758","1,689","2,080","0,360","-0,259","0,278","-0,048","-0,555","-1,030","0,081"
3707,"-0,991","-1,340","1,824","2,149","-2,119","-0,736","0,193","0,109","-0,845","-1,017","-0,228","1,756","1,750","2,099","0,363","-0,252","0,267","-0,049","-0,587","-1,011","0,080"
3708,"-0,978","-1,326","1,823","2,156","-2,069","-0,731","0,208","0,075","-0,849","-1,002","-0,281","1,754","1,796","2,095","0,370","-0,259","0,313","-0,051","-0,601","-1,045","0,079"
3709,"-0,978","-1,335","1,821","2,096","-2,038","-0,727","0,185","0,085","-0,849","-1,069","-0,279","1,751","1,822","2,130","0,378","-0,231","0,277","-0,058","-0,635","-1,035","0,079"
3710,"-1,006","-1,357","1,820","2,145","-2,084","-0,726","0,237","0,086","-0,852","-1,077","-0,262","1,747","1,859","2,150","0,385","-0,196","0,251","-0,063","-0,669","-1,043","0,079"
3711,"-0,979","-1,402","1,819","2,109","-2,135","-0,723","0,197","0,070","-0,852","-1,052","-0,211","1,743","1,857","2,216","0,394","-0,222","0,204","-0,070","-0,637","-1,027","0,081"
3712,"-0,943","-1,348","1,817","2,108","-2,177","-0,724","0,205","0,063","-0,852","-1,076","-0,224","1,740","1,856","2,205","0,398","-0,288","0,210","-0,073","-0,633","-1,062","0,081"
3713,"-0,962","-1,320","1,817","2,081","-2,235","-0,726","0,184","0,054","-0,852","-1,069","-0,224","1,738","1,819","2,247","0,402","-0,322","0,157","-0,078","-0,620","-1,096","0,081"
3714,"-0,984","-1,260","1,819","2,103","-2,282","-0,727","0,251","0,077","-0,852","-1,103","-0,216","1,736","1,844","2,186","0,399","-0,332","0,196","-0,075","-0,645","-1,121","0,081"
3715,"-0,980","-1,268","1,822","2,058","-2,319","-0,728","0,249","0,097","-0,848","-1,080","-0,191","1,734","1,816","2,167","0,396","-0,358","0,246","-0,073","-0,610","-1,128","0,082"
3716,"-1,009","-1,314","1,824","2,015","-2,304","-0,726","0,189","0,095","-0,846","-1,088","-0,188","1,733","1,787","2,212","0,395","-0,331","0,240","-0,073","-0,607","-1,094","0,083"
3717,"-1,016","-1,315","1,825","1,988","-2,307","-0,725","0,200","0,057","-0,849","-1,103","-0,122","1,733","1,822","2,183","0,394","-0,264","0,223","-0,072","-0,613","-1,059","0,083"
3718,"-1,069","-1,351","1,826","1,974","-2,366","-0,727","0,171","0,052","-0,847","-1,117","-0,061","1,732","1,816","2,208","0,391","-0,225","0,172","-0,071","-0,633","-1,030","0,084"
