Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"-0,135","0,366","0,910","-0,287","0,130","-0,339","-0,066","-0,040","-0,002","0,066","-0,021","-0,570","-0,104","0,272","0,190","0,188","0,346","0,229","0,065","0,145","0,373"
1,"0,117","0,313","0,820","-0,185","0,105","-0,475","0,118","-0,009","0,050","-0,220","-0,056","-0,438","-0,128","0,180","0,532","0,446","0,103","0,054","-0,121","0,010","0,272"
2,"-0,034","0,168","0,401","-0,080","0,223","-0,200","-0,006","0,004","-0,169","-0,258","0,035","-0,326","-0,184","0,221","0,453","0,356","0,159","0,226","0,065","0,206","0,365"
3,"0,001","-0,057","-0,030","0,000","0,126","-0,067","-0,005","0,127","0,042","-0,376","-0,021","-0,288","-0,072","0,197","0,595","-0,133","0,419","-0,006","0,067","0,092","0,441"
4,"0,066","-0,084","-0,080","0,209","0,099","0,095","-0,005","0,096","-0,011","-0,414","0,071","-0,176","-0,135","0,330","0,616","-0,264","0,499","0,072","0,124","0,077","0,318"
5,"0,096","-0,131","0,361","0,149","0,040","0,116","-0,066","0,044","0,020","-0,388","-0,016","-0,029","0,034","0,323","0,821","-0,329","0,421","0,042","0,058","-0,066","0,153"
6,"0,197","0,065","0,611","0,046","0,125","0,240","-0,188","0,127","0,043","-0,319","0,135","0,302","-0,014","0,273","0,641","-0,274","0,214","-0,035","0,183","-0,112","0,277"
7,"0,392","0,174","0,432","0,088","0,101","0,113","-0,127","0,096","-0,010","0,191","0,287","0,352","-0,158","0,121","0,102","-0,202","0,140","-0,124","0,237","-0,081","0,026"
8,"-0,082","0,273","0,205","0,208","0,158","0,083","0,057","0,158","0,094","0,143","0,324","0,737","0,011","-0,062","-0,533","-0,214","0,090","-0,093","0,054","0,101","0,010"
9,"-0,349","0,152","-0,305","0,087","0,160","0,101","-0,066","0,013","-0,032","0,236","0,428","0,884","0,053","-0,287","-1,101","-0,090","0,161","-0,051","-0,132","0,087","-0,106"
10,"-0,506","0,171","-0,672","0,020","0,030","0,075","-0,066","0,065","-0,063","0,263","0,321","0,714","0,055","-0,170","-1,135","-0,119","0,235","-0,177","-0,073","0,140","-0,175"
11,"-0,558","-0,077","-0,754","-0,112","0,140","0,010","-0,065","-0,031","0,134","0,000","0,276","0,329","0,052","-0,346","-1,085","-0,305","0,405","-0,091","-0,012","0,382","-0,207"
12,"-0,429","-0,185","-0,825","-0,050","0,079","0,013","0,057","0,075","0,072","-0,032","0,092","-0,130","0,089","-0,128","-0,763","-0,548","0,230","-0,226","0,043","0,299","-0,383"
13,"-0,422","-0,296","-0,905","-0,118","-0,052","-0,014","-0,005","0,044","0,020","-0,134","-0,145","-0,303","0,102","-0,003","-0,098","-0,506","0,206","-0,132","0,045","0,186","-0,307"
14,"-0,075","-0,232","-0,635","0,173","0,051","-0,142","-0,004","-0,009","0,051","-0,112","-0,075","-0,519","0,128","0,131","0,374","-0,440","0,166","-0,171","0,050","0,087","-0,111"
15,"0,136","-0,086","-0,211","0,154","0,028","-0,260","-0,005","0,013","-0,033","0,056","-0,095","-0,612","0,052","0,315","0,570","-0,310","0,204","-0,180","-0,072","0,087","-0,108"
16,"0,252","-0,110","-0,120","0,164","-0,020","-0,189","-0,127","0,013","-0,032","0,019","-0,063","-0,485","0,014","0,348","0,240","-0,209","0,174","-0,074","-0,011","0,026","-0,102"
17,"0,054","0,054","0,054","0,224","0,038","-0,210","-0,005","0,044","0,020","-0,245","-0,008","-0,253","0,166","0,232","-0,161","-0,030","0,155","-0,039","-0,193","-0,034","-0,089"
18,"-0,079","0,191","0,179","0,039","-0,006","0,205","-0,066","0,127","0,042","-0,486","0,057","-0,222","0,256","0,292","0,274","-0,012","0,029","0,119","-0,129","-0,019","0,030"
19,"-0,056","0,104","-0,119","0,236","0,134","0,272","0,055","0,202","-0,073","-0,341","0,026","-0,114","0,052","0,315","0,570","0,142","0,169","0,047","-0,310","0,049","0,089"
20,"0,243","0,137","-0,043","0,245","0,146","0,331","-0,066","0,127","0,042","-0,172","-0,034","0,125","0,113","0,374","0,558","0,190","0,111","0,090","-0,308","0,057","0,149"
21,"0,283","0,088","0,262","0,045","0,245","0,216","0,056","0,211","0,063","0,004","0,099","0,375","0,003","0,206","0,407","0,279","0,031","0,228","-0,243","0,192","0,254"
22,"0,148","0,171","0,414","0,134","0,160","0,408","-0,004","0,241","0,116","0,252","0,246","0,672","-0,032","0,105","0,052","0,215","-0,164","0,128","-0,064","0,177","0,127"
23,"-0,041","0,278","0,481","0,141","0,291","0,444","-0,005","0,044","0,020","0,213","0,397","0,768","-0,012","-0,095","-0,207","0,216","-0,282","0,058","0,119","0,055","0,136"
24,"-0,144","0,218","0,228","-0,005","0,138","0,308","-0,005","0,013","-0,033","0,333","0,393","0,745","-0,111","-0,121","-0,525","0,263","-0,221","0,171","0,178","-0,013","0,081"
25,"-0,197","0,161","0,116","-0,074","0,127","0,258","-0,005","0,127","0,042","0,180","0,271","0,294","-0,069","-0,113","-0,270","0,412","-0,166","0,080","0,119","-0,005","0,144"
26,"-0,304","0,129","-0,083","-0,103","0,211","0,057","-0,005","0,096","-0,011","0,016","0,075","-0,199","-0,011","0,022","-0,241","-0,160","-0,001","-0,100","-0,001","-0,119","0,222"
27,"-0,289","-0,092","-0,242","-0,088","0,091","-0,236","-0,188","0,096","-0,010","0,028","0,071","-0,458","0,040","-0,062","-0,086","-0,172","-0,051","-0,068","-0,129","-0,019","0,030"
