Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
0,"-5,673","4,761","1,120","-2,940","-2,006","-0,003","63,968","9,299","-1,679","2,187","2,660","0,401","-5,891","1,730","0,261","68,699","19,735","-8,581","15,753","-4,349","0,602"
1,"-5,650","4,539","1,082","-2,913","-2,369","-0,029","63,987","9,295","-1,670","2,322","3,025","0,449","-5,985","1,866","0,268","68,920","19,498","-8,555","15,885","-4,354","0,608"
2,"-5,675","4,539","1,084","-2,978","-2,491","-0,033","63,957","9,670","-1,859","2,256","3,147","0,463","-5,966","1,872","0,270","68,962","19,496","-8,549","15,885","-4,354","0,608"
3,"-5,742","4,558","1,082","-3,126","-2,532","-0,024","63,860","9,306","-1,707","2,164","3,292","0,474","-6,150","1,806","0,266","68,681","19,465","-8,462","15,793","-4,210","0,584"
4,"-5,821","4,559","1,088","-3,127","-2,490","-0,020","63,889","9,307","-1,683","2,164","3,292","0,474","-6,229","1,804","0,267","68,681","19,465","-8,462","15,793","-4,210","0,584"
5,"-5,720","4,627","1,092","-3,100","-2,519","-0,024","63,852","9,319","-1,708","2,205","3,294","0,474","-6,235","1,732","0,259","68,563","19,426","-8,451","15,766","-4,210","0,583"
6,"-5,693","4,627","1,091","-3,141","-2,490","-0,018","63,853","9,394","-1,730","2,191","3,293","0,475","-6,235","1,637","0,246","68,530","19,499","-8,542","15,793","-4,210","0,584"
7,"-5,316","4,674","1,069","-3,086","-2,448","-0,020","63,907","9,381","-1,743","2,260","3,237","0,468","-5,866","1,582","0,240","68,523","19,499","-8,543","15,793","-4,196","0,582"
8,"-5,316","4,660","1,066","-3,072","-2,448","-0,021","63,920","9,382","-1,743","2,260","3,237","0,468","-5,859","1,569","0,237","68,466","19,543","-8,569","15,793","-4,196","0,582"
9,"-5,287","4,634","1,057","-3,001","-2,398","-0,022","63,905","9,318","-1,723","2,330","3,197","0,463","-5,817","1,596","0,241","68,489","19,537","-8,556","15,766","-4,169","0,577"
