Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
1068,"-0,127","13,155","0,286","-3,271","-0,414","-0,417","5,680","5,199","-4,097","1,969","-1,721","-3,637","8,344","4,744","16,995","13,072","-5,737","15,301","3,601","4,250","-1,219"
1069,"0,105","13,375","1,850","-3,596","-0,164","1,452","7,780","1,018","-3,999","3,056","-0,711","-3,921","8,493","4,169","15,263","11,898","-4,118","14,325","3,658","4,343","-1,366"
1070,"0,419","13,174","1,682","-3,677","-0,277","3,365","7,550","-1,278","-3,028","4,361","-0,178","-2,511","8,464","4,253","13,391","10,317","-3,465","12,208","3,653","4,555","-1,537"
1071,"0,283","12,608","-0,594","-3,242","-0,025","6,456","7,189","-3,388","-3,118","4,607","-0,011","-0,697","8,394","4,216","11,107","9,822","-4,145","10,404","3,775","5,091","-1,658"
1072,"-0,517","11,551","-2,972","-3,498","0,037","5,848","4,662","-4,075","-2,386","4,878","-0,344","0,459","8,413","4,002","9,516","9,598","-4,159","8,913","3,401","5,101","-1,897"
1073,"-0,344","10,629","-3,978","-3,845","-1,200","1,567","3,387","-0,805","-1,186","5,186","-1,049","1,934","8,430","3,670","7,960","8,657","-3,951","7,152","2,599","4,864","-2,129"
1074,"1,025","9,964","-3,125","-3,714","-0,801","-0,472","2,553","-0,110","-0,367","4,881","-1,418","2,925","8,507","3,473","6,430","8,596","-2,938","5,402","1,811","4,895","-1,983"
1075,"2,125","9,749","-1,806","-3,277","-0,807","0,102","1,916","0,667","-0,030","4,405","-1,989","1,284","8,540","3,651","5,743","8,254","-1,533","4,228","1,697","4,352","-1,611"
1076,"3,068","9,202","-2,332","-2,541","-1,106","0,134","1,144","-0,140","0,630","3,279","-2,521","-1,091","8,396","3,677","4,964","9,413","-0,782","4,346","1,140","3,887","-1,740"
1077,"3,718","7,937","-4,361","-1,603","-1,132","0,275","0,144","-0,455","0,782","1,909","-3,205","-2,964","8,265","3,869","3,882","11,281","-0,685","5,575","0,352","3,263","-1,452"
