Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
0,"-21,387","5,266","1,638","-3,210","-2,082","0,092","71,465","-2,936","7,498","-8,225","8,921","1,036","-11,857","0,384","0,452","73,140","9,330","-2,222","6,554","-1,714","0,098"
1,"-21,321","5,307","1,656","-3,629","-2,222","0,118","71,724","-2,924","7,527","-8,796","9,034","1,092","-11,876","0,381","0,453","73,143","9,174","-2,136","6,640","-1,757","0,102"
2,"-21,323","5,345","1,674","-3,667","-2,265","0,118","71,886","-2,944","7,600","-8,995","9,106","1,112","-11,876","0,381","0,453","73,143","9,174","-2,136","6,640","-1,799","0,104"
3,"-21,179","5,604","1,728","-3,532","-2,289","0,104","71,731","-3,089","7,621","-8,715","9,061","1,087","-11,740","0,113","0,438","73,103","9,241","-2,176","6,637","-1,798","0,104"
4,"-21,156","5,612","1,746","-3,606","-2,565","0,091","71,721","-3,094","7,627","-8,722","9,273","1,118","-11,604","-0,066","0,402","73,363","9,294","-2,363","6,719","-1,868","0,110"
5,"-21,079","5,602","1,725","-3,545","-2,330","0,102","71,703","-3,092","7,619","-8,634","9,102","1,094","-11,736","-0,119","0,405","73,170","9,284","-2,366","6,718","-1,797","0,105"
6,"-21,079","5,602","1,725","-3,528","-2,499","0,089","71,715","-3,095","7,627","-8,633","9,278","1,118","-11,736","-0,201","0,393","73,168","9,308","-2,435","6,718","-1,797","0,105"
7,"-20,966","5,568","1,701","-3,587","-2,339","0,108","71,580","-3,093","7,602","-8,540","9,136","1,095","-11,629","-0,150","0,397","73,172","9,281","-2,384","6,718","-1,755","0,103"
8,"-20,967","5,540","1,699","-3,587","-2,366","0,106","71,565","-3,095","7,601","-8,539","9,136","1,093","-11,630","-0,095","0,399","73,174","9,252","-2,369","6,718","-1,783","0,105"
9,"-20,833","5,528","1,685","-3,496","-2,351","0,098","71,565","-3,083","7,576","-8,437","9,109","1,084","-11,534","-0,065","0,400","73,128","9,268","-2,359","6,714","-1,768","0,104"
10,"-20,646","4,947","1,381","-3,553","-2,181","0,137","71,487","-3,092","7,566","-8,025","9,235","1,140","-11,728","0,515","0,582","72,854","9,282","-2,436","6,858","-1,460","0,065"
11,"-20,529","5,545","1,695","-3,833","-2,385","0,146","71,280","-3,028","7,399","-8,236","8,781","1,015","-11,353","0,101","0,442","73,291","9,188","-2,245","6,938","-1,796","0,104"
12,"-21,168","5,609","1,756","-3,752","-2,365","0,136","71,475","-3,096","7,573","-8,461","9,125","1,105","-11,701","-0,340","0,340","73,061","9,438","-2,686","6,599","-1,759","0,096"
13,"-21,078","5,167","1,526","-3,498","-1,857","0,193","71,514","-3,198","7,760","-8,233","9,008","1,080","-11,706","0,203","0,489","73,233","9,117","-2,149","6,859","-1,541","0,067"
14,"-21,100","5,026","1,458","-3,731","-2,395","0,132","71,484","-3,052","7,505","-8,544","9,420","1,180","-11,653","0,490","0,557","73,175","9,094","-2,110","6,528","-1,455","0,056"
15,"-20,932","5,508","1,707","-4,294","-2,145","0,295","71,045","-3,320","7,837","-8,596","9,200","1,112","-11,761","0,501","0,560","72,848","8,939","-1,896","6,798","-1,666","0,079"
16,"-20,458","5,147","1,504","-3,643","-2,245","0,152","71,143","-3,152","7,585","-8,118","9,510","1,207","-11,151","0,501","0,512","73,314","8,885","-1,734","6,957","-1,365","0,042"
17,"-20,270","5,682","1,774","-3,255","-2,406","0,043","71,700","-3,187","7,816","-8,018","9,492","1,204","-11,211","0,059","0,391","73,150","9,155","-2,194","6,957","-1,706","0,082"
18,"-20,685","5,232","1,552","-3,879","-2,527","0,147","71,145","-3,135","7,557","-8,546","9,728","1,251","-11,487","-0,067","0,375","73,003","9,186","-2,260","6,772","-1,419","0,048"
19,"-20,378","5,761","1,819","-4,478","-2,776","0,220","71,114","-3,103","7,487","-8,714","9,477","1,173","-11,533","-0,581","0,225","73,078","9,341","-2,489","6,921","-1,728","0,086"
