Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
0,"0,001","-0,002","1,044","-0,003","0,007","1,005","-0,001","-0,008","0,943","0,001","-0,002","1,007","-0,001","0,000","1,026","0,000","-0,005","0,960","-0,002","-0,004","1,009"
1,"-0,003","0,003","1,036","-0,003","0,009","1,002","0,001","-0,005","0,947","-0,005","0,003","1,011","-0,003","0,005","1,023","-0,005","0,001","0,959","0,001","-0,007","1,008"
2,"0,000","-0,003","1,043","0,000","0,014","1,001","-0,007","-0,008","0,946","-0,007","-0,003","1,008","0,000","0,005","1,020","-0,005","-0,004","0,961","0,002","-0,004","1,009"
3,"0,002","-0,004","1,035","0,002","0,010","1,003","-0,001","-0,007","0,947","-0,009","-0,006","1,011","0,000","0,003","1,020","-0,001","-0,001","0,963","0,001","-0,005","1,009"
4,"0,008","0,002","1,032","-0,004","0,011","1,002","-0,002","-0,004","0,946","-0,007","0,002","1,006","0,001","0,006","1,023","-0,005","0,000","0,964","0,002","-0,004","1,010"
5,"0,013","0,010","1,036","-0,003","0,010","1,002","-0,006","-0,009","0,943","-0,007","0,001","1,010","-0,003","0,009","1,026","-0,008","-0,002","0,961","0,001","-0,002","1,008"
6,"0,008","0,008","1,037","-0,004","0,013","1,003","-0,003","-0,004","0,945","0,000","-0,001","1,011","-0,004","0,010","1,023","-0,001","-0,010","0,955","0,004","-0,008","1,010"
7,"0,008","0,014","1,035","-0,001","0,012","1,006","-0,003","-0,004","0,944","-0,004","0,003","1,011","-0,009","0,012","1,025","-0,012","-0,005","0,957","0,007","-0,006","1,009"
8,"0,002","0,017","1,042","0,000","0,009","1,003","0,001","-0,006","0,948","0,004","0,005","1,007","-0,010","0,009","1,018","0,004","-0,003","0,955","0,003","0,003","1,004"
9,"-0,001","0,014","1,039","0,002","0,014","1,002","-0,002","-0,006","0,941","0,009","0,001","1,011","-0,003","0,006","1,021","0,004","-0,003","0,961","0,002","-0,001","1,007"
10,"-0,004","0,006","1,036","-0,001","0,011","1,002","-0,007","-0,004","0,947","0,009","0,007","1,008","0,002","0,008","1,025","-0,002","-0,005","0,955","-0,001","-0,004","1,008"
11,"-0,004","0,006","1,036","0,000","0,009","1,005","-0,005","-0,001","0,948","0,008","0,007","1,006","0,005","0,013","1,025","0,002","0,002","0,962","0,000","-0,006","1,009"
12,"-0,006","0,005","1,034","-0,004","0,011","1,002","-0,004","-0,002","0,950","0,010","0,004","1,007","0,001","0,005","1,024","0,006","-0,005","0,959","-0,004","-0,005","1,009"
13,"0,004","0,004","1,034","-0,007","0,012","0,998","-0,001","-0,006","0,947","0,005","0,003","1,006","0,002","0,006","1,021","0,002","-0,005","0,962","-0,005","-0,002","1,004"
14,"0,006","0,000","1,034","-0,002","0,009","1,000","-0,001","-0,002","0,945","0,000","-0,005","1,009","0,002","0,012","1,017","0,002","-0,002","0,959","0,001","-0,006","1,011"
15,"0,006","-0,004","1,040","-0,003","0,003","1,005","-0,007","-0,004","0,940","-0,005","-0,002","1,008","0,001","0,012","1,018","0,005","-0,007","0,960","0,002","0,000","1,009"
16,"0,010","-0,002","1,041","-0,001","0,004","1,004","0,000","-0,007","0,940","-0,007","0,002","1,016","0,000","0,007","1,024","-0,004","-0,005","0,960","0,000","-0,007","1,008"
17,"0,013","0,002","1,041","0,003","0,011","1,000","-0,004","0,000","0,943","-0,003","0,006","1,010","0,001","0,002","1,024","0,000","-0,007","0,956","0,003","-0,004","1,011"
18,"0,009","0,007","1,042","0,001","0,007","1,003","-0,004","-0,002","0,945","-0,001","0,004","1,009","-0,001","0,006","1,025","0,005","-0,008","0,956","0,000","-0,005","1,005"
19,"0,011","0,010","1,041","-0,002","0,010","1,001","-0,005","-0,004","0,941","0,001","0,000","1,007","-0,003","0,009","1,022","0,003","-0,007","0,959","0,001","-0,003","1,013"
20,"0,009","0,008","1,039","-0,001","0,013","1,000","-0,004","-0,005","0,948","0,000","0,005","1,012","-0,002","0,007","1,024","0,001","-0,003","0,955","-0,003","-0,001","1,013"
21,"0,007","0,012","1,035","-0,005","0,015","1,005","0,001","-0,004","0,948","0,004","-0,001","1,008","-0,005","0,003","1,019","-0,001","-0,009","0,958","0,001","-0,008","1,008"
22,"0,006","0,007","1,036","0,001","0,010","1,000","-0,010","-0,010","0,945","0,005","0,000","1,009","-0,002","0,013","1,021","0,000","-0,003","0,955","-0,004","-0,003","1,010"
23,"0,007","0,002","1,037","-0,002","0,013","0,995","-0,003","-0,004","0,946","-0,001","0,002","1,013","-0,001","0,006","1,019","0,000","-0,008","0,957","0,002","-0,006","1,011"
24,"0,007","0,000","1,037","0,001","0,010","1,004","-0,004","-0,010","0,939","0,002","0,006","1,008","0,000","0,011","1,017","0,001","-0,001","0,964","-0,001","-0,005","1,006"
25,"0,009","0,000","1,033","-0,005","0,013","0,998","-0,008","-0,005","0,946","-0,001","0,005","1,011","0,001","0,005","1,026","-0,001","-0,009","0,959","-0,001","-0,004","1,006"
26,"0,004","-0,001","1,039","-0,005","0,008","1,006","-0,003","-0,002","0,947","-0,002","0,009","1,010","0,004","0,009","1,023","0,001","-0,006","0,955","-0,003","0,000","1,003"
27,"-0,001","0,004","1,040","-0,005","0,010","1,002","-0,007","-0,007","0,937","0,003","0,002","1,006","-0,004","0,006","1,022","0,000","-0,002","0,957","-0,003","-0,002","1,007"
28,"-0,005","0,005","1,042","-0,001","0,005","1,005","-0,003","0,000","0,944","0,002","0,006","1,009","-0,003","0,007","1,021","0,002","-0,002","0,956","-0,005","-0,007","1,013"
29,"0,001","0,006","1,034","0,000","0,006","1,003","0,002","0,001","0,957","0,001","0,000","1,010","-0,003","-0,002","1,022","-0,001","0,001","0,960","0,002","-0,004","1,011"
30,"-0,003","-0,001","1,039","-0,001","0,003","0,996","-0,001","-0,006","0,937","0,003","-0,001","1,008","0,003","0,005","1,023","0,000","-0,002","0,958","0,001","-0,001","1,011"
31,"-0,004","-0,002","1,030","-0,005","0,006","1,005","-0,002","0,000","0,944","-0,001","-0,006","1,009","0,005","-0,001","1,023","0,003","-0,004","0,958","0,003","0,006","1,008"
32,"0,004","-0,006","1,037","0,001","0,005","1,004","0,003","-0,003","0,944","0,008","-0,001","1,008","0,001","0,004","1,024","0,003","-0,004","0,963","0,002","-0,003","1,012"
