Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
1296,"-0,183","0,442","0,831","-0,163","0,021","0,986","-0,057","-0,023","0,961","-0,068","-0,027","0,996","-0,174","-1,008","0,312","-0,441","-0,786","-0,052","-0,059","0,062","0,992"
1297,"-0,197","0,459","0,836","-0,137","0,014","0,992","0,055","-0,001","1,063","-0,087","-0,020","1,010","-0,174","-1,021","0,316","-0,444","-0,848","-0,046","-0,073","0,045","0,999"
1298,"-0,219","0,447","0,845","-0,115","0,012","0,992","0,037","-0,051","0,986","-0,099","-0,012","1,027","-0,174","-1,029","0,310","-0,469","-0,873","-0,085","-0,070","0,064","0,995"
1299,"-0,254","0,453","0,846","-0,121","0,029","0,985","-0,062","-0,035","0,941","-0,100","-0,009","1,005","-0,172","-1,050","0,323","-0,492","-0,888","-0,143","-0,069","0,055","0,991"
1300,"-0,265","0,460","0,834","-0,157","0,028","0,988","-0,124","-0,018","0,917","-0,111","-0,013","0,988","-0,158","-1,082","0,337","-0,490","-0,927","-0,150","-0,067","0,045","0,988"
1301,"-0,248","0,464","0,832","-0,190","0,022","0,983","-0,147","-0,032","0,922","-0,142","-0,015","0,973","-0,143","-1,105","0,343","-0,488","-1,006","-0,131","-0,061","0,050","0,986"
1302,"-0,208","0,494","0,843","-0,203","0,025","0,982","-0,114","-0,022","0,944","-0,167","-0,017","0,982","-0,137","-1,121","0,351","-0,477","-1,090","-0,129","-0,047","0,044","0,990"
1303,"-0,177","0,501","0,867","-0,186","0,021","0,988","-0,109","-0,034","0,919","-0,195","-0,012","1,002","-0,124","-1,123","0,342","-0,487","-1,089","-0,165","-0,030","0,053","0,988"
1304,"-0,162","0,490","0,879","-0,186","0,026","1,000","-0,157","-0,035","0,893","-0,208","-0,017","1,002","-0,134","-1,118","0,340","-0,497","-1,049","-0,228","-0,017","0,051","0,995"
1305,"-0,173","0,478","0,877","-0,172","0,022","0,985","-0,230","-0,090","0,880","-0,209","-0,019","1,004","-0,130","-1,106","0,343","-0,473","-1,023","-0,213","-0,023","0,050","1,001"
1306,"-0,199","0,482","0,866","-0,141","0,048","0,981","0,045","0,042","0,982","-0,186","-0,024","1,003","-0,142","-1,086","0,338","-0,438","-0,996","-0,158","-0,029","0,054","1,009"
1307,"-0,208","0,472","0,869","-0,198","0,045","1,002","-0,253","-0,071","0,858","-0,156","-0,023","1,002","-0,176","-1,066","0,334","-0,397","-0,952","-0,111","-0,029","0,044","1,012"
1308,"-0,213","0,461","0,864","-0,156","0,041","0,971","-0,025","-0,024","0,975","-0,125","-0,012","1,008","-0,196","-1,053","0,333","-0,380","-0,896","-0,100","-0,030","0,044","1,002"
1309,"-0,215","0,450","0,862","-0,126","0,048","0,981","-0,135","0,011","0,962","-0,071","0,006","1,025","-0,221","-1,040","0,330","-0,434","-0,848","-0,091","-0,049","0,031","1,008"
1310,"-0,212","0,436","0,869","-0,097","0,029","0,990","-0,068","-0,019","0,973","-0,030","0,014","0,986","-0,224","-1,027","0,302","-0,525","-0,816","-0,094","-0,066","0,043","0,995"
1311,"-0,225","0,432","0,862","-0,141","0,023","0,971","-0,118","-0,031","0,944","-0,025","-0,005","0,984","-0,222","-1,033","0,300","-0,583","-0,795","-0,085","-0,076","0,044","0,994"
1312,"-0,233","0,433","0,852","-0,173","0,019","0,994","-0,139","-0,015","0,911","-0,067","-0,019","0,989","-0,213","-1,014","0,299","-0,557","-0,794","-0,062","-0,073","0,047","0,986"
1313,"-0,241","0,433","0,849","-0,182","0,016","1,001","-0,171","-0,027","0,914","-0,141","-0,029","0,992","-0,228","-1,017","0,301","-0,519","-0,778","-0,042","-0,055","0,046","0,987"
1314,"-0,249","0,444","0,853","-0,180","0,010","0,979","-0,163","-0,022","0,927","-0,194","-0,037","0,996","-0,223","-1,005","0,301","-0,495","-0,758","-0,057","-0,040","0,045","0,986"
1315,"-0,234","0,445","0,872","-0,182","0,028","0,972","-0,134","-0,016","0,959","-0,217","-0,031","0,998","-0,219","-1,013","0,314","-0,503","-0,738","-0,078","-0,033","0,044","0,988"
1316,"-0,219","0,451","0,880","-0,174","0,014","0,973","-0,119","-0,053","0,981","-0,217","-0,034","0,993","-0,221","-1,023","0,308","-0,517","-0,755","-0,068","-0,027","0,039","0,984"
1317,"-0,220","0,463","0,883","-0,185","0,048","0,981","-0,104","0,012","0,978","-0,204","-0,015","1,010","-0,217","-1,022","0,302","-0,521","-0,794","-0,057","-0,036","0,040","0,984"
