Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
2110,"-0,059","0,128","0,998","0,025","0,091","0,989","-0,132","-0,057","0,933","0,043","0,076","1,013","-0,050","0,117","0,998","0,163","-0,085","0,940","0,017","-0,132","0,989"
2111,"-0,054","0,126","1,009","0,036","0,084","0,985","-0,136","-0,057","0,934","0,049","0,085","1,015","-0,044","0,127","1,000","0,165","-0,084","0,945","0,013","-0,129","0,978"
2112,"-0,045","0,126","1,014","0,034","0,085","0,987","-0,126","-0,052","0,930","0,060","0,092","1,011","-0,042","0,128","1,000","0,175","-0,082","0,938","0,015","-0,128","0,991"
2113,"-0,036","0,127","1,021","0,028","0,071","0,990","-0,126","-0,057","0,938","0,076","0,089","0,997","-0,045","0,133","0,993","0,171","-0,084","0,945","0,013","-0,130","0,988"
2114,"-0,036","0,157","1,033","0,024","0,071","1,006","-0,138","-0,046","0,943","0,071","0,087","0,985","-0,067","0,133","0,994","0,164","-0,078","0,941","0,010","-0,133","0,994"
2115,"-0,056","0,183","1,077","0,015","0,073","1,022","-0,128","-0,058","0,934","0,076","0,071","0,992","-0,096","0,114","0,993","0,137","-0,065","0,940","0,009","-0,131","0,995"
2116,"-0,069","0,171","1,070","0,017","0,082","1,009","-0,135","-0,059","0,928","0,063","0,060","0,992","-0,112","0,110","0,997","0,141","-0,083","0,936","0,019","-0,134","0,981"
2117,"-0,086","0,160","1,034","0,020","0,077","0,988","-0,134","-0,057","0,936","0,045","0,042","0,999","-0,115","0,109","0,999","0,150","-0,088","0,954","0,023","-0,129","0,988"
2118,"-0,100","0,146","1,006","0,021","0,084","0,984","-0,131","-0,065","0,937","0,030","0,045","0,996","-0,094","0,108","0,997","0,150","-0,083","0,945","0,024","-0,141","0,986"
2119,"-0,106","0,145","0,991","0,016","0,103","0,986","-0,134","-0,062","0,935","0,013","0,042","1,001","-0,075","0,105","1,001","0,156","-0,085","0,937","0,022","-0,136","0,985"
2120,"-0,100","0,137","0,981","0,026","0,107","0,984","-0,145","-0,056","0,926","0,010","0,051","1,005","-0,070","0,115","1,011","0,162","-0,085","0,945","0,015","-0,141","0,985"
2121,"-0,098","0,127","0,989","0,018","0,097","0,975","-0,130","-0,052","0,934","0,023","0,060","0,999","-0,075","0,118","1,009","0,169","-0,086","0,946","0,011","-0,142","0,986"
