Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
133,"-0,415","0,121","-0,079","0,094","-0,061","-0,309","0,273","-0,555","0,829","0,146","-0,170","-0,083","-0,382","-0,118","-0,257","0,329","-0,201","0,421","0,338","-0,148","-0,105"
134,"-0,449","0,149","-0,077","0,089","-0,068","-0,328","0,273","-0,526","0,849","0,081","-0,167","-0,075","-0,418","-0,135","-0,263","0,332","-0,220","0,421","0,309","-0,143","-0,110"
135,"-0,383","0,181","-0,080","0,079","-0,075","-0,346","0,239","-0,499","0,867","0,142","-0,162","-0,062","-0,420","-0,157","-0,256","0,327","-0,243","0,415","0,345","-0,151","-0,117"
136,"-0,349","0,142","-0,082","0,071","-0,075","-0,353","0,205","-0,463","0,872","0,202","-0,155","-0,050","-0,452","-0,122","-0,247","0,290","-0,210","0,402","0,377","-0,143","-0,122"
137,"-0,281","0,132","-0,073","0,068","-0,078","-0,356","0,133","-0,436","0,870","0,257","-0,178","-0,040","-0,415","-0,139","-0,244","0,321","-0,190","0,387","0,406","-0,148","-0,125"
138,"-0,252","0,092","-0,056","0,083","-0,094","-0,359","0,145","-0,389","0,871","0,278","-0,160","-0,032","-0,407","-0,116","-0,258","0,260","-0,215","0,379","0,397","-0,114","-0,129"
139,"-0,195","0,068","-0,038","0,071","-0,068","-0,362","0,140","-0,380","0,876","0,328","-0,176","-0,028","-0,407","-0,121","-0,284","0,257","-0,170","0,382","0,424","-0,103","-0,133"
140,"-0,192","0,068","-0,035","0,130","-0,069","-0,358","0,175","-0,426","0,878","0,361","-0,122","-0,033","-0,429","-0,135","-0,291","0,235","-0,224","0,383","0,426","-0,068","-0,136"
141,"-0,224","0,079","-0,042","0,073","-0,030","-0,353","0,116","-0,470","0,882","0,308","-0,119","-0,040","-0,454","-0,140","-0,278","0,243","-0,219","0,373","0,401","-0,044","-0,137"
142,"-0,229","0,075","-0,054","0,077","-0,009","-0,354","0,141","-0,505","0,891","0,317","-0,132","-0,045","-0,461","-0,129","-0,258","0,252","-0,245","0,362","0,440","-0,038","-0,139"
143,"-0,294","0,082","-0,061","0,073","0,005","-0,358","0,182","-0,485","0,901","0,259","-0,148","-0,049","-0,469","-0,131","-0,249","0,263","-0,263","0,357","0,416","-0,052","-0,141"
144,"-0,301","0,099","-0,064","0,070","-0,017","-0,356","0,204","-0,504","0,907","0,243","-0,172","-0,056","-0,466","-0,139","-0,250","0,311","-0,273","0,357","0,433","-0,081","-0,142"
145,"-0,275","0,098","-0,072","0,030","-0,048","-0,355","0,235","-0,466","0,911","0,215","-0,209","-0,058","-0,418","-0,116","-0,253","0,309","-0,255","0,365","0,441","-0,115","-0,145"
146,"-0,268","0,139","-0,074","-0,026","-0,092","-0,359","0,172","-0,473","0,917","0,175","-0,203","-0,058","-0,362","-0,145","-0,257","0,313","-0,258","0,368","0,422","-0,138","-0,145"
147,"-0,229","0,184","-0,075","-0,088","-0,070","-0,362","0,163","-0,461","0,926","0,164","-0,231","-0,062","-0,377","-0,136","-0,255","0,322","-0,273","0,364","0,449","-0,169","-0,146"
148,"-0,253","0,165","-0,089","-0,045","-0,047","-0,367","0,149","-0,471","0,929","0,204","-0,192","-0,057","-0,446","-0,148","-0,236","0,322","-0,265","0,353","0,458","-0,136","-0,149"
