Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
28,"0,288","0,230","0,261","-0,095","-0,117","0,159","-0,075","0,066","0,143","0,141","-0,047","-0,134","-0,025","-0,199","0,071","-0,083","-0,262","0,053","-0,564","0,096","0,210"
29,"0,229","0,289","0,240","-0,072","0,124","0,251","-0,015","-0,363","0,215","0,025","0,092","-0,108","0,106","-0,252","-0,028","-0,025","-0,224","-0,064","-0,503","0,274","0,169"
30,"0,227","0,154","0,221","-0,001","0,090","0,322","0,140","0,089","0,001","0,074","-0,089","-0,065","0,112","-0,225","-0,109","0,155","-0,170","0,013","-0,259","0,271","0,156"
31,"0,100","-0,191","0,141","0,050","0,064","0,258","0,119","-0,217","0,049","-0,056","-0,115","0,061","0,173","-0,224","-0,104","0,169","-0,085","0,016","-0,138","0,210","0,162"
32,"-0,023","-0,439","-0,035","0,003","0,282","0,304","0,214","-0,077","-0,018","0,005","-0,118","0,064","0,173","-0,224","-0,104","0,170","-0,005","0,202","-0,080","0,078","0,125"
33,"-0,572","-0,507","-0,084","0,009","0,134","-0,036","0,238","-0,028","-0,157","0,056","-0,154","0,200","0,107","-0,198","-0,055","0,205","-0,008","0,123","-0,449","0,010","0,097"
34,"-0,202","-0,417","-0,173","0,029","0,127","0,098","0,305","-0,108","-0,174","0,046","-0,259","0,286","-0,013","-0,145","-0,092","0,260","-0,018","0,147","-0,821","0,048","-0,015"
35,"-0,198","-0,262","-0,289","0,122","0,049","-0,085","0,318","-0,022","-0,088","0,115","-0,143","0,262","0,163","0,021","-0,023","0,203","0,214","0,068","-0,696","-0,060","0,063"
36,"-0,071","-0,014","-0,306","0,115","-0,031","-0,116","0,148","0,004","-0,002","-0,058","-0,029","0,166","0,163","0,021","-0,023","0,064","0,065","0,012","-0,455","-0,015","-0,022"
37,"-0,008","0,024","-0,382","0,054","-0,029","-0,107","0,044","-0,051","0,068","0,138","0,053","0,031","-0,036","0,237","0,125","0,144","0,095","-0,001","-0,821","0,108","-0,027"
38,"0,051","-0,016","-0,303","0,038","-0,133","-0,193","0,095","0,041","0,056","0,074","0,070","0,087","0,009","0,265","0,320","0,109","0,098","0,078","-0,881","-0,011","0,001"
39,"-0,012","-0,053","-0,227","0,056","-0,085","-0,082","-0,016","0,072","0,128","-0,063","-0,161","0,134","-0,001","0,319","0,429","0,030","0,067","0,091","-0,821","-0,011","-0,002"
40,"0,050","0,003","-0,245","0,109","-0,167","-0,122","0,015","0,035","-0,013","-0,112","-0,139","-0,061","-0,119","0,427","0,365","0,005","0,026","0,129","-0,641","-0,026","-0,072"
41,"-0,197","-0,012","-0,115","-0,016","0,005","-0,177","-0,086","0,158","-0,121","-0,122","-0,244","0,025","-0,049","0,373","0,261","-0,021","0,127","-0,074","-0,523","0,079","-0,163"
42,"-0,067","0,429","-0,132","0,044","0,003","-0,186","0,054","0,041","-0,112","0,005","-0,278","-0,087","0,086","0,238","0,135","0,009","0,075","-0,012","-0,824","0,036","-0,074"
