Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
0,"0,006","-0,004","1,049","-0,002","-0,002","1,004","-0,002","-0,003","0,944","0,001","-0,002","1,010","0,003","0,000","1,023","0,001","-0,002","0,955","0,001","-0,002","1,001"
1,"0,004","0,002","1,052","0,000","-0,003","1,002","0,006","0,006","0,946","-0,004","-0,003","1,007","-0,002","-0,001","1,019","-0,001","0,000","0,953","0,002","0,002","1,002"
2,"-0,003","0,004","1,049","0,000","0,001","0,997","0,002","0,004","0,944","0,000","0,000","1,009","0,002","-0,002","1,022","-0,003","0,000","0,955","0,001","-0,003","1,000"
3,"-0,007","0,005","1,045","0,004","0,001","0,995","-0,002","-0,003","0,939","0,004","-0,003","1,007","0,002","0,000","1,026","0,001","0,000","0,955","-0,001","-0,003","1,003"
4,"-0,008","0,007","1,045","0,000","-0,003","0,999","0,006","-0,001","0,936","0,009","-0,007","1,007","0,002","-0,003","1,021","0,008","0,001","0,955","0,001","0,007","1,003"
5,"-0,006","0,003","1,048","-0,004","0,001","1,003","-0,002","-0,002","0,943","0,006","0,001","1,007","0,003","-0,005","1,022","-0,001","-0,003","0,962","-0,003","0,002","1,002"
6,"-0,005","0,002","1,049","-0,001","-0,003","1,004","-0,001","-0,005","0,941","0,005","-0,004","1,006","0,001","-0,004","1,027","0,000","0,000","0,954","0,001","0,002","1,004"
7,"-0,003","-0,003","1,047","-0,003","0,001","1,002","0,000","0,000","0,944","0,000","-0,006","1,010","-0,001","-0,001","1,024","0,001","0,000","0,962","-0,006","-0,005","1,005"
8,"-0,002","-0,001","1,046","-0,005","0,000","1,006","0,001","-0,001","0,939","-0,006","-0,001","1,008","-0,001","0,004","1,024","-0,003","0,005","0,960","-0,001","0,000","0,998"
9,"0,001","0,001","1,048","0,000","0,001","0,998","-0,003","-0,003","0,940","-0,002","0,000","1,012","0,002","-0,005","1,027","0,000","0,000","0,962","0,001","-0,001","0,999"
10,"0,001","-0,002","1,053","0,003","-0,003","1,000","0,002","-0,001","0,938","-0,005","0,004","1,010","0,006","-0,003","1,025","0,000","0,002","0,955","-0,001","0,001","0,998"
11,"0,001","0,000","1,054","0,003","0,001","1,005","-0,002","0,003","0,946","-0,003","-0,001","1,012","0,002","-0,007","1,026","-0,001","-0,002","0,950","0,000","0,003","0,994"
12,"0,005","0,009","1,050","0,001","0,005","1,001","0,004","-0,005","0,943","0,000","-0,007","1,013","0,000","0,000","1,025","-0,003","0,004","0,959","0,002","0,005","1,000"
13,"-0,001","0,007","1,050","-0,001","-0,008","1,000","-0,001","0,000","0,946","0,000","-0,001","1,009","0,004","0,004","1,023","0,002","0,004","0,959","-0,002","0,001","0,997"
14,"-0,001","0,010","1,046","0,000","-0,008","1,004","0,000","0,002","0,944","-0,001","-0,005","1,013","0,005","0,001","1,028","-0,001","0,000","0,955","0,000","-0,002","1,001"
15,"-0,003","0,004","1,049","0,005","0,002","1,001","0,002","0,000","0,945","0,005","0,000","1,012","0,004","-0,004","1,021","0,000","0,000","0,951","-0,001","0,003","0,996"
16,"-0,005","0,004","1,045","0,001","0,009","0,999","-0,002","0,001","0,938","0,002","0,005","1,011","-0,002","-0,001","1,023","-0,002","-0,001","0,955","-0,003","0,002","1,000"
17,"-0,006","0,001","1,048","0,000","0,007","1,004","0,002","0,001","0,944","-0,001","0,004","1,010","-0,001","0,002","1,021","-0,004","0,002","0,957","0,002","0,000","1,002"
18,"-0,002","-0,001","1,048","-0,003","0,005","1,003","-0,004","-0,001","0,935","-0,002","-0,004","1,011","0,003","0,004","1,026","0,002","0,000","0,957","-0,005","-0,005","0,997"
19,"-0,005","-0,004","1,046","-0,002","-0,007","1,004","0,003","-0,003","0,940","0,006","0,000","1,007","0,003","-0,010","1,025","-0,001","-0,008","0,950","-0,001","0,002","0,998"
20,"-0,008","-0,002","1,048","0,001","0,000","1,001","0,001","-0,003","0,945","0,005","0,001","1,006","0,000","-0,001","1,023","-0,004","0,001","0,955","0,000","0,002","1,001"
21,"-0,006","-0,002","1,048","0,000","-0,001","1,000","0,004","-0,002","0,950","0,005","0,000","1,009","0,002","-0,008","1,028","-0,003","-0,006","0,951","-0,003","-0,002","0,999"
22,"-0,002","0,005","1,047","-0,002","0,000","0,999","0,002","-0,002","0,941","0,000","0,000","1,006","0,004","-0,010","1,026","0,005","-0,001","0,952","-0,003","0,000","0,996"
23,"-0,002","0,002","1,045","-0,003","0,000","0,999","-0,002","-0,001","0,942","0,003","-0,009","1,011","0,001","-0,005","1,023","-0,003","-0,004","0,955","-0,001","0,000","1,000"
24,"0,004","0,000","1,045","-0,003","0,003","1,000","0,002","0,002","0,948","-0,002","-0,001","1,007","0,003","0,000","1,022","-0,004","0,003","0,963","-0,004","0,003","1,001"
25,"0,001","0,000","1,051","-0,004","0,007","1,002","0,001","-0,001","0,942","-0,007","-0,003","1,012","0,003","-0,001","1,026","0,003","-0,001","0,956","-0,002","0,003","0,996"
26,"-0,001","0,002","1,050","0,000","-0,003","1,000","0,002","-0,003","0,946","-0,009","0,006","1,006","0,003","-0,001","1,026","0,007","-0,004","0,957","-0,004","-0,002","1,000"
27,"0,003","0,003","1,043","0,000","0,000","1,004","-0,003","-0,004","0,939","-0,006","-0,004","1,012","0,004","-0,002","1,024","0,005","-0,004","0,954","-0,001","0,001","1,000"
28,"0,006","0,003","1,050","-0,001","0,002","1,000","-0,001","0,006","0,944","-0,005","0,000","1,014","0,003","-0,003","1,019","0,001","-0,001","0,955","-0,002","0,003","1,002"
29,"0,004","-0,001","1,053","0,002","0,002","0,999","0,006","0,002","0,949","0,005","-0,004","1,010","0,001","-0,001","1,025","-0,004","0,001","0,955","-0,003","0,003","1,000"
30,"0,001","0,005","1,052","0,003","-0,008","1,004","0,001","0,002","0,944","0,009","-0,003","1,007","-0,005","-0,004","1,024","-0,001","0,003","0,961","-0,004","0,008","1,003"
31,"-0,006","0,003","1,046","-0,001","0,003","1,000","0,002","-0,003","0,940","0,011","-0,004","1,006","0,003","-0,007","1,026","-0,003","-0,003","0,955","-0,003","-0,001","1,001"
32,"-0,005","0,001","1,046","-0,002","-0,005","1,004","-0,002","0,000","0,943","0,012","-0,003","1,006","0,004","-0,005","1,029","-0,001","-0,001","0,956","-0,001","0,001","0,999"
33,"-0,006","0,001","1,046","-0,001","-0,004","1,005","0,000","0,003","0,947","0,004","-0,010","1,017","0,004","-0,004","1,024","0,002","-0,004","0,953","-0,001","0,008","1,000"
34,"0,001","-0,004","1,049","0,003","0,000","1,000","0,002","-0,002","0,942","-0,001","-0,003","1,010","0,004","0,002","1,021","0,005","-0,001","0,954","0,002","0,000","1,001"
