Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"-0,079","-0,005","-0,607","-0,428","0,252","0,155","0,089","-0,019","0,084","0,335","0,145","-0,037","-0,043","0,261","0,422","0,113","0,036","-0,088","-0,272","-0,058","0,011"
1,"0,161","-0,166","-0,510","-0,328","0,119","0,418","-0,460","-0,136","0,016","-0,395","0,170","0,360","-0,101","0,186","0,376","0,024","-0,026","0,014","-0,085","0,017","0,119"
2,"-0,242","-0,091","0,039","-0,198","0,128","0,458","-0,033","-0,134","0,010","0,047","0,169","0,078","-0,024","0,177","0,129","0,089","0,051","0,045","-0,143","0,033","0,242"
3,"-0,194","0,128","0,206","-0,124","0,067","0,144","0,088","-0,133","0,009","0,284","0,301","0,317","-0,003","0,016","-0,204","0,018","0,007","0,065","-0,261","0,050","0,366"
4,"-0,021","0,320","0,327","-0,172","0,128","-0,175","0,026","-0,059","-0,104","0,177","0,261","0,413","-0,110","-0,052","-0,446","-0,101","0,020","0,042","-0,324","-0,019","0,315"
5,"-0,190","0,346","0,098","-0,052","0,126","-0,193","-0,034","0,116","0,077","0,263","0,152","0,233","0,020","-0,027","-0,572","0,029","0,174","0,104","-0,387","0,034","0,249"
6,"-0,164","0,102","-0,256","0,046","0,172","0,034","-0,096","0,252","0,069","-0,030","-0,097","0,037","-0,045","-0,010","-0,517","-0,089","0,071","0,011","-0,446","0,224","0,287"
7,"-0,273","-0,117","-0,428","-0,026","0,053","0,383","-0,094","0,146","0,130","-0,113","-0,126","-0,066","0,114","-0,024","-0,122","-0,107","0,053","0,093","-0,508","0,156","0,236"
8,"-0,339","-0,200","-0,323","0,021","0,112","0,679","-0,034","0,116","0,077","-0,161","-0,130","-0,313","-0,088","0,252","0,167","-0,030","0,064","0,022","-0,449","0,148","0,174"
9,"-0,124","-0,062","0,101","0,039","0,195","0,785","0,027","0,169","0,045","-0,199","-0,038","-0,202","-0,050","0,295","0,539","0,042","-0,008","-0,068","-0,211","0,063","-0,006"
10,"0,105","0,104","0,307","-0,056","0,198","0,171","0,026","0,055","-0,029","-0,168","0,185","-0,076","-0,042","0,320","0,405","0,031","-0,059","-0,037","-0,089","0,002","-0,002"
11,"0,289","0,161","0,292","-0,130","0,044","-0,291","0,088","0,117","0,075","0,036","0,153","0,021","0,022","0,303","0,350","-0,041","-0,103","-0,017","-0,209","0,010","0,062"
12,"0,045","0,349","0,250","0,000","0,054","-0,250","0,026","-0,111","-0,074","-0,084","0,156","0,044","0,018","0,262","0,425","0,007","-0,161","0,026","-0,146","0,078","0,113"
13,"-0,004","0,267","0,082","-0,034","0,210","-0,087","0,028","0,064","0,107","0,084","0,157","0,267","0,081","0,438","0,378","0,013","-0,194","-0,025","-0,145","0,025","0,181"
14,"-0,128","0,156","0,129","-0,115","0,079","0,203","-0,035","-0,028","-0,051","0,047","0,190","0,395","-0,035","0,228","0,305","-0,177","-0,225","-0,028","-0,266","0,026","0,185"
15,"-0,060","0,102","0,024","-0,219","0,284","0,305","-0,095","0,085","0,025","0,085","0,098","0,283","-0,024","0,177","0,129","0,013","-0,077","0,046","-0,021","0,093","0,230"
16,"0,070","0,050","-0,078","-0,055","0,138","0,182","-0,033","0,063","0,107","-0,048","0,145","0,233","-0,015","0,009","-0,012","-0,189","-0,159","0,074","-0,023","-0,035","0,186"
17,"0,135","0,078","-0,155","-0,154","0,152","-0,057","0,028","0,011","0,137","-0,046","0,086","0,249","-0,075","0,067","-0,033","-0,130","-0,166","0,085","-0,023","0,025","0,178"
18,"-0,010","-0,007","0,218","-0,153","0,092","-0,045","-0,032","-0,073","0,116","-0,036","0,160","0,291","-0,072","-0,009","-0,074","-0,118","-0,115","0,054","0,101","-0,028","0,242"
19,"0,023","0,129","0,630","-0,116","0,139","0,192","0,089","-0,103","0,061","0,084","0,157","0,267","-0,119","-0,194","-0,278","-0,184","-0,075","0,093","0,045","0,056","0,418"
20,"0,015","0,374","0,712","-0,186","0,188","0,130","0,087","-0,028","-0,052","-0,120","0,189","0,171","-0,059","-0,194","-0,274","-0,052","-0,154","0,015","0,045","-0,004","0,426"
21,"-0,117","0,318","0,868","-0,074","0,114","0,064","0,028","0,064","0,107","-0,313","0,238","0,132","-0,070","-0,143","-0,099","-0,069","-0,289","0,026","-0,077","0,117","0,413"
22,"-0,175","0,426","0,810","-0,023","0,102","-0,004","0,028","0,147","0,129","-0,339","-0,163","0,053","-0,152","0,017","0,231","-0,230","-0,251","-0,090","0,049","0,132","0,531"
23,"-0,184","0,180","0,999","0,013","0,208","0,220","-0,094","0,230","0,152","-0,518","-0,217","0,104","-0,102","0,010","0,427","-0,177","-0,225","-0,028","-0,014","0,185","0,464"
24,"-0,408","0,096","0,684","0,103","0,123","0,412","-0,035","0,252","0,068","-0,591","-0,151","0,358","0,077","0,087","0,480","-0,281","-0,656","-0,055","-0,136","0,125","0,475"
25,"-0,268","0,099","0,420","0,061","0,207","0,528","0,028","0,094","0,159","-0,295","-0,020","0,585","-0,057","0,329","0,655","-0,288","-0,506","0,067","-0,073","0,133","0,534"
26,"0,037","0,157","0,412","0,071","0,159","0,599","-0,035","0,055","-0,029","-0,143","0,142","0,703","0,110","0,340","0,917","-0,183","-0,192","0,023","-0,075","0,186","0,466"
27,"-0,024","0,156","0,409","0,085","0,040","0,305","-0,032","-0,073","0,116","0,032","0,313","0,621","0,078","0,204","0,446","-0,118","-0,115","0,054","-0,136","0,125","0,475"
28,"0,407","0,189","0,354","0,209","0,026","-0,089","0,210","0,087","0,021","0,116","0,322","0,409","0,705","0,064","0,208","0,143","-0,039","0,037","-0,141","0,102","0,294"
29,"0,353","0,080","0,268","0,029","0,029","-0,061","0,026","-0,142","-0,127","0,405","0,239","0,309","0,122","0,000","-0,256","-0,041","0,013","0,054","-0,021","0,093","0,230"
30,"0,242","-0,003","0,097","0,034","-0,162","-0,401","0,027","-0,081","-0,021","0,373","0,074","0,168","0,169","0,127","-0,035","-0,029","-0,052","-0,048","0,042","0,101","0,289"
31,"0,207","-0,057","-0,288","-0,055","-0,077","-0,593","0,026","0,222","0,015","0,113","-0,090","-0,186","0,086","0,170","0,329","-0,047","-0,071","0,034","-0,021","0,093","0,230"
32,"-0,155","-0,089","-0,366","0,052","-0,079","-0,295","0,025","0,275","-0,016","-0,013","-0,300","-0,490","0,075","0,221","0,504","-0,177","-0,225","-0,028","0,158","0,198","0,088"
33,"-0,042","-0,088","-0,222","0,126","0,075","0,166","-0,097","0,274","-0,014","-0,350","-0,221","-0,637","0,155","0,195","0,199","-0,105","-0,297","-0,118","0,340","0,189","0,023"
34,"-0,055","0,130","-0,058","0,039","-0,019","0,010","0,026","0,305","0,037","-0,179","-0,360","-0,698","0,167","0,261","-0,010","-0,094","-0,130","-0,079","0,336","0,174","-0,098"
35,"-0,168","0,129","-0,202","0,024","-0,114","-0,472","0,026","0,389","0,059","-0,210","-0,076","-0,576","0,073","0,008","-0,452","-0,029","-0,052","-0,048","0,338","0,121","-0,030"
36,"-0,105","-0,007","-0,198","0,074","-0,067","-0,552","0,026","0,222","0,015","-0,118","0,088","-0,446","0,145","-0,043","-0,623","-0,024","0,148","0,042","0,211","0,098","-0,208"
37,"0,003","-0,033","0,027","0,089","0,028","-0,070","-0,035","0,252","0,068","-0,250","0,097","-0,164","0,129","-0,092","-0,356","-0,072","0,206","-0,001","0,026","0,211","-0,279"
38,"0,438","0,027","-0,109","0,035","-0,007","0,386","0,027","0,200","0,098","-0,044","0,005","-0,052","-0,018","0,084","0,029","-0,125","0,179","-0,064","-0,030","0,054","-0,072"
