Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"0,014","-0,480","-0,146","0,103","0,037","-0,036","-0,168","0,017","-0,069","-0,182","0,363","-0,180","-0,067","0,370","0,246","0,213","0,139","0,025","0,183","0,112","-0,188"
1,"0,132","-0,170","-0,187","0,110","0,116","-0,004","-0,244","0,145","-0,086","-0,162","0,539","-0,227","0,119","0,345","0,203","0,281","0,148","-0,133","0,136","0,153","-0,006"
2,"0,137","-0,248","-0,033","0,059","0,085","0,084","-0,173","0,103","-0,060","0,010","0,389","-0,235","-0,121","0,263","0,157","-0,014","0,410","-0,105","0,136","0,213","-0,020"
3,"0,074","-0,056","-0,030","0,050","0,118","0,005","-0,145","0,048","0,062","0,073","0,459","-0,186","-0,048","0,241","-0,030","-0,027","0,325","-0,115","-0,051","0,143","-0,052"
4,"0,128","0,081","-0,204","0,048","0,175","-0,018","-0,287","0,007","-0,046","0,140","0,512","-0,195","-0,041","0,134","-0,114","0,149","0,251","-0,090","-0,056","0,248","-0,139"
5,"0,069","-0,113","-0,204","0,005","0,116","-0,321","-0,395","0,075","0,071","0,133","0,454","-0,179","-0,154","0,137","-0,258","0,063","-0,027","0,139","-0,051","0,262","-0,080"
6,"-0,049","0,001","-0,045","0,005","0,116","-0,321","-0,120","0,069","-0,118","0,082","0,426","-0,303","-0,032","0,137","-0,250","0,331","-0,929","0,345","-0,182","0,117","-0,162"
7,"-0,107","-0,174","0,013","0,015","0,083","-0,242","-0,097","0,100","0,013","-0,111","0,566","-0,103","-0,151","0,247","-0,310","0,380","-0,715","0,331","-0,229","0,159","0,020"
8,"0,314","0,197","-0,055","-0,220","0,171","-0,176","-0,114","0,108","-0,071","0,080","0,517","-0,201","-0,148","0,030","-0,343","0,185","-0,500","0,259","-0,299","0,133","-0,095"
9,"0,134","0,080","-0,012","-0,029","0,131","-0,122","-0,103","0,061","-0,034","-0,068","0,294","-0,151","-0,087","0,222","-0,361","0,322","-0,418","0,134","-0,173","0,145","-0,044"
10,"0,071","0,060","-0,068","-0,065","0,259","0,031","0,034","0,063","0,027","-0,124","0,283","-0,216","-0,087","0,030","-0,339","0,177","-0,400","0,167","-0,303","0,119","-0,154"
11,"0,008","0,021","-0,182","-0,065","0,259","0,031","-0,097","0,100","0,013","-0,017","0,155","-0,172","-0,154","0,137","-0,258","0,127","-0,204","0,062","-0,238","0,132","-0,099"
12,"0,009","0,117","-0,085","0,006","0,167","0,125","0,039","0,102","0,074","-0,031","0,204","0,004","-0,098","0,108","-0,173","-0,060","-0,089","0,082","-0,168","-0,020","0,056"
13,"0,068","0,157","-0,164","-0,011","0,121","0,013","0,039","0,102","0,074","0,027","0,124","-0,033","-0,228","0,159","-0,071","-0,058","-0,029","-0,054","-0,051","0,143","-0,052"
14,"0,189","0,293","-0,147","-0,003","0,200","0,046","0,011","0,157","-0,048","0,046","0,225","-0,123","-0,105","0,215","-0,089","-0,076","0,111","-0,101","-0,047","0,216","-0,007"
15,"0,185","0,390","-0,243","-0,124","0,204","0,062","-0,151","0,009","0,015","-0,151","0,049","-0,153","-0,181","0,126","0,150","-0,150","0,263","-0,172","0,005","0,128","-0,116"
16,"0,310","0,429","-0,130","-0,062","0,089","0,100","-0,265","0,038","0,085","-0,042","-0,004","-0,066","0,006","0,156","0,081","0,028","0,249","-0,284","-0,060","0,056","-0,157"
17,"0,008","0,252","-0,065","-0,077","-0,013","0,012","-0,276","-0,039","-0,009","-0,118","-0,191","-0,084","-0,172","0,130","0,014","-0,303","0,382","-0,231","-0,112","0,144","-0,048"
18,"-0,045","-0,019","0,089","-0,086","-0,036","-0,044","-0,060","0,074","-0,130","-0,120","-0,265","-0,127","-0,120","0,126","0,154","-0,245","0,495","-0,153","-0,238","0,191","-0,113"
19,"-0,168","-0,098","0,054","-0,164","-0,024","-0,171","-0,151","0,009","0,015","-0,078","-0,371","-0,030","0,066","0,102","0,111","-0,392","0,389","-0,175","-0,360","0,253","-0,118"
20,"-0,108","-0,039","0,033","-0,044","-0,028","-0,187","-0,015","-0,113","0,020","-0,033","-0,569","-0,035","-0,048","0,049","-0,008","-0,224","0,415","-0,242","-0,303","0,179","-0,168"
21,"-0,112","0,193","-0,043","0,096","-0,099","-0,046","0,246","-0,186","0,049","-0,063","-0,712","0,129","0,074","0,050","0,001","-0,235","0,455","-0,197","-0,355","0,207","-0,045"
22,"-0,056","0,348","-0,159","0,095","-0,043","-0,069","0,311","-0,143","0,084","-0,029","-0,710","0,385","0,138","0,024","-0,050","-0,256","0,471","-0,300","-0,360","0,075","-0,077"
23,"0,001","0,369","-0,295","-0,075","-0,126","0,058","0,246","-0,186","0,049","-0,158","-0,833","0,345","0,036","-0,105","-0,334","-0,364","0,618","-0,291","-0,234","0,027","-0,012"
24,"-0,058","0,329","-0,217","0,064","-0,141","0,176","0,180","-0,230","0,014","-0,291","-0,865","0,407","0,037","-0,050","-0,360","-0,137","0,348","-0,161","-0,351","0,221","0,015"
25,"-0,058","0,176","-0,295","0,055","-0,164","0,120","0,180","-0,230","0,014","-0,338","-0,742","0,369","0,097","-0,105","-0,330","-0,319","0,237","-0,105","-0,168","0,099","0,029"
26,"0,003","0,253","-0,258","0,071","-0,061","0,209","0,240","-0,225","0,002","-0,326","-0,700","0,295","0,026","0,027","-0,195","-0,150","0,263","-0,172","-0,042","0,111","0,080"
27,"-0,113","0,116","-0,082","0,002","-0,082","0,161","-0,081","-0,157","-0,015","-0,175","-0,568","0,143","0,074","0,050","0,001","-0,219","0,254","-0,014","-0,112","0,084","-0,035"
28,"0,012","0,155","0,031","-0,134","-0,180","0,089","-0,146","-0,076","0,006","0,038","-0,366","0,041","0,009","0,075","0,052","-0,260","-0,060","0,092","-0,042","0,111","0,080"
29,"0,136","0,252","0,124","-0,232","0,006","0,227","-0,509","-0,145","0,028","-0,461","-0,515","-0,022","0,058","0,153","0,221","-0,595","0,358","-0,029","-0,095","0,079","0,216"
30,"0,078","-0,076","0,105","-0,092","-0,172","-0,054","-0,097","-0,024","-0,043","0,166","-0,318","0,038","0,049","0,150","0,357","-0,357","0,047","0,056","-0,103","0,052","0,098"
31,"0,142","0,039","0,258","-0,154","-0,113","-0,069","-0,109","-0,102","-0,137","0,070","-0,148","-0,080","-0,003","0,153","0,217","-0,181","-0,027","0,081","-0,225","0,113","0,093"
32,"0,143","-0,095","0,238","-0,103","-0,082","-0,156","-0,055","-0,011","-0,139","-0,004","-0,260","-0,055","-0,008","0,123","0,298","-0,313","0,076","0,124","-0,160","0,126","0,148"
33,"-0,047","0,173","0,091","0,028","-0,120","-0,093","-0,037","0,105","0,001","-0,009","-0,243","0,003","0,055","0,043","0,273","-0,042","0,180","0,011","-0,221","0,068","0,165"
34,"-0,112","0,193","-0,043","-0,022","-0,208","0,017","0,033","-0,061","-0,029","0,145","-0,493","0,085","0,061","0,072","0,192","-0,071","-0,114","-0,065","-0,221","0,008","0,179"
35,"-0,109","0,019","0,014","-0,056","-0,193","0,216","0,110","-0,064","0,044","0,164","-0,684","0,330","0,080","-0,057","-0,084","0,053","-0,052","-0,008","-0,407","0,057","0,119"
36,"-0,170","-0,059","-0,023","-0,049","-0,113","0,248","0,115","-0,150","0,034","0,130","-0,976","0,409","0,034","-0,161","-0,308","0,155","0,026","-0,053","-0,412","-0,135","0,101"
37,"-0,169","-0,405","-0,102","-0,051","0,000","0,202","0,229","-0,054","0,021","-0,025","-1,092","0,619","-0,081","-0,268","-0,401","0,281","0,148","-0,133","-0,473","-0,075","0,091"
38,"-0,165","-0,579","-0,045","-0,097","0,161","0,276","0,349","-0,044","-0,002","-0,151","-1,066","0,665","-0,096","-0,165","-0,180","0,187","-0,030","0,004","-0,542","-0,101","-0,023"
39,"-0,347","-0,716","-0,060","-0,113","0,115","0,164","0,468","-0,034","-0,026","-0,424","-0,730","0,613","-0,091","-0,136","-0,261","0,153","-0,034","0,083","-0,355","-0,031","0,010"
40,"-0,294","-0,233","-0,156","0,007","0,110","0,148","0,414","-0,125","-0,023","-0,562","-0,454","0,398","-0,104","-0,113","-0,070","0,574","-0,109","0,166","-0,429","-0,011","-0,177"
41,"-0,124","0,253","-0,447","-0,060","0,033","0,123","0,397","-0,117","-0,107","-0,448","-0,232","0,091","-0,147","-0,107","-0,346","0,886","-0,037","0,258","-0,481","-0,042","-0,041"
42,"0,056","0,294","-0,529","-0,025","-0,038","-0,052","0,456","-0,112","-0,119","-0,261","0,268","-0,096","-0,279","-0,166","-0,193","1,013","-0,324","0,297","-0,538","-0,087","0,036"
43,"0,054","0,198","-0,626","-0,154","-0,113","-0,069","0,272","-0,041","-0,075","-0,085","0,559","-0,353","-0,103","-0,058","-0,096","0,584","-0,149","0,122","-0,351","-0,195","0,110"
44,"0,000","0,062","-0,452","-0,162","-0,136","-0,124","0,343","-0,083","-0,049","0,056","0,724","-0,388","-0,223","-0,004","-0,130","0,329","-0,108","0,108","-0,299","-0,105","-0,040"
45,"-0,050","-0,230","-0,162","-0,068","-0,153","-0,332","0,181","-0,106","0,070","0,235","0,633","-0,411","-0,224","-0,059","-0,104","0,140","-0,119","0,073","-0,360","-0,104","-0,036"
46,"0,019","-0,481","0,046","-0,178","-0,239","-0,213","0,278","-0,002","-0,028","0,340","0,431","-0,410","-0,041","-0,194","-0,095","-0,079","-0,013","-0,157","-0,234","-0,092","0,015"
47,"-0,099","-0,580","0,146","-0,117","-0,241","-0,221","0,246","-0,186","0,049","0,320","0,255","-0,363","-0,155","-0,246","-0,214","-0,095","0,252","-0,149","-0,108","-0,140","0,079"
48,"0,025","-0,482","0,239","-0,102","-0,139","-0,133","0,300","-0,096","0,047","0,368","-0,033","-0,469","-0,106","-0,032","-0,041","-0,092","-0,034","0,025","-0,164","-0,066","0,129"
49,"0,395","-0,268","0,481","-0,258","-0,007","0,036","0,278","-0,002","-0,028","0,328","-0,143","-0,188","0,068","-0,171","0,104","-0,181","-0,027","0,081","0,018","-0,069","0,116"
50,"0,205","-0,076","0,294","-0,134","-0,180","0,089","0,190","0,048","-0,138","0,382","-0,207","-0,165","0,010","-0,061","0,048","-0,013","0,000","0,014","-0,034","0,019","0,226"
51,"0,140","0,309","0,298","0,001","-0,026","0,138","0,164","-0,098","-0,015","0,100","-0,296","0,090","0,133","-0,196","0,053","-0,066","0,136","0,046","-0,034","0,078","0,212"
