Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
0,"-9,321","4,610","1,045","0,567","-1,151","-0,156","63,956","9,015","-0,531","1,017","5,657","0,569","-5,227","0,228","0,154","68,970","19,374","-7,909","12,116","-2,081","0,221"
1,"-9,278","4,610","1,045","0,558","-1,255","-0,166","63,739","9,055","-0,545","1,074","5,761","0,581","-5,092","-0,079","0,107","69,437","19,548","-8,245","12,184","-2,081","0,222"
2,"-9,277","4,556","1,035","0,601","-1,233","-0,168","63,799","9,038","-0,511","1,053","5,776","0,583","-4,931","-0,023","0,109","69,598","19,550","-8,241","12,184","-2,081","0,222"
3,"-9,304","4,462","1,009","0,588","-1,196","-0,161","63,693","9,029","-0,526","1,128","5,820","0,581","-5,065","0,180","0,141","69,239","19,357","-7,980","12,130","-1,984","0,211"
4,"-9,305","4,516","1,024","0,513","-1,161","-0,153","63,722","9,051","-0,490","1,020","5,803","0,583","-5,026","0,180","0,140","69,204","19,388","-7,982","12,130","-2,039","0,217"
5,"-9,058","4,522","1,006","0,436","-1,201","-0,150","63,641","9,046","-0,528","1,139","5,853","0,584","-4,818","0,232","0,145","69,205","19,304","-7,878","12,130","-1,984","0,211"
6,"-9,032","4,523","1,007","0,491","-1,200","-0,155","64,011","9,096","-0,534","1,093","5,877","0,591","-4,817","0,232","0,145","69,391","19,348","-7,927","12,192","-1,985","0,212"
7,"-9,086","4,590","1,021","0,436","-1,201","-0,150","63,859","9,044","-0,533","1,148","5,852","0,584","-4,820","0,163","0,139","69,348","19,353","-7,923","12,138","-1,985","0,211"
8,"-9,239","4,590","1,033","0,490","-1,173","-0,152","64,011","9,096","-0,534","1,117","5,846","0,588","-5,049","0,163","0,144","69,323","19,323","-7,903","12,216","-1,989","0,213"
9,"-9,180","4,590","1,026","0,503","-1,168","-0,152","63,900","9,031","-0,523","1,080","5,809","0,582","-4,913","0,162","0,141","69,348","19,353","-7,923","12,138","-1,985","0,211"
10,"-9,190","5,062","1,214","0,819","-0,686","-0,093","64,239","8,783","-0,110","1,321","5,226","0,469","-5,325","0,183","0,166","68,821","19,077","-7,580","12,361","-2,234","0,263"
11,"-9,619","4,597","1,048","0,458","-0,344","0,029","63,801","8,918","-0,374","1,014","5,089","0,422","-5,205","0,290","0,188","69,423","19,267","-7,795","12,082","-2,040","0,219"
12,"-9,781","4,655","1,074","0,027","-0,756","0,004","63,538","8,946","-0,458","0,488","5,460","0,471","-5,491","-0,088","0,092","69,163","19,477","-8,126","11,881","-1,765","0,158"
13,"-9,662","4,502","1,006","0,678","-0,621","-0,050","63,998","9,083","-0,547","1,144","5,348","0,464","-5,353","0,150","0,158","69,483","19,309","-7,854","12,198","-1,867","0,178"
14,"-9,665","4,535","1,013","0,386","-0,487","0,020","63,682","8,775","-0,193","0,562","5,426","0,454","-4,855","0,515","0,248","69,851","19,223","-7,695","11,884","-1,987","0,201"
15,"-9,840","4,413","0,958","0,247","-0,966","-0,053","63,158","8,844","-0,387","0,770","6,058","0,582","-5,334","0,081","0,151","69,435","19,372","-7,953","11,961","-1,659","0,128"
16,"-9,877","4,599","1,026","0,585","-1,303","-0,166","63,760","8,940","-0,386","1,053","6,214","0,613","-5,618","0,392","0,262","69,137","19,039","-7,498","12,246","-1,836","0,164"
17,"-9,473","4,955","1,146","0,019","-1,173","-0,054","63,695","9,090","-0,593","0,903","5,660","0,487","-5,130","0,058","0,138","69,658","19,291","-7,803","12,337","-2,157","0,232"
