Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
860,"0,995","0,038","0,094","0,017","0,997","-0,015","0,075","0,020","1,000","-0,018","0,024","-0,001","0,997","0,005","0,070","0,006","0,694","-0,709","0,006","0,121","0,531","-0,797","0,235","0,166","0,998","-0,042","0,043","-0,004"
861,"0,995","0,038","0,095","0,018","0,997","-0,015","0,075","0,020","1,000","-0,018","0,025","-0,001","0,998","0,005","0,070","0,006","0,693","-0,710","0,006","0,122","0,529","-0,798","0,235","0,168","0,998","-0,042","0,043","-0,004"
862,"0,995","0,038","0,096","0,018","0,997","-0,015","0,075","0,019","1,000","-0,018","0,026","-0,001","0,998","0,005","0,069","0,006","0,693","-0,711","0,007","0,123","0,528","-0,798","0,234","0,169","0,998","-0,042","0,044","-0,004"
863,"0,995","0,038","0,096","0,018","0,997","-0,015","0,075","0,018","0,999","-0,018","0,026","-0,001","0,998","0,004","0,069","0,005","0,692","-0,711","0,007","0,125","0,528","-0,799","0,234","0,170","0,998","-0,042","0,044","-0,004"
864,"0,994","0,038","0,096","0,019","0,997","-0,015","0,076","0,018","0,999","-0,019","0,027","-0,001","0,998","0,004","0,069","0,004","0,691","-0,712","0,007","0,126","0,527","-0,799","0,233","0,171","0,998","-0,041","0,044","-0,004"
865,"0,994","0,038","0,096","0,020","0,997","-0,015","0,076","0,017","0,999","-0,019","0,027","-0,001","0,998","0,003","0,069","0,003","0,691","-0,712","0,007","0,127","0,527","-0,799","0,233","0,172","0,998","-0,041","0,043","-0,004"
866,"0,994","0,038","0,096","0,021","0,997","-0,015","0,076","0,017","0,999","-0,019","0,028","-0,001","0,998","0,003","0,070","0,002","0,690","-0,712","0,007","0,128","0,527","-0,799","0,233","0,172","0,998","-0,042","0,043","-0,004"
867,"0,994","0,038","0,096","0,021","0,997","-0,015","0,076","0,017","0,999","-0,019","0,028","-0,001","0,998","0,003","0,070","0,001","0,690","-0,712","0,007","0,129","0,527","-0,799","0,233","0,173","0,998","-0,042","0,044","-0,004"
868,"0,994","0,038","0,096","0,021","0,997","-0,014","0,076","0,017","0,999","-0,019","0,028","-0,001","0,997","0,002","0,071","0,001","0,690","-0,712","0,007","0,129","0,527","-0,799","0,233","0,173","0,998","-0,042","0,044","-0,004"
869,"0,994","0,038","0,096","0,020","0,997","-0,014","0,076","0,018","0,999","-0,019","0,027","-0,001","0,997","0,002","0,071","0,001","0,690","-0,713","0,006","0,130","0,527","-0,799","0,233","0,173","0,998","-0,042","0,044","-0,004"
870,"0,994","0,038","0,096","0,020","0,997","-0,014","0,076","0,018","0,999","-0,019","0,027","-0,002","0,997","0,003","0,072","0,001","0,689","-0,713","0,005","0,130","0,526","-0,799","0,233","0,174","0,998","-0,042","0,044","-0,005"
871,"0,994","0,038","0,096","0,019","0,997","-0,014","0,076","0,018","0,999","-0,019","0,026","-0,002","0,997","0,003","0,072","0,002","0,689","-0,713","0,004","0,130","0,526","-0,800","0,232","0,174","0,998","-0,042","0,044","-0,005"
872,"0,994","0,038","0,096","0,019","0,997","-0,015","0,076","0,018","0,999","-0,019","0,026","-0,002","0,997","0,004","0,071","0,003","0,689","-0,713","0,002","0,130","0,525","-0,800","0,232","0,174","0,998","-0,042","0,044","-0,005"
873,"0,994","0,038","0,097","0,019","0,997","-0,015","0,075","0,017","0,999","-0,019","0,026","-0,002","0,997","0,004","0,071","0,003","0,689","-0,713","0,002","0,130","0,524","-0,801","0,231","0,174","0,998","-0,042","0,045","-0,005"
874,"0,994","0,038","0,098","0,019","0,997","-0,016","0,076","0,017","0,999","-0,019","0,026","-0,002","0,998","0,005","0,070","0,004","0,689","-0,713","0,002","0,130","0,523","-0,802","0,231","0,175","0,998","-0,042","0,045","-0,005"
875,"0,994","0,038","0,099","0,020","0,997","-0,016","0,076","0,017","0,999","-0,019","0,026","-0,002","0,998","0,005","0,070","0,004","0,689","-0,713","0,002","0,131","0,522","-0,802","0,230","0,176","0,998","-0,042","0,045","-0,005"
876,"0,994","0,037","0,100","0,020","0,997","-0,016","0,077","0,017","0,999","-0,019","0,026","-0,002","0,998","0,005","0,069","0,004","0,689","-0,713","0,003","0,132","0,522","-0,802","0,230","0,177","0,998","-0,042","0,045","-0,006"
877,"0,994","0,037","0,101","0,021","0,997","-0,016","0,076","0,017","0,999","-0,019","0,027","-0,002","0,998","0,004","0,069","0,004","0,689","-0,713","0,003","0,133","0,521","-0,803","0,229","0,177","0,998","-0,041","0,045","-0,006"
878,"0,994","0,037","0,101","0,022","0,997","-0,016","0,077","0,016","0,999","-0,019","0,027","-0,002","0,998","0,004","0,068","0,003","0,689","-0,713","0,003","0,133","0,521","-0,803","0,229","0,178","0,998","-0,041","0,045","-0,006"
879,"0,994","0,036","0,101","0,022","0,997","-0,017","0,076","0,015","0,999","-0,020","0,028","-0,002","0,998","0,003","0,068","0,001","0,689","-0,712","0,003","0,134","0,520","-0,803","0,228","0,178","0,998","-0,041","0,044","-0,007"
880,"0,994","0,036","0,102","0,023","0,997","-0,017","0,076","0,015","0,999","-0,020","0,028","-0,002","0,998","0,003","0,068","0,000","0,690","-0,712","0,003","0,134","0,520","-0,803","0,228","0,179","0,998","-0,041","0,044","-0,007"
881,"0,994","0,036","0,102","0,024","0,997","-0,017","0,077","0,014","0,999","-0,020","0,029","-0,002","0,998","0,002","0,068","-0,001","0,690","-0,711","0,003","0,135","0,521","-0,803","0,227","0,180","0,998","-0,040","0,044","-0,007"
882,"0,994","0,035","0,102","0,024","0,997","-0,017","0,077","0,014","0,999","-0,020","0,029","-0,002","0,998","0,002","0,069","-0,003","0,691","-0,710","0,003","0,135","0,521","-0,803","0,226","0,180","0,998","-0,041","0,044","-0,008"
883,"0,994","0,034","0,102","0,024","0,997","-0,017","0,077","0,014","0,999","-0,020","0,030","-0,003","0,998","0,002","0,069","-0,003","0,692","-0,709","0,003","0,136","0,522","-0,802","0,226","0,181","0,998","-0,041","0,044","-0,008"
884,"0,994","0,034","0,103","0,024","0,997","-0,017","0,077","0,014","0,999","-0,020","0,030","-0,003","0,998","0,002","0,069","-0,004","0,692","-0,708","0,003","0,137","0,524","-0,801","0,226","0,182","0,998","-0,041","0,044","-0,008"
885,"0,994","0,033","0,103","0,023","0,997","-0,017","0,077","0,014","0,999","-0,020","0,030","-0,003","0,998","0,002","0,069","-0,004","0,693","-0,707","0,004","0,137","0,525","-0,800","0,226","0,182","0,998","-0,041","0,044","-0,008"
886,"0,994","0,033","0,103","0,023","0,997","-0,017","0,077","0,014","0,999","-0,020","0,030","-0,003","0,998","0,003","0,070","-0,003","0,694","-0,706","0,004","0,138","0,526","-0,799","0,226","0,182","0,998","-0,041","0,044","-0,008"
887,"0,994","0,033","0,103","0,022","0,997","-0,018","0,077","0,014","0,999","-0,020","0,030","-0,003","0,998","0,003","0,070","-0,003","0,695","-0,705","0,004","0,138","0,527","-0,799","0,226","0,182","0,998","-0,041","0,044","-0,009"
888,"0,994","0,032","0,104","0,023","0,997","-0,018","0,077","0,014","0,999","-0,021","0,030","-0,003","0,998","0,003","0,070","-0,002","0,696","-0,704","0,003","0,138","0,528","-0,798","0,225","0,183","0,998","-0,042","0,044","-0,009"
889,"0,994","0,032","0,105","0,023","0,997","-0,019","0,077","0,014","0,999","-0,021","0,030","-0,003","0,998","0,003","0,070","-0,002","0,697","-0,703","0,004","0,138","0,528","-0,798","0,225","0,183","0,998","-0,042","0,044","-0,009"
890,"0,994","0,032","0,105","0,023","0,997","-0,019","0,077","0,014","0,999","-0,022","0,031","-0,003","0,998","0,003","0,069","-0,001","0,698","-0,702","0,004","0,139","0,530","-0,797","0,225","0,184","0,998","-0,042","0,044","-0,009"
891,"0,994","0,031","0,106","0,023","0,997","-0,019","0,077","0,015","0,999","-0,022","0,032","-0,003","0,998","0,003","0,069","-0,001","0,699","-0,701","0,005","0,140","0,532","-0,796","0,225","0,184","0,998","-0,042","0,044","-0,009"
892,"0,994","0,031","0,106","0,023","0,997","-0,019","0,078","0,015","0,999","-0,022","0,032","-0,003","0,998","0,003","0,068","-0,001","0,700","-0,700","0,006","0,141","0,534","-0,794","0,225","0,184","0,998","-0,042","0,044","-0,009"
893,"0,994","0,031","0,106","0,024","0,997","-0,020","0,078","0,014","0,999","-0,022","0,033","-0,003","0,998","0,003","0,068","-0,001","0,701","-0,699","0,007","0,141","0,535","-0,793","0,225","0,183","0,998","-0,042","0,044","-0,009"
894,"0,994","0,030","0,107","0,024","0,997","-0,020","0,078","0,014","0,999","-0,022","0,033","-0,003","0,998","0,003","0,068","-0,002","0,702","-0,698","0,008","0,142","0,537","-0,792","0,225","0,183","0,998","-0,042","0,045","-0,009"
895,"0,994","0,030","0,107","0,025","0,997","-0,020","0,079","0,014","0,999","-0,022","0,033","-0,003","0,998","0,003","0,068","-0,002","0,703","-0,697","0,008","0,143","0,539","-0,791","0,225","0,182","0,998","-0,043","0,045","-0,009"
896,"0,994","0,030","0,107","0,025","0,997","-0,020","0,079","0,014","0,999","-0,022","0,033","-0,003","0,998","0,002","0,069","-0,003","0,703","-0,696","0,009","0,143","0,541","-0,790","0,225","0,182","0,998","-0,043","0,045","-0,009"
897,"0,994","0,030","0,107","0,025","0,997","-0,021","0,079","0,014","0,999","-0,022","0,033","-0,003","0,998","0,002","0,069","-0,003","0,704","-0,695","0,010","0,144","0,543","-0,788","0,225","0,182","0,998","-0,043","0,045","-0,009"
898,"0,994","0,030","0,106","0,025","0,997","-0,021","0,079","0,015","0,999","-0,021","0,032","-0,003","0,998","0,002","0,070","-0,003","0,705","-0,695","0,010","0,144","0,544","-0,788","0,226","0,182","0,998","-0,044","0,045","-0,009"
899,"0,994","0,030","0,106","0,024","0,997","-0,021","0,079","0,015","0,999","-0,021","0,031","-0,003","0,998","0,002","0,070","-0,003","0,706","-0,694","0,010","0,143","0,545","-0,787","0,226","0,181","0,998","-0,044","0,045","-0,009"
900,"0,994","0,030","0,105","0,024","0,997","-0,021","0,078","0,015","0,999","-0,021","0,031","-0,003","0,998","0,002","0,070","-0,002","0,706","-0,693","0,009","0,143","0,545","-0,787","0,225","0,181","0,998","-0,044","0,045","-0,009"
901,"0,994","0,030","0,106","0,024","0,997","-0,021","0,078","0,015","0,999","-0,021","0,031","-0,003","0,998","0,002","0,070","-0,002","0,707","-0,693","0,008","0,142","0,545","-0,787","0,225","0,180","0,998","-0,044","0,045","-0,008"
902,"0,994","0,030","0,106","0,024","0,997","-0,022","0,078","0,015","0,999","-0,021","0,030","-0,003","0,998","0,002","0,069","-0,001","0,708","-0,692","0,007","0,142","0,545","-0,788","0,224","0,180","0,998","-0,043","0,045","-0,008"
903,"0,993","0,030","0,107","0,024","0,997","-0,022","0,078","0,015","0,999","-0,021","0,030","-0,003","0,998","0,002","0,069","-0,001","0,708","-0,692","0,006","0,142","0,545","-0,788","0,224","0,180","0,998","-0,043","0,045","-0,008"
