Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"-0,275","-0,014","0,065","0,348","-0,087","0,221","-0,226","0,543","-0,143","-0,829","-0,250","-0,921","0,077","-0,009","0,050","0,116","-0,025","0,151","-0,249","-0,055","-0,079"
1,"-0,226","-0,002","0,395","0,331","0,026","1,078","-0,128","0,569","-0,252","0,251","0,095","0,267","0,503","-0,008","0,064","-0,514","0,177","-0,015","-0,383","-0,320","-0,360"
2,"-0,524","-0,077","0,217","0,027","0,210","1,078","-0,193","0,934","-0,359","0,440","0,073","1,000","0,163","-0,106","-0,744","0,099","0,180","-0,028","-0,330","-0,333","-0,545"
3,"-0,184","-0,385","-0,769","0,067","0,014","0,424","-0,214","0,253","-0,236","0,443","0,153","1,362","-0,071","-0,190","-1,045","-0,017","0,492","-0,242","-0,201","-0,198","-0,377"
4,"-0,257","-0,348","-2,190","0,098","0,024","0,167","-0,398","0,031","-0,047","0,512","0,284","1,383","-0,133","-0,366","-0,997","-0,476","0,247","-0,229","0,048","-0,130","-0,270"
5,"0,115","-0,173","-2,388","0,092","-0,087","-0,374","-0,010","0,009","-0,009","0,361","0,188","1,242","-0,137","-0,333","-0,880","-0,418","0,422","-0,283","0,107","-0,013","-0,341"
6,"0,272","-0,426","-1,602","0,055","-0,149","-0,670","0,095","-0,381","0,263","0,275","0,201","0,746","-0,198","-0,392","-0,865","-0,391","0,778","-0,335","0,546","0,069","-0,060"
7,"0,737","-0,344","-0,954","0,116","-0,209","-0,665","-0,103","-0,389","0,220","-0,556","-0,076","-0,439","-0,154","-0,184","-0,352","-0,324","0,728","-0,357","0,738","0,086","0,176"
8,"0,456","-0,203","0,108","-0,033","-0,376","-0,863","0,135","-0,121","0,294","-1,226","-0,243","-1,423","-0,181","0,047","0,469","-0,028","0,530","-0,196","0,492","0,143","0,121"
9,"0,684","0,052","0,537","-0,018","-0,411","-0,732","0,206","-0,691","0,323","-0,964","-0,480","-1,670","-0,182","0,123","0,512","-0,425","0,895","-0,198","0,548","0,134","-0,003"
10,"0,135","-0,062","0,568","-0,158","-0,096","-0,404","-0,037","-0,346","0,256","-0,170","-0,403","-1,385","-0,116","0,015","0,354","-0,351","0,496","-0,247","0,299","-0,057","-0,102"
11,"0,217","0,353","1,655","-0,037","-0,038","-0,431","0,456","-0,139","0,035","0,361","-0,379","-0,471","0,044","0,272","1,047","0,139","0,021","0,118","-0,064","-0,112","-0,021"
12,"-0,521","0,368","1,822","-0,242","-0,013","-0,599","0,146","-0,652","0,074","0,598","-0,356","0,179","0,096","0,355","1,343","-0,081","0,066","0,024","-0,130","-0,242","-0,132"
13,"-1,659","0,060","1,250","-0,340","-0,055","0,112","0,193","0,098","-0,179","0,587","-0,309","0,108","0,153","0,388","1,462","0,154","-0,678","0,065","-0,183","-0,107","0,044"
14,"-0,725","-0,047","0,731","-0,106","-0,031","0,517","0,456","0,314","-0,298","0,785","0,091","0,490","0,107","0,138","1,024","0,257","-0,351","0,138","-0,310","0,006","-0,081"
