Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
372,"1,000","-0,009","0,003","-0,003","1,000","-0,004","0,005","-0,003","1,000","-0,004","0,005","-0,002","1,000","-0,004","0,002","-0,002","1,000","-0,002","0,005","-0,003","1,000","0,000","0,003","-0,002","1,000","-0,005","0,001","-0,002"
373,"1,000","-0,009","0,003","-0,003","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,005","-0,002","1,000","-0,004","0,002","-0,002","1,000","-0,002","0,004","-0,003","1,000","0,000","0,003","-0,002","1,000","-0,005","0,001","-0,002"
374,"1,000","-0,009","0,004","-0,003","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,005","-0,002","1,000","-0,004","0,003","-0,002","1,000","-0,002","0,005","-0,003","1,000","0,000","0,004","-0,002","1,000","-0,005","0,001","-0,002"
375,"1,000","-0,010","0,004","-0,003","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,005","-0,002","1,000","-0,004","0,003","-0,002","1,000","-0,002","0,005","-0,003","1,000","0,000","0,003","-0,002","1,000","-0,005","0,001","-0,002"
376,"1,000","-0,010","0,004","-0,003","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,005","-0,002","1,000","-0,004","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","0,000","0,004","-0,002","1,000","-0,005","0,001","-0,002"
377,"1,000","-0,010","0,004","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,004","0,005","-0,002","1,000","-0,004","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,006","0,001","-0,002"
378,"1,000","-0,011","0,004","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,005","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","0,000","0,004","-0,002","1,000","-0,005","0,002","-0,002"
379,"1,000","-0,011","0,004","-0,002","1,000","-0,005","0,005","-0,003","1,000","-0,004","0,005","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,003","0,005","-0,002","1,000","0,000","0,004","-0,002","1,000","-0,005","0,001","-0,002"
380,"1,000","-0,011","0,004","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,003","0,005","-0,002","1,000","0,000","0,004","-0,002","1,000","-0,005","0,001","-0,002"
381,"1,000","-0,011","0,003","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,005","0,002","-0,002","1,000","-0,003","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,001","-0,002"
382,"1,000","-0,011","0,003","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,005","-0,002","1,000","-0,005","0,002","-0,002","1,000","-0,002","0,005","-0,002","1,000","-0,001","0,003","-0,002","1,000","-0,005","0,001","-0,002"
383,"1,000","-0,011","0,003","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","-0,001","0,004","-0,002","1,000","-0,005","0,001","-0,002"
384,"1,000","-0,012","0,003","-0,002","1,000","-0,003","0,005","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","-0,001","0,003","-0,002","1,000","-0,005","0,001","-0,002"
385,"1,000","-0,011","0,003","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","-0,001","0,004","-0,002","1,000","-0,005","0,001","-0,002"
386,"1,000","-0,011","0,003","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,004","0,005","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,006","0,001","-0,002"
387,"1,000","-0,011","0,003","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,005","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,006","0,002","-0,002"
388,"1,000","-0,011","0,004","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,005","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,006","0,002","-0,002"
389,"1,000","-0,011","0,004","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,005","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,004","-0,002","1,000","-0,006","0,002","-0,002"
390,"1,000","-0,011","0,004","-0,002","1,000","-0,005","0,005","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,005","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,004","-0,002","1,000","-0,005","0,002","-0,002"
391,"1,000","-0,011","0,004","-0,002","1,000","-0,005","0,005","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,006","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,002","-0,002"
392,"1,000","-0,012","0,004","-0,002","1,000","-0,005","0,004","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,006","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,002","-0,002"
393,"1,000","-0,012","0,004","-0,002","1,000","-0,005","0,004","-0,003","1,000","-0,003","0,007","-0,002","1,000","-0,006","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,002","-0,002"
394,"1,000","-0,012","0,004","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,007","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,004","0,002","-0,002"
395,"1,000","-0,011","0,003","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,006","-0,002","1,000","-0,007","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,002","-0,002"
396,"1,000","-0,011","0,003","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,003","0,007","-0,002","1,000","-0,007","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,002","-0,002"
397,"1,000","-0,011","0,003","-0,002","1,000","-0,004","0,005","-0,003","1,000","-0,004","0,007","-0,002","1,000","-0,006","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,002","-0,002"
398,"1,000","-0,011","0,003","-0,002","1,000","-0,003","0,005","-0,003","1,000","-0,003","0,007","-0,002","1,000","-0,006","0,003","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,002","-0,002"
399,"1,000","-0,011","0,003","-0,002","1,000","-0,003","0,005","-0,003","1,000","-0,004","0,007","-0,002","1,000","-0,006","0,004","-0,003","1,000","-0,001","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,002","-0,002"
400,"1,000","-0,011","0,003","-0,002","1,000","-0,003","0,005","-0,003","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,004","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,002","-0,002"
401,"1,000","-0,011","0,002","-0,002","1,000","-0,003","0,006","-0,003","1,000","-0,004","0,007","-0,002","1,000","-0,005","0,004","-0,003","1,000","-0,001","0,005","-0,002","1,000","0,001","0,003","-0,002","1,000","-0,005","0,002","-0,002"
402,"1,000","-0,011","0,003","-0,002","1,000","-0,003","0,006","-0,003","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,004","-0,003","1,000","-0,001","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,002","-0,002"
403,"1,000","-0,011","0,003","-0,002","1,000","-0,003","0,005","-0,003","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,004","-0,003","1,000","-0,002","0,006","-0,002","1,000","0,001","0,003","-0,002","1,000","-0,005","0,002","-0,002"
