Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
0,"0,804","0,593","0,035","0,000","0,976","-0,207","0,066","0,000","0,900","0,421","0,111","0,000","0,787","0,612","-0,080","0,000","0,972","-0,233","-0,036","0,000","0,887","0,415","-0,203","0,000","0,997","-0,069","0,039","0,000"
1,"0,804","0,593","0,036","0,000","0,975","-0,211","0,067","0,000","0,899","0,422","0,113","0,000","0,787","0,611","-0,079","0,000","0,972","-0,233","-0,035","0,000","0,887","0,415","-0,203","0,000","0,997","-0,071","0,040","0,000"
2,"0,804","0,593","0,036","0,000","0,975","-0,211","0,067","0,000","0,900","0,420","0,113","0,000","0,788","0,611","-0,079","0,000","0,972","-0,234","-0,035","0,000","0,887","0,416","-0,202","0,000","0,997","-0,071","0,040","0,000"
3,"0,806","0,591","0,036","0,000","0,975","-0,210","0,067","0,000","0,900","0,421","0,113","0,000","0,788","0,610","-0,079","0,000","0,972","-0,233","-0,036","0,000","0,887","0,415","-0,202","0,000","0,997","-0,070","0,040","0,000"
4,"0,806","0,591","0,036","0,000","0,975","-0,211","0,067","0,000","0,900","0,421","0,113","0,000","0,788","0,610","-0,078","0,000","0,972","-0,234","-0,036","0,000","0,887","0,416","-0,202","0,000","0,997","-0,071","0,040","0,000"
5,"0,806","0,591","0,036","0,000","0,975","-0,211","0,067","0,000","0,900","0,421","0,113","0,000","0,788","0,610","-0,078","0,000","0,972","-0,233","-0,036","0,000","0,887","0,415","-0,202","0,000","0,997","-0,071","0,039","0,000"
6,"0,806","0,591","0,037","0,000","0,975","-0,211","0,067","0,000","0,900","0,421","0,113","0,000","0,788","0,610","-0,078","0,000","0,972","-0,234","-0,036","0,000","0,887","0,415","-0,202","0,000","0,997","-0,071","0,039","0,000"
7,"0,806","0,590","0,037","0,000","0,975","-0,211","0,067","0,000","0,900","0,421","0,113","0,000","0,788","0,610","-0,078","0,000","0,972","-0,233","-0,036","0,000","0,887","0,415","-0,202","0,000","0,997","-0,071","0,039","0,000"
8,"0,806","0,590","0,037","0,000","0,975","-0,211","0,067","0,000","0,900","0,421","0,113","0,000","0,788","0,610","-0,078","0,000","0,972","-0,234","-0,036","0,000","0,887","0,415","-0,202","0,000","0,997","-0,071","0,039","0,000"
9,"0,806","0,590","0,037","0,000","0,975","-0,211","0,067","0,000","0,900","0,421","0,113","0,000","0,789","0,610","-0,078","0,000","0,972","-0,233","-0,036","0,000","0,887","0,415","-0,202","0,000","0,997","-0,070","0,039","0,000"
10,"0,807","0,590","0,036","0,001","0,976","-0,209","0,065","0,000","0,899","0,423","0,113","0,000","0,788","0,610","-0,076","-0,002","0,971","-0,236","-0,038","0,000","0,886","0,417","-0,203","0,000","0,997","-0,068","0,042","0,000"
11,"0,806","0,591","0,038","-0,001","0,975","-0,210","0,068","0,000","0,900","0,421","0,114","-0,001","0,787","0,612","-0,078","0,000","0,972","-0,233","-0,038","-0,001","0,887","0,415","-0,204","0,001","0,997","-0,068","0,039","0,000"
12,"0,805","0,592","0,041","-0,003","0,975","-0,213","0,068","0,000","0,900","0,421","0,111","0,001","0,787","0,612","-0,077","-0,001","0,972","-0,231","-0,038","-0,001","0,886","0,417","-0,203","0,000","0,997","-0,066","0,042","0,000"
13,"0,804","0,593","0,038","-0,001","0,975","-0,211","0,067","0,000","0,901","0,419","0,113","0,000","0,785","0,614","-0,079","0,000","0,972","-0,232","-0,041","-0,001","0,887","0,415","-0,203","0,000","0,997","-0,069","0,041","0,000"
14,"0,805","0,592","0,038","-0,001","0,976","-0,208","0,066","0,000","0,900","0,421","0,113","0,000","0,786","0,614","-0,078","0,000","0,972","-0,233","-0,038","-0,001","0,886","0,416","-0,205","0,001","0,997","-0,070","0,044","0,000"
