Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"0,862","0,106","-0,098","0,193","-0,236","-0,269","0,060","-0,108","0,096","0,166","-0,449","-0,666","0,307","0,047","0,576","0,100","-0,206","-0,069","0,218","0,011","0,019"
1,"1,656","0,028","-0,102","0,168","-0,281","-0,508","0,135","0,136","-0,020","0,220","-0,639","-1,517","-0,058","0,105","0,551","0,579","-0,286","0,028","0,216","0,004","-0,042"
2,"1,493","-0,223","-0,664","0,363","-0,260","-0,407","0,053","-0,144","0,047","0,215","-0,344","-0,761","0,205","-0,097","-0,209","0,236","-0,123","0,135","0,033","-0,056","-0,029"
3,"0,710","-0,406","-0,944","0,474","-0,171","0,063","0,003","0,050","-0,091","0,880","0,128","0,737","0,269","-0,187","-0,309","0,345","-0,204","-0,014","-0,209","0,013","0,032"
4,"0,606","0,008","0,271","0,352","-0,169","0,076","-0,180","0,238","0,023","0,351","0,129","0,502","0,377","0,013","0,208","0,280","-0,031","0,068","-0,213","-0,062","-0,083"
5,"0,092","0,276","1,002","0,404","-0,235","-0,603","-0,031","-0,053","-0,009","0,092","0,109","-0,402","0,478","0,350","1,005","0,134","-0,263","-0,013","0,035","-0,049","0,031"
6,"-0,400","0,516","1,077","0,434","-0,412","-0,885","-0,043","0,117","0,018","0,398","0,083","-0,823","0,355","0,306","1,077","0,245","-0,098","-0,046","0,280","-0,103","0,091"
7,"-0,021","0,614","0,711","0,537","-0,388","-1,088","-0,009","0,341","-0,001","0,233","-0,317","-0,643","0,375","0,103","0,311","-0,190","0,074","-0,209","0,400","-0,171","0,034"
8,"1,925","0,671","0,890","0,515","-0,499","-0,690","-0,062","0,250","-0,003","0,250","-0,445","-0,933","0,279","-0,163","-0,694","-0,268","0,226","-0,275","0,402","-0,286","0,108"
9,"2,255","0,099","0,222","0,595","-0,232","0,062","0,116","0,148","-0,103","0,926","-0,407","-0,540","0,352","-0,347","-1,148","-0,134","0,250","-0,264","0,520","-0,178","-0,030"
10,"1,388","-0,560","-1,118","0,413","-0,110","0,058","-0,009","0,099","-0,126","1,226","-0,083","0,605","0,162","-0,403","-0,886","-0,279","0,141","-0,287","0,395","-0,010","-0,168"
11,"0,374","-0,838","-1,765","0,368","-0,069","-0,381","0,001","0,542","-0,153","1,436","0,381","1,542","0,271","-0,203","-0,368","-0,223","-0,057","-0,188","0,268","-0,090","-0,339"
12,"-0,680","-0,369","-1,345","0,331","-0,257","-0,716","0,000","0,421","-0,215","1,391","0,041","0,868","0,268","-0,054","-0,282","0,001","0,023","-0,042","0,269","-0,144","-0,272"
13,"-0,247","0,197","0,222","0,538","-0,154","-0,508","-0,212","0,177","-0,158","0,841","-0,352","-0,286","0,280","-0,179","-0,753","-0,100","0,006","-0,132","0,269","-0,023","-0,286"
14,"0,520","0,444","0,941","0,532","-0,166","-0,568","-0,353","0,668","-0,277","0,310","-0,170","-1,384","0,289","-0,331","-1,091","-0,044","-0,192","-0,033","0,266","-0,218","-0,386"
15,"1,294","0,113","-0,220","0,718","-0,330","-1,118","-0,124","0,493","-0,176","0,598","0,050","-1,541","0,469","-0,240","-0,984","0,212","-0,041","-0,101","0,203","-0,164","-0,452"
16,"1,838","-0,147","-1,823","0,718","-0,270","-1,129","-0,231","0,310","-0,179","0,256","-0,250","-1,737","0,576","-0,025","-0,408","0,044","-0,195","-0,091","-0,039","-0,157","-0,384"
17,"2,091","-0,327","-2,068","0,718","-0,270","-1,129","-0,196","0,535","-0,198","0,145","-0,297","-0,824","0,748","0,085","0,009","0,223","-0,143","-0,012","-0,401","-0,021","-0,266"
18,"0,543","-0,415","-1,414","0,604","-0,377","-1,034","-0,002","0,256","-0,015","1,269","-0,170","0,492","0,742","0,207","0,230","0,267","-0,239","-0,003","-0,340","0,040","-0,274"
19,"-0,648","-0,130","-0,515","0,682","-0,224","-0,884","-0,284","0,341","-0,117","1,156","-0,309","0,161","0,795","0,167","0,557","0,066","-0,150","-0,124","-0,157","0,160","-0,293"
20,"-0,236","0,319","-0,100","0,447","-0,330","-0,777","-0,309","0,559","-0,125","1,079","-0,118","-0,376","0,602","0,276","0,965","0,110","-0,368","-0,173","-0,155","0,106","-0,226"
21,"-0,147","0,720","0,793","0,308","-0,248","-0,341","0,056","0,141","-0,090","1,403","-0,118","-0,679","0,481","0,201","0,919","0,389","-0,235","-0,139","0,149","0,045","-0,228"
22,"1,149","0,660","0,398","0,444","-0,054","0,356","-0,181","-0,005","-0,102","1,031","-0,342","-0,255","0,442","0,100","0,061","0,155","-0,153","-0,182","0,701","-0,004","-0,117"
23,"2,561","0,147","-1,595","0,353","0,124","0,644","-0,156","0,019","0,030","0,882","0,012","-0,059","0,451","-0,053","-0,277","0,256","-0,136","-0,092","0,827","-0,112","0,014"
24,"1,752","-0,598","-2,828","0,399","-0,013","-0,084","0,078","-0,241","0,117","0,856","0,399","0,552","0,442","0,100","0,061","0,190","-0,151","0,067","0,467","-0,030","0,200"
25,"1,541","-0,632","-2,017","0,560","-0,163","-0,883","-0,115","0,038","-0,066","0,463","0,114","0,425","0,425","0,095","0,756","0,290","-0,070","0,022","0,164","0,099","0,256"
26,"1,975","-0,091","-0,505","0,688","-0,213","-0,825","-0,284","0,341","-0,117","0,493","-0,022","-0,181","0,592","0,370","1,318","0,368","-0,222","0,087","0,160","-0,036","0,149"
27,"0,781","0,164","0,475","0,557","-0,120","-0,329","-0,137","0,541","-0,211","0,363","-0,579","-0,983","0,588","0,475","1,479","0,291","-0,134","0,157","0,038","-0,035","0,152"
28,"-0,347","0,560","1,326","0,607","-0,030","0,147","-0,164","0,596","-0,018","-0,061","-0,450","-1,769","0,582","0,479","1,731","0,268","-0,303","0,132","-0,145","-0,156","0,171"
29,"-0,596","0,882","1,440","0,486","-0,089","0,171","-0,164","0,596","-0,018","0,937","-0,237","-0,896","0,641","0,554","1,776","0,469","-0,328","0,119","-0,024","-0,102","0,100"
30,"-0,125","0,772","0,168","0,546","-0,029","0,154","-0,140","0,377","-0,011","0,846","0,172","0,100","0,658","0,382","1,127","0,346","-0,268","0,121","0,097","-0,042","0,090"
31,"-0,004","0,525","0,217","0,648","0,055","-0,060","-0,075","0,177","-0,100","0,809","0,449","1,054","0,492","0,032","0,522","0,402","-0,278","0,143","0,218","-0,231","0,046"
32,"1,005","0,607","1,019","0,658","-0,036","-0,543","-0,285","0,098","-0,242","0,770","0,844","1,982","0,611","0,182","0,611","-0,190","-0,301","-0,056","-0,030","-0,183","-0,075"
33,"1,861","0,448","0,988","0,844","-0,081","-1,116","-0,400","0,371","-0,355","1,282","0,757","2,113","0,410","0,428","1,298","0,200","-0,500","0,040","-0,272","-0,115","-0,014"
34,"1,768","0,017","0,175","0,849","-0,303","-1,636","-0,059","0,414","-0,203","0,456","-0,018","0,393","0,524","0,506","1,596","0,223","0,044","-0,089","-0,700","0,061","-0,082"
35,"0,851","-0,192","-1,504","0,839","-0,212","-1,153","-0,047","0,366","-0,168","-0,101","-0,544","-0,793","0,660","0,425","1,053","0,278","-0,090","-0,125","-0,584","0,040","-0,267"
36,"0,014","0,044","-2,041","0,859","-0,064","-0,372","0,020","0,530","-0,070","-0,298","-0,411","-1,299","0,608","0,213","0,729","0,278","-0,090","-0,125","-0,458","-0,007","-0,143"
