Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
0,"0,000","-0,009","1,057","0,002","0,000","1,000","-0,003","-0,002","0,941","0,003","-0,001","1,008","0,004","-0,007","1,023","0,001","-0,005","0,960","-0,003","-0,005","1,000"
1,"-0,001","-0,008","1,059","-0,004","-0,006","1,003","0,004","-0,001","0,951","-0,005","0,000","1,004","-0,003","-0,010","1,030","0,000","-0,005","0,964","-0,002","-0,008","1,006"
2,"0,001","-0,008","1,058","-0,005","0,002","1,003","0,001","-0,004","0,948","-0,003","-0,001","1,005","-0,001","-0,009","1,024","-0,007","-0,003","0,959","-0,001","-0,010","1,007"
3,"0,006","0,004","1,055","-0,005","-0,003","1,000","0,001","-0,007","0,946","-0,006","-0,001","1,010","0,001","-0,001","1,028","-0,002","-0,006","0,958","-0,002","-0,008","1,005"
4,"-0,001","0,001","1,055","-0,003","-0,006","1,003","-0,001","-0,002","0,950","-0,004","0,001","1,009","0,007","-0,007","1,024","0,005","-0,001","0,963","0,002","-0,010","1,005"
5,"-0,003","0,006","1,054","-0,002","-0,002","1,008","0,001","-0,002","0,950","-0,006","-0,002","1,021","0,008","-0,005","1,027","0,000","0,001","0,965","0,004","-0,003","1,007"
6,"-0,002","0,000","1,057","0,004","-0,005","1,006","0,002","-0,004","0,947","-0,005","-0,006","1,019","0,004","-0,004","1,027","0,000","-0,005","0,953","-0,001","0,000","1,004"
7,"-0,001","0,007","1,049","0,002","0,002","1,001","-0,001","0,000","0,951","-0,002","-0,009","1,017","-0,002","0,000","1,021","0,002","-0,002","0,965","-0,004","0,000","1,006"
8,"-0,004","0,000","1,054","-0,003","-0,003","1,002","-0,003","-0,009","0,949","-0,005","-0,011","1,017","-0,004","-0,002","1,022","-0,003","0,005","0,960","-0,001","-0,004","1,004"
9,"-0,007","-0,001","1,059","-0,004","-0,006","1,002","-0,003","-0,003","0,945","-0,005","0,001","1,009","-0,002","-0,007","1,031","-0,008","-0,001","0,963","0,000","-0,002","1,007"
