Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"0,121","-0,469","-1,062","0,360","-0,076","-1,362","-0,865","0,704","-0,045","0,006","-0,016","-0,859","0,335","-0,301","-1,333","0,160","0,288","0,400","0,163","-0,190","-0,611"
1,"0,099","-0,690","-2,062","0,199","-0,139","-1,641","-1,116","0,446","0,117","0,432","-0,030","-1,312","0,422","-0,051","-0,513","0,271","0,143","0,386","0,219","-0,341","-0,698"
2,"0,220","-0,878","-2,019","0,232","-0,064","-0,464","-0,931","0,625","0,184","0,115","-0,175","-1,343","0,266","0,257","0,280","0,757","0,005","0,610","0,224","-0,367","-0,564"
3,"0,386","-0,499","-1,597","0,393","0,000","-0,185","-0,913","0,246","0,091","0,029","-0,289","-1,487","0,265","0,141","0,315","0,875","-0,304","0,496","0,346","-0,250","-0,601"
4,"0,416","-0,126","-0,825","0,438","-0,087","-0,298","-0,465","0,267","-0,145","0,109","-0,368","-1,343","0,273","0,145","0,123","0,844","0,001","0,551","0,353","0,034","-0,491"
5,"0,441","0,254","0,084","0,454","-0,061","-0,180","-0,228","0,292","-0,198","0,172","-0,234","-0,943","0,349","0,097","-0,242","0,935","0,555","0,578","0,292","-0,024","-0,472"
6,"0,491","0,406","0,350","0,422","-0,114","-0,416","-0,083","0,367","-0,357","0,088","0,041","-0,306","0,151","-0,167","-1,319","1,271","0,679","0,623","0,285","-0,073","-0,648"
7,"0,634","0,050","-0,143","0,425","-0,089","-0,863","0,108","0,461","-0,302","0,305","0,364","0,266","0,286","-0,449","-1,609","1,492","0,389","0,596","0,224","-0,190","-0,613"
8,"0,352","-0,149","-0,744","0,539","-0,223","-0,912","0,384","0,343","-0,246","0,342","0,383","0,514","0,192","-0,024","-0,850","1,264","0,615","0,431","0,215","-0,432","-0,799"
9,"0,119","-0,302","-1,017","0,430","-0,100","-0,357","0,837","0,244","-0,231","0,405","0,265","0,544","0,047","0,078","-0,313","0,936","0,327","0,285","0,283","-0,501","-0,592"
10,"-0,185","-0,387","-1,051","0,433","0,066","0,109","1,041","0,202","-0,462","0,652","0,199","0,138","0,102","-0,003","-0,158","0,912","-0,277","0,234","0,158","-0,457","-0,663"
11,"-0,329","-0,001","-0,505","0,386","-0,073","-0,231","1,218","0,063","-0,296","0,771","0,001","-0,270","0,202","0,217","0,353","0,616","-0,125","0,038","0,044","-0,348","-0,498"
12,"-0,161","0,076","-0,120","0,365","-0,147","-0,842","0,922","0,155","-0,172","0,776","-0,058","-0,641","0,280","0,092","-0,052","-0,139","-0,162","-0,255","0,165","-0,115","-0,568"
13,"0,141","0,191","-0,033","0,396","0,025","-0,633","0,311","0,226","-0,065","0,561","-0,187","-0,824","0,296","0,043","-0,419","-0,330","-0,176","-0,283","0,175","0,127","-0,383"
14,"0,321","0,359","0,019","0,149","-0,221","-0,607","0,384","0,466","-0,188","0,308","-0,083","-0,884","0,257","-0,176","-0,928","-0,456","-0,055","-0,416","0,299","0,142","-0,329"
15,"0,390","0,238","-0,190","0,192","-0,130","-0,759","0,467","-0,027","-0,041","0,183","-0,078","-0,476","0,242","-0,262","-0,583","-0,353","-0,346","-0,304","0,421","0,200","-0,350"
16,"0,574","-0,034","-0,168","0,087","-0,101","-0,626","0,330","0,094","-0,040","0,254","0,133","-0,038","0,233","-0,132","-0,368","-0,454","0,070","-0,361","0,419","0,183","-0,408"
17,"0,695","0,103","-0,171","0,158","-0,185","0,392","0,178","0,104","0,131","0,292","0,094","0,229","0,096","-0,084","-0,006","-0,194","-0,027","-0,221","0,367","0,191","-0,155"
18,"0,813","0,028","-0,053","0,290","-0,067","0,915","0,185","0,018","0,119","0,442","-0,025","0,441","0,206","0,123","0,255","-0,389","-0,372","-0,042","0,250","0,166","-0,016"
