Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
1409,"0,997","-0,017","-0,067","-0,018","0,820","-0,566","0,065","-0,060","0,669","-0,716","-0,182","-0,080","0,963","0,259","-0,079","-0,001","0,996","0,010","-0,081","-0,039","0,999","-0,014","0,022","-0,035","1,000","0,008","-0,009","0,009"
1410,"0,997","-0,018","-0,066","-0,019","0,820","-0,566","0,065","-0,060","0,669","-0,716","-0,182","-0,081","0,963","0,259","-0,079","-0,001","0,996","0,009","-0,081","-0,039","0,999","-0,014","0,021","-0,035","1,000","0,008","-0,009","0,009"
1411,"0,997","-0,018","-0,066","-0,019","0,820","-0,566","0,065","-0,061","0,669","-0,716","-0,182","-0,081","0,963","0,259","-0,079","-0,002","0,996","0,009","-0,081","-0,038","0,999","-0,014","0,021","-0,035","1,000","0,008","-0,009","0,008"
1412,"0,997","-0,018","-0,066","-0,019","0,820","-0,566","0,065","-0,061","0,669","-0,717","-0,182","-0,081","0,963","0,259","-0,079","-0,002","0,996","0,009","-0,081","-0,038","0,999","-0,014","0,021","-0,035","1,000","0,008","-0,010","0,008"
1413,"0,997","-0,018","-0,066","-0,018","0,820","-0,566","0,065","-0,061","0,668","-0,717","-0,182","-0,081","0,963","0,259","-0,079","-0,002","0,996","0,010","-0,081","-0,037","0,999","-0,014","0,020","-0,035","1,000","0,008","-0,009","0,008"
1414,"0,997","-0,018","-0,066","-0,018","0,820","-0,566","0,065","-0,062","0,668","-0,717","-0,181","-0,081","0,963","0,259","-0,078","-0,003","0,996","0,010","-0,081","-0,037","0,999","-0,014","0,020","-0,035","1,000","0,007","-0,009","0,008"
1415,"0,997","-0,018","-0,066","-0,018","0,820","-0,565","0,065","-0,062","0,668","-0,717","-0,181","-0,081","0,963","0,259","-0,078","-0,003","0,996","0,010","-0,081","-0,037","0,999","-0,014","0,020","-0,035","1,000","0,007","-0,009","0,008"
1416,"0,997","-0,018","-0,067","-0,018","0,820","-0,565","0,066","-0,062","0,669","-0,717","-0,181","-0,081","0,963","0,259","-0,078","-0,004","0,996","0,010","-0,081","-0,037","0,999","-0,014","0,020","-0,035","1,000","0,007","-0,009","0,008"
1417,"0,997","-0,018","-0,067","-0,018","0,820","-0,565","0,066","-0,062","0,669","-0,717","-0,180","-0,081","0,963","0,259","-0,078","-0,004","0,996","0,010","-0,081","-0,037","0,999","-0,014","0,020","-0,035","1,000","0,007","-0,009","0,008"
1418,"0,997","-0,018","-0,066","-0,018","0,820","-0,565","0,066","-0,062","0,669","-0,717","-0,180","-0,081","0,963","0,259","-0,078","-0,004","0,996","0,010","-0,080","-0,036","0,999","-0,014","0,019","-0,035","1,000","0,007","-0,009","0,008"
1419,"0,997","-0,018","-0,066","-0,018","0,820","-0,565","0,066","-0,062","0,669","-0,717","-0,180","-0,081","0,963","0,259","-0,078","-0,005","0,996","0,010","-0,080","-0,036","0,999","-0,014","0,019","-0,035","1,000","0,007","-0,010","0,008"
