Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
581,"0,113","-0,744","0,484","-0,052","-0,022","1,011","0,012","0,045","0,929","-0,176","-0,661","0,548","0,044","-0,038","1,037","-0,022","0,028","0,940","0,011","-0,335","0,738"
582,"0,123","-0,741","0,489","-0,043","0,011","1,001","0,021","0,025","0,953","-0,167","-0,671","0,535","0,050","-0,034","1,048","-0,030","0,044","0,975","0,009","-0,319","0,748"
583,"0,138","-0,752","0,480","-0,017","0,003","0,975","0,040","0,027","0,951","-0,175","-0,678","0,534","0,029","-0,037","1,047","-0,031","0,044","0,957","0,022","-0,321","0,679"
584,"0,161","-0,782","0,406","-0,043","-0,028","0,985","0,015","0,022","0,929","-0,161","-0,692","0,519","0,057","-0,007","1,033","-0,035","0,036","0,958","0,028","-0,311","0,689"
585,"0,153","-0,788","0,442","-0,005","0,008","0,978","0,047","0,023","0,944","-0,157","-0,708","0,545","0,031","-0,014","1,018","-0,014","0,019","0,951","0,035","-0,312","0,676"
586,"0,112","-0,808","0,408","-0,012","-0,007","0,984","0,053","0,004","0,939","-0,159","-0,747","0,471","0,043","0,002","1,022","-0,030","0,035","0,963","0,026","-0,301","0,682"
587,"0,092","-0,818","0,367","-0,019","-0,002","0,989","0,011","0,009","0,942","-0,148","-0,761","0,460","0,018","-0,001","1,026","-0,029","0,035","0,958","0,031","-0,277","0,732"
588,"0,074","-0,834","0,376","-0,026","0,008","1,005","-0,018","0,015","0,952","-0,157","-0,787","0,427","0,001","0,033","1,029","-0,033","0,040","0,965","0,017","-0,246","0,720"
589,"0,064","-0,840","0,385","0,046","0,052","0,999","0,064","0,042","0,932","-0,213","-0,812","0,604","-0,033","0,038","1,041","-0,016","0,044","0,943","0,015","-0,270","0,767"
590,"0,050","-0,863","0,355","0,040","0,045","1,008","0,078","0,036","0,923","-0,190","-0,839","0,369","-0,017","0,042","1,041","-0,041","0,053","0,948","0,018","-0,274","0,689"
591,"0,036","-0,896","0,310","0,064","0,088","0,982","0,032","0,014","0,951","-0,117","-0,885","0,345","-0,011","0,044","1,017","-0,044","0,038","0,960","-0,005","-0,240","0,803"
592,"0,017","-0,901","0,317","0,075","0,069","0,991","0,040","0,061","0,959","-0,080","-0,847","0,425","-0,029","0,031","1,017","-0,033","0,042","0,960","0,010","-0,237","0,773"
593,"0,014","-0,896","0,322","0,055","0,050","0,975","0,041","0,039","0,914","-0,074","-0,833","0,438","-0,032","0,053","1,018","-0,040","0,036","0,955","0,022","-0,214","0,809"
594,"0,005","-0,904","0,322","0,074","0,084","0,975","0,051","0,027","0,958","-0,082","-0,831","0,435","-0,052","0,046","1,021","-0,054","0,054","0,962","0,023","-0,226","0,739"
595,"0,005","-0,934","0,270","0,102","0,063","0,995","0,029","0,061","0,944","-0,072","-0,867","0,415","-0,059","0,063","1,005","-0,038","0,029","0,952","0,037","-0,221","0,813"
596,"0,004","-0,950","0,225","0,079","0,077","1,011","0,037","0,037","0,919","-0,047","-0,888","0,349","-0,058","0,068","1,000","-0,065","0,040","0,971","0,034","-0,246","0,799"
