Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
483,"-0,309","-0,209","0,027","-0,154","0,209","0,353","0,108","0,289","-0,292","0,182","-0,171","-0,108","-0,757","0,100","0,065","0,111","0,319","0,092","0,661","-0,385","-0,056"
484,"-0,343","-0,160","0,036","-0,171","0,142","0,352","0,109","0,296","-0,287","0,147","-0,176","-0,120","-0,752","0,108","0,065","0,110","0,278","0,093","0,651","-0,412","-0,044"
485,"-0,313","-0,116","0,044","-0,177","0,073","0,352","0,087","0,345","-0,283","0,180","-0,162","-0,129","-0,747","0,062","0,071","0,108","0,277","0,086","0,699","-0,422","-0,034"
486,"-0,305","-0,034","0,056","-0,199","0,081","0,365","0,086","0,286","-0,295","0,181","-0,185","-0,135","-0,766","0,066","0,073","0,082","0,212","0,082","0,715","-0,462","-0,023"
487,"-0,308","0,037","0,071","-0,221","0,084","0,380","0,040","0,269","-0,317","0,200","-0,208","-0,131","-0,775","0,019","0,071","0,107","0,272","0,078","0,738","-0,503","-0,012"
488,"-0,281","0,117","0,085","-0,213","0,147","0,391","0,006","0,283","-0,342","0,267","-0,290","-0,118","-0,812","0,011","0,070","0,053","0,267","0,075","0,775","-0,539","-0,003"
489,"-0,270","0,175","0,099","-0,162","0,189","0,392","0,009","0,288","-0,360","0,345","-0,345","-0,102","-0,844","0,039","0,071","0,083","0,231","0,067","0,810","-0,576","0,007"
490,"-0,195","0,143","0,114","-0,150","0,254","0,388","-0,019","0,291","-0,371","0,427","-0,380","-0,088","-0,805","0,049","0,070","0,073","0,258","0,060","0,866","-0,565","0,017"
491,"-0,171","0,158","0,131","-0,177","0,253","0,388","-0,015","0,302","-0,382","0,432","-0,397","-0,084","-0,814","0,059","0,067","0,043","0,306","0,058","0,879","-0,599","0,032"
492,"-0,131","0,172","0,147","-0,176","0,256","0,391","0,050","0,269","-0,384","0,419","-0,432","-0,092","-0,822","0,087","0,060","0,051","0,298","0,057","0,897","-0,632","0,046"
493,"-0,091","0,175","0,161","-0,181","0,255","0,402","0,053","0,241","-0,382","0,395","-0,449","-0,115","-0,812","0,104","0,061","0,000","0,295","0,056","0,905","-0,656","0,062"
494,"-0,008","0,181","0,170","-0,167","0,250","0,423","0,092","0,189","-0,384","0,443","-0,460","-0,143","-0,751","0,129","0,065","0,069","0,317","0,055","0,961","-0,681","0,078"
495,"0,079","0,184","0,177","-0,170","0,249","0,455","0,108","0,143","-0,391","0,475","-0,475","-0,176","-0,690","0,150","0,065","0,129","0,350","0,062","1,019","-0,703","0,094"
496,"0,073","0,228","0,184","-0,178","0,253","0,482","0,109","0,150","-0,400","0,448","-0,492","-0,204","-0,690","0,180","0,066","0,105","0,305","0,068","1,022","-0,724","0,111"
497,"0,067","0,276","0,193","-0,219","0,230","0,499","0,050","0,134","-0,406","0,448","-0,493","-0,224","-0,730","0,177","0,068","0,111","0,300","0,070","1,027","-0,737","0,125"
498,"0,086","0,356","0,201","-0,254","0,237","0,502","0,056","0,078","-0,408","0,445","-0,515","-0,232","-0,740","0,114","0,067","0,145","0,314","0,071","1,050","-0,764","0,136"
499,"0,118","0,433","0,212","-0,246","0,176","0,498","0,120","0,104","-0,408","0,449","-0,523","-0,231","-0,711","0,112","0,058","0,170","0,306","0,075","1,067","-0,784","0,143"
500,"0,167","0,510","0,229","-0,304","0,141","0,490","0,063","0,123","-0,412","0,442","-0,551","-0,224","-0,646","0,077","0,047","0,239","0,317","0,074","1,086","-0,807","0,149"
501,"0,212","0,593","0,251","-0,272","0,099","0,469","0,028","0,152","-0,407","0,506","-0,592","-0,214","-0,649","0,072","0,044","0,247","0,265","0,058","1,108","-0,834","0,156"
502,"0,265","0,674","0,275","-0,222","0,148","0,449","0,072","0,141","-0,397","0,571","-0,661","-0,207","-0,583","0,055","0,041","0,263","0,268","0,039","1,128","-0,862","0,161"
503,"0,334","0,746","0,296","-0,204","0,152","0,445","0,072","0,120","-0,400","0,640","-0,709","-0,200","-0,512","0,025","0,036","0,311","0,236","0,023","1,154","-0,894","0,165"
504,"0,394","0,819","0,314","-0,185","0,175","0,454","0,052","0,154","-0,412","0,704","-0,766","-0,195","-0,461","0,045","0,031","0,298","0,175","0,005","1,174","-0,924","0,168"
505,"0,408","0,852","0,333","-0,154","0,203","0,464","0,048","0,172","-0,422","0,763","-0,757","-0,192","-0,489","0,044","0,029","0,291","0,157","-0,010","1,196","-0,893","0,169"
506,"0,509","0,870","0,354","-0,084","0,187","0,466","0,061","0,209","-0,424","0,867","-0,765","-0,190","-0,492","0,035","0,024","0,250","0,099","-0,019","1,266","-0,882","0,171"
507,"0,507","0,898","0,380","-0,043","0,133","0,463","0,130","0,265","-0,421","0,892","-0,788","-0,189","-0,546","0,061","0,020","0,214","0,114","-0,038","1,285","-0,909","0,173"
508,"0,506","0,898","0,409","-0,105","0,086","0,466","0,141","0,289","-0,416","0,857","-0,799","-0,196","-0,586","0,090","0,019","0,189","0,125","-0,065","1,290","-0,911","0,173"
509,"0,507","0,899","0,446","-0,124","0,077","0,472","0,205","0,332","-0,405","0,820","-0,848","-0,213","-0,622","0,107","0,006","0,155","0,071","-0,088","1,298","-0,909","0,172"
510,"0,529","0,911","0,490","-0,165","0,133","0,476","0,164","0,305","-0,386","0,811","-0,923","-0,234","-0,616","0,104","-0,022","0,148","0,109","-0,105","1,308","-0,914","0,170"
511,"0,613","0,934","0,535","-0,167","0,199","0,484","0,214","0,284","-0,360","0,860","-1,008","-0,265","-0,635","0,136","-0,057","0,139","0,095","-0,115","1,378","-0,928","0,168"
512,"0,735","0,967","0,575","-0,205","0,253","0,504","0,211","0,329","-0,340","0,921","-1,079","-0,305","-0,624","0,139","-0,091","0,132","0,038","-0,122","1,456","-0,926","0,168"
513,"0,788","0,996","0,607","-0,201","0,259","0,536","0,200","0,420","-0,332","0,949","-1,139","-0,348","-0,614","0,144","-0,100","0,115","-0,032","-0,141","1,469","-0,916","0,171"
514,"0,906","1,057","0,632","-0,179","0,252","0,559","0,175","0,468","-0,317","1,051","-1,210","-0,388","-0,592","0,163","-0,093","0,065","-0,088","-0,170","1,547","-0,925","0,175"
515,"0,997","1,131","0,662","-0,183","0,286","0,560","0,172","0,477","-0,287","1,117","-1,315","-0,422","-0,513","0,150","-0,089","0,059","-0,124","-0,198","1,597","-0,954","0,179"
516,"1,056","1,146","0,696","-0,149","0,295","0,553","0,190","0,515","-0,256","1,146","-1,319","-0,446","-0,447","0,139","-0,092","0,074","-0,178","-0,221","1,612","-0,941","0,182"
