Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
30,"-14,232","4,393","1,520","-5,872","-0,983","0,339","64,028","8,651","0,249","-2,978","6,038","0,883","-12,899","0,063","0,208","68,525","18,922","-7,664","15,659","-2,223","0,318"
31,"-14,271","4,388","1,526","-5,877","-0,918","0,355","64,010","8,626","0,283","-3,001","6,034","0,873","-12,902","0,020","0,189","68,533","18,923","-7,659","15,646","-2,195","0,314"
32,"-14,284","4,350","1,510","-5,902","-0,901","0,368","64,042","8,622","0,298","-3,021","6,072","0,876","-12,897","0,036","0,188","68,538","18,926","-7,651","15,656","-2,170","0,312"
33,"-14,342","4,339","1,509","-5,887","-0,891","0,377","64,065","8,613","0,311","-3,039","6,092","0,869","-12,891","0,058","0,189","68,543","18,919","-7,626","15,619","-2,173","0,320"
34,"-14,327","4,328","1,503","-5,882","-0,860","0,393","64,073","8,586","0,341","-2,981","6,069","0,853","-12,880","0,104","0,204","68,577","18,896","-7,584","15,646","-2,187","0,330"
35,"-14,277","4,300","1,482","-5,872","-0,844","0,402","64,063","8,586","0,334","-2,917","6,077","0,849","-12,833","0,152","0,222","68,580","18,891","-7,575","15,674","-2,185","0,335"
36,"-14,275","4,293","1,471","-5,869","-0,876","0,393","64,071","8,600","0,319","-2,862","6,079","0,847","-12,864","0,147","0,230","68,558","18,905","-7,588","15,695","-2,202","0,346"
37,"-14,298","4,234","1,430","-5,863","-0,905","0,385","64,058","8,580","0,338","-2,840","6,131","0,862","-12,912","0,172","0,247","68,553","18,929","-7,613","15,682","-2,167","0,342"
38,"-14,299","4,180","1,396","-5,818","-0,943","0,371","64,117","8,564","0,360","-2,850","6,193","0,882","-12,867","0,189","0,249","68,571","18,967","-7,645","15,661","-2,138","0,339"
39,"-14,315","4,144","1,379","-5,813","-0,977","0,358","64,144","8,596","0,317","-2,906","6,213","0,886","-12,829","0,198","0,237","68,575","18,983","-7,639","15,627","-2,130","0,344"
40,"-14,311","4,142","1,384","-5,836","-0,957","0,359","64,177","8,584","0,335","-2,963","6,237","0,893","-12,818","0,211","0,226","68,553","19,004","-7,640","15,594","-2,119","0,349"
41,"0,355","-0,378","0,001","-0,127","0,102","0,000","0,162","-0,118","0,000","0,068","0,416","0,000","0,111","0,197","0,000","-0,208","-0,144","0,000","0,216","0,308","-0,362"
42,"0,355","-0,445","0,001","-0,521","-0,084","0,001","-0,163","-0,118","0,000","-0,331","0,552","0,003","0,518","0,142","0,001","0,199","0,030","0,000","0,216","0,257","-0,362"
43,"0,290","-0,515","0,001","-0,193","-0,084","0,000","0,165","-0,085","0,000","-0,331","0,552","0,003","0,451","0,211","0,002","0,198","-0,142","0,000","0,216","0,258","-0,362"
44,"0,271","-0,446","0,001","-0,217","-0,145","0,000","-0,163","-0,041","0,000","-0,111","0,536","0,001","0,435","0,220","0,001","0,117","-0,048","0,000","0,132","0,258","-0,362"
45,"0,271","-0,446","0,001","-0,126","-0,147","0,000","-0,071","-0,039","0,000","-0,112","0,537","0,001","0,436","0,220","0,001","0,117","-0,128","0,000","0,132","0,258","-0,362"
46,"-0,051","-0,396","0,000","-0,122","-0,115","0,000","0,018","-0,141","0,000","-0,338","0,445","0,001","0,383","0,266","0,001","0,163","-0,144","0,000","-0,191","0,261","-0,361"
47,"0,088","-0,259","0,000","-0,122","-0,115","0,000","-0,091","-0,140","0,000","-0,199","0,308","0,001","0,382","0,169","0,001","0,162","-0,048","0,000","-0,053","0,123","-0,362"
48,"0,088","-0,340","0,001","0,146","-0,053","0,000","0,012","-0,124","0,000","0,075","0,365","-0,001","0,377","0,113","0,000","0,199","-0,048","0,000","-0,052","0,260","-0,362"
49,"0,072","-0,203","0,000","0,146","-0,034","0,000","0,012","-0,143","0,000","0,074","0,229","0,000","0,362","0,060","0,000","0,200","0,005","0,000","-0,053","0,123","-0,362"
50,"0,073","-0,192","0,000","0,100","0,265","0,000","0,023","-0,144","0,000","0,075","-0,086","0,000","0,296","0,102","0,000","0,137","-0,044","0,000","-0,053","0,123","-0,362"
51,"0,084","-0,180","0,002","0,123","0,247","0,005","0,272","-0,020","-0,008","-0,448","-0,018","-0,010","0,675","0,612","0,003","0,436","-0,642","0,004","-0,350","-0,061","-0,361"
52,"0,064","-0,112","0,002","-0,139","-0,220","0,010","0,028","-0,212","-0,014","-0,078","0,187","-0,021","0,115","0,416","0,003","-0,075","-0,201","0,001","-0,037","-0,193","-0,359"
53,"0,190","-0,233","0,002","-0,290","0,344","0,013","0,283","-0,211","-0,012","-0,501","0,249","-0,036","0,647","-0,012","0,006","-0,026","0,325","0,004","-0,205","0,107","-0,356"
54,"-0,112","-0,501","0,001","-0,245","-0,343","0,018","0,053","0,374","-0,021","-0,449","0,930","-0,046","0,076","0,155","0,002","-0,026","-0,164","0,008","-0,176","0,447","-0,351"
55,"0,079","-0,191","0,003","-0,469","-0,087","0,019","-0,017","0,224","-0,026","-0,494","0,298","-0,057","0,689","0,371","0,002","0,535","-0,205","0,012","-0,336","0,141","-0,348"
