Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
20,"0,969","-0,247","-0,021","-0,001","0,990","-0,127","0,067","0,000","0,890","0,441","0,120","0,000","0,986","-0,146","0,074","0,000","0,985","-0,171","-0,026","0,000","0,886","0,422","-0,190","0,000","0,995","-0,097","0,014","0,000"
21,"0,969","-0,246","-0,019","0,000","0,989","-0,130","0,065","0,000","0,891","0,439","0,120","0,000","0,986","-0,149","0,075","0,000","0,984","-0,174","-0,027","0,000","0,885","0,423","-0,192","0,000","0,995","-0,100","0,015","0,000"
22,"0,969","-0,245","-0,022","-0,001","0,990","-0,129","0,062","-0,001","0,892","0,437","0,120","0,000","0,986","-0,146","0,075","0,000","0,985","-0,171","-0,028","0,000","0,885","0,425","-0,191","-0,001","0,995","-0,097","0,014","0,000"
23,"0,970","-0,243","-0,020","0,000","0,990","-0,127","0,062","0,000","0,891","0,438","0,118","0,001","0,986","-0,149","0,075","0,000","0,985","-0,170","-0,026","0,000","0,885","0,423","-0,193","0,000","0,995","-0,100","0,012","0,000"
24,"0,969","-0,245","-0,021","-0,001","0,990","-0,129","0,064","0,000","0,890","0,439","0,120","0,000","0,986","-0,149","0,072","-0,001","0,985","-0,172","-0,027","0,000","0,884","0,425","-0,193","0,000","0,995","-0,097","0,011","0,000"
25,"0,969","-0,248","-0,022","-0,001","0,989","-0,131","0,065","-0,001","0,891","0,439","0,117","0,002","0,986","-0,151","0,074","0,000","0,985","-0,169","-0,028","0,000","0,885","0,424","-0,194","0,001","0,995","-0,096","0,014","0,000"
26,"0,968","-0,249","-0,020","0,000","0,990","-0,129","0,066","0,000","0,890","0,440","0,119","0,001","0,985","-0,154","0,073","-0,001","0,985","-0,172","-0,026","0,000","0,886","0,422","-0,193","0,001","0,995","-0,097","0,012","0,000"
27,"0,968","-0,251","-0,021","0,000","0,989","-0,130","0,063","-0,001","0,891","0,439","0,118","0,001","0,986","-0,151","0,074","0,000","0,985","-0,170","-0,028","0,000","0,887","0,421","-0,190","0,000","0,995","-0,100","0,012","0,000"
28,"0,967","-0,253","-0,019","0,000","0,990","-0,127","0,064","0,000","0,891","0,437","0,120","0,000","0,986","-0,148","0,075","0,000","0,985","-0,172","-0,026","0,000","0,886","0,422","-0,193","0,001","0,995","-0,097","0,013","0,000"
29,"0,968","-0,251","-0,019","0,000","0,989","-0,130","0,065","0,000","0,890","0,439","0,121","0,000","0,986","-0,147","0,072","0,000","0,985","-0,170","-0,023","0,001","0,886","0,423","-0,190","-0,001","0,995","-0,098","0,010","0,000"
