Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
0,"0,003","0,005","0,885","0,002","-0,003","1,006","-0,004","0,000","0,955","-0,003","-0,002","0,952","0,004","0,002","1,053","0,000","-0,002","0,963","0,007","-0,002","1,003"
1,"0,003","0,007","0,882","-0,001","-0,002","1,010","-0,002","-0,001","0,948","0,000","0,004","0,953","0,002","0,003","1,051","-0,002","-0,004","0,963","0,004","-0,002","1,004"
2,"-0,001","0,001","0,885","-0,003","0,000","1,004","-0,002","0,002","0,956","-0,001","0,000","0,948","-0,003","0,004","1,048","-0,003","-0,005","0,962","0,004","0,000","1,005"
3,"0,003","0,001","0,885","0,000","-0,003","1,007","-0,003","-0,001","0,955","-0,002","0,005","0,952","-0,001","0,004","1,047","-0,002","-0,002","0,964","0,001","0,000","1,005"
4,"-0,005","0,003","0,883","-0,003","0,000","1,006","-0,002","-0,002","0,952","0,002","0,000","0,942","0,005","-0,002","1,052","0,000","0,000","0,961","0,003","-0,003","1,005"
5,"-0,005","0,009","0,883","0,002","-0,005","1,006","0,000","-0,002","0,954","0,004","-0,001","0,948","0,002","0,000","1,054","-0,006","-0,004","0,976","0,001","-0,004","1,008"
6,"-0,003","0,008","0,880","-0,003","0,001","1,006","-0,001","-0,002","0,950","0,002","-0,002","0,952","0,000","-0,001","1,049","0,003","-0,007","0,965","0,002","-0,004","1,005"
7,"-0,001","0,000","0,884","-0,004","-0,003","1,011","-0,001","-0,001","0,951","0,003","0,000","0,946","-0,001","0,006","1,053","0,005","0,006","0,964","0,007","-0,001","1,009"
8,"-0,006","0,002","0,873","-0,003","-0,001","1,011","-0,001","0,001","0,956","0,001","0,000","0,948","0,003","0,001","1,048","0,002","0,000","0,962","0,002","-0,004","1,005"
9,"-0,004","0,004","0,889","0,000","0,000","1,010","-0,001","-0,002","0,957","0,000","0,001","0,956","0,006","0,001","1,046","0,000","0,002","0,964","0,005","0,001","1,005"
10,"-0,001","0,007","0,884","0,000","0,002","1,006","0,002","0,007","0,954","-0,005","-0,003","0,947","0,001","0,005","1,045","0,003","-0,009","0,960","0,003","-0,003","1,006"
11,"-0,006","0,007","0,887","0,002","-0,001","1,010","-0,001","-0,005","0,952","0,005","-0,004","0,950","-0,003","0,004","1,046","0,004","0,002","0,966","0,002","0,001","1,007"
12,"-0,003","0,003","0,879","0,000","-0,002","1,010","-0,003","-0,001","0,951","-0,001","-0,004","0,953","0,003","0,001","1,049","0,004","-0,002","0,961","0,005","0,003","1,005"
13,"-0,001","0,000","0,883","0,004","0,002","1,002","-0,001","-0,002","0,955","0,002","-0,001","0,953","0,002","-0,001","1,048","0,007","0,000","0,964","0,000","0,003","1,004"
14,"-0,002","0,001","0,883","0,000","-0,002","1,006","0,004","-0,002","0,952","0,003","0,000","0,948","0,005","0,004","1,041","0,004","-0,004","0,961","0,001","-0,001","1,007"
15,"-0,004","0,004","0,882","0,002","0,002","1,009","-0,001","0,001","0,957","0,002","0,000","0,952","0,000","0,002","1,044","0,007","0,003","0,961","-0,001","0,000","1,004"
16,"-0,002","0,001","0,881","-0,002","-0,005","1,006","-0,002","-0,004","0,953","0,001","0,004","0,955","0,002","0,005","1,049","0,002","0,000","0,961","0,002","-0,006","1,002"
17,"-0,001","0,003","0,885","-0,004","0,001","1,004","0,000","-0,004","0,950","-0,004","-0,003","0,949","0,001","0,000","1,047","0,003","0,002","0,967","0,001","0,006","1,003"
18,"0,001","-0,002","0,878","0,000","0,002","1,010","-0,006","-0,002","0,953","0,000","0,000","0,956","0,002","-0,001","1,048","0,000","0,001","0,964","0,002","-0,006","1,006"
19,"0,002","0,005","0,886","-0,001","-0,002","1,009","-0,002","0,003","0,955","-0,004","0,001","0,953","0,004","0,004","1,049","0,004","0,002","0,966","0,003","-0,007","1,005"
