Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"16,574","0,963","0,104","-1,472","0,769","-0,127","-1,169","0,254","0,456","15,845","-3,553","-0,731","-1,887","-0,345","-0,449","-0,862","0,243","-0,599","4,230","0,304","-0,535"
1,"16,416","0,711","0,372","-1,585","0,798","-0,056","-0,990","0,271","0,418","16,083","-3,651","-0,746","-1,727","-0,204","-0,165","-1,094","0,265","-0,504","4,351","0,484","-0,568"
2,"16,476","0,864","0,453","-1,586","0,853","-0,081","-1,115","0,220","0,397","15,761","-3,956","-0,896","-1,798","-0,203","-0,033","-0,964","0,039","-0,606","4,296","0,432","-0,495"
3,"16,478","0,956","0,554","-1,539","0,690","-0,149","-0,960","0,218","0,540","15,901","-3,937","-1,012","-1,867","-0,149","0,071","-0,730","0,142","-0,645","4,169","0,546","-0,561"
4,"16,513","1,277","0,336","-1,583","0,742","-0,031","-0,841","0,229","0,515","15,935","-3,961","-0,815","-1,746","-0,147","0,080","-0,787","-0,033","-0,585","4,184","0,570","-0,380"
5,"16,584","1,346","0,567","-1,521","0,685","-0,014","-0,769","0,189","0,540","15,935","-3,961","-0,815","-1,741","-0,175","0,025","-0,797","0,007","-0,540","4,184","0,570","-0,380"
6,"17,121","1,545","0,486","-1,521","0,685","-0,014","-0,835","0,269","0,561","15,731","-3,887","-0,601","-1,789","-0,259","-0,141","-0,685","-0,014","-0,496","4,189","0,517","-0,312"
7,"16,746","1,705","0,458","-1,391","0,650","0,050","-0,966","0,304","0,548","15,975","-3,766","-0,479","-1,169","-0,389","-0,231","-0,285","-0,068","-0,525","4,433","0,454","-0,325"
8,"16,622","1,684","0,407","-1,324","0,729","0,072","-0,841","0,354","0,570","15,833","-3,858","-0,409","-1,461","-0,530","-0,388","-0,509","-0,025","-0,612","4,367","0,447","-0,380"
9,"16,674","1,712","0,269","-1,422","0,864","0,228","-0,841","0,229","0,515","15,741","-3,855","-0,167","-1,521","-0,476","-0,420","-0,451","-0,096","-0,454","4,372","0,515","-0,327"
