Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
734,"0,667","-0,246","-0,533","0,565","0,112","-0,021","0,109","0,303","-0,034","0,203","-0,092","-0,499","0,221","0,189","-0,167","0,314","-0,085","0,194","0,101","-0,074","-0,152"
735,"0,484","-0,143","-0,443","0,482","-0,052","-0,231","0,134","0,326","0,098","0,135","-0,104","-0,550","0,213","0,179","0,025","0,602","-0,114","0,122","0,031","-0,046","-0,281"
736,"0,547","-0,119","-0,714","0,487","-0,041","-0,171","0,187","0,296","0,037","0,111","-0,086","-0,741","0,268","0,286","0,188","0,123","0,156","-0,047","0,031","-0,105","-0,265"
737,"0,609","-0,084","-0,792","0,477","-0,004","-0,302","0,109","0,303","-0,034","0,074","-0,042","-0,557","0,277","0,221","-0,047","-0,222","0,196","0,004","-0,091","-0,102","-0,256"
738,"0,424","-0,007","-0,431","0,516","-0,052","-0,546","0,042","0,261","-0,070","0,181","-0,020","-0,197","0,282","0,054","-0,191","-0,088","0,220","0,014","-0,095","-0,001","-0,347"
739,"0,238","-0,066","-0,082","0,437","-0,016","-0,047","-0,005","0,207","-0,023","0,333","0,092","0,009","0,212","0,120","0,042","0,046","0,056","0,099","-0,091","-0,044","-0,272"
740,"0,116","0,036","0,009","0,448","-0,053","0,084","-0,219","0,337","-0,089","0,417","0,073","0,192","0,272","0,195","0,087","0,026","0,133","0,192","0,031","0,013","-0,298"
741,"0,358","-0,013","0,226","0,427","-0,039","-0,166","-0,205","0,409","0,008","0,364","0,089","0,258","0,218","0,012","-0,118","-0,045","0,002","-0,037","0,087","0,113","-0,393"
742,"-0,006","0,037","0,008","0,406","0,034","-0,428","0,056","0,334","0,028","0,439","0,060","-0,124","0,175","-0,118","-0,590","0,112","0,006","0,075","0,148","0,170","-0,414"
743,"0,119","0,017","-0,376","0,422","0,009","-0,237","-0,141","0,329","-0,018","0,279","-0,125","-0,375","0,061","-0,107","-0,788","0,089","0,025","-0,027","0,265","0,034","-0,449"
744,"0,304","-0,038","-0,681","0,361","0,010","-0,232","-0,238","0,099","0,013","0,043","-0,158","-0,778","0,122","-0,108","-0,785","-0,044","-0,063","0,098","0,213","0,126","-0,344"
745,"0,550","-0,194","-1,077","0,316","-0,014","-0,037","-0,005","0,207","-0,023","-0,010","-0,083","-0,726","0,044","-0,111","-0,344","0,122","-0,032","0,028","0,269","0,050","-0,391"
746,"0,670","-0,287","-0,975","0,310","-0,085","-0,085","0,048","0,177","-0,084","0,014","-0,041","-0,549","-0,081","-0,094","-0,290","0,144","-0,174","0,070","0,199","-0,098","-0,471"
747,"0,607","-0,233","-0,669","0,477","-0,004","-0,302","0,078","0,115","0,034","0,121","0,041","-0,204","-0,086","0,014","-0,130","-0,024","-0,140","0,005","0,199","-0,216","-0,438"
748,"0,483","-0,112","-0,193","0,466","-0,027","-0,422","0,012","0,073","-0,003","0,378","0,003","-0,102","-0,025","0,206","-0,118","0,234","0,133","-0,004","0,073","-0,112","-0,520"
749,"0,176","0,023","0,145","0,516","-0,111","-0,534","0,120","0,254","0,001","0,499","-0,001","-0,117","0,026","0,078","0,109","-0,033","0,274","-0,099","0,134","-0,113","-0,525"
750,"-0,008","0,315","0,554","0,482","-0,052","-0,231","0,178","0,139","-0,074","0,181","-0,020","-0,197","0,085","0,094","0,171","-0,613","0,463","-0,223","0,017","-0,095","-0,457"
751,"-0,070","0,325","0,746","0,498","0,042","-0,064","0,109","0,303","-0,034","-0,023","0,122","-0,393","0,017","0,144","0,344","-0,267","0,357","-0,139","0,031","0,013","-0,298"
752,"0,051","0,188","0,735","0,453","0,018","0,132","-0,046","0,189","0,073","-0,107","-0,037","-0,534","0,019","0,127","0,286","-0,279","0,273","-0,152","0,040","0,045","-0,180"
753,"0,052","0,302","0,691","0,414","0,066","0,376","-0,148","0,043","0,118","0,029","0,047","-0,446","0,092","0,045","-0,006","-0,325","0,245","-0,220","-0,091","-0,044","-0,272"
754,"0,051","0,188","0,735","0,404","0,162","0,233","-0,226","0,051","0,047","0,076","0,190","-0,107","0,108","-0,069","-0,417","-0,547","0,225","-0,172","-0,142","-0,186","-0,102"
755,"0,052","0,100","0,507","0,315","-0,193","-0,002","-0,292","0,009","0,011","0,122","0,096","0,289","0,103","0,098","-0,273","-0,455","0,280","-0,036","0,055","0,035","0,012"
756,"0,299","-0,022","0,033","0,487","-0,101","-0,160","-0,391","0,356","-0,003","0,381","0,290","0,840","0,088","0,137","0,096","-0,378","0,127","0,027","0,242","-0,129","0,105"
757,"0,730","-0,199","-0,747","0,361","-0,050","-0,221","-0,214","0,252","-0,103","0,231","0,232","1,127","0,143","0,244","0,258","-0,066","0,078","0,056","-0,067","-0,198","0,086"
758,"0,793","-0,477","-1,293","0,433","0,092","-0,130","-0,143","0,208","-0,081","0,245","0,028","0,794","0,194","0,250","0,511","-0,066","0,078","0,056","-0,245","-0,119","0,142"
759,"0,364","-0,433","-0,854","0,327","0,069","0,071","0,092","0,437","-0,054","0,009","-0,183","0,433","0,201","0,068","0,309","0,136","-0,013","0,176","-0,306","-0,176","0,162"
760,"0,177","-0,167","-0,174","0,242","0,093","0,510","-0,007","0,086","-0,086","-0,001","-0,311","-0,104","0,215","0,104","-0,017","-0,010","-0,121","0,153","-0,123","-0,063","0,116"
761,"0,236","0,032","0,338","0,332","0,021","0,142","0,104","0,388","-0,019","-0,032","-0,367","-0,339","0,162","-0,020","-0,238","0,158","0,033","0,142","-0,133","-0,095","-0,001"
762,"0,236","-0,069","0,247","0,411","-0,074","-0,345","0,102","0,267","-0,082","0,121","-0,137","-0,161","0,156","-0,046","-0,104","0,214","0,022","0,164","0,171","0,016","-0,056"
763,"0,240","0,082","-0,205","0,395","-0,049","-0,536","-0,078","0,129","-0,108","0,364","-0,030","0,287","0,096","0,013","-0,123","0,222","0,049","-0,017","0,358","0,087","-0,027"
764,"0,181","-0,072","-0,603","0,244","-0,095","-0,139","-0,066","0,080","-0,073","0,442","0,228","0,847","0,087","0,078","0,112","-0,333","0,407","-0,114","0,176","0,150","-0,030"
765,"0,121","-0,160","-0,831","0,337","-0,027","0,214","-0,107","0,062","0,022","0,473","0,344","1,068","0,023","0,036","0,184","-0,199","0,430","-0,104","0,176","0,091","-0,014"
766,"0,183","-0,104","-0,852","0,220","-0,073","0,295","-0,066","-0,170","0,112","0,374","0,276","0,781","0,041","-0,095","-0,285","-0,267","0,357","-0,139","0,171","0,193","-0,105"
767,"0,057","-0,321","-0,572","0,165","0,000","0,348","0,000","-0,128","0,148","0,183","-0,084","0,323","-0,017","-0,111","-0,346","-0,333","0,407","-0,114","0,167","0,059","-0,131"
768,"0,178","-0,088","-0,139","0,138","-0,178","0,073","0,066","-0,086","0,184","0,286","-0,229","-0,288","-0,086","-0,120","-0,157","-0,558","0,329","-0,260","0,115","0,269","-0,058"
769,"0,297","-0,013","0,225","0,127","-0,141","-0,058","0,071","-0,171","0,170","0,285","-0,343","-0,766","-0,029","-0,029","-0,053","-0,355","0,361","-0,081","-0,016","0,298","-0,182"
770,"0,418","0,176","0,545","0,178","-0,045","-0,205","0,202","-0,209","0,180","0,201","-0,324","-0,949","-0,151","-0,028","-0,058","-0,389","0,230","-0,061","-0,076","0,181","-0,145"
771,"0,353","0,205","1,122","0,250","-0,024","-0,091","0,226","-0,306","0,249","0,148","-0,249","-0,897","-0,029","-0,029","-0,053","-0,289","0,123","-0,031","0,050","0,019","-0,047"
772,"0,474","0,372","1,385","0,077","-0,116","0,067","0,012","-0,177","0,182","-0,078","-0,035","-0,791","-0,086","-0,120","-0,157","-0,178","0,101","0,013","0,106","-0,234","-0,045"
773,"0,477","0,330","0,943","0,199","-0,119","0,057","0,007","0,158","0,012","-0,175","0,070","-0,614","-0,088","-0,104","-0,098","-0,101","0,013","-0,058","0,050","-0,216","0,018"
774,"0,599","-0,075","0,578","0,188","-0,142","-0,063","-0,029","0,305","-0,092","-0,054","0,066","-0,629","0,082","0,052","0,246","-0,088","0,032","0,089","-0,006","-0,081","0,049"
775,"0,236","-0,113","0,133","0,178","-0,045","-0,205","0,068","0,285","0,062","-0,295","0,009","-0,078","0,134","0,176","0,467","0,134","-0,135","0,117","0,237","-0,086","0,031"
776,"0,238","-0,268","-0,265","0,183","-0,154","-0,122","0,149","0,322","-0,129","0,152","-0,140","0,088","0,028","0,003","0,067","0,278","-0,150","0,080","0,181","-0,069","0,094"
777,"0,181","-0,353","-0,821","0,226","-0,002","0,343","0,025","0,145","0,095","0,122","-0,201","0,359","0,091","-0,147","-0,015","0,312","-0,207","0,135","0,171","-0,043","-0,040"
778,"0,424","-0,411","-0,797","0,241","-0,027","0,534","-0,053","0,152","0,024","0,190","-0,011","0,368","-0,089","0,030","-0,072","0,390","-0,173","0,123","0,120","-0,009","0,082"
779,"0,792","-0,187","-0,883","0,204","-0,108","0,116","-0,114","0,026","-0,026","0,251","0,106","0,332","-0,021","-0,019","-0,245","0,514","-0,111","0,180","0,181","0,107","0,045"
780,"0,606","-0,302","-0,511","0,189","-0,082","-0,074","0,024","0,024","0,032","0,561","0,111","0,354","-0,022","-0,270","-0,239","0,481","-0,118","0,259","-0,020","-0,012","-0,160"
781,"0,239","-0,053","-0,217","0,188","-0,142","-0,063","0,024","0,024","0,032","0,485","0,144","0,229","-0,018","-0,169","-0,330","0,736","-0,090","0,132","-0,020","-0,130","-0,127"
782,"-0,006","-0,042","-0,027","0,154","-0,023","0,229","0,165","-0,183","0,013","0,296","0,017","0,221","0,047","-0,068","-0,419","0,536","-0,065","0,146","0,040","0,045","-0,180"
783,"-0,006","0,059","0,065","0,094","0,038","0,223","0,100","-0,104","0,040","0,267","0,075","0,464","-0,083","-0,078","-0,231","0,491","-0,157","0,213","0,040","0,045","-0,180"
784,"0,176","0,023","0,145","0,159","-0,072","0,300","0,238","-0,105","0,098","0,319","-0,060","0,426","-0,020","-0,094","-0,288","0,458","-0,099","0,158","-0,011","0,020","-0,042"
785,"0,361","-0,190","-0,229","0,083","-0,105","0,126","0,260","-0,074","-0,081","0,136","-0,049","-0,058","-0,078","-0,110","-0,349","0,144","0,014","-0,005","0,111","0,135","-0,084"
786,"0,362","-0,143","-0,444","0,250","0,036","-0,103","0,059","-0,122","0,135","-0,047","-0,098","-0,528","-0,074","-0,143","-0,466","-0,089","0,097","-0,045","0,176","0,150","-0,030"
787,"0,422","-0,133","-0,251","0,294","-0,120","-0,264","-0,049","-0,053","-0,053","-0,123","-0,184","-0,624","0,039","-0,078","-0,227","0,055","0,270","-0,157","0,050","0,136","-0,079"
788,"0,237","-0,034","0,168","0,217","-0,153","-0,437","-0,076","0,000","0,140","0,103","-0,219","-0,771","0,269","0,018","0,135","0,012","0,301","-0,031","0,064","0,126","0,113"
789,"0,053","0,235","0,520","0,178","-0,045","-0,205","-0,238","0,099","0,013","-0,109","-0,210","-0,998","0,185","0,182","0,720","-0,357","0,425","-0,216","0,050","-0,040","-0,031"
790,"-0,132","0,167","0,677","0,271","0,022","0,147","-0,224","0,172","0,110","-0,267","-0,281","-0,771","0,198","0,159","0,410","-0,522","0,770","-0,296","-0,006","0,036","0,016"
791,"-0,070","-0,001","0,415","0,154","-0,023","0,229","-0,148","0,043","0,118","-0,312","-0,133","-0,674","0,204","0,051","0,250","-0,192","0,334","-0,345","0,055","0,035","0,012"
792,"0,053","0,033","0,337","0,093","-0,142","0,257","-0,088","0,049","0,106","-0,061","-0,012","-0,167","0,020","0,186","0,269","-0,211","0,533","-0,193","0,176","0,091","-0,014"
793,"0,238","-0,022","0,032","0,204","-0,108","0,116","-0,022","0,091","0,142","0,183","-0,084","0,323","0,025","0,153","0,152","-0,177","0,288","-0,063","0,115","-0,025","0,023"
794,"0,480","-0,216","0,043","0,165","0,000","0,348","0,053","-0,158","0,087","0,298","0,072","0,714","-0,081","0,040","-0,264","-0,112","0,051","-0,012","-0,002","-0,065","0,107"
795,"0,481","0,021","0,148","0,104","0,001","0,353","0,178","-0,111","0,111","0,555","0,092","0,801","-0,091","-0,087","-0,039","-0,120","0,025","0,169","-0,002","-0,124","0,123"
796,"0,481","-0,181","-0,036","0,088","-0,033","0,175","0,290","-0,136","0,037","0,405","0,094","1,073","0,095","0,088","-0,081","-0,022","-0,205","0,140","0,064","-0,168","0,194"
797,"0,422","-0,133","-0,251","0,150","0,025","0,158","0,307","-0,019","-0,128","0,563","0,047","0,874","0,039","0,056","-0,200","0,046","-0,132","0,174","0,115","-0,143","0,056"
798,"0,362","-0,019","-0,295","-0,032","0,089","0,162","0,380","0,058","-0,043","0,366","0,084","0,765","-0,017","-0,244","-0,373","0,000","0,029","0,031","0,120","-0,126","0,114"
799,"0,606","0,102","-0,145","0,023","0,016","0,108","0,160","-0,098","0,027","0,335","0,087","0,515","0,049","-0,218","-0,504","-0,001","-0,094","-0,028","0,073","-0,135","0,311"
800,"0,300","0,170","0,023","0,281","-0,014","0,278","0,017","-0,012","-0,017","0,167","-0,053","0,192","-0,071","-0,427","-0,577","0,211","-0,036","-0,030","0,003","-0,108","0,182"
801,"0,239","0,114","0,045","0,170","-0,049","0,420","0,005","0,037","-0,051","0,007","-0,119","-0,087","0,100","-0,212","-0,250","0,314","-0,085","0,194","0,069","-0,093","0,236"
802,"0,177","-0,100","-0,003","0,260","-0,120","0,051","0,112","-0,153","0,074","-0,250","0,039","-0,217","0,146","-0,040","0,147","0,335","-0,226","0,236","0,008","-0,092","0,241"
803,"0,238","-0,246","-0,208","0,239","0,013","-0,222","0,107","-0,068","0,089","-0,334","-0,002","-0,386","0,138","-0,050","0,339","-0,079","-0,129","-0,016","-0,123","-0,121","0,133"
804,"0,298","-0,338","-0,106","0,183","-0,154","-0,122","0,124","-0,201","0,109","-0,273","-0,063","-0,380","0,031","-0,088","-0,034","-0,178","0,101","0,013","-0,128","-0,079","0,058"
805,"0,237","-0,236","-0,015","0,194","-0,131","-0,003","0,124","-0,201","0,109","-0,092","-0,187","-0,374","0,097","-0,121","-0,149","0,179","0,332","-0,101","-0,189","-0,019","0,046"
806,"0,358","-0,250","0,121","0,215","-0,025","0,224","0,148","-0,299","0,178","-0,024","-0,175","-0,323","-0,077","-0,051","-0,365","0,079","0,251","-0,056","-0,264","-0,007","-0,142"
