Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
0,"-0,001","-0,001","1,041","0,000","0,004","0,998","-0,001","-0,003","0,948","0,000","0,008","1,005","-0,003","-0,003","1,019","0,000","0,002","0,960","0,001","-0,002","1,000"
1,"0,000","0,006","1,036","0,005","0,005","0,999","-0,004","-0,002","0,944","-0,003","0,003","1,008","0,002","0,001","1,020","0,001","0,000","0,963","0,001","0,001","1,001"
2,"0,002","0,001","1,036","-0,001","0,008","1,002","0,000","0,002","0,944","-0,003","-0,002","1,009","0,007","0,003","1,021","0,003","-0,008","0,956","0,002","0,000","1,005"
3,"0,006","0,004","1,040","0,005","0,005","1,002","-0,002","-0,001","0,940","0,001","0,002","1,007","0,004","0,001","1,025","0,002","-0,003","0,958","0,001","0,001","1,005"
4,"0,003","0,002","1,034","0,002","0,003","1,001","0,002","-0,001","0,946","0,000","0,000","1,008","0,001","-0,004","1,022","-0,001","-0,002","0,963","0,003","0,003","1,005"
5,"-0,001","-0,003","1,042","0,002","0,000","1,003","0,002","0,004","0,947","0,001","0,003","1,006","0,000","0,003","1,018","-0,002","-0,004","0,959","-0,004","-0,003","1,005"
6,"0,005","-0,003","1,042","0,001","0,004","0,998","0,001","0,001","0,946","0,004","0,003","1,007","-0,001","0,002","1,021","0,000","-0,002","0,958","0,000","0,006","1,001"
7,"0,002","-0,003","1,039","0,004","-0,009","1,002","0,005","0,000","0,942","0,005","0,000","1,004","0,003","0,002","1,024","0,001","0,001","0,958","-0,001","0,002","1,004"
8,"-0,002","-0,012","1,039","0,004","0,002","1,002","0,005","0,007","0,952","0,004","0,000","1,004","0,000","0,000","1,026","0,000","-0,004","0,954","-0,006","0,001","1,003"
9,"0,000","-0,010","1,037","0,001","0,008","1,000","0,003","0,000","0,948","0,007","0,001","1,006","0,001","-0,002","1,021","0,003","-0,003","0,960","-0,004","-0,003","1,005"
10,"-0,003","-0,009","1,037","-0,002","-0,002","1,002","0,002","0,005","0,950","0,003","-0,002","1,006","0,000","0,003","1,022","0,001","-0,001","0,957","-0,005","0,003","1,008"
11,"-0,001","-0,002","1,040","0,000","0,005","0,999","0,004","0,000","0,945","0,003","-0,003","1,005","0,001","-0,002","1,022","0,001","-0,004","0,961","-0,007","0,001","1,005"
12,"-0,001","0,001","1,039","0,000","-0,001","0,998","0,003","-0,001","0,945","0,000","0,003","1,003","0,000","0,004","1,019","0,003","-0,003","0,958","-0,004","0,001","1,001"
