movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_1,f1,11,Nacke i neutral cervikallordos,059,0.318
2a_1,f1,11,Nacke i neutral cervikallordos,061,1.0
2a_1,f1,11,Nacke i neutral cervikallordos,074,1.0
2a_1,f1,11,Nacke i neutral cervikallordos,076,0.7168
2a_1,f1,11,Nacke i neutral cervikallordos,091,0.1734
2a_1,f1,11,Nacke i neutral cervikallordos,093,0.539
2a_1,f2,1,Framåttippning av bäckenet och framåtfällning av bålen,028,0.0
2a_1,f2,1,Framåttippning av bäckenet och framåtfällning av bålen,030,0.0
2a_1,f2,1,Framåttippning av bäckenet och framåtfällning av bålen,045,0.604
2a_1,f2,1,Framåttippning av bäckenet och framåtfällning av bålen,047,0.7078
2a_1,f2,1,Framåttippning av bäckenet och framåtfällning av bålen,059,0.572
2a_1,f2,1,Framåttippning av bäckenet och framåtfällning av bålen,061,0.3774
2a_1,f2,1,Framåttippning av bäckenet och framåtfällning av bålen,074,0.7272
2a_1,f2,1,Framåttippning av bäckenet och framåtfällning av bålen,076,0.5012
2a_1,f2,1,Framåttippning av bäckenet och framåtfällning av bålen,091,0.8762
2a_1,f2,1,Framåttippning av bäckenet och framåtfällning av bålen,093,1.0
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),028,0.0
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),030,0.0
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),045,0.5037
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),047,0.8755
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),059,0.4846
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),061,0.6484
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),074,1.0
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),076,0.9688
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),091,0.6517
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),093,0.6521
