frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
0,0,0.6303727176401022,0.3800968582314802,0.5181084,0.5965624681507428,0.3851470705390242,0.47487825,0.6365024106842758,0.4491805738912637,0.26112998,0.5943860285729704,0.44820802330100523,0.35375643,0.613638650303479,0.45370572248903385,0.24605615,0.589200666143235,0.4528559212218171,0.2386507,0.6486094288663917,0.4948281092077461,0.45364013,0.6239514940344111,0.4952616367855269,0.48897573,0.6125976978621168,0.5599091163220015,0.38535553,0.5841506247494042,0.5599399422669431,0.3303297,0.640838901476708,0.7032582182956574,0.3089375,0.6194041177981581,0.6872682586230324,0.25357068
1,0,0.638532135925409,0.3870557442034158,0.9503039,0.6049431969355833,0.38834903410454835,0.81715417,0.6125743901183953,0.4532366152174578,0.7541379,0.5987823681757638,0.44226666530308845,0.6629024,0.6091214749351329,0.4024597896401169,0.49604067,0.606688678133823,0.39845610626007344,0.51334363,0.646655017517694,0.5188237398748526,0.85416347,0.6195331951687228,0.5175548656274411,0.89075065,0.5972498424972018,0.591985685322405,0.86063355,0.5670549172393629,0.583564190587032,0.8762477,0.639321721045728,0.7152041813127127,0.8921657,0.613858835663717,0.7009619451437269,0.9125439
2,0,0.6394223084288367,0.38570295230547247,0.7240617,0.6008346345452585,0.3882893429250643,0.90160114,0.6106776774538987,0.4514553375778581,0.49735367,0.5987073554972877,0.4436178808810285,0.60664624,0.6041576086535738,0.3999685805892942,0.30931586,0.6083494171561823,0.3953174106063802,0.62539166,0.6456954721027528,0.5167552886911008,0.91063446,0.6192182094960375,0.5156689349139464,0.89503807,0.5950868864786107,0.5920973184341616,0.8121524,0.5671361749523537,0.5848338379894943,0.8438454,0.6408218309166824,0.718089781829081,0.89994365,0.6143303110187252,0.7003162922049743,0.8851228
3,0,0.6396661263449872,0.3855727185012432,0.7037687,0.6017728949055924,0.3890273064010751,0.8568414,0.6116527909577861,0.4525209112770156,0.4903065,0.5979875519344882,0.4432391869926688,0.62210226,0.6045341441834218,0.4009681143740469,0.28560793,0.6077739268936653,0.39523071523079334,0.6519508,0.6463452730573604,0.5178267560377758,0.8638038,0.6195383966989305,0.5181099917767833,0.88908184,0.5956055186412864,0.592363166701108,0.78405935,0.566944572297475,0.5833069633027097,0.8177022,0.640807928029511,0.7161819715071076,0.8744097,0.6143872985709424,0.6991148731364173,0.82070607
4,0,0.6392975386636802,0.38535469184876975,0.716405,0.6010492947314816,0.38802823403005937,0.9145955,0.6112908399801613,0.4523998438152578,0.5120649,0.5986757725577571,0.4436046548487208,0.61855626,0.6042647503307187,0.4019976510062878,0.32124993,0.6073379457885615,0.39647613188303976,0.5241572,0.6461931721182632,0.5168204651919336,0.92405313,0.6195381471710318,0.5162676874780487,0.8976083,0.5951919665819462,0.5916474384239556,0.8200673,0.5674553646028724,0.5850622583878867,0.84228045,0.6409589590061759,0.7177753995516354,0.9077429,0.6146050579177311,0.7000630419769652,0.8817258
5,0,0.6395765144775426,0.385690939306574,0.7512171,0.6017856766835964,0.3888671846750319,0.85017616,0.6116919443596387,0.45182695618075697,0.4794803,0.5988924445832002,0.44261799118617395,0.7827083,0.6046700344924211,0.40033159767605697,0.28094617,0.6082930091786235,0.39456113389216263,0.6520464,0.6460493630929918,0.517604616969876,0.8494886,0.6191213968439602,0.5179641484315299,0.8799288,0.5953362447975681,0.592091102457428,0.7464625,0.5674857953959418,0.5845813309449881,0.9509773,0.6407075609487074,0.7167859411828288,0.8895816,0.6146085040143726,0.6986924503709361,0.8729126
6,0,0.6397133287938148,0.38522769650364774,0.6556622,0.6016008132061119,0.38810671761013543,0.9113891,0.6117722857446813,0.4533318589687965,0.52745557,0.5983242489419653,0.443559405080315,0.6250211,0.6044234746089163,0.4057183938243297,0.36169356,0.6078304885406279,0.39868572546073383,0.541534,0.646809544661278,0.5175189647139932,0.9311455,0.6192333469595024,0.5175299396986258,0.89042175,0.5959946095234033,0.5912261103676514,0.8378146,0.5674263149901414,0.5849879820807615,0.853904,0.6413283405914976,0.7162825512949713,0.75872016,0.6144582355245432,0.7002327090935747,0.8671971
7,0,0.6395637769158093,0.38573173299506974,0.7562916,0.6018218683270533,0.38822013125131494,0.88567865,0.6117355138430127,0.45241832337685295,0.49130192,0.5983895201926157,0.4433694241469597,0.6005939,0.6045538118422381,0.4049105063407591,0.37854946,0.6053556284727472,0.40052453057667436,0.34280175,0.6464370301346972,0.5167285863155751,0.92731225,0.6193030327975934,0.5166760503123061,0.8879639,0.5964519385374469,0.5922988770201038,0.80196303,0.567828449739815,0.5851228643702028,0.85635847,0.6406390670719554,0.717179674000546,0.7414601,0.6146746150936416,0.7009812266325653,0.86136127
8,0,0.6392860665519066,0.3853108637396221,0.7188505,0.6013120308528818,0.3878730477287581,0.89489305,0.6116385321373952,0.4523732632528463,0.45831263,0.5983708655218121,0.44323745367997114,0.6089966,0.6049641230456726,0.4033609141085457,0.33732364,0.6074791745410062,0.3954360198654267,0.5339816,0.6457743937423911,0.5176675913641193,0.901422,0.6184861683701909,0.5176665921097809,0.85952824,0.5956361741841878,0.5927465713930321,0.7682307,0.5670981387207211,0.5842648365065585,0.76395357,0.6403928215524526,0.7171409800342877,0.859149,0.6144550401431761,0.6988243494260401,0.84645563
9,0,0.6394511319765823,0.3857912707525566,0.67670363,0.6016686998858315,0.3878740709759094,0.88492864,0.6120862686453946,0.45475244766812495,0.63451844,0.5991544301891867,0.44442085177910845,0.785521,0.6036801149928726,0.40884163720090716,0.38379,0.6045072938459599,0.4052480677469096,0.4419994,0.6465673181710453,0.5189006217498128,0.915222,0.6185698561259497,0.5192001981224309,0.8721506,0.5968263358231687,0.5918462864248146,0.8368281,0.5670822780172307,0.5850868895899325,0.8682876,0.6413445258566716,0.7136147566434301,0.8511171,0.6137101806515582,0.7005581881729387,0.8903414
