molab_frame,molab_time,video_frame,video_time,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
0,0.0,283,5.66,46.368,9.361,-7.091,95.776,9.071,0.844,68.922,6.67,2.994,50.682,0.488,-0.083,92.832,-0.488,-8.365,71.453,19.028,-5.283,-25.775,-0.539,-0.123,0.001,0.003,0.885,0.005,0.004,1.001,-0.002,0.002,0.944,0.003,0.001,0.952,0.001,0.005,1.035,0.004,-0.003,0.959,-0.006,0.003,0.974,-0.09,-0.375,0.077,-0.135,-0.115,-0.167,-0.069,0.034,0.014,-0.05,0.046,-0.004,-0.005,-0.153,-0.149,0.039,0.028,-0.17,-0.265,0.075,-0.017,0.807,0.582,-0.098,0.0,0.982,-0.167,0.085,0.0,0.899,0.423,0.111,0.0,0.786,0.619,0.008,0.0,0.981,-0.188,-0.05,0.0,0.888,0.41,-0.209,0.0,0.975,0.223,0.005,0.0
1,0.01,283,5.66,46.287,9.392,-7.105,96.097,9.148,0.824,68.91,6.62,3.079,50.991,0.521,-0.109,92.876,-0.464,-8.39,71.76,19.066,-5.304,-25.793,-0.539,-0.123,0.005,0.001,0.883,0.004,0.006,1.005,0.001,0.003,0.945,0.003,0.009,0.96,0.008,0.004,1.029,0.004,0.001,0.958,-0.004,0.003,0.973,0.125,-0.245,-0.007,0.116,-0.102,-0.152,-0.289,0.005,0.147,-0.113,0.164,-0.032,0.398,0.003,0.095,0.418,-0.129,-0.023,-0.204,0.018,-0.18,0.808,0.581,-0.098,0.0,0.982,-0.167,0.085,0.0,0.899,0.423,0.111,0.0,0.784,0.621,0.009,0.0,0.981,-0.189,-0.05,0.0,0.887,0.412,-0.209,0.0,0.975,0.223,0.005,0.0
2,0.02,284,5.68,46.764,9.391,-7.108,96.047,9.332,0.825,68.892,6.542,3.246,51.414,0.554,-0.132,93.012,-0.447,-8.399,71.897,19.074,-5.305,-25.317,-0.541,-0.122,0.002,0.003,0.885,0.0,0.005,1.004,-0.001,0.004,0.95,0.002,0.004,0.947,0.004,0.002,1.034,0.006,-0.001,0.961,-0.004,-0.005,0.97,-0.031,-0.206,-0.169,-0.097,0.081,0.019,0.127,0.169,0.117,0.007,0.21,-0.107,-0.019,0.085,-0.048,0.064,0.139,-0.014,-0.143,0.073,-0.153,0.808,0.581,-0.098,0.0,0.982,-0.167,0.087,0.0,0.899,0.423,0.112,0.0,0.784,0.621,0.009,0.0,0.981,-0.19,-0.05,0.0,0.887,0.412,-0.209,0.0,0.976,0.219,0.005,0.0
3,0.03,284,5.68,46.285,9.417,-7.073,95.946,9.331,0.854,68.876,6.507,3.245,50.89,0.565,-0.2,92.9,-0.402,-8.452,71.646,18.966,-5.159,-25.781,-0.439,-0.1,0.003,0.003,0.881,0.0,0.001,1.007,0.001,0.004,0.949,0.003,0.004,0.952,0.004,0.001,1.036,0.003,-0.004,0.956,-0.005,0.004,0.97,-0.062,-0.028,-0.235,-0.074,0.064,0.152,-0.004,0.079,0.048,-0.117,0.18,-0.224,-0.085,0.163,-0.02,0.074,0.099,-0.058,-0.143,0.075,-0.017,0.808,0.581,-0.099,0.0,0.982,-0.167,0.087,0.0,0.899,0.423,0.111,0.0,0.784,0.62,0.008,0.0,0.981,-0.189,-0.051,0.0,0.888,0.411,-0.209,0.0,0.975,0.223,0.004,0.0
4,0.04,285,5.7,46.504,9.417,-7.074,95.9,9.308,0.82,68.92,6.533,3.235,51.055,0.598,-0.225,92.913,-0.453,-8.463,71.677,18.897,-5.164,-25.562,-0.44,-0.1,0.003,-0.001,0.89,0.006,0.005,1.007,-0.002,0.008,0.949,-0.004,0.002,0.947,0.003,0.005,1.033,-0.003,-0.003,0.961,0.0,-0.001,0.972,-0.023,0.025,-0.054,-0.1,0.196,-0.022,-0.087,0.166,-0.015,-0.115,-0.026,-0.299,-0.081,0.027,-0.031,0.029,0.069,-0.125,0.223,0.021,-0.045,0.808,0.581,-0.099,0.0,0.982,-0.167,0.087,0.0,0.899,0.424,0.111,0.0,0.785,0.62,0.009,0.0,0.981,-0.189,-0.05,0.0,0.888,0.411,-0.208,0.0,0.975,0.221,0.004,0.0
5,0.05,285,5.7,46.317,9.402,-7.056,95.849,9.31,0.823,68.948,6.514,3.244,50.817,0.601,-0.236,92.924,-0.45,-8.457,71.741,18.875,-5.164,-25.762,-0.424,-0.097,0.001,-0.004,0.886,-0.006,0.008,1.003,-0.002,0.008,0.943,-0.003,0.001,0.952,-0.001,0.001,1.036,0.002,0.0,0.958,0.001,0.004,0.977,0.004,0.12,-0.149,-0.028,0.157,0.045,-0.087,0.166,-0.015,-0.053,-0.158,-0.331,-0.142,0.026,-0.037,-0.048,0.16,-0.058,-0.021,0.128,-0.127,0.808,0.581,-0.099,0.0,0.982,-0.167,0.087,0.0,0.899,0.424,0.111,0.0,0.785,0.62,0.009,0.0,0.981,-0.189,-0.05,0.0,0.887,0.412,-0.207,0.0,0.975,0.223,0.004,0.0
6,0.06,286,5.72,46.52,9.409,-7.061,95.824,9.16,0.515,68.97,6.505,3.283,51.033,0.894,-0.467,92.979,-0.5,-8.477,71.755,18.901,-5.203,-25.544,-0.425,-0.096,0.003,0.0,0.883,-0.002,0.002,1.004,-0.002,0.006,0.949,-0.005,-0.002,0.956,0.002,0.0,1.035,0.0,-0.006,0.958,-0.001,-0.008,0.974,0.197,0.059,-0.234,-0.025,0.042,0.085,-0.373,0.091,0.083,0.069,-0.157,-0.333,-0.044,0.119,0.2,-0.194,0.051,-0.077,0.04,0.157,-0.046,0.808,0.581,-0.099,0.0,0.982,-0.167,0.088,0.0,0.899,0.424,0.111,0.0,0.785,0.62,0.012,0.0,0.981,-0.19,-0.05,0.0,0.888,0.411,-0.207,0.0,0.975,0.221,0.004,0.0
7,0.07,286,5.72,46.44,9.416,-7.063,95.808,9.18,0.548,68.973,6.49,3.29,50.947,0.864,-0.443,92.901,-0.513,-8.479,71.761,18.874,-5.202,-25.608,-0.425,-0.097,0.003,-0.001,0.888,-0.001,-0.005,1.007,0.001,0.002,0.944,-0.002,-0.001,0.957,0.0,0.004,1.035,-0.001,0.004,0.957,0.001,-0.002,0.975,0.347,-0.134,-0.149,0.116,0.079,0.178,-0.534,0.18,-0.052,0.195,-0.393,-0.277,0.006,0.222,0.296,-0.094,-0.055,-0.042,0.101,0.185,0.035,0.808,0.581,-0.099,0.0,0.982,-0.167,0.088,0.0,0.899,0.424,0.111,0.0,0.785,0.619,0.012,0.0,0.981,-0.189,-0.05,0.0,0.887,0.412,-0.207,0.0,0.975,0.222,0.004,0.0
8,0.08,287,5.74,46.426,9.423,-7.067,95.92,9.175,0.555,69.051,6.505,3.287,50.94,0.865,-0.444,92.952,-0.537,-8.494,71.856,18.9,-5.235,-25.608,-0.425,-0.097,0.006,-0.002,0.881,-0.001,-0.001,1.004,-0.001,-0.001,0.947,0.001,0.0,0.947,0.0,-0.004,1.035,0.003,0.001,0.96,0.002,0.0,0.977,-0.003,0.139,-0.091,0.123,0.214,0.194,-0.474,0.185,-0.064,0.44,-0.361,-0.163,-0.181,0.298,0.312,0.129,-0.096,0.047,0.04,0.159,0.09,0.808,0.581,-0.099,0.0,0.982,-0.168,0.087,0.0,0.899,0.424,0.111,0.0,0.785,0.619,0.012,0.0,0.981,-0.19,-0.05,0.0,0.887,0.412,-0.207,0.0,0.975,0.222,0.004,0.0
9,0.09,287,5.74,46.152,9.343,-6.89,95.844,9.306,0.762,69.063,6.499,3.29,50.736,0.765,-0.478,92.83,-0.559,-8.505,71.842,18.888,-5.227,-25.73,-0.223,-0.051,0.004,-0.002,0.879,0.001,0.003,1.007,-0.005,0.004,0.948,0.001,0.0,0.948,-0.002,-0.001,1.034,-0.004,0.0,0.958,0.002,0.003,0.976,0.059,0.21,-0.043,0.044,0.118,0.111,-0.266,0.149,0.021,0.138,-0.395,-0.025,-0.056,0.165,0.312,-0.003,0.005,0.092,0.223,0.159,0.089,0.809,0.58,-0.099,0.0,0.982,-0.168,0.088,0.0,0.899,0.424,0.111,0.0,0.785,0.619,0.01,0.0,0.981,-0.19,-0.05,0.0,0.887,0.412,-0.207,0.0,0.975,0.223,0.002,0.0
