molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
0,0.0,76,1.52,57.215,5.635,2.658,43.154,1.211,-0.759,81.002,8.628,-0.44,64.121,17.01,-0.836,83.165,3.138,-7.968,-29.171,-0.268,-0.07,37.947,10.607,-7.154,-0.002,0.002,0.95,-0.001,0.0,0.956,-0.001,0.0,1.0,-0.001,-0.003,0.958,0.001,0.002,1.031,0.003,0.001,0.966,0.005,0.001,0.894,0.071,-0.013,0.14,0.065,-0.154,0.068,0.187,-0.115,0.146,-0.979,-1.326,-0.672,0.119,0.011,-0.027,0.001,0.237,-0.109,0.283,-0.389,0.282,0.904,0.413,0.11,0.0,0.807,0.59,0.015,0.0,0.993,-0.077,0.086,0.0,0.893,0.394,-0.22,0.0,0.983,-0.154,-0.098,0.0,0.968,0.252,0.002,0.0,0.832,0.545,-0.109,0.0
1,0.01,76,1.52,57.194,5.657,2.652,43.165,1.179,-0.708,81.128,8.629,-0.432,64.2,16.984,-0.78,83.31,3.372,-7.78,-29.158,-0.326,-0.085,37.993,10.438,-7.069,-0.001,-0.003,0.949,0.001,0.0,0.957,0.002,-0.002,1.0,0.006,0.0,0.968,0.003,0.003,1.025,0.002,0.001,0.966,0.002,0.002,0.891,0.113,-0.002,0.044,0.007,-0.29,0.048,0.126,-0.054,0.148,-0.256,-0.876,-0.584,-0.116,0.25,0.5,0.185,0.072,-0.063,0.452,-0.022,0.273,0.905,0.411,0.111,0.0,0.807,0.59,0.015,0.0,0.993,-0.078,0.086,0.0,0.893,0.394,-0.22,0.0,0.983,-0.154,-0.098,0.0,0.968,0.252,0.003,0.0,0.832,0.545,-0.107,0.0
2,0.02,77,1.54,57.221,5.659,2.653,43.224,1.198,-0.661,81.204,8.551,-0.511,64.264,17.018,-0.798,83.261,3.366,-7.778,-29.158,-0.456,-0.119,37.964,10.525,-7.174,0.0,0.001,0.948,-0.002,0.001,0.954,0.004,-0.002,1.003,0.003,0.0,0.962,0.009,0.006,1.028,0.0,0.001,0.972,0.001,-0.002,0.89,-0.059,-0.105,0.073,-0.051,-0.407,0.087,-0.026,-0.02,-0.019,-0.498,-0.75,-0.594,-0.093,0.213,0.386,0.306,0.102,-0.118,0.365,0.158,0.181,0.905,0.411,0.111,0.0,0.807,0.59,0.016,0.0,0.993,-0.078,0.086,0.0,0.892,0.394,-0.221,0.0,0.983,-0.154,-0.098,0.0,0.968,0.252,0.004,0.0,0.832,0.545,-0.107,0.0
3,0.03,77,1.54,57.301,5.747,2.52,43.152,1.131,-0.632,81.144,8.448,-0.445,64.33,17.15,-0.838,83.184,3.407,-7.758,-29.171,-0.413,-0.107,37.871,10.493,-7.124,0.004,0.001,0.949,-0.001,0.0,0.957,0.003,-0.003,1.0,0.001,0.002,0.965,0.008,-0.001,1.024,0.0,0.005,0.967,-0.003,-0.005,0.89,-0.041,-0.11,0.158,0.007,-0.29,0.048,-0.116,-0.168,-0.168,-0.446,-0.338,-0.378,0.07,-0.067,-0.077,0.247,0.096,0.019,0.182,0.099,0.118,0.904,0.412,0.11,0.0,0.807,0.59,0.015,0.0,0.993,-0.078,0.084,0.0,0.892,0.394,-0.222,0.0,0.983,-0.154,-0.099,0.0,0.968,0.252,0.004,0.0,0.832,0.544,-0.107,0.0
4,0.04,78,1.56,57.233,5.712,2.572,43.213,1.134,-0.635,81.219,8.517,-0.442,64.368,17.078,-0.825,83.302,3.508,-7.623,-29.171,-0.413,-0.107,37.943,10.328,-7.024,0.0,-0.001,0.947,0.0,0.002,0.953,0.001,-0.004,0.999,-0.001,0.002,0.966,0.001,0.003,1.024,0.004,0.007,0.973,-0.001,0.003,0.891,-0.124,-0.151,0.04,0.13,-0.346,0.064,-0.086,-0.196,-0.357,-0.384,-0.445,-0.258,-0.053,-0.187,-0.063,0.37,-0.069,0.065,0.035,0.027,0.198,0.905,0.411,0.111,0.0,0.807,0.59,0.015,0.0,0.993,-0.078,0.085,0.0,0.892,0.395,-0.221,0.0,0.983,-0.155,-0.099,0.0,0.968,0.252,0.004,0.0,0.832,0.545,-0.105,0.0
5,0.05,78,1.56,57.302,5.674,2.59,43.091,1.117,-0.624,81.227,8.529,-0.428,64.325,17.055,-0.796,83.236,3.418,-7.757,-29.301,-0.412,-0.108,37.814,10.483,-7.127,-0.001,0.001,0.949,0.001,0.002,0.957,0.001,-0.006,1.001,0.001,0.0,0.96,0.003,0.001,1.026,-0.001,0.003,0.975,0.002,0.001,0.888,-0.035,-0.195,0.151,0.07,-0.328,0.124,-0.319,-0.181,-0.632,-0.127,-0.565,0.183,-0.258,-0.214,0.034,0.431,-0.016,0.095,-0.169,-0.143,0.181,0.904,0.412,0.11,0.0,0.807,0.59,0.015,0.0,0.993,-0.078,0.085,0.0,0.892,0.395,-0.221,0.0,0.983,-0.154,-0.099,0.0,0.967,0.253,0.004,0.0,0.832,0.545,-0.107,0.0
6,0.06,79,1.58,57.294,5.677,2.61,43.206,1.095,-0.586,81.204,8.569,-0.426,64.397,17.103,-0.838,83.267,3.512,-7.62,-29.164,-0.456,-0.119,37.957,10.355,-7.06,-0.001,0.0,0.953,0.0,-0.004,0.951,-0.001,-0.002,1.004,0.002,0.003,0.964,0.002,0.004,1.027,-0.001,-0.003,0.973,-0.004,0.001,0.896,-0.087,-0.287,0.156,-0.11,-0.371,0.204,-0.326,-0.254,-0.306,-0.062,-0.545,0.353,-0.303,-0.082,0.243,0.308,-0.01,-0.041,-0.064,-0.292,0.194,0.904,0.412,0.11,0.0,0.807,0.59,0.015,0.0,0.993,-0.078,0.085,0.0,0.892,0.395,-0.221,0.0,0.983,-0.154,-0.099,0.0,0.968,0.252,0.004,0.0,0.832,0.545,-0.105,0.0
7,0.07,79,1.58,57.296,5.65,2.621,43.14,1.094,-0.586,81.183,8.568,-0.424,64.355,17.036,-0.818,83.14,3.4,-7.731,-29.21,-0.454,-0.118,37.887,10.483,-7.141,0.001,0.0,0.948,-0.003,0.001,0.956,-0.002,-0.007,1.004,-0.004,-0.001,0.965,-0.001,0.003,1.028,0.0,0.002,0.978,0.002,0.0,0.894,-0.171,-0.202,0.091,0.01,-0.216,0.281,-0.214,-0.208,-0.02,-0.245,-0.375,0.228,-0.169,0.056,0.487,0.125,-0.041,0.014,-0.142,-0.316,0.262,0.904,0.412,0.11,0.0,0.807,0.59,0.015,0.0,0.993,-0.078,0.085,0.0,0.892,0.395,-0.221,0.0,0.983,-0.154,-0.099,0.0,0.968,0.252,0.004,0.0,0.832,0.545,-0.106,0.0
8,0.08,80,1.6,57.319,5.681,2.609,43.118,1.095,-0.587,81.188,8.567,-0.423,64.398,17.112,-0.852,83.168,3.377,-7.749,-29.21,-0.454,-0.118,37.838,10.504,-7.148,-0.003,0.001,0.951,0.005,-0.003,0.956,0.005,-0.005,1.004,0.004,-0.002,0.958,0.001,-0.001,1.032,0.001,0.001,0.979,0.003,-0.003,0.89,-0.16,-0.121,0.182,-0.055,-0.119,0.187,-0.283,-0.161,0.298,-0.203,-0.47,0.245,-0.239,0.13,0.514,-0.058,0.041,-0.008,0.09,-0.319,0.361,0.904,0.412,0.11,0.0,0.807,0.59,0.015,0.0,0.993,-0.078,0.085,0.0,0.892,0.395,-0.221,0.0,0.983,-0.154,-0.098,0.0,0.968,0.252,0.004,0.0,0.832,0.544,-0.107,0.0
9,0.09,80,1.6,57.337,5.677,2.59,43.161,1.09,-0.604,81.166,8.551,-0.4,64.37,17.113,-0.858,83.09,3.376,-7.731,-29.139,-0.41,-0.107,37.848,10.464,-7.096,0.001,0.002,0.953,0.003,-0.003,0.949,0.005,-0.007,1.001,0.001,-0.002,0.957,0.006,-0.002,1.03,0.001,-0.004,0.978,0.004,-0.001,0.894,-0.16,-0.121,0.182,0.006,-0.042,0.225,-0.162,-0.162,0.277,-0.128,-0.287,-0.002,-0.227,0.112,0.457,-0.059,0.018,-0.091,0.132,-0.283,0.148,0.904,0.412,0.11,0.0,0.807,0.59,0.014,0.0,0.993,-0.078,0.085,0.0,0.892,0.395,-0.221,0.0,0.983,-0.154,-0.098,0.0,0.968,0.252,0.004,0.0,0.832,0.544,-0.106,0.0
