molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,0.0,71,1.42,80.024,10.428,-5.014,97.83,-5.182,-10.435,105.143,-17.442,-22.077,-2.577,1.38,0.031,85.757,21.187,-18.677,71.596,16.444,-11.486,71.03,10.104,-8.555,0.004,0.0,0.941,0.001,-0.002,1.008,-0.003,-0.002,1.044,-0.002,0.002,0.998,0.003,-0.001,0.959,-0.001,0.003,0.897,0.003,0.0,0.953,-0.042,0.214,0.153,0.008,-0.386,-0.292,0.092,0.183,0.606,0.682,-0.138,0.12,0.03,0.54,-0.231,-0.056,0.055,0.073,0.235,-0.531,-0.003,0.882,0.459,0.105,0.0,0.977,-0.213,0.006,0.0,0.968,-0.239,0.08,0.0,1.0,0.022,-0.012,0.0,0.879,0.442,-0.176,0.0,0.792,0.582,-0.183,0.0,0.801,0.59,0.105,0.0
1,0.01,71,1.42,80.282,10.575,-5.091,97.968,-5.249,-10.642,105.055,-17.448,-22.118,-2.582,1.383,0.031,85.85,21.178,-18.674,71.404,16.489,-11.48,70.916,10.287,-8.677,0.002,0.003,0.946,0.003,-0.007,1.009,0.005,-0.002,1.046,-0.002,0.003,0.996,0.001,-0.005,0.966,-0.002,-0.004,0.888,0.0,-0.002,0.947,-0.157,-0.003,0.096,0.132,-0.311,-0.127,-0.239,0.165,0.465,0.618,-0.265,0.235,0.135,0.558,-0.146,0.503,-0.219,-0.032,0.256,-0.399,0.21,0.882,0.459,0.106,0.0,0.976,-0.216,0.006,0.0,0.968,-0.24,0.08,0.0,1.0,0.023,-0.012,0.0,0.879,0.442,-0.176,0.0,0.793,0.581,-0.183,0.0,0.801,0.589,0.107,0.0
2,0.02,72,1.44,80.502,10.571,-5.052,98.206,-5.214,-10.759,105.144,-17.41,-22.136,-2.304,1.383,0.028,85.842,21.215,-18.661,71.682,16.492,-11.478,71.383,10.376,-8.777,0.003,0.003,0.941,0.0,-0.008,1.007,0.0,-0.005,1.046,-0.001,-0.003,0.996,0.003,-0.003,0.957,0.004,-0.001,0.889,-0.002,0.001,0.948,0.136,0.111,0.053,0.013,-0.098,0.045,-0.294,0.303,0.471,0.25,-0.145,0.291,0.23,0.522,-0.255,0.149,-0.12,-0.082,-0.014,-0.257,0.201,0.882,0.46,0.107,0.0,0.976,-0.216,0.006,0.0,0.967,-0.24,0.08,0.0,1.0,0.02,-0.012,0.0,0.88,0.442,-0.177,0.0,0.793,0.581,-0.183,0.0,0.8,0.59,0.108,0.0
3,0.03,72,1.44,80.359,10.468,-5.043,98.011,-5.233,-10.621,105.013,-17.429,-22.239,-2.304,1.383,0.028,85.775,21.133,-18.555,71.678,16.627,-11.581,71.236,10.259,-8.666,0.005,0.0,0.947,0.003,-0.004,1.01,-0.001,0.001,1.044,0.001,-0.003,0.993,-0.002,0.003,0.961,0.002,-0.001,0.885,0.002,-0.002,0.954,0.075,-0.015,0.0,0.015,0.063,0.106,0.071,0.118,0.086,0.018,-0.005,-0.136,-0.123,0.738,-0.258,-0.082,-0.583,-0.105,-0.237,0.027,0.204,0.882,0.459,0.105,0.0,0.976,-0.216,0.006,0.0,0.968,-0.239,0.079,0.0,1.0,0.02,-0.012,0.0,0.879,0.442,-0.176,0.0,0.793,0.581,-0.185,0.0,0.801,0.589,0.107,0.0
4,0.04,73,1.46,80.47,10.531,-5.037,97.989,-5.168,-10.608,105.04,-17.428,-22.247,-2.278,1.384,0.028,85.705,21.193,-18.563,71.703,16.627,-11.58,71.253,10.264,-8.67,0.002,0.003,0.943,-0.002,0.001,1.011,0.001,0.0,1.04,-0.001,-0.003,0.995,0.004,-0.007,0.954,0.003,-0.002,0.896,0.004,-0.003,0.949,-0.044,-0.026,0.023,0.078,0.139,0.271,-0.01,0.118,-0.039,-0.042,0.059,-0.196,0.106,0.578,-0.245,-0.047,-0.48,0.066,-0.327,0.192,0.163,0.881,0.46,0.106,0.0,0.976,-0.216,0.006,0.0,0.968,-0.24,0.08,0.0,1.0,0.02,-0.012,0.0,0.88,0.441,-0.177,0.0,0.793,0.581,-0.185,0.0,0.801,0.589,0.107,0.0
5,0.05,73,1.46,80.369,10.533,-5.081,97.98,-5.224,-10.591,104.902,-17.414,-22.215,-2.279,1.427,0.028,85.66,21.121,-18.489,71.691,16.63,-11.549,71.26,10.248,-8.689,0.0,0.003,0.951,0.001,-0.007,1.017,0.003,0.002,1.045,-0.001,-0.004,0.994,0.003,0.001,0.959,0.004,0.0,0.888,0.001,-0.003,0.945,0.004,0.029,-0.022,0.016,0.114,0.217,-0.064,-0.104,-0.331,-0.04,0.0,-0.26,0.116,0.663,-0.231,-0.124,-0.342,-0.001,-0.317,0.412,0.026,0.882,0.46,0.106,0.0,0.977,-0.215,0.006,0.0,0.968,-0.239,0.079,0.0,1.0,0.02,-0.012,0.0,0.879,0.442,-0.176,0.0,0.793,0.581,-0.185,0.0,0.801,0.589,0.106,0.0
6,0.06,74,1.48,80.352,10.541,-5.081,97.997,-5.237,-10.624,105.069,-17.407,-22.266,-2.266,1.428,0.028,85.674,21.165,-18.519,71.766,16.636,-11.566,71.273,10.277,-8.712,0.002,-0.002,0.94,0.002,-0.006,1.009,-0.001,-0.005,1.047,0.0,-0.004,0.992,0.001,-0.003,0.957,0.004,-0.001,0.881,-0.001,-0.004,0.952,-0.012,0.163,-0.041,0.075,0.093,0.024,0.022,-0.275,-0.535,0.021,-0.061,-0.261,0.106,0.852,-0.302,-0.339,-0.319,0.073,-0.159,0.55,-0.04,0.882,0.459,0.106,0.0,0.976,-0.216,0.006,0.0,0.968,-0.239,0.079,0.0,1.0,0.02,-0.012,0.0,0.88,0.442,-0.176,0.0,0.793,0.581,-0.185,0.0,0.801,0.589,0.107,0.0
7,0.07,74,1.48,80.374,10.543,-5.107,97.965,-5.266,-10.62,104.994,-17.42,-22.261,-2.28,1.428,0.028,85.608,21.162,-18.495,71.689,16.645,-11.56,71.239,10.271,-8.704,0.002,-0.001,0.949,0.005,0.001,1.011,-0.001,-0.003,1.047,0.0,0.001,0.992,0.002,-0.006,0.959,0.003,-0.004,0.89,0.001,-0.001,0.951,-0.054,0.143,0.054,0.071,0.022,-0.278,-0.138,-0.329,-0.757,0.079,-0.066,-0.137,0.029,0.814,-0.288,-0.35,-0.031,-0.097,-0.032,0.336,-0.182,0.882,0.46,0.106,0.0,0.977,-0.215,0.005,0.0,0.968,-0.239,0.079,0.0,1.0,0.02,-0.012,0.0,0.88,0.441,-0.176,0.0,0.793,0.581,-0.185,0.0,0.801,0.589,0.107,0.0
8,0.08,75,1.5,80.386,10.532,-5.08,98.005,-5.234,-10.62,105.007,-17.419,-22.266,-2.266,1.428,0.028,85.622,21.162,-18.5,71.703,16.645,-11.56,71.282,10.272,-8.71,0.004,0.011,0.948,0.0,-0.003,1.006,0.001,-0.003,1.042,-0.001,-0.008,0.995,-0.001,-0.002,0.961,0.002,0.0,0.89,0.002,0.001,0.951,-0.041,0.227,-0.158,0.006,0.007,-0.606,-0.159,-0.331,-0.892,0.568,0.058,-0.18,0.24,0.728,-0.179,-0.405,0.239,-0.139,0.023,0.249,-0.29,0.882,0.46,0.106,0.0,0.976,-0.216,0.006,0.0,0.968,-0.239,0.079,0.0,1.0,0.02,-0.012,0.0,0.88,0.441,-0.176,0.0,0.793,0.581,-0.185,0.0,0.801,0.589,0.107,0.0
9,0.09,75,1.5,80.325,10.471,-5.056,97.903,-5.248,-10.595,104.927,-17.45,-22.248,-2.279,1.427,0.028,85.628,21.115,-18.499,71.69,16.645,-11.561,71.294,10.257,-8.701,0.005,0.002,0.947,0.0,-0.001,1.012,-0.004,0.0,1.045,-0.002,0.0,0.996,-0.002,0.002,0.961,0.003,-0.001,0.881,-0.002,0.002,0.95,-0.209,0.16,-0.089,0.186,-0.04,-0.855,-0.393,-0.239,-0.83,0.816,0.127,-0.354,0.24,0.728,-0.179,-0.413,0.345,-0.244,0.152,0.207,-0.294,0.882,0.46,0.105,0.0,0.977,-0.214,0.006,0.0,0.968,-0.239,0.079,0.0,1.0,0.02,-0.012,0.0,0.88,0.442,-0.176,0.0,0.793,0.581,-0.185,0.0,0.801,0.589,0.107,0.0
