molab_frame,molab_time,video_frame,video_time,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
0,0.0,85,1.7,86.581,6.143,-3.597,-21.749,-2.672,-0.513,65.016,15.123,-0.381,76.751,24.804,-7.751,46.289,10.988,-8.69,45.938,4.017,-1.416,95.661,-0.369,-8.842,0.006,-0.002,1.008,-0.001,0.004,0.982,0.004,0.004,0.956,0.001,-0.004,0.967,0.006,0.001,0.89,0.006,0.003,0.95,0.004,-0.001,1.043,-0.273,-0.151,0.955,-0.932,-0.054,-0.051,-0.252,-1.202,0.544,-0.205,-1.47,0.153,-0.352,-0.055,0.479,-0.187,0.415,0.838,-0.196,0.149,-0.139,0.982,-0.169,0.09,0.0,0.982,0.188,0.024,0.0,0.901,0.388,0.197,0.0,0.886,0.385,-0.257,0.0,0.829,0.55,-0.1,0.0,0.829,0.556,0.058,0.0,0.967,-0.25,-0.045,0.0
1,0.01,85,1.7,86.616,6.157,-3.595,-21.654,-2.754,-0.527,64.808,15.172,-0.38,76.667,24.916,-7.785,46.769,10.865,-8.714,46.028,3.973,-1.345,96.045,-0.263,-8.722,0.009,-0.003,1.006,-0.003,0.003,0.973,0.005,-0.002,0.954,0.002,-0.006,0.959,0.004,0.007,0.887,0.01,0.003,0.962,0.006,0.005,1.044,-0.31,0.141,1.055,0.101,-0.297,-0.266,-0.089,-0.866,0.432,0.225,-1.246,0.23,0.109,0.021,0.367,0.024,0.53,0.576,-0.276,-0.143,-0.545,0.982,-0.169,0.09,0.0,0.982,0.188,0.024,0.0,0.901,0.386,0.198,0.0,0.887,0.384,-0.258,0.0,0.828,0.553,-0.098,0.0,0.829,0.556,0.058,0.0,0.967,-0.25,-0.045,0.0
2,0.02,86,1.72,86.686,6.084,-3.736,-21.588,-2.914,-0.556,65.137,15.257,-0.394,76.834,24.788,-7.737,46.711,11.018,-8.874,46.03,4.042,-1.312,95.99,-0.293,-8.777,0.012,-0.006,1.003,-0.005,-0.001,0.979,0.004,0.005,0.951,0.0,-0.003,0.959,0.007,0.001,0.882,0.004,-0.004,0.95,0.005,-0.002,1.047,-0.058,0.168,0.734,0.896,-0.418,-0.29,0.112,-0.606,0.212,0.205,-0.937,0.265,-0.424,0.052,0.224,-0.051,0.353,0.324,-0.314,-0.209,-0.793,0.981,-0.17,0.09,0.0,0.982,0.187,0.026,0.0,0.9,0.387,0.198,0.0,0.887,0.385,-0.257,0.0,0.828,0.552,-0.099,0.0,0.829,0.556,0.059,0.0,0.967,-0.25,-0.045,0.0
3,0.03,86,1.72,86.458,6.172,-3.565,-21.441,-2.738,-0.518,65.16,15.205,-0.396,76.834,24.887,-7.777,46.807,11.002,-8.774,45.984,3.966,-1.34,95.95,-0.33,-8.859,0.004,-0.006,1.007,-0.002,-0.004,0.977,0.004,0.005,0.952,0.005,-0.004,0.964,0.006,0.004,0.89,0.009,-0.003,0.955,0.004,-0.004,1.045,-0.104,0.145,0.488,0.481,-0.288,0.045,0.086,-0.435,0.221,0.339,-0.855,0.043,-0.514,0.048,0.014,-0.245,0.27,0.175,-0.878,-0.191,-0.649,0.981,-0.17,0.09,0.0,0.982,0.186,0.024,0.0,0.9,0.388,0.198,0.0,0.886,0.385,-0.258,0.0,0.828,0.551,-0.1,0.0,0.83,0.554,0.058,0.0,0.967,-0.25,-0.045,0.0
4,0.04,87,1.74,86.455,6.199,-3.561,-21.467,-2.741,-0.52,65.148,15.216,-0.384,76.957,24.918,-7.811,46.741,11.023,-8.782,45.958,3.964,-1.337,95.978,-0.346,-8.879,0.005,0.0,1.007,-0.002,0.002,0.978,0.0,0.006,0.956,0.005,0.0,0.962,0.012,-0.007,0.892,0.01,-0.002,0.954,-0.001,-0.001,1.053,-0.004,0.045,0.373,0.174,-0.158,0.047,-0.147,-0.517,0.266,0.424,-0.601,-0.013,-0.321,0.217,-0.304,0.066,0.155,0.133,-0.251,0.007,-0.905,0.981,-0.17,0.09,0.0,0.982,0.186,0.024,0.0,0.9,0.388,0.198,0.0,0.886,0.385,-0.258,0.0,0.829,0.551,-0.1,0.0,0.83,0.554,0.058,0.0,0.967,-0.251,-0.045,0.0
5,0.05,87,1.74,86.466,6.306,-3.409,-21.441,-2.738,-0.518,65.179,15.184,-0.38,76.822,24.917,-7.824,46.749,11.032,-8.784,45.992,3.806,-1.232,95.823,-0.386,-8.884,0.005,-0.007,1.014,-0.001,-0.001,0.98,0.006,0.008,0.95,0.005,-0.002,0.954,0.011,-0.001,0.897,0.017,0.0,0.955,-0.001,0.006,1.046,0.027,0.176,0.188,-0.207,0.004,-0.198,-0.185,-0.441,0.373,0.728,-0.077,-0.102,-0.325,0.557,-0.452,0.156,0.261,-0.116,0.194,0.31,-0.469,0.981,-0.17,0.09,0.0,0.982,0.186,0.024,0.0,0.9,0.388,0.198,0.0,0.886,0.385,-0.258,0.0,0.829,0.551,-0.1,0.0,0.83,0.554,0.056,0.0,0.967,-0.25,-0.044,0.0
6,0.06,88,1.76,86.461,6.36,-3.4,-21.441,-2.738,-0.518,65.165,15.153,-0.333,76.928,24.995,-7.985,46.708,11.05,-8.789,45.992,3.806,-1.232,95.843,-0.55,-8.941,0.002,0.001,1.011,-0.001,-0.006,0.98,0.007,0.01,0.957,0.004,0.002,0.969,0.01,-0.006,0.888,0.014,-0.001,0.96,0.0,0.001,1.053,-0.1,0.351,0.15,-0.456,-0.013,-0.322,-0.318,-0.187,0.145,0.174,0.189,-0.003,-0.129,0.807,-0.737,0.214,0.345,-0.089,0.317,0.42,-0.517,0.981,-0.17,0.09,0.0,0.982,0.186,0.024,0.0,0.9,0.388,0.198,0.0,0.886,0.385,-0.258,0.0,0.829,0.55,-0.1,0.0,0.83,0.554,0.056,0.0,0.967,-0.25,-0.043,0.0
7,0.07,88,1.76,86.346,6.306,-3.403,-21.441,-2.738,-0.518,65.08,15.166,-0.375,76.887,24.946,-7.875,46.585,11.028,-8.753,45.949,3.8,-1.228,95.657,-0.419,-8.862,0.006,-0.003,1.003,-0.003,-0.003,0.979,0.002,0.003,0.955,0.001,-0.005,0.965,0.003,-0.005,0.892,0.008,-0.002,0.958,0.003,0.0,1.05,-0.347,0.529,0.135,-0.389,-0.113,-0.234,-0.177,0.191,-0.006,0.172,0.742,-0.301,0.015,1.066,-0.699,0.246,0.55,-0.244,0.456,0.607,-0.047,0.982,-0.169,0.09,0.0,0.982,0.186,0.024,0.0,0.9,0.388,0.198,0.0,0.886,0.385,-0.258,0.0,0.829,0.55,-0.1,0.0,0.831,0.554,0.056,0.0,0.967,-0.25,-0.044,0.0
8,0.08,89,1.78,86.335,6.316,-3.463,-21.441,-2.738,-0.518,65.099,15.168,-0.336,76.917,24.907,-7.899,46.584,10.997,-8.732,45.935,3.874,-1.277,95.67,-0.453,-8.844,0.001,-0.001,1.006,-0.002,0.0,0.98,-0.001,0.007,0.948,-0.002,-0.001,0.964,0.002,-0.003,0.891,0.005,-0.006,0.95,0.002,0.006,1.044,-0.049,0.58,0.059,-0.14,-0.21,-0.154,-0.021,0.305,-0.067,0.524,0.384,0.08,-0.026,1.183,-0.754,0.171,0.738,-0.25,-0.345,1.156,0.549,0.981,-0.169,0.09,0.0,0.982,0.186,0.024,0.0,0.9,0.388,0.198,0.0,0.886,0.386,-0.257,0.0,0.829,0.55,-0.099,0.0,0.831,0.554,0.057,0.0,0.967,-0.25,-0.044,0.0
9,0.09,89,1.78,86.338,6.328,-3.4,-21.441,-2.738,-0.518,65.075,15.18,-0.366,76.925,24.884,-7.89,46.51,10.995,-8.717,45.938,3.802,-1.229,95.598,-0.455,-8.831,0.004,0.001,1.005,-0.008,0.0,0.978,-0.001,0.002,0.956,-0.006,0.002,0.968,0.001,0.0,0.889,0.009,-0.003,0.952,-0.007,-0.003,1.044,0.166,0.579,0.216,0.04,-0.128,-0.197,-0.18,0.319,0.041,0.276,-0.057,0.1,-0.174,1.028,-0.705,-0.119,0.605,-0.173,-0.854,0.933,0.131,0.981,-0.169,0.09,0.0,0.982,0.186,0.024,0.0,0.9,0.388,0.198,0.0,0.886,0.386,-0.257,0.0,0.83,0.549,-0.099,0.0,0.831,0.554,0.056,0.0,0.967,-0.25,-0.044,0.0
10,0.1,90,1.8,86.396,6.491,-3.349,-21.749,-2.641,-0.481,65.561,15.056,-0.084,77.08,25.033,-8.062,45.984,10.878,-8.356,45.388,3.791,-1.277,95.721,-0.163,-8.703,0.003,-0.01,1.007,-0.001,0.002,0.976,0.006,0.008,0.953,0.006,-0.007,0.959,-0.005,-0.006,0.884,0.01,-0.005,0.951,0.003,-0.008,1.044,0.119,0.318,-0.341,0.043,-0.093,-0.118,-0.33,0.308,-0.178,0.482,0.257,0.107,-0.464,0.878,-0.54,-0.08,0.674,-0.338,-0.713,0.766,-0.042,0.981,-0.172,0.091,0.0,0.982,0.189,0.023,0.0,0.9,0.39,0.196,0.001,0.886,0.384,-0.259,0.001,0.831,0.548,-0.097,-0.001,0.832,0.552,0.055,0.0,0.967,-0.252,-0.044,0.0
11,0.11,90,1.8,86.255,6.336,-3.39,-21.472,-2.805,-0.548,64.975,14.956,-0.135,76.982,24.931,-7.946,46.206,10.809,-8.209,45.847,3.831,-1.322,95.388,-0.019,-8.569,0.002,-0.005,1.006,-0.003,0.0,0.979,0.005,0.004,0.954,0.0,-0.002,0.967,-0.005,-0.004,0.888,0.006,-0.003,0.951,-0.002,0.005,1.042,0.092,0.393,-0.494,-0.143,-0.074,-0.166,-0.035,0.57,-0.156,0.7,-0.119,-0.067,-0.451,0.594,-0.415,0.11,0.551,-0.367,-0.889,0.732,-0.11,0.981,-0.169,0.092,0.0,0.982,0.186,0.025,0.0,0.901,0.388,0.197,0.0,0.886,0.386,-0.257,0.0,0.831,0.548,-0.095,-0.003,0.831,0.553,0.057,-0.001,0.967,-0.25,-0.043,0.0
12,0.12,91,1.82,85.816,6.708,-3.219,-21.176,-2.668,-0.497,64.855,14.958,-0.168,76.946,25.084,-8.156,46.243,10.678,-7.889,45.935,3.82,-1.29,95.342,-0.136,-8.624,0.0,-0.002,1.006,0.0,-0.007,0.974,0.002,0.005,0.953,0.001,-0.005,0.959,-0.005,-0.004,0.883,0.007,-0.005,0.951,-0.007,-0.005,1.051,0.131,0.352,-0.618,-0.271,0.025,-0.252,-0.176,0.601,-0.333,0.52,0.841,-0.121,-0.368,0.412,-0.661,0.215,0.648,-0.481,-0.355,0.536,-0.578,0.982,-0.167,0.094,0.001,0.983,0.184,0.024,0.0,0.9,0.388,0.199,0.0,0.887,0.384,-0.257,0.0,0.832,0.546,-0.093,-0.004,0.832,0.552,0.056,0.0,0.967,-0.251,-0.04,0.001
13,0.13,91,1.82,86.258,6.458,-3.353,-21.387,-2.907,-0.594,64.897,14.952,-0.142,76.856,24.929,-7.976,46.034,10.916,-8.423,45.849,3.832,-1.334,94.967,-0.41,-8.705,-0.003,-0.008,1.007,-0.007,-0.001,0.974,0.001,-0.001,0.951,-0.005,0.003,0.957,-0.006,-0.007,0.885,0.002,-0.004,0.956,-0.005,-0.004,1.05,0.177,0.388,-0.705,-0.395,-0.012,-0.325,-0.159,0.866,-0.342,0.348,0.919,-0.162,-0.097,0.634,-0.658,0.154,0.644,-0.475,0.756,0.239,-0.583,0.981,-0.17,0.094,0.0,0.982,0.185,0.026,0.0,0.901,0.386,0.199,-0.001,0.886,0.386,-0.256,-0.001,0.833,0.546,-0.096,-0.002,0.831,0.553,0.058,-0.002,0.968,-0.248,-0.041,0.001
14,0.14,92,1.84,86.322,5.905,-3.554,-21.364,-2.587,-0.474,64.92,15.0,-0.187,76.746,24.985,-8.068,46.247,10.767,-8.085,45.782,4.08,-1.939,95.25,-0.644,-8.882,-0.002,-0.005,1.007,-0.003,-0.002,0.98,0.005,-0.002,0.948,-0.005,-0.003,0.961,-0.003,0.0,0.892,-0.001,-0.007,0.957,-0.008,0.001,1.044,0.405,0.657,-0.516,-0.343,0.17,-0.453,0.022,0.81,-0.412,0.308,0.888,-0.231,0.095,0.751,-0.62,0.148,0.7,-0.498,0.998,0.193,-0.534,0.981,-0.171,0.091,0.0,0.982,0.185,0.023,0.0,0.902,0.385,0.197,0.0,0.887,0.385,-0.254,-0.001,0.831,0.547,-0.096,-0.002,0.832,0.552,0.06,-0.003,0.968,-0.248,-0.038,0.001
15,0.15,92,1.84,86.299,6.182,-3.456,-21.046,-2.657,-0.505,64.876,14.938,-0.13,77.209,25.017,-8.055,46.358,10.711,-7.959,46.34,4.045,-1.788,95.286,-0.302,-8.706,-0.001,-0.004,1.004,0.0,-0.004,0.976,0.0,0.005,0.955,0.001,0.004,0.968,-0.006,-0.007,0.89,0.0,-0.002,0.95,-0.005,-0.006,1.049,0.402,0.714,-0.536,-0.279,0.092,-0.422,-0.056,0.843,-0.428,0.074,0.531,-0.204,-0.044,0.652,-0.593,0.091,0.719,-0.436,-0.109,0.354,-0.523,0.981,-0.169,0.093,0.0,0.983,0.182,0.024,0.0,0.901,0.387,0.198,-0.001,0.886,0.386,-0.255,-0.001,0.832,0.546,-0.094,-0.003,0.831,0.554,0.06,-0.003,0.967,-0.251,-0.04,0.001
16,0.16,93,1.86,86.159,6.117,-3.457,-21.264,-2.422,-0.418,64.671,14.944,-0.197,77.168,24.999,-8.043,45.875,10.544,-7.506,46.236,4.26,-2.328,95.266,0.103,-8.485,-0.004,-0.002,1.007,0.003,-0.004,0.979,-0.002,0.002,0.953,0.0,-0.005,0.959,-0.009,-0.009,0.888,-0.001,-0.003,0.951,-0.003,-0.007,1.052,0.357,0.608,-0.095,-0.155,0.129,-0.348,-0.23,0.711,-0.082,0.212,0.093,0.017,-0.057,0.7,-0.482,0.089,0.616,-0.525,-0.429,0.432,-0.389,0.981,-0.167,0.096,0.001,0.983,0.184,0.021,0.0,0.9,0.387,0.201,-0.002,0.887,0.385,-0.257,0.0,0.833,0.545,-0.093,-0.004,0.83,0.554,0.062,-0.004,0.967,-0.252,-0.042,0.0
17,0.17,93,1.86,86.474,6.085,-3.496,-20.948,-2.346,-0.391,64.662,14.991,-0.257,77.507,25.047,-8.066,46.359,10.411,-7.239,46.723,4.209,-2.163,95.618,0.073,-8.562,-0.003,-0.001,1.006,0.004,-0.007,0.975,0.001,-0.001,0.951,-0.004,-0.002,0.96,-0.013,-0.006,0.892,0.0,0.002,0.962,-0.007,-0.01,1.049,0.381,0.59,0.038,-0.149,0.027,-0.257,-0.292,0.71,-0.242,0.049,-0.063,0.128,-0.155,0.667,-0.279,0.273,0.367,-0.699,-0.32,0.335,-0.184,0.981,-0.168,0.093,0.0,0.983,0.182,0.021,0.0,0.901,0.386,0.199,-0.001,0.887,0.386,-0.255,-0.001,0.833,0.546,-0.091,-0.006,0.829,0.556,0.06,-0.003,0.967,-0.254,-0.039,0.001
18,0.18,94,1.88,85.926,5.891,-3.497,-21.187,-2.561,-0.477,64.645,15.053,-0.334,77.459,25.254,-8.34,46.334,10.413,-7.245,46.229,4.127,-2.022,95.518,0.184,-8.488,0.0,0.003,1.006,0.001,-0.005,0.977,0.0,0.007,0.956,-0.002,0.0,0.967,-0.014,-0.006,0.889,-0.002,-0.001,0.951,-0.009,-0.006,1.044,0.233,0.418,-0.069,-0.088,0.028,-0.26,-0.223,0.634,-0.269,0.263,-0.046,-0.004,-0.19,0.524,-0.154,0.35,0.465,-0.481,-0.342,0.398,0.058,0.982,-0.165,0.092,0.0,0.983,0.184,0.023,0.0,0.9,0.388,0.199,-0.001,0.886,0.387,-0.256,-0.001,0.832,0.548,-0.089,-0.007,0.83,0.554,0.061,-0.004,0.967,-0.251,-0.038,0.001
19,0.19,94,1.88,86.386,6.294,-3.405,-21.403,-2.797,-0.569,65.039,15.141,-0.319,76.982,25.384,-8.566,45.99,10.613,-7.681,46.211,3.955,-1.623,95.071,-0.19,-8.619,-0.003,0.0,1.006,-0.001,-0.003,0.975,-0.005,0.007,0.956,0.003,-0.006,0.959,-0.011,-0.008,0.89,0.002,0.003,0.954,-0.011,-0.002,1.05,0.229,0.533,-0.109,-0.198,-0.006,-0.005,-0.27,0.668,-0.204,0.126,-0.192,-0.074,0.031,0.388,-0.069,0.338,0.394,-0.649,-0.408,0.076,0.229,0.981,-0.168,0.094,0.001,0.982,0.186,0.025,0.0,0.899,0.389,0.201,-0.001,0.886,0.385,-0.257,0.0,0.833,0.546,-0.091,-0.006,0.829,0.555,0.059,-0.003,0.968,-0.249,-0.037,0.001
20,0.2,95,1.9,85.992,5.819,-3.519,-21.538,-2.508,-0.455,64.631,15.154,-0.455,77.463,25.276,-8.352,45.995,10.416,-7.212,45.907,4.138,-2.124,95.528,0.184,-8.498,-0.001,0.001,1.006,0.0,0.0,0.976,0.0,0.0,0.95,0.0,0.002,0.967,-0.015,-0.004,0.89,-0.004,-0.003,0.952,-0.009,-0.005,1.047,0.196,0.472,-0.279,-0.377,-0.089,0.037,-0.38,0.7,-0.301,0.152,-0.246,-0.011,0.03,0.152,0.167,0.338,0.394,-0.649,-0.014,0.265,0.584,0.982,-0.166,0.092,0.0,0.982,0.187,0.022,0.0,0.9,0.387,0.2,-0.001,0.886,0.387,-0.257,-0.001,0.832,0.548,-0.09,-0.007,0.83,0.554,0.061,-0.004,0.967,-0.251,-0.038,0.001
21,0.21,95,1.9,86.395,5.973,-3.51,-21.218,-2.579,-0.481,64.747,14.776,0.008,76.931,25.078,-8.158,46.214,10.547,-7.553,46.457,4.177,-2.177,95.092,-0.124,-8.593,-0.004,0.0,1.002,0.001,-0.003,0.977,0.001,0.003,0.952,-0.004,-0.002,0.962,-0.012,-0.005,0.893,-0.005,0.0,0.951,-0.009,0.001,1.051,0.04,0.222,-0.422,-0.49,-0.158,0.213,-0.192,0.635,-0.188,-0.046,-0.178,0.128,0.311,0.01,0.261,0.163,0.326,-0.608,0.314,-0.033,0.431,0.981,-0.167,0.094,0.0,0.983,0.184,0.023,0.0,0.901,0.387,0.197,0.0,0.887,0.386,-0.255,-0.001,0.832,0.547,-0.092,-0.005,0.829,0.556,0.062,-0.004,0.968,-0.248,-0.039,0.001
22,0.22,96,1.92,86.445,6.202,-3.436,-21.507,-2.707,-0.528,65.156,14.935,-0.046,77.088,25.029,-8.077,45.701,10.575,-7.561,45.921,4.059,-1.975,95.125,-0.193,-8.633,-0.006,-0.006,1.007,-0.001,-0.002,0.978,-0.004,0.007,0.956,-0.006,-0.002,0.962,-0.012,-0.007,0.893,-0.004,-0.002,0.945,-0.013,-0.005,1.046,0.053,0.185,-0.346,-0.731,-0.184,0.281,-0.244,0.497,-0.213,-0.302,-0.322,0.288,0.286,-0.077,0.363,0.163,0.508,-0.485,0.404,-0.367,0.205,0.981,-0.17,0.095,0.0,0.982,0.186,0.024,0.0,0.9,0.388,0.199,-0.001,0.887,0.386,-0.253,-0.002,0.833,0.545,-0.091,-0.005,0.83,0.554,0.061,-0.004,0.967,-0.251,-0.037,0.002
23,0.23,96,1.92,85.996,6.291,-3.352,-21.177,-2.68,-0.512,64.667,14.782,-0.016,76.872,25.367,-8.526,46.276,10.594,-7.676,46.023,4.117,-2.125,95.17,-0.508,-8.816,-0.014,0.0,1.007,-0.001,-0.005,0.976,-0.003,0.001,0.952,-0.004,-0.005,0.961,-0.009,-0.003,0.885,-0.005,-0.005,0.96,-0.015,-0.001,1.047,0.177,0.067,-0.328,-0.722,-0.251,0.451,-0.283,0.343,0.127,-0.233,-0.865,0.328,0.311,-0.226,0.497,0.233,0.48,-0.412,-0.098,-0.13,1.003,0.981,-0.168,0.098,0.001,0.983,0.184,0.024,0.0,0.9,0.386,0.201,-0.002,0.887,0.384,-0.255,-0.001,0.832,0.547,-0.092,-0.005,0.831,0.552,0.062,-0.005,0.968,-0.249,-0.035,0.002
