molab_frame,molab_time,video_frame,video_time,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
10,0.1,111,2.22,90.876,-9.909,-12.539,28.182,0.256,-0.151,89.154,-5.288,-11.635,95.198,11.835,-7.74,69.039,3.596,0.727,76.888,17.328,-10.35,100.621,12.452,-9.486,-0.005,-0.006,1.037,0.003,0.003,1.016,0.002,0.003,1.009,0.003,0.001,0.893,-0.001,0.001,0.95,-0.001,0.001,0.961,-0.006,-0.004,0.948,-0.079,-0.003,0.042,-0.586,-0.171,-0.05,0.04,0.063,0.273,-0.033,0.007,-0.034,0.011,-0.026,0.038,-0.231,0.037,0.08,-0.074,-0.119,-0.023,0.979,-0.203,0.018,0.0,0.97,-0.243,-0.002,-0.001,0.988,-0.153,0.035,0.0,0.831,0.542,-0.125,0.001,0.899,0.434,0.055,-0.001,0.888,0.431,-0.16,0.001,0.805,0.578,0.134,-0.001
11,0.11,111,2.22,90.465,-9.711,-12.364,27.931,0.089,-0.061,89.664,-4.961,-11.647,94.888,11.78,-7.61,69.115,3.453,0.91,76.555,17.154,-10.086,100.541,12.349,-9.158,-0.005,0.001,1.038,0.002,0.005,1.019,0.001,0.0,1.007,0.001,0.002,0.884,-0.001,0.0,0.946,0.0,0.001,0.956,-0.001,0.005,0.953,-0.076,-0.092,0.146,-0.647,-0.22,0.115,-0.134,0.102,0.402,-0.113,-0.014,0.032,-0.052,0.057,0.053,-0.222,-0.001,0.034,-0.147,-0.246,-0.163,0.98,-0.2,0.018,0.0,0.97,-0.241,-0.001,0.0,0.987,-0.156,0.036,0.0,0.832,0.542,-0.123,-0.001,0.9,0.433,0.053,0.0,0.888,0.431,-0.157,0.0,0.804,0.58,0.133,0.0
12,0.12,112,2.24,90.996,-9.552,-12.414,28.14,0.32,-0.182,89.978,-4.439,-11.552,95.303,11.708,-7.427,69.393,3.092,1.389,76.549,17.046,-9.935,101.002,12.369,-9.241,-0.003,-0.003,1.037,0.002,0.006,1.016,-0.002,-0.003,1.004,0.0,0.005,0.89,0.001,0.0,0.949,-0.003,-0.003,0.958,-0.001,0.004,0.95,-0.017,-0.116,0.088,-0.525,-0.109,0.193,-0.129,0.12,0.459,0.082,0.096,0.077,-0.113,-0.069,0.002,-0.214,-0.04,-0.013,0.051,-0.254,-0.126,0.979,-0.202,0.017,0.0,0.97,-0.243,-0.003,-0.001,0.987,-0.157,0.038,0.0,0.83,0.544,-0.123,-0.001,0.9,0.433,0.051,0.001,0.89,0.429,-0.157,0.0,0.803,0.582,0.131,0.001
13,0.13,112,2.24,90.417,-9.553,-12.284,27.92,0.109,-0.068,89.811,-4.443,-11.511,94.871,11.786,-7.618,68.985,3.279,1.101,76.476,17.089,-9.991,100.646,12.197,-8.679,-0.001,0.001,1.038,0.0,0.008,1.016,0.003,-0.001,1.007,-0.001,0.0,0.895,0.004,0.0,0.948,0.0,0.0,0.963,0.004,0.004,0.952,-0.084,-0.075,-0.126,-0.343,0.081,0.16,-0.194,0.102,0.406,-0.024,0.168,0.029,-0.168,-0.12,0.045,-0.189,-0.031,-0.095,-0.008,-0.264,-0.113,0.98,-0.2,0.017,0.0,0.97,-0.241,-0.001,0.0,0.987,-0.156,0.036,0.0,0.832,0.542,-0.123,-0.001,0.901,0.431,0.051,0.001,0.888,0.431,-0.158,0.0,0.803,0.581,0.129,0.003
14,0.14,113,2.26,90.587,-10.043,-12.53,28.232,0.063,-0.041,89.341,-4.76,-11.503,95.1,11.927,-7.946,68.891,3.361,0.986,77.018,17.22,-10.206,100.803,12.252,-8.871,-0.003,-0.001,1.038,0.0,0.0,1.017,0.0,0.006,1.009,0.004,0.0,0.893,0.003,-0.002,0.949,0.0,0.003,0.964,-0.001,0.0,0.953,-0.086,-0.099,-0.182,-0.464,-0.026,0.218,-0.284,-0.202,0.061,0.072,0.138,-0.147,-0.173,-0.072,0.008,-0.221,-0.015,-0.194,0.002,-0.244,-0.057,0.979,-0.202,0.019,0.0,0.97,-0.244,-0.001,0.0,0.988,-0.153,0.036,0.0,0.832,0.541,-0.125,0.001,0.9,0.433,0.053,0.0,0.887,0.433,-0.158,0.0,0.804,0.58,0.131,0.001
15,0.15,113,2.26,90.765,-9.439,-12.31,28.14,-0.225,0.115,89.422,-4.792,-11.531,95.174,11.943,-7.976,68.94,3.472,0.854,76.821,17.072,-9.993,100.39,12.133,-8.49,-0.003,-0.004,1.039,-0.003,0.002,1.016,0.001,0.001,1.007,0.004,0.0,0.893,0.0,-0.002,0.947,0.001,-0.003,0.955,0.002,-0.005,0.955,-0.213,-0.034,-0.338,-0.343,0.081,0.16,-0.225,-0.028,0.001,0.025,0.201,-0.183,-0.047,0.01,0.091,-0.223,-0.125,-0.024,-0.056,-0.079,0.091,0.979,-0.203,0.016,0.0,0.97,-0.243,0.002,0.0,0.987,-0.156,0.035,0.0,0.831,0.542,-0.123,-0.001,0.901,0.431,0.053,0.0,0.888,0.431,-0.158,0.001,0.805,0.578,0.13,0.001
16,0.16,114,2.28,90.336,-9.639,-12.297,28.033,0.059,-0.034,89.259,-4.93,-11.534,94.755,11.772,-7.56,68.916,3.27,1.103,76.534,17.027,-9.92,100.496,12.319,-9.095,-0.002,-0.004,1.036,-0.001,0.005,1.016,0.001,0.001,1.007,-0.002,-0.001,0.888,0.003,0.003,0.947,-0.002,0.0,0.957,0.0,-0.002,0.952,-0.09,-0.203,-0.27,-0.282,0.028,0.189,-0.455,0.03,0.192,0.001,-0.111,0.025,-0.104,-0.079,0.087,-0.289,-0.078,0.005,-0.29,0.023,-0.038,0.979,-0.201,0.018,0.0,0.97,-0.242,-0.001,0.0,0.987,-0.154,0.037,0.0,0.833,0.54,-0.122,-0.001,0.9,0.433,0.052,0.0,0.889,0.431,-0.156,-0.001,0.805,0.579,0.132,0.0
17,0.17,114,2.28,90.267,-9.571,-12.251,28.346,0.065,-0.036,89.343,-4.919,-11.546,95.324,11.773,-7.561,69.131,3.512,0.821,76.246,17.182,-10.117,100.556,12.303,-9.055,-0.002,0.006,1.038,0.0,-0.001,1.021,0.0,-0.003,1.006,-0.002,0.003,0.895,0.002,0.0,0.951,0.0,0.0,0.964,-0.003,-0.004,0.948,0.038,-0.132,-0.106,-0.159,-0.084,0.111,-0.21,-0.088,0.212,0.141,-0.3,0.133,-0.128,0.111,-0.064,-0.098,-0.18,-0.037,-0.017,0.107,-0.177,0.98,-0.198,0.017,0.0,0.97,-0.245,-0.001,0.0,0.987,-0.156,0.036,0.0,0.831,0.542,-0.122,-0.001,0.9,0.432,0.054,-0.001,0.889,0.43,-0.158,0.001,0.806,0.577,0.132,0.0
18,0.18,115,2.3,90.288,-9.453,-12.202,28.651,0.13,-0.071,89.514,-4.294,-11.389,95.362,11.745,-7.495,69.553,3.286,1.15,76.495,16.895,-9.74,100.915,12.225,-8.812,0.001,-0.005,1.04,0.001,-0.004,1.023,-0.003,-0.005,1.008,-0.002,-0.006,0.89,-0.003,-0.001,0.951,-0.001,0.0,0.96,-0.002,-0.005,0.954,-0.027,-0.179,-0.216,-0.22,-0.059,0.028,-0.088,-0.148,0.222,0.149,-0.325,0.078,-0.116,0.016,0.011,-0.207,-0.188,0.11,-0.08,0.174,-0.125,0.98,-0.201,0.016,0.0,0.969,-0.247,-0.001,0.0,0.987,-0.158,0.039,0.0,0.833,0.54,-0.122,-0.001,0.899,0.434,0.054,0.0,0.889,0.431,-0.156,-0.001,0.806,0.578,0.13,0.002
19,0.19,115,2.3,90.742,-9.21,-12.198,28.377,-0.005,0.002,89.593,-4.833,-11.568,95.377,11.83,-7.704,69.151,3.496,0.835,76.661,16.95,-9.827,100.79,12.261,-8.926,0.003,-0.005,1.038,-0.003,0.002,1.019,0.001,-0.003,1.006,-0.002,0.001,0.893,-0.002,-0.001,0.944,0.001,-0.001,0.962,-0.001,-0.002,0.955,-0.016,-0.172,0.112,-0.281,-0.171,-0.05,-0.197,-0.032,0.385,0.238,-0.531,0.119,-0.041,-0.038,0.129,-0.157,-0.034,0.232,-0.027,0.121,0.081,0.979,-0.203,0.014,-0.001,0.969,-0.245,0.0,0.0,0.987,-0.157,0.036,0.0,0.831,0.542,-0.123,-0.001,0.9,0.432,0.054,-0.001,0.889,0.43,-0.158,0.001,0.805,0.579,0.132,0.0
