feature,rho,p
forb_mean_head_trunk_angle,0.8999999999999998,0.03738607346849874
uppr_total_knee_extension,-0.8999999999999998,0.03738607346849874
forb_rms_trunk_acceleration,0.7,0.1881204043741873
uppr_total_hip_extension,-0.7,0.1881204043741873
uppr_rms_trunk_acceleration,-0.7,0.1881204043741873
forb_delta_trunk_flexion,0.6,0.28475697986529375
forb_rms_wrist_acceleration,0.49999999999999994,0.39100221895577053
forb_max_trunk_angular_velocity,0.39999999999999997,0.5046315754686911
uppr_trunk_reextension_angle,-0.19999999999999998,0.747060078104662
forb_trunk_hip_correlation,0.09999999999999999,0.8728885715695383
uppr_peak_knee_extension_velocity,-0.09999999999999999,0.8728885715695383
