feature,rho,p
fas2_rms_pelvis_acc,0.7195255713165428,0.018983898642659126
fas1_pelvis_lateral,-0.6280604563186774,0.051841209844568546
fas2_pelvis_lateral,-0.4878139466552834,0.15263398627837133
fas1_knee_angle_diff,-0.4085441803237998,0.24112956358950693
fas1_rms_pelvis_acc,0.39025115732422666,0.2648874395842974
fas1_ROM_knee,-0.3536651113250804,0.3160781991074149
fas1_peak_shank_gyro,0.26829767066040583,0.4535527319550735
fas2_ROM_knee,0.2500046476608327,0.4860336455857152
fas1_peak_thigh_gyro,0.2195162759948775,0.5422860061663481
fas2_ROM_hip,-0.15244185832977605,0.6741752533023248
fas2_peak_pelvis_gyro,0.10975813799743875,0.762775625860359
fas1_ROM_hip,0.03658604599914625,0.9200750642705431
