frame,time,nose_x,nose_y,nose_z,nose_visibility,nose_presence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence,nose_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated,nose_source,left_shoulder_source,right_shoulder_source,left_elbow_source,right_elbow_source,left_wrist_source,right_wrist_source,left_hip_source,right_hip_source,left_knee_source,right_knee_source,left_ankle_source,right_ankle_source
529,10.58,0.4656872749328613,0.3200803697109222,-0.1589459925889969,0.9999912977218628,0.999997615814209,0.5090609788894653,0.3899342119693756,-0.1573332697153091,0.9999975562095642,0.9999995231628418,0.4621824920177459,0.3983958065509796,0.0481684617698192,0.9999890327453612,0.9999974966049194,0.5125600695610046,0.4959613382816314,-0.1717712432146072,0.9976208806037904,0.9999886751174928,0.45586845,0.48449373,,0.5814821720123291,0.999992609024048,0.4975563883781433,0.5831268429756165,-0.2039197236299514,0.9967615008354188,0.99999737739563,0.4467148184776306,0.5629804134368896,0.0328889228403568,0.9750736951828004,0.9999997615814208,0.4992031455039978,0.5788472294807434,-0.0700560808181762,0.9999871253967284,0.9999990463256836,0.4690661430358886,0.5807911157608032,0.0700307190418243,0.9999831318855286,0.9999992847442628,0.4975920915603637,0.718176543712616,0.012880046851933,0.967669665813446,0.9999855756759644,0.473310649394989,0.7106386423110962,0.1524576097726822,0.7207419276237488,0.9999946355819702,0.5052705407142639,0.8418471217155457,0.1340154111385345,0.9877734184265136,0.9999325275421144,0.4885917603969574,0.8279346227645874,0.2731219530105591,0.9129891395568848,0.9999887943267822,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
530,10.6,0.4656670689582824,0.3201078176498413,-0.1582445800304412,0.9999908804893494,0.9999947547912598,0.5090579390525818,0.3899329900741577,-0.1590719521045684,0.9999975562095642,0.9999992847442628,0.4621819853782654,0.3984462916851043,0.0481308624148368,0.9999889135360718,0.999996304512024,0.5125978589057922,0.4959942996501922,-0.1753559559583664,0.9975663423538208,0.9999879598617554,0.45596316,0.4880465,,0.5787527561187744,0.999990940093994,0.4976358115673065,0.583130955696106,-0.2095896452665329,0.9967604279518129,0.99999737739563,0.4467086493968963,0.5631518363952637,0.0328958667814731,0.974945068359375,0.9999997615814208,0.4992309808731079,0.5788462162017822,-0.0700548589229583,0.9999871253967284,0.9999991655349731,0.4691199958324432,0.5807918310165405,0.0700294822454452,0.9999831318855286,0.9999992847442628,0.4975888133049011,0.7182924747467041,0.0123471235856413,0.9667113423347472,0.9999858140945436,0.4733571112155914,0.7107822895050049,0.1525030732154846,0.7157893180847168,0.9999942779541016,0.5052958726882935,0.8418440222740173,0.1333725154399871,0.9874187707901,0.9999432563781738,0.4884144961833954,0.8279533386230469,0.2746396064758301,0.910935878753662,0.9999885559082032,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
531,10.62,0.465676486492157,0.3201186656951904,-0.1627935767173767,0.9999911785125732,0.9999972581863404,0.5090836882591248,0.389869749546051,-0.1590679287910461,0.9999975562095642,0.9999994039535522,0.4621798694133758,0.3984525501728058,0.0469309240579605,0.9999890327453612,0.9999972581863404,0.5126564502716064,0.4960066676139831,-0.1751976460218429,0.9975391030311584,0.9999879598617554,0.4559028523901098,0.48587364839831293,,0.5773707628250122,0.9999923706054688,0.497801125049591,0.5831321477890015,-0.2099708914756775,0.9967097043991088,0.9999970197677612,0.4466948807239532,0.5631779432296753,0.0329129844903945,0.9749584197998048,0.9999997615814208,0.4992642700672149,0.5788574814796448,-0.0700630918145179,0.9999870657920836,0.9999990463256836,0.4691351056098938,0.5808145999908447,0.0700378715991973,0.9999831318855286,0.9999992847442628,0.4976383149623871,0.718321681022644,0.0157718155533075,0.9667673110961914,0.9999853372573853,0.4733529388904571,0.7107848525047302,0.1552972197532653,0.7177300453186035,0.9999947547912598,0.5054157972335815,0.8416476845741272,0.1392827332019806,0.9874709248542786,0.9999332427978516,0.4884051084518432,0.8279887437820435,0.2775909602642059,0.9121240377426147,0.9999885559082032,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
532,10.64,0.4657022058963775,0.3201002478599548,-0.1614556461572647,0.9999913573265076,0.9999969005584716,0.5090948939323425,0.3898695707321167,-0.1575168967247009,0.9999975562095642,0.9999994039535522,0.4621804356575012,0.3985325396060943,0.0472528152167797,0.9999890327453612,0.9999970197677612,0.5127595067024231,0.4960540235042572,-0.1741793751716613,0.997536599636078,0.9999873638153076,0.45531368,0.48454714,,0.576318085193634,0.9999918937683104,0.4979523718357086,0.583125650882721,-0.2099364846944809,0.9967053532600404,0.9999972581863404,0.4466904103755951,0.5631880164146423,0.0328223183751106,0.9750009179115297,0.9999997615814208,0.4992876946926117,0.5789421796798706,-0.0700572431087493,0.9999868869781494,0.9999990463256836,0.4691464602947235,0.5808890461921692,0.0700321421027183,0.9999829530715942,0.9999991655349731,0.4976935684680938,0.7184761166572571,0.016203423961997,0.9663236737251282,0.9999841451644896,0.4732961356639862,0.7107059359550476,0.1544617116451263,0.7164778113365173,0.9999943971633912,0.5054733157157898,0.8416135907173157,0.1391170471906662,0.9873761534690856,0.999929904937744,0.488402783870697,0.8280788064002991,0.276598572731018,0.9121271371841432,0.9999885559082032,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
533,10.66,0.4657250046730041,0.3200283050537109,-0.1607040017843246,0.9999914765357972,0.9999969005584716,0.5090972185134888,0.3899291157722473,-0.1529015004634857,0.9999975562095642,0.9999994039535522,0.4621815085411072,0.398562490940094,0.0477397292852401,0.999989092350006,0.9999971389770508,0.5128704905509949,0.4960867464542389,-0.1669342666864395,0.9975003600120544,0.9999878406524658,0.45601737,0.48673922,,0.5789187550544739,0.9999923706054688,0.498069554567337,0.583130419254303,-0.2039481103420257,0.9966750741004944,0.9999972581863404,0.4466786384582519,0.5632084012031555,0.0328127108514308,0.9752718210220336,0.9999997615814208,0.4992900490760803,0.5789235234260559,-0.0698992162942886,0.9999868273735046,0.9999990463256836,0.4691502451896667,0.5808351635932922,0.0698722675442695,0.999983012676239,0.9999991655349731,0.4976890385150909,0.7184433937072754,0.0141379283741116,0.9660490155220032,0.9999827146530152,0.4733036458492279,0.7106451988220215,0.1515762954950332,0.7166062593460083,0.9999936819076538,0.5055533647537231,0.8413325548171997,0.1375136077404022,0.9870128035545348,0.999921441078186,0.4884876012802124,0.8280518651008606,0.2730099856853485,0.911915123462677,0.9999855756759644,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
534,10.68,0.4657322764396667,0.3200219869613647,-0.1606737822294235,0.9999917149543762,0.99999737739563,0.5091273784637451,0.3899363577365875,-0.1525036841630935,0.9999975562095642,0.9999994039535522,0.4621744155883789,0.3986059129238128,0.0478099808096885,0.9999891519546508,0.9999972581863404,0.5129250884056091,0.4960942566394806,-0.1665978580713272,0.9974563717842102,0.9999881982803344,0.45562217,0.4863432,,0.5752683877944946,0.9999922513961792,0.4981123507022857,0.5831297039985657,-0.2040448188781738,0.9966384768486024,0.9999972581863404,0.4466789662837982,0.5632469058036804,0.0308403875678777,0.974909484386444,0.9999997615814208,0.4992952942848205,0.5789466500282288,-0.0698380023241043,0.9999868273735046,0.9999991655349731,0.4691490530967712,0.5808859467506409,0.0698110312223434,0.9999830722808838,0.9999992847442628,0.4977096319198608,0.7186816334724426,0.0137333571910858,0.9652811884880066,0.9999843835830688,0.4733039438724518,0.7106912732124329,0.1513613611459732,0.7126337885856628,0.9999942779541016,0.5055704116821289,0.8413652777671814,0.1364199817180633,0.9866304993629456,0.999931573867798,0.4884851574897766,0.8283292651176453,0.2725352942943573,0.9103267788887024,0.9999881982803344,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
535,10.7,0.4657328426837921,0.3200231790542602,-0.1614429056644439,0.9999918937683104,0.9999972581863404,0.5091629028320312,0.3899494409561157,-0.152234137058258,0.9999975562095642,0.9999994039535522,0.4621642827987671,0.3986868560314178,0.047044713050127,0.9999892711639404,0.99999737739563,0.5129409432411194,0.4961420595645904,-0.1648047268390655,0.997406542301178,0.999987006187439,0.45545343,0.48556462,,0.5780672430992126,0.999993085861206,0.4981753230094909,0.5831456184387207,-0.2009728252887725,0.9965920448303224,0.9999970197677612,0.4466712772846222,0.5633118748664856,0.0294623151421546,0.9751905798912048,0.9999997615814208,0.4993091821670532,0.5789437294006348,-0.0697303563356399,0.9999867081642152,0.999998927116394,0.4691836535930633,0.5808385014533997,0.0697032362222671,0.999983012676239,0.9999991655349731,0.4977332353591919,0.7186824083328247,0.0134255932644009,0.964764416217804,0.9999831914901732,0.4732724130153656,0.7104124426841736,0.1496545374393463,0.7095244526863098,0.9999942779541016,0.5055711269378662,0.8413942456245422,0.1363799721002578,0.9863211512565612,0.9999213218688964,0.4884920418262481,0.8283270001411438,0.2709188163280487,0.9088494777679444,0.999987006187439,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
536,10.72,0.4657405614852905,0.3200165033340454,-0.1608976572751999,0.9999920129776,0.9999969005584716,0.5091637969017029,0.3899374902248382,-0.1517912298440933,0.9999975562095642,0.9999994039535522,0.4621550142765045,0.3986890912055969,0.0469164736568927,0.9999892711639404,0.9999971389770508,0.5130097270011902,0.4961464703083038,-0.164241537451744,0.997434139251709,0.9999890327453612,0.45566183,0.48610106,,0.5797722339630127,0.999991774559021,0.498299092054367,0.5831299424171448,-0.2003323286771774,0.9966278672218324,0.999997615814209,0.4466553032398224,0.5634215474128723,0.0280114952474832,0.9750027656555176,0.9999997615814208,0.4993599951267242,0.5789511203765869,-0.0695173591375351,0.9999868273735046,0.9999991655349731,0.4691950678825378,0.5809019207954407,0.0694896876811981,0.9999831318855286,0.9999992847442628,0.497741162776947,0.718815267086029,0.0122698508203029,0.9655288457870485,0.9999866485595704,0.4732448160648346,0.7104218602180481,0.1491319388151168,0.7140551209449768,0.9999949932098388,0.5055882334709167,0.841386616230011,0.1357517689466476,0.9865121245384216,0.9999412298202516,0.4884853363037109,0.8283243775367737,0.269134908914566,0.9107173681259156,0.9999892711639404,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
537,10.74,0.4657377600669861,0.3200180530548095,-0.1608811318874359,0.9999920725822448,0.999996781349182,0.5091922283172607,0.3899369835853576,-0.1518800109624862,0.9999975562095642,0.9999994039535522,0.4621157348155975,0.3986915349960327,0.0464855320751667,0.9999892711639404,0.9999972581863404,0.5130668878555298,0.4962058067321777,-0.1647472381591797,0.997447907924652,0.9999884366989136,0.4560716,0.48859778,,0.5804509520530701,0.9999922513961792,0.4983590543270111,0.5831468105316162,-0.201789453625679,0.9966665506362916,0.9999974966049194,0.4466513097286224,0.5634424686431885,0.0277639813721179,0.97502863407135,0.9999997615814208,0.4993676543235779,0.5789998769760132,-0.0693737417459487,0.9999869465827942,0.9999991655349731,0.4691958725452423,0.5809076428413391,0.0693462416529655,0.999983251094818,0.9999992847442628,0.4977509677410126,0.7189149260520935,0.0122996605932712,0.966145396232605,0.9999873638153076,0.4731055498123169,0.7103664875030518,0.1495073586702346,0.7181164622306824,0.999995231628418,0.5056892037391663,0.841369092464447,0.1368631273508072,0.9866523146629332,0.9999390840530396,0.4885136783123016,0.8281726241111755,0.27031210064888,0.9120826721191406,0.9999892711639404,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
538,10.76,0.4657381772994995,0.3199995458126068,-0.1607565432786941,0.9999921321868896,0.9999969005584716,0.5091968178749084,0.3899407684803009,-0.1519469916820526,0.9999975562095642,0.9999992847442628,0.4621133506298065,0.3986934125423431,0.0466307066380977,0.9999893307685852,0.9999971389770508,0.5131030082702637,0.496212363243103,-0.1651443094015121,0.9974321722984314,0.999987244606018,0.4553260175869504,0.48768208399648344,,0.5818660855293274,0.9999924898147584,0.4983862936496734,0.583147406578064,-0.2022048532962799,0.9966245889663696,0.9999971389770508,0.4466508030891418,0.5635010004043579,0.0277419164776802,0.9751924872398376,0.9999997615814208,0.4993702471256256,0.5789843201637268,-0.0694060623645782,0.99998676776886,0.999998927116394,0.4691990613937378,0.5808842778205872,0.0693788155913353,0.9999831318855286,0.9999991655349731,0.4978896677494049,0.7189837694168091,0.011868679895997,0.9656566381454468,0.9999819993972778,0.4730368852615356,0.7102555632591248,0.1491269767284393,0.7147543430328369,0.9999935626983644,0.5057081580162048,0.8413882851600647,0.1360052227973938,0.9864047169685364,0.9999139308929444,0.488493949174881,0.8281745314598083,0.2702587842941284,0.9103533625602722,0.9999858140945436,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,gpr,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
