Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"61,635","8,303","-1,067","-24,780","2,658","0,789","-24,601","-5,542","0,283","30,325","1,727","-0,468","66,803","17,006","-9,105","-8,379","2,614","0,780","-3,520","4,270","1,356"
1,"62,132","8,624","-1,221","-24,542","2,649","0,791","-24,552","-5,218","0,245","30,478","1,724","-0,470","66,903","16,660","-8,936","-8,280","2,301","0,673","-3,435","4,273","1,358"
2,"62,405","8,857","-1,300","-24,336","2,700","0,796","-24,561","-5,219","0,245","30,527","1,727","-0,471","66,509","16,803","-8,932","-8,239","2,299","0,673","-3,386","4,276","1,358"
3,"62,137","8,624","-1,222","-24,483","2,905","0,755","-24,847","-4,945","0,305","30,520","1,878","-0,512","66,272","16,555","-8,662","-8,187","2,156","0,610","-3,327","4,175","1,329"
4,"62,341","8,633","-1,219","-24,457","2,905","0,759","-24,850","-4,532","0,265","30,555","1,877","-0,513","66,046","16,637","-8,660","-8,157","1,766","0,474","-3,471","4,168","1,336"
5,"62,493","8,387","-1,153","-24,499","2,864","0,746","-24,685","-4,872","0,314","30,520","1,878","-0,512","66,098","16,532","-8,588","-7,919","2,165","0,613","-3,506","4,127","1,324"
6,"62,378","8,416","-1,159","-24,622","2,864","0,750","-24,685","-4,872","0,314","30,520","1,878","-0,512","66,079","16,538","-8,588","-7,919","2,165","0,613","-3,675","4,127","1,334"
7,"62,289","8,345","-1,128","-24,630","3,273","0,693","-25,005","-4,842","0,359","30,485","1,878","-0,512","65,710","16,784","-8,647","-7,927","2,229","0,634","-3,706","3,720","1,209"
8,"62,616","8,376","-1,138","-24,670","3,260","0,701","-25,005","-4,842","0,359","30,492","1,879","-0,512","65,759","16,793","-8,661","-7,920","2,229","0,634","-3,973","3,724","1,225"
9,"62,789","8,380","-1,213","-24,677","3,245","0,679","-24,876","-4,833","0,370","30,367","1,881","-0,510","65,692","16,827","-8,633","-7,868","2,284","0,650","-4,097","3,629","1,198"
10,"62,934","8,142","-0,829","-24,621","3,628","0,740","-25,241","-4,998","0,364","30,177","2,122","-0,651","65,467","16,944","-8,790","-8,133","2,333","0,661","-4,536","3,675","1,232"
11,"62,694","8,311","-1,063","-24,723","3,481","0,709","-24,918","-5,488","0,220","29,951","1,920","-0,529","65,822","16,841","-8,662","-8,357","2,793","1,013","-4,519","3,651","1,204"
12,"62,151","8,118","-0,853","-24,755","3,474","0,697","-24,693","-5,230","0,261","30,249","1,902","-0,513","65,935","16,865","-8,707","-8,163","2,557","0,838","-3,975","3,805","1,281"
13,"61,605","8,209","-1,035","-24,803","3,235","0,646","-25,142","-4,984","0,355","29,935","1,888","-0,499","65,926","16,845","-8,708","-8,593","2,327","0,650","-4,012","3,914","1,359"
14,"61,657","8,144","-0,922","-24,726","3,346","0,651","-25,045","-4,846","0,383","29,750","1,647","-0,362","65,936","16,824","-8,721","-8,521","2,655","0,927","-3,903","3,805","1,295"
15,"62,125","8,139","-0,832","-24,546","3,264","0,632","-25,643","-4,759","0,448","29,974","1,844","-0,481","65,929","16,954","-8,946","-8,558","2,366","0,709","-3,742","4,270","1,615"
16,"61,658","8,219","-1,019","-24,875","3,378","0,665","-25,071","-4,476","0,471","29,884","1,558","-0,327","66,014","16,913","-8,935","-8,401","2,473","0,810","-3,886","3,709","1,267"
17,"62,285","8,260","-0,955","-24,813","3,439","0,660","-24,987","-4,210","0,526","29,974","1,842","-0,500","66,120","16,760","-8,771","-8,544","2,067","0,493","-4,082","3,861","1,398"
18,"62,810","8,589","-1,301","-24,301","3,272","0,595","-24,976","-4,061","0,559","29,759","2,067","-0,635","66,130","16,657","-8,678","-8,459","1,872","0,353","-4,016","3,993","1,500"
19,"62,458","8,287","-0,900","-24,852","3,385","0,609","-24,464","-4,461","0,427","29,736","1,767","-0,466","66,318","16,635","-8,690","-8,227","2,271","0,685","-4,311","3,775","1,374"
20,"62,658","8,608","-1,275","-24,475","3,510","0,595","-24,292","-4,627","0,379","29,876","2,024","-0,612","66,144","16,727","-8,854","-7,818","1,905","0,417","-4,083","3,751","1,348"
