Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1247,"0,011","0,071","0,946","-0,036","0,261","0,966","0,025","0,262","0,965","-0,062","0,048","0,993","-0,052","0,084","0,938","-0,149","-1,005","-0,238","0,065","-1,006","-0,159"
1248,"0,001","0,069","0,941","-0,031","0,255","0,975","0,021","0,222","0,984","-0,055","0,038","0,999","-0,029","0,068","0,936","-0,159","-1,010","-0,226","0,079","-1,001","-0,174"
1249,"0,021","0,072","0,942","-0,026","0,256","0,977","0,010","0,235","0,983","-0,048","0,041","1,011","-0,029","0,079","0,953","-0,145","-1,009","-0,223","0,069","-1,003","-0,189"
1250,"0,017","0,070","0,942","-0,030","0,252","0,972","0,017","0,252","0,986","-0,039","0,037","1,019","-0,016","0,070","0,958","-0,146","-1,006","-0,222","0,060","-1,007","-0,187"
1251,"0,012","0,069","0,940","-0,024","0,243","0,975","0,051","0,243","0,998","-0,034","0,038","1,020","-0,006","0,065","0,941","-0,132","-1,015","-0,234","0,066","-1,010","-0,184"
1252,"0,020","0,071","0,939","-0,022","0,248","0,975","0,057","0,242","0,994","-0,037","0,042","1,020","-0,017","0,072","0,953","-0,107","-1,018","-0,225","0,077","-0,999","-0,178"
1253,"0,004","0,074","0,940","-0,017","0,251","0,976","0,077","0,241","0,983","-0,039","0,041","1,018","-0,012","0,070","0,966","-0,088","-1,027","-0,227","0,078","-1,004","-0,179"
1254,"0,013","0,079","0,950","-0,016","0,255","0,977","0,069","0,238","0,977","-0,044","0,054","1,008","-0,015","0,081","0,969","-0,065","-1,024","-0,239","0,082","-0,997","-0,178"
1255,"0,020","0,074","0,944","-0,024","0,248","0,971","0,065","0,232","0,988","-0,044","0,046","1,003","-0,009","0,070","0,953","-0,083","-1,018","-0,235","0,088","-0,998","-0,177"
1256,"0,016","0,073","0,939","-0,021","0,247","0,976","0,047","0,227","0,997","-0,052","0,054","1,003","-0,016","0,071","0,953","-0,104","-1,010","-0,241","0,093","-0,998","-0,174"
1257,"0,021","0,070","0,940","-0,014","0,255","0,971","0,031","0,226","0,999","-0,057","0,050","1,011","-0,020","0,065","0,962","-0,109","-1,005","-0,249","0,100","-0,997","-0,169"
1258,"0,015","0,075","0,937","-0,008","0,259","0,969","0,026","0,246","0,991","-0,060","0,052","1,011","-0,020","0,074","0,968","-0,108","-1,013","-0,256","0,095","-0,998","-0,164"
1259,"0,025","0,076","0,936","-0,011","0,256","0,973","0,052","0,261","0,985","-0,066","0,043","1,011","-0,016","0,082","0,958","-0,110","-1,024","-0,252","0,090","-1,001","-0,166"
1260,"0,026","0,071","0,940","-0,018","0,261","0,963","0,081","0,264","0,978","-0,067","0,041","1,018","0,000","0,082","0,960","-0,110","-1,028","-0,239","0,089","-0,999","-0,158"
1261,"0,020","0,075","0,939","-0,017","0,272","0,962","0,073","0,241","0,978","-0,065","0,045","1,021","-0,021","0,070","0,948","-0,107","-1,025","-0,222","0,089","-1,003","-0,159"
1262,"0,023","0,074","0,941","-0,018","0,267","0,966","0,049","0,249","0,981","-0,060","0,046","1,020","-0,035","0,073","0,960","-0,108","-1,024","-0,215","0,093","-1,005","-0,161"
1263,"0,016","0,075","0,941","-0,021","0,271","0,961","0,034","0,238","0,985","-0,053","0,045","1,024","-0,025","0,080","0,949","-0,115","-1,022","-0,229","0,085","-1,008","-0,152"
1264,"0,014","0,075","0,947","-0,026","0,277","0,955","0,012","0,244","0,991","-0,049","0,042","1,024","-0,024","0,082","0,954","-0,128","-1,017","-0,228","0,082","-1,012","-0,146"
1265,"0,016","0,074","0,943","-0,024","0,283","0,950","0,011","0,238","0,989","-0,045","0,030","1,026","-0,031","0,082","0,947","-0,125","-1,015","-0,235","0,086","-1,011","-0,140"
1266,"0,013","0,082","0,940","-0,018","0,279","0,957","0,026","0,230","1,002","-0,044","0,030","1,022","-0,036","0,087","0,951","-0,123","-1,016","-0,228","0,088","-1,011","-0,143"
1267,"0,008","0,085","0,934","-0,014","0,259","0,971","0,027","0,225","1,001","-0,042","0,028","1,021","-0,031","0,085","0,948","-0,125","-1,019","-0,235","0,092","-1,002","-0,160"
1268,"0,024","0,064","0,942","-0,017","0,247","0,970","0,026","0,217","0,998","-0,046","0,019","1,015","-0,033","0,083","0,954","-0,121","-1,017","-0,240","0,089","-0,996","-0,179"
1269,"0,030","0,073","0,943","-0,007","0,236","0,980","0,031","0,229","0,999","-0,049","0,026","1,007","-0,023","0,074","0,949","-0,119","-1,019","-0,239","0,090","-0,996","-0,187"
1270,"0,032","0,077","0,936","-0,009","0,228","0,986","0,044","0,242","0,994","-0,051","0,028","1,002","-0,016","0,087","0,956","-0,110","-1,025","-0,234","0,084","-0,990","-0,199"
1271,"0,031","0,066","0,940","-0,004","0,223","0,986","0,064","0,243","0,986","-0,049","0,028","0,996","-0,013","0,083","0,956","-0,101","-1,019","-0,235","0,082","-0,986","-0,212"
1272,"0,036","0,067","0,945","-0,005","0,223","0,978","0,067","0,235","0,986","-0,041","0,038","0,992","-0,009","0,074","0,958","-0,098","-1,014","-0,237","0,088","-0,981","-0,215"
1273,"0,033","0,076","0,941","-0,013","0,219","0,982","0,069","0,236","0,981","-0,042","0,037","0,995","-0,009","0,075","0,955","-0,097","-1,025","-0,237","0,086","-0,992","-0,204"
1274,"0,031","0,070","0,941","-0,018","0,229","0,981","0,066","0,238","0,983","-0,040","0,034","1,002","-0,003","0,082","0,953","-0,086","-1,017","-0,240","0,079","-0,998","-0,204"
1275,"0,030","0,077","0,945","-0,020","0,240","0,977","0,056","0,233","0,992","-0,039","0,036","1,014","-0,007","0,077","0,953","-0,093","-1,015","-0,239","0,081","-0,999","-0,195"
1276,"0,024","0,083","0,943","-0,024","0,237","0,975","0,042","0,225","1,002","-0,040","0,034","1,027","-0,014","0,078","0,960","-0,091","-1,019","-0,248","0,081","-1,003","-0,183"
1277,"0,030","0,079","0,943","-0,016","0,249","0,971","0,033","0,218","1,004","-0,049","0,031","1,035","-0,024","0,080","0,953","-0,104","-1,015","-0,255","0,090","-1,002","-0,184"
1278,"0,031","0,073","0,945","-0,011","0,253","0,964","0,025","0,219","1,003","-0,051","0,028","1,037","-0,017","0,085","0,955","-0,102","-1,016","-0,261","0,090","-1,005","-0,171"
1279,"0,021","0,083","0,938","-0,009","0,257","0,966","0,033","0,211","1,007","-0,059","0,030","1,036","-0,022","0,081","0,955","-0,106","-1,013","-0,269","0,080","-1,000","-0,169"
1280,"0,026","0,073","0,940","-0,020","0,247","0,972","0,037","0,212","1,005","-0,065","0,028","1,027","-0,023","0,081","0,953","-0,106","-1,002","-0,273","0,078","-1,008","-0,184"
1281,"0,027","0,080","0,943","-0,023","0,255","0,970","0,042","0,213","1,010","-0,071","0,031","1,032","-0,021","0,083","0,956","-0,110","-1,013","-0,275","0,094","-1,002","-0,172"
1282,"0,017","0,068","0,937","-0,008","0,258","0,969","0,038","0,210","1,008","-0,070","0,035","1,041","-0,016","0,079","0,955","-0,107","-1,011","-0,268","0,102","-1,002","-0,170"
1283,"0,020","0,068","0,946","-0,023","0,252","0,974","0,039","0,206","1,006","-0,069","0,038","1,034","-0,025","0,078","0,956","-0,102","-1,013","-0,263","0,099","-1,002","-0,176"
1284,"0,024","0,075","0,940","-0,027","0,248","0,970","0,036","0,214","0,996","-0,061","0,032","1,029","-0,020","0,082","0,954","-0,109","-1,014","-0,253","0,102","-1,002","-0,177"
1285,"0,020","0,079","0,941","-0,019","0,249","0,972","0,034","0,221","0,995","-0,055","0,030","1,011","-0,009","0,076","0,954","-0,112","-1,013","-0,264","0,085","-0,999","-0,185"
1286,"0,024","0,076","0,947","-0,020","0,247","0,971","0,044","0,242","0,984","-0,050","0,018","1,006","-0,010","0,083","0,958","-0,118","-1,016","-0,252","0,071","-0,996","-0,184"
1287,"0,022","0,075","0,944","-0,021","0,241","0,973","0,064","0,236","0,988","-0,045","0,024","1,000","-0,012","0,078","0,955","-0,115","-1,019","-0,249","0,075","-1,003","-0,192"
1288,"0,022","0,074","0,941","-0,016","0,238","0,975","0,051","0,235","0,990","-0,039","0,024","1,001","-0,016","0,082","0,952","-0,114","-1,016","-0,236","0,071","-1,005","-0,190"
1289,"0,019","0,067","0,937","-0,027","0,241","0,982","0,035","0,231","0,988","-0,033","0,027","1,005","-0,017","0,079","0,956","-0,113","-1,021","-0,242","0,058","-1,010","-0,187"
1290,"0,021","0,071","0,941","-0,025","0,246","0,976","0,029","0,238","0,989","-0,033","0,018","1,007","-0,012","0,079","0,953","-0,117","-1,018","-0,234","0,066","-1,009","-0,187"
1291,"0,026","0,078","0,950","-0,016","0,247","0,972","0,038","0,232","0,992","-0,030","0,013","1,010","-0,013","0,079","0,954","-0,121","-1,011","-0,243","0,072","-1,005","-0,187"
1292,"0,020","0,071","0,937","-0,020","0,249","0,967","0,046","0,236","0,987","-0,037","0,007","1,015","-0,013","0,080","0,952","-0,108","-1,018","-0,240","0,078","-1,004","-0,185"
1293,"0,024","0,073","0,943","-0,020","0,250","0,968","0,050","0,243","0,985","-0,037","0,008","1,019","-0,007","0,075","0,952","-0,107","-1,015","-0,237","0,086","-1,003","-0,176"
1294,"0,022","0,075","0,944","-0,018","0,253","0,967","0,055","0,235","0,985","-0,048","0,019","1,014","-0,009","0,077","0,957","-0,113","-1,013","-0,240","0,092","-1,002","-0,168"
1295,"0,021","0,072","0,940","-0,028","0,250","0,970","0,055","0,240","0,982","-0,055","0,018","1,008","-0,007","0,074","0,957","-0,106","-1,016","-0,238","0,093","-1,002","-0,173"
1296,"0,023","0,067","0,939","-0,018","0,251","0,970","0,061","0,241","0,981","-0,058","0,017","1,002","-0,006","0,076","0,958","-0,096","-1,018","-0,237","0,095","-1,001","-0,174"
1297,"0,020","0,081","0,944","-0,012","0,253","0,967","0,063","0,233","0,988","-0,063","0,021","0,999","-0,008","0,080","0,957","-0,094","-1,024","-0,239","0,090","-1,003","-0,172"
1298,"0,018","0,076","0,946","-0,016","0,251","0,969","0,059","0,242","0,992","-0,058","0,020","1,000","-0,021","0,084","0,955","-0,100","-1,021","-0,235","0,088","-1,005","-0,177"
1299,"0,021","0,068","0,942","-0,017","0,250","0,972","0,048","0,229","0,997","-0,058","0,016","1,007","-0,020","0,084","0,954","-0,111","-1,020","-0,242","0,092","-1,004","-0,180"
1300,"0,021","0,071","0,942","-0,018","0,248","0,974","0,025","0,235","0,989","-0,049","0,019","1,016","-0,019","0,086","0,958","-0,115","-1,018","-0,251","0,086","-1,003","-0,169"
1301,"0,024","0,069","0,940","-0,027","0,246","0,973","0,021","0,229","0,992","-0,043","0,021","1,018","-0,018","0,082","0,953","-0,122","-1,012","-0,251","0,084","-1,002","-0,176"
1302,"0,025","0,071","0,941","-0,017","0,247","0,966","0,031","0,232","0,994","-0,044","0,014","1,023","-0,022","0,089","0,954","-0,127","-1,016","-0,256","0,090","-1,003","-0,189"
1303,"0,025","0,074","0,943","-0,015","0,245","0,967","0,039","0,229","0,999","-0,042","0,019","1,023","-0,024","0,082","0,948","-0,119","-1,015","-0,263","0,096","-1,002","-0,177"
1304,"0,018","0,076","0,936","-0,017","0,247","0,969","0,043","0,241","0,998","-0,040","0,016","1,024","-0,015","0,085","0,952","-0,109","-1,018","-0,251","0,089","-1,001","-0,181"
1305,"0,027","0,075","0,939","-0,014","0,242","0,968","0,054","0,231","0,992","-0,040","0,013","1,023","-0,014","0,081","0,955","-0,101","-1,015","-0,254","0,091","-0,998","-0,186"
1306,"0,033","0,075","0,941","-0,008","0,247","0,971","0,053","0,229","0,989","-0,042","0,013","1,018","-0,017","0,086","0,958","-0,103","-1,014","-0,249","0,100","-0,997","-0,184"
