Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1292,"0,045","-0,001","0,942","-0,114","0,070","0,995","-0,248","-1,065","0,109","-0,029","-0,085","1,003","-0,359","-0,918","-0,228","-0,028","0,346","0,942","-0,141","0,048","1,023"
1293,"0,024","-0,006","0,945","-0,106","0,077","0,992","-0,248","-1,069","0,105","-0,030","-0,083","1,009","-0,376","-0,917","-0,224","-0,027","0,352","0,946","-0,114","0,043","1,023"
1294,"0,033","-0,007","0,944","-0,103","0,067","0,987","-0,254","-1,064","0,113","-0,035","-0,086","1,020","-0,397","-0,916","-0,234","-0,029","0,352","0,953","-0,107","0,040","1,013"
1295,"0,037","0,006","0,942","-0,111","0,072","0,986","-0,265","-1,068","0,121","-0,038","-0,081","1,021","-0,407","-0,910","-0,237","-0,033","0,350","0,951","-0,104","0,038","1,016"
1296,"0,043","-0,004","0,947","-0,107","0,058","0,991","-0,270","-1,068","0,125","-0,036","-0,082","1,024","-0,409","-0,917","-0,240","-0,039","0,354","0,954","-0,116","0,045","1,019"
1297,"0,043","0,001","0,942","-0,107","0,063","0,995","-0,262","-1,073","0,128","-0,038","-0,084","1,021","-0,404","-0,922","-0,228","-0,035","0,358","0,958","-0,108","0,042","1,022"
1298,"0,036","-0,002","0,948","-0,104","0,062","0,997","-0,269","-1,072","0,133","-0,041","-0,078","1,022","-0,404","-0,940","-0,222","-0,032","0,356","0,961","-0,103","0,036","1,025"
1299,"0,035","-0,002","0,947","-0,117","0,060","0,993","-0,264","-1,078","0,133","-0,036","-0,086","1,020","-0,404","-0,944","-0,217","-0,033","0,367","0,951","-0,094","0,033","1,016"
1300,"0,042","-0,005","0,941","-0,106","0,063","0,988","-0,260","-1,074","0,136","-0,040","-0,081","1,021","-0,402","-0,942","-0,225","-0,037","0,366","0,951","-0,091","0,030","1,014"
1301,"0,048","0,003","0,941","-0,102","0,057","0,978","-0,255","-1,073","0,139","-0,039","-0,085","1,015","-0,396","-0,942","-0,224","-0,041","0,371","0,950","-0,092","0,038","1,012"
1302,"0,049","0,000","0,942","-0,087","0,054","0,991","-0,251","-1,077","0,141","-0,039","-0,088","1,008","-0,377","-0,944","-0,224","-0,045","0,370","0,953","-0,092","0,039","1,012"
1303,"0,051","0,002","0,941","-0,087","0,046","0,993","-0,260","-1,078","0,137","-0,041","-0,086","1,007","-0,363","-0,964","-0,217","-0,046","0,366","0,951","-0,090","0,037","1,016"
1304,"0,052","0,008","0,946","-0,089","0,040","0,999","-0,255","-1,076","0,137","-0,044","-0,098","1,010","-0,355","-0,967","-0,221","-0,050","0,372","0,954","-0,089","0,028","1,019"
1305,"0,059","0,008","0,939","-0,080","0,054","0,996","-0,259","-1,072","0,142","-0,041","-0,089","1,010","-0,353","-0,968","-0,226","-0,055","0,373","0,952","-0,096","0,031","1,021"
1306,"0,051","0,001","0,940","-0,096","0,050","0,995","-0,254","-1,073","0,141","-0,043","-0,090","1,013","-0,358","-0,956","-0,231","-0,055","0,370","0,948","-0,092","0,026","1,018"
1307,"0,031","-0,001","0,944","-0,110","0,045","0,995","-0,255","-1,082","0,145","-0,044","-0,088","1,017","-0,357","-0,954","-0,229","-0,059","0,375","0,947","-0,100","0,018","1,013"
1308,"0,055","0,006","0,947","-0,117","0,054","0,983","-0,252","-1,074","0,149","-0,041","-0,089","1,017","-0,359","-0,951","-0,210","-0,059","0,373","0,942","-0,106","0,016","1,005"
1309,"0,021","-0,013","0,949","-0,124","0,050","0,988","-0,251","-1,075","0,149","-0,041","-0,092","1,019","-0,358","-0,953","-0,198","-0,059","0,374","0,952","-0,106","0,017","1,007"
1310,"0,041","0,000","0,945","-0,124","0,056","0,991","-0,254","-1,075","0,150","-0,040","-0,092","1,017","-0,350","-0,951","-0,191","-0,056","0,382","0,944","-0,107","0,020","1,012"
1311,"0,030","-0,005","0,947","-0,128","0,065","0,989","-0,251","-1,068","0,151","-0,041","-0,087","1,017","-0,342","-0,951","-0,197","-0,057","0,380","0,954","-0,114","0,020","1,027"
1312,"0,019","-0,004","0,960","-0,119","0,066","0,993","-0,261","-1,070","0,154","-0,038","-0,093","1,015","-0,337","-0,951","-0,200","-0,058","0,381","0,956","-0,124","0,024","1,034"
1313,"0,038","0,001","0,936","-0,122","0,066","0,982","-0,259","-1,064","0,147","-0,041","-0,089","1,009","-0,345","-0,941","-0,213","-0,065","0,380","0,948","-0,120","0,037","1,025"
1314,"0,048","-0,003","0,948","-0,108","0,071","0,980","-0,254","-1,061","0,139","-0,042","-0,090","1,010","-0,351","-0,929","-0,218","-0,068","0,375","0,948","-0,116","0,039","1,026"
1315,"0,034","-0,003","0,945","-0,098","0,065","0,992","-0,258","-1,071","0,142","-0,044","-0,088","1,012","-0,353","-0,927","-0,209","-0,065","0,367","0,955","-0,113","0,043","1,022"
1316,"0,039","-0,001","0,942","-0,099","0,067","0,997","-0,254","-1,065","0,134","-0,043","-0,088","1,020","-0,347","-0,921","-0,204","-0,062","0,367","0,957","-0,108","0,036","1,014"
1317,"0,034","-0,004","0,939","-0,118","0,059","0,988","-0,256","-1,066","0,139","-0,048","-0,091","1,019","-0,335","-0,925","-0,200","-0,054","0,366","0,960","-0,100","0,035","1,018"
1318,"0,043","0,002","0,945","-0,115","0,063","0,988","-0,258","-1,059","0,140","-0,040","-0,089","1,025","-0,328","-0,926","-0,196","-0,052","0,368","0,957","-0,110","0,042","1,020"
1319,"0,029","-0,004","0,946","-0,110","0,062","0,992","-0,247","-1,055","0,138","-0,039","-0,085","1,027","-0,326","-0,919","-0,198","-0,052","0,369","0,959","-0,110","0,035","1,016"
1320,"0,041","-0,003","0,941","-0,101","0,063","1,000","-0,249","-1,059","0,132","-0,035","-0,082","1,022","-0,321","-0,920","-0,213","-0,051","0,368","0,961","-0,099","0,039","1,019"
1321,"0,042","0,000","0,941","-0,104","0,051","0,994","-0,247","-1,066","0,130","-0,034","-0,084","1,020","-0,325","-0,921","-0,213","-0,060","0,372","0,962","-0,097","0,035","1,025"
1322,"0,043","0,004","0,938","-0,096","0,042","0,997","-0,243","-1,065","0,126","-0,034","-0,082","1,019","-0,327","-0,931","-0,219","-0,066","0,368","0,957","-0,098","0,025","1,023"
1323,"0,063","-0,002","0,939","-0,084","0,046","0,999","-0,245","-1,067","0,129","-0,027","-0,072","1,020","-0,333","-0,937","-0,215","-0,068","0,364","0,957","-0,097","0,026","1,014"
1324,"0,062","0,004","0,930","-0,091","0,021","1,004","-0,253","-1,065","0,131","-0,030","-0,076","1,025","-0,347","-0,938","-0,220","-0,076","0,368","0,949","-0,094","0,015","1,021"
1325,"0,034","-0,002","0,947","-0,071","0,051","0,999","-0,255","-1,070","0,133","-0,029","-0,078","1,020","-0,344","-0,943","-0,225","-0,080","0,368","0,947","-0,084","0,014","1,020"
1326,"0,042","-0,003","0,935","-0,101","0,026","1,003","-0,260","-1,072","0,132","-0,040","-0,086","1,016","-0,356","-0,943","-0,229","-0,082","0,369","0,952","-0,089","0,019","1,021"
1327,"0,051","-0,010","0,940","-0,104","0,034","0,992","-0,267","-1,075","0,131","-0,043","-0,082","1,022","-0,357","-0,941","-0,226","-0,090","0,369","0,947","-0,091","0,016","1,016"
1328,"-0,022","-0,037","0,952","-0,088","0,097","0,993","-0,275","-1,074","0,132","-0,049","-0,076","1,022","-0,353","-0,949","-0,227","-0,090","0,368","0,944","-0,105","0,019","1,016"
1329,"-0,036","-0,028","0,954","-0,153","0,095","0,991","-0,278","-1,082","0,137","-0,056","-0,079","1,017","-0,341","-0,959","-0,221","-0,081","0,369","0,950","-0,115","0,031","1,005"
1330,"0,007","-0,008","0,952","-0,204","0,100","0,952","-0,271","-1,076","0,137","-0,055","-0,088","1,016","-0,336","-0,966","-0,228","-0,065","0,362","0,954","-0,132","0,048","1,004"
1331,"-0,002","0,003","0,955","-0,198","0,104","0,955","-0,268","-1,075","0,145","-0,059","-0,097","1,005","-0,353","-0,963","-0,224","-0,058","0,375","0,953","-0,156","0,066","1,005"
1332,"0,012","-0,003","0,937","-0,163","0,085","0,989","-0,261","-1,076","0,143","-0,059","-0,090","1,006","-0,369","-0,966","-0,224","-0,046","0,367","0,955","-0,166","0,063","1,026"
1333,"0,014","-0,019","0,945","-0,100","0,065","1,013","-0,252","-1,082","0,149","-0,050","-0,098","1,006","-0,381","-0,967","-0,226","-0,041","0,367","0,953","-0,150","0,054","1,030"
1334,"0,024","0,001","0,945","-0,066","0,059","1,003","-0,237","-1,082","0,147","-0,043","-0,088","1,005","-0,388","-0,970","-0,215","-0,033","0,375","0,949","-0,119","0,032","1,020"
1335,"0,039","-0,005","0,941","-0,064","0,050","0,992","-0,238","-1,075","0,152","-0,038","-0,089","1,006","-0,388","-0,969","-0,210","-0,035","0,371","0,956","-0,095","0,024","1,010"
1336,"0,025","-0,007","0,953","-0,073","0,041","0,979","-0,241","-1,077","0,154","-0,029","-0,087","1,008","-0,377","-0,967","-0,217","-0,042","0,370","0,958","-0,071","0,024","1,007"
1337,"0,024","-0,001","0,937","-0,104","0,046","0,996","-0,243","-1,081","0,144","-0,026","-0,081","1,006","-0,366","-0,971","-0,225","-0,040","0,373","0,954","-0,072","0,032","1,003"
1338,"0,037","-0,005","0,938","-0,116","0,061","1,001","-0,248","-1,078","0,142","-0,018","-0,088","1,015","-0,356","-0,974","-0,232","-0,047","0,376","0,953","-0,080","0,042","1,013"
1339,"0,020","-0,003","0,946","-0,115","0,057","1,007","-0,261","-1,095","0,136","-0,022","-0,083","1,019","-0,367","-0,981","-0,235","-0,048","0,376","0,948","-0,094","0,040","1,028"
1340,"0,025","-0,003","0,945","-0,107","0,059","1,001","-0,261","-1,088","0,134","-0,026","-0,078","1,021","-0,385","-0,971","-0,233","-0,054","0,370","0,956","-0,103","0,042","1,039"
1341,"0,031","-0,013","0,950","-0,093","0,065","0,994","-0,272","-1,090","0,125","-0,031","-0,076","1,022","-0,399","-0,962","-0,242","-0,067","0,365","0,952","-0,113","0,045","1,036"
1342,"0,014","-0,004","0,943","-0,087","0,072","0,989","-0,270","-1,089","0,118","-0,033","-0,084","1,030","-0,392","-0,955","-0,239","-0,082","0,360","0,946","-0,111","0,039","1,032"
1343,"0,022","-0,011","0,946","-0,102","0,085","0,985","-0,278","-1,081","0,131","-0,042","-0,080","1,032","-0,364","-0,960","-0,228","-0,085","0,366","0,948","-0,109","0,050","1,024"
1344,"0,007","-0,011","0,947","-0,121","0,083","0,984","-0,267","-1,082","0,134","-0,047","-0,092","1,028","-0,330","-0,961","-0,222","-0,079","0,370","0,956","-0,113","0,046","1,023"
1345,"0,017","-0,011","0,941","-0,128","0,082","0,981","-0,265","-1,083","0,139","-0,049","-0,091","1,025","-0,309","-0,964","-0,207","-0,065","0,380","0,967","-0,123","0,053","1,015"
1346,"0,010","-0,018","0,945","-0,125","0,090","0,986","-0,260","-1,075","0,145","-0,052","-0,085","1,022","-0,299","-0,957","-0,208","-0,060","0,376","0,979","-0,124","0,047","1,024"
1347,"0,001","-0,016","0,948","-0,135","0,082","0,993","-0,245","-1,076","0,143","-0,049","-0,084","1,029","-0,306","-0,956","-0,216","-0,060","0,378","0,974","-0,127","0,043","1,014"
1348,"0,015","-0,006","0,947","-0,130","0,069","0,978","-0,234","-1,068","0,132","-0,037","-0,078","1,027","-0,331","-0,955","-0,225","-0,051","0,366","0,970","-0,129","0,035","1,006"
1349,"0,018","-0,011","0,945","-0,099","0,078","0,978","-0,230","-1,067","0,132","-0,030","-0,082","1,026","-0,346","-0,948","-0,228","-0,058","0,365","0,962","-0,119","0,038","1,002"
1350,"0,009","-0,012","0,951","-0,095","0,060","0,985","-0,228","-1,059","0,126","-0,027","-0,083","1,019","-0,355","-0,938","-0,230","-0,051","0,356","0,956","-0,103","0,040","1,009"
1351,"0,025","-0,011","0,941","-0,103","0,065","0,997","-0,236","-1,062","0,117","-0,028","-0,085","1,011","-0,340","-0,934","-0,235","-0,057","0,352","0,948","-0,090","0,036","1,017"
1352,"0,029","-0,010","0,945","-0,100","0,052","0,993","-0,244","-1,062","0,110","-0,025","-0,084","1,005","-0,330","-0,930","-0,241","-0,059","0,345","0,949","-0,084","0,037","1,021"
1353,"0,021","-0,009","0,944","-0,085","0,044","0,995","-0,258","-1,070","0,104","-0,027","-0,086","0,999","-0,329","-0,922","-0,235","-0,072","0,345","0,945","-0,084","0,031","1,023"
1354,"0,035","-0,005","0,948","-0,078","0,048","0,993","-0,269","-1,071","0,103","-0,027","-0,083","1,004","-0,330","-0,917","-0,240","-0,086","0,347","0,942","-0,082","0,019","1,015"
1355,"0,029","0,000","0,946","-0,082","0,033","1,000","-0,276","-1,062","0,099","-0,030","-0,081","1,004","-0,339","-0,912","-0,233","-0,095","0,350","0,943","-0,080","0,022","1,005"
