Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
29,"-0,042","0,363","-0,173","-0,211","-0,016","-0,241","-0,028","0,259","0,232","-0,147","0,272","0,121","-0,301","-0,278","0,002","-0,128","-0,196","0,077","-0,155","-0,067","-0,068"
30,"-0,010","0,301","-0,056","-0,068","0,079","0,109","-0,157","0,289","0,163","0,464","0,305","0,047","-0,182","-0,609","0,059","-0,196","-0,350","0,172","-0,240","0,115","-0,042"
31,"0,075","0,210","0,000","-0,241","0,157","0,286","0,071","0,283","0,002","0,465","0,142","-0,012","-0,085","-0,403","0,072","-0,293","-0,524","0,134","-0,112","0,391","0,179"
32,"0,166","-0,086","-0,022","-0,042","0,282","0,552","-0,005","0,092","-0,099","0,100","0,140","-0,016","-0,193","-0,233","-0,091","-0,265","-0,557","0,020","-0,100","0,631","0,107"
33,"0,151","-0,204","0,142","-0,035","0,333","0,663","0,105","-0,020","-0,192","0,102","0,092","-0,262","-0,116","-0,074","-0,045","0,047","-0,403","-0,014","-0,053","0,698","0,080"
34,"0,132","-0,191","0,059","0,205","0,305","0,594","0,139","-0,077","-0,442","0,529","-0,017","-0,206","-0,208","-0,008","-0,120","0,158","-0,300","-0,279","0,089","0,600","0,086"
35,"-0,052","-0,126","0,112","0,484","0,236","0,138","0,144","0,005","-0,416","0,772","0,066","-0,174","-0,059","0,130","-0,280","0,111","0,066","-0,465","-0,008","0,541","0,183"
36,"-0,050","0,040","-0,087","0,335","0,090","-0,323","0,144","0,005","-0,416","0,342","0,359","0,019","-0,105","0,225","-0,288","0,250","0,189","-0,598","0,057","0,401","0,085"
37,"0,280","0,419","-0,104","0,085","0,041","-0,420","0,136","0,032","-0,497","-0,330","0,242","0,200","-0,069","0,168","-0,234","0,299","0,028","-0,668","-0,036","0,491","0,009"
38,"0,083","0,412","-0,149","0,140","-0,066","-0,509","0,237","0,332","-0,180","-0,390","0,300","0,037","-0,116","0,140","-0,301","0,313","0,064","-0,480","-0,030","0,342","-0,077"
39,"-0,077","-0,028","0,043","0,198","-0,147","-0,542","0,373","0,330","-0,057","-0,144","0,084","0,008","-0,003","0,366","-0,141","0,148","0,180","-0,490","-0,054","0,159","-0,021"
40,"0,081","0,125","-0,015","0,083","-0,095","-0,424","0,390","0,222","0,133","0,039","0,030","0,036","-0,044","0,273","-0,074","0,182","0,089","-0,258","0,261","-0,061","0,121"
41,"0,240","0,158","-0,136","-0,094","0,013","-0,329","0,283","0,312","0,857","0,345","0,145","-0,149","-0,167","0,208","-0,128","-0,013","-0,020","-0,143","0,343","-0,168","0,139"
42,"0,128","0,060","-0,125","-0,141","0,115","-0,104","0,104","0,452","0,875","0,223","0,034","-0,099","0,285","0,128","0,037","-0,084","0,011","-0,104","0,287","-0,252","0,108"
43,"0,357","0,005","0,038","0,096","0,062","-0,228","0,000","0,261","0,503","0,100","0,140","-0,016","0,475","-0,315","0,204","-0,074","-0,079","-0,206","0,052","-0,305","-0,160"
44,"0,160","-0,002","-0,008","0,289","0,081","-0,047","-0,195","0,455","0,357","0,160","0,086","0,011","0,362","0,042","-0,035","-0,132","-0,324","-0,213","-0,026","-0,048","-0,350"
