Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,870","0,482","0,102","0,000","0,997","-0,071","0,043","0,000","0,995","-0,097","0,013","0,000","0,975","-0,221","-0,014","0,000","0,872","0,462","-0,161","0,000","0,952","-0,303","-0,030","0,000","0,961","-0,275","0,015","0,000"
1,"0,871","0,480","0,105","0,000","0,996","-0,074","0,044","0,000","0,995","-0,098","0,013","0,000","0,975","-0,221","-0,011","0,000","0,872","0,462","-0,161","0,000","0,951","-0,308","-0,029","0,000","0,961","-0,276","0,017","0,000"
2,"0,871","0,479","0,105","0,000","0,996","-0,074","0,046","0,000","0,995","-0,101","0,013","0,000","0,975","-0,221","-0,011","0,000","0,873","0,461","-0,162","0,000","0,951","-0,308","-0,029","0,000","0,960","-0,278","0,017","0,000"
3,"0,872","0,478","0,103","0,000","0,996","-0,072","0,044","0,000","0,995","-0,100","0,013","0,000","0,975","-0,221","-0,012","0,000","0,873","0,460","-0,162","0,000","0,951","-0,307","-0,030","0,000","0,961","-0,276","0,016","0,000"
4,"0,872","0,479","0,105","0,000","0,996","-0,072","0,044","0,000","0,995","-0,100","0,013","0,000","0,975","-0,222","-0,012","0,000","0,873","0,461","-0,162","0,000","0,951","-0,308","-0,030","0,000","0,961","-0,276","0,017","0,000"
5,"0,872","0,478","0,104","0,000","0,996","-0,071","0,044","0,000","0,995","-0,098","0,013","0,000","0,975","-0,222","-0,012","0,000","0,873","0,461","-0,162","0,000","0,951","-0,306","-0,031","0,000","0,961","-0,275","0,016","0,000"
6,"0,872","0,478","0,105","0,000","0,996","-0,071","0,044","0,000","0,995","-0,099","0,013","0,000","0,975","-0,222","-0,012","0,000","0,873","0,461","-0,162","0,000","0,951","-0,306","-0,030","0,000","0,961","-0,275","0,016","0,000"
7,"0,872","0,478","0,104","0,000","0,997","-0,070","0,043","0,000","0,995","-0,098","0,013","0,000","0,975","-0,222","-0,012","0,000","0,873","0,461","-0,162","0,000","0,952","-0,306","-0,030","0,000","0,962","-0,274","0,015","0,000"
8,"0,871","0,479","0,105","0,000","0,997","-0,070","0,043","0,000","0,995","-0,098","0,013","0,000","0,975","-0,223","-0,012","0,000","0,873","0,461","-0,162","0,000","0,952","-0,306","-0,029","0,000","0,961","-0,275","0,015","0,000"
9,"0,871","0,480","0,104","0,000","0,997","-0,070","0,043","0,000","0,995","-0,098","0,013","0,000","0,975","-0,222","-0,012","0,000","0,873","0,461","-0,163","0,000","0,952","-0,305","-0,029","0,000","0,962","-0,273","0,015","0,000"
10,"0,872","0,478","0,104","0,000","0,997","-0,072","0,041","0,000","0,995","-0,101","0,013","0,000","0,975","-0,220","-0,012","0,000","0,874","0,459","-0,162","0,000","0,951","-0,307","-0,030","0,000","0,963","-0,271","0,014","0,000"
11,"0,871","0,480","0,103","0,001","0,997","-0,069","0,042","0,000","0,995","-0,098","0,013","0,000","0,975","-0,222","-0,013","0,000","0,873","0,461","-0,161","-0,001","0,952","-0,305","-0,031","-0,001","0,962","-0,273","0,014","0,000"
12,"0,871","0,481","0,105","-0,001","0,997","-0,071","0,043","0,000","0,995","-0,095","0,012","0,000","0,975","-0,220","-0,014","-0,001","0,872","0,461","-0,164","0,001","0,953","-0,302","-0,032","-0,001","0,961","-0,275","0,012","-0,001"
13,"0,872","0,479","0,104","0,000","0,996","-0,073","0,046","0,000","0,995","-0,097","0,014","0,000","0,975","-0,222","-0,013","0,000","0,872","0,462","-0,162","0,000","0,952","-0,305","-0,031","-0,001","0,961","-0,275","0,015","0,000"
14,"0,871","0,481","0,103","0,000","0,997","-0,070","0,044","0,000","0,995","-0,100","0,015","0,000","0,976","-0,220","-0,012","0,000","0,873","0,460","-0,163","0,001","0,953","-0,303","-0,029","0,000","0,962","-0,272","0,015","0,000"
15,"0,871","0,479","0,106","-0,001","0,997","-0,068","0,042","0,000","0,995","-0,097","0,014","0,000","0,975","-0,222","-0,013","0,000","0,872","0,462","-0,162","0,000","0,952","-0,305","-0,031","0,000","0,963","-0,270","0,015","0,000"
16,"0,872","0,478","0,104","0,000","0,997","-0,066","0,043","0,000","0,995","-0,100","0,014","0,000","0,976","-0,220","-0,013","0,000","0,873","0,460","-0,163","0,000","0,952","-0,306","-0,028","0,000","0,962","-0,272","0,015","0,000"
17,"0,872","0,479","0,106","-0,002","0,997","-0,068","0,043","0,000","0,995","-0,097","0,013","0,000","0,975","-0,222","-0,015","-0,001","0,873","0,461","-0,161","-0,001","0,951","-0,308","-0,029","0,000","0,962","-0,271","0,018","0,001"
18,"0,872","0,477","0,104","-0,001","0,997","-0,068","0,046","0,000","0,995","-0,099","0,015","0,001","0,975","-0,220","-0,017","-0,001","0,873","0,460","-0,163","0,001","0,952","-0,306","-0,028","0,001","0,962","-0,274","0,017","0,001"
19,"0,871","0,479","0,105","-0,001","0,997","-0,069","0,043","0,000","0,995","-0,102","0,016","0,001","0,975","-0,222","-0,019","-0,002","0,873","0,459","-0,166","0,002","0,952","-0,304","-0,029","0,000","0,961","-0,276","0,017","0,001"
20,"0,872","0,478","0,103","0,000","0,996","-0,072","0,044","0,000","0,995","-0,100","0,014","0,001","0,975","-0,221","-0,016","-0,001","0,873","0,460","-0,163","0,001","0,951","-0,306","-0,031","0,000","0,962","-0,274","0,016","0,000"
21,"0,872","0,480","0,102","0,001","0,997","-0,069","0,042","0,000","0,995","-0,098","0,011","0,000","0,976","-0,219","-0,014","-0,001","0,872","0,461","-0,162","-0,001","0,952","-0,306","-0,028","0,001","0,962","-0,274","0,013","0,000"
22,"0,873","0,478","0,102","0,000","0,997","-0,070","0,039","0,000","0,995","-0,095","0,011","0,000","0,975","-0,221","-0,016","-0,001","0,873","0,459","-0,163","0,000","0,952","-0,304","-0,029","0,001","0,962","-0,271","0,014","0,000"
23,"0,872","0,479","0,104","0,000","0,997","-0,072","0,041","0,000","0,995","-0,098","0,012","0,001","0,975","-0,221","-0,013","0,000","0,873","0,460","-0,165","0,001","0,952","-0,305","-0,031","0,000","0,962","-0,273","0,013","-0,001"
