Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,884","0,453","0,114","0,000","0,977","-0,213","0,028","0,000","0,971","-0,231","0,053","0,000","0,976","-0,216","-0,005","0,000","0,880","0,434","-0,193","0,000","0,776","0,600","-0,193","0,000","0,787","0,605","0,118","0,000"
1,"0,883","0,455","0,115","0,000","0,977","-0,213","0,029","0,000","0,971","-0,231","0,053","0,000","0,976","-0,217","-0,005","0,000","0,880","0,435","-0,191","0,000","0,775","0,601","-0,193","0,000","0,787","0,605","0,119","0,000"
2,"0,883","0,454","0,119","0,000","0,976","-0,214","0,029","0,000","0,971","-0,232","0,054","0,000","0,976","-0,219","-0,005","0,000","0,880","0,434","-0,192","0,000","0,775","0,602","-0,193","0,000","0,787","0,605","0,122","0,000"
3,"0,883","0,454","0,117","0,000","0,977","-0,213","0,028","0,000","0,971","-0,231","0,054","0,000","0,976","-0,217","-0,006","0,000","0,880","0,434","-0,193","0,000","0,775","0,602","-0,193","0,000","0,788","0,604","0,122","0,000"
4,"0,884","0,453","0,118","0,000","0,976","-0,214","0,028","0,000","0,971","-0,231","0,054","0,000","0,976","-0,218","-0,005","0,000","0,880","0,434","-0,192","0,000","0,775","0,602","-0,193","0,000","0,787","0,604","0,122","0,000"
5,"0,884","0,453","0,117","0,000","0,976","-0,214","0,028","0,000","0,971","-0,231","0,053","0,000","0,976","-0,218","-0,006","0,000","0,880","0,433","-0,192","0,000","0,775","0,602","-0,193","0,000","0,788","0,604","0,122","0,000"
6,"0,884","0,453","0,118","0,000","0,976","-0,214","0,028","0,000","0,971","-0,231","0,053","0,000","0,976","-0,218","-0,005","0,000","0,881","0,433","-0,192","0,000","0,775","0,602","-0,193","0,000","0,787","0,604","0,122","0,000"
7,"0,883","0,454","0,117","0,000","0,977","-0,213","0,028","0,000","0,971","-0,231","0,052","0,000","0,976","-0,217","-0,006","0,000","0,881","0,433","-0,192","0,000","0,775","0,602","-0,193","0,000","0,788","0,604","0,122","0,000"
8,"0,883","0,454","0,117","0,000","0,977","-0,214","0,028","0,000","0,971","-0,232","0,052","0,000","0,976","-0,217","-0,006","0,000","0,881","0,433","-0,191","0,000","0,775","0,602","-0,193","0,000","0,787","0,604","0,122","0,000"
9,"0,883","0,454","0,117","0,000","0,977","-0,213","0,028","0,000","0,971","-0,232","0,052","0,000","0,976","-0,217","-0,006","0,000","0,881","0,433","-0,192","0,000","0,774","0,602","-0,193","0,000","0,787","0,604","0,122","0,000"
10,"0,882","0,456","0,118","0,000","0,976","-0,216","0,028","0,000","0,971","-0,234","0,051","-0,001","0,976","-0,218","-0,003","0,001","0,882","0,431","-0,192","0,000","0,775","0,603","-0,191","-0,002","0,788","0,603","0,124","-0,002"
11,"0,883","0,454","0,117","0,000","0,977","-0,213","0,028","0,000","0,971","-0,234","0,053","0,000","0,976","-0,219","-0,006","0,000","0,881","0,432","-0,193","0,001","0,773","0,604","-0,191","-0,003","0,789","0,602","0,123","-0,001"
12,"0,882","0,455","0,119","-0,001","0,977","-0,211","0,026","0,000","0,972","-0,231","0,053","0,000","0,976","-0,216","-0,005","0,000","0,881","0,433","-0,191","-0,001","0,773","0,604","-0,193","-0,001","0,788","0,604","0,122","0,000"
13,"0,883","0,454","0,117","0,000","0,977","-0,213","0,027","0,000","0,972","-0,229","0,054","0,000","0,976","-0,215","-0,008","0,000","0,882","0,433","-0,189","-0,001","0,774","0,603","-0,195","0,001","0,789","0,602","0,123","-0,001"
14,"0,884","0,454","0,114","0,002","0,976","-0,214","0,030","0,000","0,972","-0,231","0,053","0,000","0,976","-0,216","-0,005","0,000","0,881","0,432","-0,191","0,000","0,775","0,601","-0,196","0,002","0,790","0,600","0,123","-0,002"
15,"0,885","0,452","0,115","0,001","0,976","-0,215","0,027","0,000","0,972","-0,232","0,050","-0,001","0,976","-0,218","-0,002","0,001","0,881","0,433","-0,189","-0,001","0,774","0,602","-0,194","0,001","0,789","0,602","0,123","-0,002"
16,"0,884","0,453","0,116","0,000","0,977","-0,213","0,029","0,000","0,971","-0,233","0,052","0,000","0,976","-0,220","-0,004","0,000","0,881","0,433","-0,191","0,000","0,773","0,603","-0,196","0,001","0,788","0,603","0,125","-0,003"
17,"0,883","0,455","0,117","0,000","0,977","-0,211","0,032","0,001","0,972","-0,230","0,053","0,000","0,976","-0,217","-0,005","0,000","0,882","0,431","-0,191","0,000","0,774","0,602","-0,195","0,001","0,788","0,604","0,123","-0,001"
18,"0,882","0,457","0,116","0,001","0,977","-0,213","0,029","0,000","0,971","-0,233","0,054","0,000","0,976","-0,220","-0,004","0,000","0,881","0,433","-0,192","0,000","0,775","0,601","-0,193","0,000","0,788","0,603","0,125","-0,003"
19,"0,883","0,455","0,118","0,000","0,977","-0,214","0,026","-0,001","0,972","-0,230","0,054","0,000","0,976","-0,217","-0,006","0,000","0,882","0,431","-0,191","0,000","0,774","0,603","-0,192","-0,001","0,787","0,604","0,123","-0,001"
20,"0,882","0,457","0,119","-0,001","0,977","-0,212","0,029","0,000","0,971","-0,233","0,053","0,000","0,975","-0,220","-0,006","0,000","0,882","0,432","-0,189","-0,001","0,775","0,601","-0,194","0,000","0,786","0,605","0,125","-0,002"
